"Disrtibutions Per Linked Unit (Base Currency)",1.82,3.57,1.77,3.36,1.63,3.16,1.56,2.92,1.39,1.3,0.92,0.84,
"Net Asset Value Per Linked Unit (Base Currency)",81.2,77.35,76.18,71.01,67.29,63.09,60.96,57.84,53.62,51.47,48.62,45.73,
"Price at Period End (Base Currency)",79,73,85,74,70,72,70,59,54,45,53,43,
"JSE Market Price at Period End (ZARc)",1552,1431,1398,1205,1151,1045,1119,847,840,750,814,560,
"JSE Market Price High (ZARc)",1795,1836,1399,1245,1210,1279,1160,990,990,888,820,650,
"JSE Market Price Low (ZARc)",1311,912,1140,980,980,836,836,741,741,550,550,525,
"JSE Volume Traded (Actual)",100690120,226582129,70430321,173260089,76709819,224734623,92745106,240941711,153280198,92116683,32170344,29063829,
"JSE Rand Value Traded (Actual)",1592325518,3252289083,861794290,1916170709,846511848,2324010298,906298811,1977222531,1271079003,698434635,213114408,167789060,
"12 Month HEPS",110.47,74.05,58.87,68.93,56.46,46.18,17.89,19.54,50.28,28.42,6.26,12.87,
"12 Month Dividend",67.84,63.46,57.89,54.99,49.69,50.16,48.27,43.52,43.2,43.21,36.78,11.04,

Cash flow items,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Nov 2020","1 Jun 2020","25 Nov 2019","3 Jun 2019","19 Nov 2018","4 Jun 2018","27 Nov 2017","26 Jun 2017","28 Nov 2016","23 May 2016","23 Nov 2015","22 May 2015",
"Cash generated by operations",,,,,,44284,22480,41800,20115,34328,13508,,
"Working capital changes",-2451,-17070,-2985,-3337,-7697,-459,-423,8135,1532,3351,14,,
"Net Cash flow from operating activities",32083,71340,30891,53101,19355,43069,22035,49935,21765,37847,13480,29413,
"Net cash flow from investing activities",-18147,-122242,2363,-67808,-36088,-74067,1521,-93651,-59526,-100030,-54261,-75699,
"Net cash flow from financing activities",-6770,131883,7452,-24616,-23448,61908,-38586,72537,42634,61920,34758,52676,
"Dividends paid",-12658,-22844,-11503,-23764,-13579,-18024,-8378,-11685,-5503,-7345,-3425,-3871,
"Net increase(decrease) in cash & cash equivalents",7166,80981,40706,-39323,-40181,30910,-15031,28821,4873,-263,-6023,6390,
"Cash & Cash Equivalent beginning of period",121263,40282,40282,79605,79605,48695,48695,19874,19874,20137,20137,13747,
"Cash & Cash Equivalent end of period",128429,121263,80988,40282,39424,79605,33664,48695,24747,19874,14114,20137,

Ratios,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Nov 2020","1 Jun 2020","25 Nov 2019","3 Jun 2019","19 Nov 2018","4 Jun 2018","27 Nov 2017","26 Jun 2017","28 Nov 2016","23 May 2016","23 Nov 2015","22 May 2015",
"Turnover Per Share",15.29,14.59,14.11,13.91,13.56,13.52,13.45,8.36,8.12,7.66,7.32,8.15,
"Price/Sales Per Share",5.18,4.97,5.99,5.32,5.17,5.32,5.2,7.08,6.63,5.87,7.2,5.23,
"Price/Net Asset Value",0.97,0.94,1.11,1.04,1.04,1.14,1.15,1.02,1,0.87,1.08,0.93,
"Price/Cash Flow",51.39,10.55,56.4,14.23,73.03,16.59,58.82,10.4,41.58,8.94,58.33,8.07,
"Return on Capital Employed",8.27,7.51,12.02,11.9,13.2,8.04,11.64,7.86,8.47,7.94,8.98,4.9,
"Return on Stockholder Funds",13.38,12.24,17.9,17.73,20.73,13,18.03,13.52,14.58,14.13,15.48,9.37,
"Return on Total Assets",4.9,4.82,4.94,4.61,4.77,5.95,6.58,4.12,5.89,5.55,5.38,5.26,
"Operating Profit Margin",42.08,43.46,41.19,39.2,39.2,51.02,49.95,53.3,72.78,71.7,67.92,66.87,
"Net Profit Margin",176.46,152.94,237.87,234.63,265.45,128.86,169.41,182.6,138.45,136.82,160.09,89.02,
"Debt : Equity",0.59,0.6,0.43,0.46,0.53,0.59,0.52,0.69,0.7,0.76,0.69,0.88,
"Current Ratio",1.74,1.53,2.06,1.89,1.27,2.7,1.22,3.83,1.15,0.88,1.32,0.98,
"Dividend Cover",3.65,2.46,3.91,3.7,4.32,2.73,3.31,2.89,3.23,3.13,3.56,6.13,
"Debtors Collection Period",96.88,85.6,112.06,72.08,140.49,250.65,99.81,142.34,65.94,109.03,83.89,113.77,
"Operating Return on Investment",5.14,5.36,5.58,5.62,5.06,6.88,6.99,5.02,6.19,5.8,5.73,5.54,
"Operating Income : Turnover",40.42,42.77,40.89,39.15,39.14,51.01,49.94,53.27,72.73,71.62,67.8,66.78,
"Admin & Collection Fees : Turnover",0.15,0.14,0.14,0.15,0.14,,,,,,,,
"Return on Stockholder Funds",81.01,82.25,74.83,77.42,76.1,78.42,83.35,77.15,77.08,70.92,57.45,21.36,
"NAV%Price",113.8,106.85,90.35,95.95,96.12,87.96,86.95,94.1,99.76,116.08,87.53,107.06,
"Price : Earnings",14.05,19.32,23.75,17.48,20.39,22.63,62.55,43.35,16.71,26.39,130.03,43.51,
"Profitability %",4.41,4.58,4.84,4.59,4.74,5.93,6.56,4.1,5.86,5.51,5.34,5.22,
"Solvency %",244.61,239.33,291.05,255.62,255,243.04,260.81,224.77,225.9,215.71,224.41,199.79,
"Int Bearing Debt : Total Assets",0.34,0.34,0.27,0.28,0.32,0.35,0.32,0.38,0.39,0.41,0.38,0.44,
"Liquidity %",10.8,12.18,14.73,11.37,8.83,9.84,12.54,12.57,12.14,11.26,9.21,10.12,
"EV/Ebitda (Pd)",,,,87.15,152.63,,,,,,,,
"Cash Flow : Attributable Profit",2.59,1.96,9.15,1.79,2.72,0.97,2.13,2.95,3.12,2.02,7.69,2.45,
"Loan to value ratio",33.85,34.3,28,29.96,33.18,35.51,32.78,39.32,,,,,
"PEG Ratio",0.25,0.34,0.35,0.25,0.27,0.3,1.4,0.97,0.14,0.22,,,

