"Interest Received",61.128,21.203,69.792,21.02,46.927,11.903,69.29,9.995,21.002,6.342,23.241,11.497,15.082,7.402,21.707,5.268,21.554,6.218,18.011,7.542,15.247,
"Interest Paid",441.978,209.01,340.72,171.381,342.494,177.485,283.8,108.754,281.79,130.268,259.711,138.246,232.709,117.627,261.434,29.177,53.459,28.185,60.595,35.244,83.899,
"Net Interest Paid/(Received)",380.85,187.807,270.928,150.361,295.567,165.582,214.51,98.759,260.788,123.926,236.47,126.749,217.627,110.225,239.727,23.909,31.905,21.967,42.584,27.702,68.652,
"Income From Associates Before Tax",97.033,66.841,61.529,18.663,31.358,10.86,59.374,47.433,58.042,39.152,89.401,41.143,86.266,30.453,65.169,35.332,37.16,18.09,37.95,17.736,32.412,
"Income Before Tax",699.629,1744.123,1521.086,1773.412,2130.621,1678.316,2196.907,1551.065,2156.376,1624.021,1988.685,1379.031,2042.111,1456.427,1595.54,1219.043,1425.225,1156.735,1437.137,940.794,1358.17,
"Taxation",305.009,482.171,637.457,496.388,632.101,465.118,623.912,441.894,624.485,463.702,569.024,394.733,517.846,386.417,512.409,348.841,454.365,377.492,477.557,310.649,417.655,
"Profit For The Period",394.62,1261.952,883.629,1277.024,1498.52,1213.198,1572.995,1109.171,1531.891,1160.319,1419.661,984.298,1524.265,1070.01,1083.131,870.202,970.86,779.243,959.58,630.145,940.515,
"Income Attributable To Minority Interests",82.32,52.292,13.201,19.669,21.667,8.499,-0.175,-1.47,-0.095,-3.005,-17.475,-5.998,0.961,-1.751,-5.203,0.365,1.79,2.325,-1.093,-0.565,-1.041,
"Attributable Income Before Extraordinary Items",312.3,1209.66,870.428,1257.355,1476.853,1204.699,1573.17,1110.641,1531.986,1163.324,1437.136,990.296,1523.304,1071.761,1088.334,869.837,969.07,776.918,960.673,630.71,941.556,
"Extraordinary Profit",,,,,169.531,-2.729,-276.192,5.333,,,,,,,,,,,,,,
"Extraordinary Profit: Discontinued Operations",,,,,169.531,-2.729,-276.192,5.333,,,,,,,,,,,,,,
"Income Attributable To Equity Holders",312.3,1209.66,870.428,1257.355,1646.384,1201.97,1296.978,1115.974,1531.986,1163.324,1437.136,990.296,1523.304,1071.761,1088.334,869.837,969.07,776.918,960.673,630.71,941.556,
"Total Comprehensive Income/Loss for the period",1008.09,1260.909,804.216,1143.583,1931.465,1090.873,761.074,436.776,1838.527,,1664.482,,1998.463,,,,,,,,,
"Headline Earnings (Cont Ops)",516.84,1205.952,1433.389,1265.384,1466.228,1117.29,1553.302,1176.897,1610.648,1163.636,1434.561,987.411,1513.883,1068.539,1078.078,869.735,969.946,777.165,961.937,630.604,943.587,
"Enterprise Value (EV)",23808.899,34589.849,33093.266,26650.523,34577.264,35318.08,34429.976,35338.667,39846.743,40109.893,40617.226,32628.053,34456.672,33026.84,27699.147,21380.629,18326.47,14702.461,14671.466,15190.64,13733.306,

Balance sheet (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"27 Aug 2020","27 Feb 2020","28 Aug 2019","1 Mar 2019","24 Aug 2018","23 Feb 2018","31 Aug 2017","23 Feb 2017","31 Aug 2016","17 Feb 2016","19 Aug 2015","16 Feb 2015","25 Aug 2014","20 Feb 2014","21 Aug 2013","25 Feb 2013","22 Aug 2012","15 Feb 2012","24 Aug 2011","16 Feb 2011","25 Aug 2010",
"Fixed Assets",8198.184,8090.948,7196.088,6775.799,6290.094,6011.804,5466.224,5166.638,5116.376,4852.461,4457.879,4130.751,3986.636,3797.397,3490.237,3046.585,2584.7,2435.923,2482,2146.305,2157.912,
"Investments in Associates",373.928,457.158,432.71,889.395,862.364,834.607,133.558,268.534,237.249,217.48,233.685,199.78,77.064,70.718,48.477,50.774,62.022,63.473,47.964,46.839,44.054,
"Investments and Loans",57.056,108.103,105.384,88.75,161.556,150.747,385.877,,395.194,,351.582,343.594,349.189,359.731,329.326,92.055,221.148,127.049,118.541,,89.105,
"Intangible Assets",2267.557,2005.215,1951.987,2018.263,2008.475,1918.952,1921.925,1702.678,2004.191,2256.788,1879.68,1789.866,1798.065,1808.374,1505.647,241.245,222.754,235.67,221.331,196.626,205.68,
"Deferred Tax Asset",62.747,106.113,108.218,103.025,100.154,67.105,173.897,135.749,136.031,101.73,101.686,73.959,71.21,56.849,58.777,40.867,60.518,57.587,75,46.938,47.122,
"Other Assets",777.977,740.138,676.938,735.642,583.37,402.775,410.634,679.756,423.128,785.242,410.739,339.542,356.717,462.031,361.694,57.526,219.189,179.996,42,252.511,188.571,
"Total Fixed Assets",11737.449,11507.675,10471.325,10610.874,10006.013,9385.99,8492.115,7953.355,8312.169,8213.701,7435.251,6877.492,6638.881,6555.1,5794.158,3529.052,3370.331,3099.698,2986.668,2689.219,2732.444,
"Stock",8436.466,7867.473,8224.001,7334.911,7587.016,6800.211,7800.305,7346.451,7900.649,7998.771,7509.937,6598.445,6872.615,6180.628,6259.836,4410.191,4427.271,3760.471,3961.917,3448.463,3818.661,
"Debtors",2919.657,5636.305,3722.548,4575.446,3413.036,4194.041,2982.47,3838.872,2659.749,4006.539,2223.009,3175.262,1839.808,2971.709,1776.816,2298.283,1409.131,2159.302,1242.2,1976.001,1344.701,
"Cash",1169.057,1071.077,1153.104,2104.244,1084.215,977.99,1183.12,1320.39,1032.402,1301.132,619.367,1160.157,451.611,405.361,355.575,716.808,473.161,942.644,229.85,580.859,243.038,
"Tax",177.432,79.98,36.51,37.466,35.756,79.937,28.197,65.217,36.922,35.697,20.204,39.189,56.818,33.927,33.18,35.817,144.723,64.993,62.945,66.498,62.187,
"Other Current Assets",831.776,,,,,847.015,,,,,,,,,,,,,,,,
"Total Current Assets",13534.388,14654.835,13136.163,14052.067,12120.023,12899.194,11994.092,12570.93,11629.722,13342.139,10372.517,10973.053,9220.852,9591.625,8425.407,7461.099,6454.286,6927.41,5496.912,6071.821,5468.587,
"Total Assets",25271.837,26162.51,23607.488,24662.941,22126.036,22285.184,20486.207,20524.285,19941.891,21555.84,17807.768,17850.545,15859.733,16146.725,14219.565,10990.151,9824.617,10027.108,8483.58,8761.04,8201.031,
"Ordinary Share Capital & Premium",11582.926,12256.312,11572.54,12259.795,11640.693,,,,,,,,,,,,,,,,,
"Ordinary Shareholders' Interest",11582.926,12256.312,11572.54,12259.795,11640.693,11175.934,10542.126,10608.954,10656.997,11081.219,9537.114,9179.072,8569.623,8466.683,7246.885,6841.239,6189.715,6273.291,5688.229,5588.759,5237.317,
"Minority Interest",409.134,400.6,357.464,330.382,314.944,306.277,301.124,28.129,15.262,15.184,19.283,20.613,31.532,20.646,30.65,26.609,13.75,8.129,5.78,0.42,0.984,
"Total Shareholders' Interest",11992.06,12656.912,11930.004,12590.177,11955.637,11482.211,10843.25,10637.083,10672.259,11096.403,9556.397,9199.685,8601.155,8487.329,7277.535,6867.848,6203.465,6281.42,5694.009,5589.179,5238.301,
"Interest Bearing Loans",5122.473,4911.492,4523.673,3335.462,4432.84,4374.574,3567.18,1200,1200,3494.691,3323.446,3143.095,3114.09,559.985,447.143,309.997,347.932,385.811,423.336,422.641,422.467,
"Deferred Tax Liability",1196.469,1261.509,1149.363,1185.453,1132.135,1021.496,929.318,762.105,723.429,747.932,627.983,646.268,584.221,626.818,479.226,275.366,227.2,238.591,234.732,235.028,230.38,
"Retirement Obligation",30.414,28.98,27.547,29.623,27.8,28.322,24.533,29.146,27.509,25.876,24.243,26.432,25.176,23.89,22.604,65.436,80.954,62.025,73.79,22.692,21.099,
"Total Long-Term Liabilities",6349.356,6201.981,5700.583,4550.538,5592.775,5424.392,4521.031,1991.251,1950.938,4268.499,3975.672,3815.795,3723.487,1210.693,948.973,650.799,656.086,686.427,731.858,680.361,673.946,
"Creditors and Provisions",4274.023,6337.524,5412.317,6165.776,4425.066,4685.585,3771.252,4564.407,3556.753,4785.286,3348.783,4283.328,2770.339,3654.685,3202.359,3173.053,2779.435,2900.063,2042.347,2402.184,1932.591,
"Tax",23.311,149.589,42.296,151.354,38.77,210.258,74.44,146.006,35.352,150.266,56.538,72.38,2.991,98.632,3.927,75.01,5.13,120.883,14.501,88.567,19.536,
"Bank Overdrafts/Short-Term Loans",2478.602,816.504,522.288,1205.096,113.788,70.332,1276.234,3185.538,3726.589,1255.386,870.378,479.357,761.761,2695.386,2786.771,223.441,180.501,38.315,0.865,0.749,336.657,
"Other Current Liabilities",154.485,,,,,412.406,,,,,,,,,,,,,,,,
"Total Current Liabilities",6930.421,7303.617,5976.901,7522.226,4577.624,5378.581,5121.926,7895.951,7318.694,6190.938,4275.699,4835.065,3535.091,6448.703,5993.057,3471.504,2965.066,3059.261,2057.713,2491.5,2288.784,
"Total Liabilities",13279.777,13505.598,11677.484,12072.764,10170.399,10802.973,9642.957,9887.202,9269.632,10459.437,8251.371,8650.86,7258.578,7659.396,6942.03,4122.303,3621.152,3745.688,2789.571,3171.861,2962.73,
"Total Equity and Liabilities",25271.837,26162.51,23607.488,24662.941,22126.036,22285.184,20486.207,20524.285,19941.891,21555.84,17807.768,17850.545,15859.733,16146.725,14219.565,10990.151,9824.617,10027.108,8483.58,8761.04,8201.031,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"27 Aug 2020","27 Feb 2020","28 Aug 2019","1 Mar 2019","24 Aug 2018","23 Feb 2018","31 Aug 2017","23 Feb 2017","31 Aug 2016","17 Feb 2016","19 Aug 2015","16 Feb 2015","25 Aug 2014","20 Feb 2014","21 Aug 2013","25 Feb 2013","22 Aug 2012","15 Feb 2012","24 Aug 2011","16 Feb 2011","25 Aug 2010",
"Number of Shares in Issue (Actual)",222382000,222382000,222382000,222382000,222382000,222382000,222382000,222382000,222109356,222109000,221737356,221737000,221435000,203758000,203298000,203298000,202838000,202838000,202396288,202396000,201774601,
"Weighted Average Shares in Issue (Actual)",219642000,219817000,219543000,219530000,219443000,219407000,219298000,219254000,219038000,218920000,218621000,218619000,209881000,203089000,202752000,202618000,202185000,202053727,201742428,201599000,201143412,
"Market Capitalisation (R'000)",16967747,29532330,28842945,23883827,30799907,31544887,30468558,32245390,35937294,36645764,37023486,30145145,31000900,30156184,24790158,21537390,18257448,15212850,14471335,15347689,13216236,
"Number of Months",12,6,12,12,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,
"Number of Employees",,,,,,,,,,,,,,,,,,4689,4689,,4578,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"27 Aug 2020","27 Feb 2020","28 Aug 2019","1 Mar 2019","24 Aug 2018","23 Feb 2018","31 Aug 2017","23 Feb 2017","31 Aug 2016","17 Feb 2016","19 Aug 2015","16 Feb 2015","25 Aug 2014","20 Feb 2014","21 Aug 2013","25 Feb 2013","22 Aug 2012","15 Feb 2012","24 Aug 2011","16 Feb 2011","25 Aug 2010",
"Earnings Per Share (ZARc)",142.2,550.3,396.5,572.7,750.3,547.8,591.4,509,699.4,531.4,657.4,453,725.8,527.73,536.8,429.3,479.3,384.51,476.2,312.9,468.1,
"Diluted Earnings Per Share (ZARc)",142.1,549.9,396.2,570.9,749.5,547.4,590.6,508.2,697.1,529.6,654.9,451.6,695.6,504.5,492.4,415.8,447.4,372.2,448,303.1,444.5,
"Headline Earnings Per Share (Cont Ops) (ZARc)",235.3,548.6,652.9,576.4,669.9,510.4,708.3,534.4,735.3,531.5,656.2,451.7,721.3,526.1,531.7,429.2,479.7,384.6,476.8,312.8,469.1,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",235.3,548.2,652.4,576.2,669.3,510,713.8,533.5,732.9,529.7,653.7,450.3,691.3,503,487.8,415.8,447.8,372.3,448.6,303,445.4,
"Interim Dividend (ZARc)",174,174,174,174,165,165,165,165,165,165,158,158,154,154,152,152,143,143,124,124,124,
"Final Dividend (ZARc)",,,249,,230,,214,,214,,188,,183,,183,,152,,132,,132,
"Dividend Per Share (ZARc)",174,174,423,174,395,165,379,165,379,165,346,158,337,154,335,152,295,143,256,124,256,
"Distributions Per Share (ZARc)",174,174,423,174,395,165,379,165,379,165,346,158,337,154,335,152,295,143,256,124,256,
"Net Asset Value Per Share (ZARc)",5393,5692,5365,5661,5376.2,5163,4875.9,4783,4805,4996,4309.8,4149,3884.3,4165,3579.7,3378,3057.84,3097,2813,2762,2596,
"3 Year Beta",0.75,0.47,0.54,0.23,,0.7,0.73,0.66,0.7,0.46,0.46,0.24,0.1,0.11,0.29,0.43,0.52,0.07,0.1,0.24,0.15,
"Cash Generated Per Share",468.46,516.36,961.66,1123.31,1019.26,792.73,838.32,687.2,732.42,514.36,638.99,768.34,394.94,431.1,230.8,349.67,564.94,572.99,613.84,505.21,540.84,
"Net Asset Value Per Share (Base Currency)",5393,5692,5365,5661,5376.2,5163,4875.9,4783,4805,4996,4309.8,4149,3884.3,4165,3579.7,3378,3057.84,3097,2813,2762,2596,
"Price at Period End (Base Currency)",7630,13280,12970,10740,13850,14185,13701,14500,16180,16499,16697,13595,14000,14800,12194,10594,9001,7500,7150,7583,6550,
"JSE Market Price High (ZARc)",14490,14490,14900,14900,15000,15000,17261,17457,18300,18300,18521,14510,16600,15100,13226,11021,9001,7500,8100,8000,7000,
"JSE Market Price Low (ZARc)",6000,12102,10013,10013,11703,12400,13200,14100,14181,15501,12306,12306,11500,11500,8699,8699,5699,5699,6510,6510,5500,
"JSE Market Price at Period End (ZARc)",7630,13280,12970,10740,13850,14185,13701,14500,16180,16499,16697,13595,14000,14800,12194,10594,9001,7500,7150,7583,6550,
"JSE Volume Traded (Actual)",46689809,15018781,28181315,16468704,5213542,77154748,13864632,4238039,18529366,10499602,19672026,10963495,25613033,3084591,5796486,2855917,3152509,1710029,5614481,3712199,6490479,
"JSE Rand Value Traded (Actual)",4728070796,2002541127,3421648169,1930915018,690850531,10058917448,2102192886,682312487,3020879597,1774446435,2842872035,1471245210,3609191280,415433822,618574097,277697141,235646044,118712664,395533098,258712272,411497191,
"12 Month HEPS",235.3,625.1,652.9,735.9,669.9,690.8,714.8,738.2,735.3,736,656.2,646.9,721.3,628.6,531.7,524.3,479.7,548.6,476.8,471.8,469.1,
"12 Month Dividend",174,423,423,404,395,379,379,379,379,379,353,346,341,337,337,335,304,438,256,256,256,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"27 Aug 2020","27 Feb 2020","28 Aug 2019","1 Mar 2019","24 Aug 2018","23 Feb 2018","31 Aug 2017","23 Feb 2017","31 Aug 2016","17 Feb 2016","19 Aug 2015","16 Feb 2015","25 Aug 2014","20 Feb 2014","21 Aug 2013","25 Feb 2013","22 Aug 2012","15 Feb 2012","24 Aug 2011","16 Feb 2011","25 Aug 2010",
"Cash generated by operations",,,,,,,,,,1558.48,,2034.174,1559.892,1173.405,1022.676,847.707,1728.426,1435.535,1771.957,1282.913,1555.285,
"Working capital changes",-293.304,-533.307,-458.262,498.791,-173.321,60.532,-315.504,-117.932,-729.136,-498.946,-529.325,360.287,-755.655,-268.496,-1345.268,-492.181,-443.833,69.565,37.088,153.214,-139.073,
"Cash generated from operations after WC",1877.251,1650.713,3050.837,3003.984,3079.164,2174.587,2661.673,1949.049,2480.439,,2111.938,,,,,,,,,,,
"Net Cash flow from operating activities",1041.779,1148.288,2138.564,2498.046,2266.654,1762.889,1864.277,1528.204,1626.77,1142.445,1416.887,1703.687,874.546,878.395,469.219,710.863,1145.922,1162.234,1242.394,1022.531,1091.277,
"Net cash flow from investing activities",-1999.878,-936.8,-1728.435,-957.643,-1144.635,-1349.025,-949.638,-440.063,-1091.424,-374.432,-841.65,-382.684,-671.77,-404.263,-2341.232,-198.952,-479.41,-197.774,-410.872,-77.068,-542.516,
"Net cash flow from financing activities",30.004,67.182,132.293,83.646,378.988,827.805,151.428,-95.001,77.62,3.768,369.797,215.984,552.158,41.16,1925.287,37.174,119.805,6.934,21.571,12.129,22.008,
"Dividends paid",-938.27,-555.939,-891.705,-505.38,-837.244,-470.223,-832.1,-469.547,-773.507,-411.553,-745.68,-399.883,-708.049,-371.63,-616.281,-307.989,-556.023,-266.681,-516.304,-266.013,-514.931,
"Net increase(decrease) in cash & cash equivalents",-1866.365,-277.269,-349.283,1118.669,663.763,771.446,233.967,523.593,-160.541,360.228,199.354,1137.104,46.885,143.662,-563.007,241.096,230.294,704.713,336.789,691.579,55.838,
"Cash & Cash Equivalent beginning of period",630.816,630.816,970.427,970.427,302.876,302.876,102.402,102.402,230.868,230.868,7.335,,,,,,,,,,,
"Translation effects on cash & cash equivalents",54.606,2.53,9.672,10.052,3.788,-41.676,-33.493,-15.605,32.075,40.036,24.179,,,,,,,,,,,
"Cash & Cash Equivalent end of period",-1180.943,356.077,630.816,2099.148,970.427,1032.646,302.876,610.39,102.402,631.132,230.868,,,,,,,,,,,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"27 Aug 2020","27 Feb 2020","28 Aug 2019","1 Mar 2019","24 Aug 2018","23 Feb 2018","31 Aug 2017","23 Feb 2017","31 Aug 2016","17 Feb 2016","19 Aug 2015","16 Feb 2015","25 Aug 2014","20 Feb 2014","21 Aug 2013","25 Feb 2013","22 Aug 2012","15 Feb 2012","24 Aug 2011","16 Feb 2011","25 Aug 2010",
"Return on Capital Employed",2.15,13.38,5.01,7.45,9.51,14.32,8.44,17.65,12.14,15.1,10.49,15.13,12.37,22.07,13.17,23.15,14.15,22.37,14.93,20.1,15.91,
"Return on Shareholder Funds",3.29,19.94,7.41,10.14,13.95,21.08,11.96,20.96,14.35,20.91,14.86,21.4,17.72,25.21,14.88,25.34,15.65,24.81,16.85,22.55,17.95,
"Return on Total Assets",3.04,14.44,7.02,7.83,10.59,16.48,11.83,16.48,12.02,16.83,12.49,17.17,14.52,20.32,12.55,22.68,14.84,23.63,17.39,21.97,16.99,
"Gross Profit Margin",,,,,32.14,,10.82,,,,,,,,,,,,,,,
"Operating Profit Margin",4.38,12.58,6.59,13.18,9.86,13.63,10.69,13,10.95,13.95,10.87,13.32,12.22,15.44,11.22,13.97,9.96,14.55,11.65,13.78,11.8,
"Net Profit Margin",1.4,8.17,3.32,8.72,6.79,8.94,5.91,9.08,7.14,9.52,7.34,9.01,8.59,10.77,6.92,10.06,6.84,9.74,7.79,9.17,7.97,
"Debt:Equity (excl non-int debt)",0.74,0.55,0.52,0.46,0.48,0.48,0.53,0.49,0.53,0.5,0.51,0.47,0.52,0.46,0.51,0.13,0.13,0.12,0.13,0.12,0.19,
"Interest Bearing Debt as % of Long-Term Finance",29.93,27.96,27.49,20.94,27.05,27.59,24.75,10.14,10.11,23.95,25.8,25.47,26.58,6.19,5.79,4.32,5.31,5.79,6.92,7.03,7.46,
"Interest Cover",2.58,9.93,6.39,12.67,8.1,11.07,11.24,16.23,9.05,13.79,9.03,11.56,9.99,13.94,7.38,50.51,44.51,52.83,33.86,34.32,20.31,
"Quick Ratio",0.74,0.93,0.82,0.89,0.99,1.13,0.82,0.66,0.51,0.86,0.67,0.9,0.66,0.53,0.36,0.88,0.68,1.04,0.75,1.05,0.72,
"Current Ratio",1.95,2.01,2.2,1.87,2.65,2.4,2.34,1.59,1.59,2.16,2.43,2.27,2.61,1.49,1.41,2.15,2.18,2.26,2.67,2.44,2.39,
"Dividend Cover",0.82,3.16,0.94,3.29,1.9,3.32,1.56,3.08,1.85,3.22,1.9,2.87,2.15,3.43,1.6,2.82,1.62,2.69,1.86,2.52,1.83,
"Dividend Cover (HEPS)",1.35,3.15,1.54,3.31,1.7,3.09,1.87,3.24,1.94,3.22,1.9,2.86,2.14,3.42,1.59,2.82,1.63,2.69,1.86,2.52,1.83,
"Debtors Collection Period",47.64,69.43,51.9,115.78,51.41,56.94,49.62,56.97,45.22,59.82,41.42,52.7,37.85,54.52,41.24,48.52,36.28,49.43,36.78,52.43,41.56,
"Stock Turn",1.9,2.62,2.2,1.33,2.17,2.63,1.88,,,,,,,,,,,,,,,
"Price : Earnings",32.43,21.24,19.87,14.59,20.67,20.53,19.17,19.64,22,22.42,25.44,21.02,19.41,23.54,22.93,20.21,18.76,13.67,15,16.07,13.96,
"Sales Per Share (Base Currency)",10184.86,13479.55,11924.58,6570.32,11041.94,12254.42,10004.67,11216.73,9802.01,11166.56,8960.24,10060.13,8452.22,9796.27,7756.08,8533.09,7011.42,7891.47,6110.66,6824.16,5870.88,
"Price/Sales Per Share",0.75,0.99,1.09,1.63,1.25,1.16,1.37,1.29,1.65,1.48,1.86,1.35,1.66,1.51,1.57,1.24,1.28,0.95,1.17,1.11,1.12,
"Price/Net Asset Value",1.41,2.33,2.42,1.9,2.58,2.75,2.81,3.03,3.37,3.3,3.87,3.28,3.6,3.55,3.41,3.14,2.94,2.42,2.54,2.75,2.52,
"Price/Cash Flow",16.29,51.44,13.49,9.56,13.59,35.79,16.34,42.2,22.09,64.15,26.13,35.39,35.45,68.66,52.83,60.59,15.93,26.18,11.65,30.02,12.11,
"NAV%Price",70.68,42.86,41.36,52.71,38.82,36.4,35.59,32.99,29.7,30.28,25.81,30.52,27.75,28.14,29.36,31.89,33.97,41.29,39.34,36.42,39.63,
"Liquidity%",7.84,17,18.31,20.69,22.29,32.64,19.33,30.91,17.55,21.85,17.17,39.39,12.05,22.94,6.76,34.49,31.65,62.06,44.54,64.48,36.83,
"Cash Flow:Attributable Profit",3.34,1.9,2.46,1.99,1.53,2.93,1.19,2.75,1.06,1.96,0.99,3.44,0.67,2.07,0.54,2.2,1.54,2.99,1.29,3.24,1.16,
"Cash/Equity (%)",9.75,8.46,9.67,16.71,9.07,8.52,10.91,,,,,,5.25,,,,,,,,,
"EV/Ebitda (Pd)",13.52,,13.63,13.84,14.1,,,,,,,,,,,,,,,,,
"PEG Ratio",-2.55,-12.35,-11.55,2.47,-13.64,2.22,2.07,1.95,2.19,2.82,3.2,2.21,2.04,9.27,9.03,4.56,4.23,1.04,1.14,1.11,0.96,

