"Price at Period End (Base Currency)",163,191,141,90,110,,
"JSE Market Price High (ZARc)",200,207,196,180,180,,
"JSE Market Price Low (ZARc)",91,68,68,26,26,,
"JSE Market Price at Period End (ZARc)",163,191,141,90,110,,
"JSE Volume Traded (Actual)",38258442,39400090,37113257,47754747,43101396,,
"JSE Rand Value Traded (Actual)",44407924,41392468,37636007,54088957,49786361,,
"12 Month HEPS",14.51,13.73,20.45,14.69,9.3,16.11,

Cash flow items,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"2 Nov 2020","29 May 2020","29 Nov 2019","31 May 2019","12 Nov 2018","31 May 2018",
"Working capital changes",105860,-213883,-63498,-133600,-53513,-9242,
"Cash generated from operations after WC",81439,-233484,-69931,-133715,-59987,-2327,
"Net Cash flow from operating activities",83512,-192244,-50773,-61656,-55193,5696,
"Net cash flow from investing activities",-1570,20411,-7336,-349152,-329944,-36843,
"Net cash flow from financing activities",121949,150278,128116,488508,459983,25458,
"Dividends paid",,-7781,,-10097,,,
"Net increase(decrease) in cash & cash equivalents",203891,-21555,70007,77700,74846,-5688,
"Cash & Cash Equivalent beginning of period",72915,90407,90407,4923,4922,10611,
"Translation effects on cash & cash equivalents",11676,4063,-589,7784,7394,,
"Cash & Cash Equivalent end of period",288482,72915,159825,90407,87162,4922,

Ratios,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"2 Nov 2020","29 May 2020","29 Nov 2019","31 May 2019","12 Nov 2018","31 May 2018",
"Return on Capital Employed",4.58,2.63,4.44,2.17,2.1,9.49,
"Return on Shareholder Funds",13.99,7.45,10.89,5.83,5.5,12.89,
"Return on Total Assets",5.45,4.45,5.59,4.52,3.06,9.52,
"Operating Profit Margin",67.39,58.02,62.74,58.47,58.99,55.15,
"Net Profit Margin",22.26,7.92,14.64,6.79,11.18,35.83,
"Debt:Equity (excl non-int debt)",2.24,1.94,1.87,1.73,1.68,0.78,
"Interest Bearing Debt as % of Long-Term Finance",63.75,60.8,55.39,57.07,61.82,26.27,
"Interest Cover",1.99,1.85,2,1.98,2.4,3.53,
"Quick Ratio",12.83,17.47,5.38,25.15,21.17,1.28,
"Current Ratio",12.83,17.47,5.38,25.15,21.17,1.28,
"Debtors Collection Period",1913.83,1923.9,1651.95,1932.78,69.43,295.92,
"Price : Earnings",11.23,13.91,6.89,6.13,11.83,,
"Sales Per Share (Base Currency)",130.66,120.25,114.53,105.15,90.9,45.89,
"Price/Sales Per Share",1.25,1.59,1.23,0.86,1.21,,
"Price/Net Asset Value",0.67,0.86,0.68,0.45,0.5,,
"Price/Cash Flow",9.65,-2.46,-13.73,-3.15,-9.85,,
"NAV%Price",148.47,116.23,147.52,220,201.72,,
"Liquidity%",10.85,-15.6,-9.08,-6.28,-11.6,5.68,
"Cash Flow:Attributable Profit",4.31,-4.86,-3.87,-1.76,-11.74,0.36,
"Cash/Equity (%)",46.49,14.65,31.13,19.94,16.68,5.11,
"EV/Ebitda (Pd)",,,16.49,,29.07,,
"PEG Ratio",-1.46,-1.81,-0.78,-0.7,,,

