"Treasury Shares",26672000,,26672000,,,,,,,,,,,,,,,,,
"Weighted Ave Stock Units (Actual)",349395000,349395000,349395000,349395000,349812000,350223000,351633000,355121000,335208000,313487000,200337241,177454000,157494000,142850000,120618000,120618000,113475000,106102040,57024000,
"Market Capitalisation (R000)",526494,1034184,1466661,1673602,2113840,2236128,2767591,2743068,2858896,3502882,2620755,2007836,1546027,1632027,1212211,1157933,995099,868450,,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (6m)",
,"23 Sep 2020","10 Mar 2020","19 Sep 2019","5 Mar 2019","1 Oct 2018","5 Mar 2018","4 Sep 2017","6 Mar 2017","29 Aug 2016","23 Feb 2016","27 Aug 2015","23 Feb 2015","25 Aug 2014","24 Feb 2014","19 Aug 2013","25 Feb 2013","17 Sep 2012","12 Mar 2012","3 Oct 2011",
"Earnings Per Linked Unit (ZARc)",-37.35,26.51,-153.96,23.94,-33.4,1.63,82.76,67.65,96.62,-7.97,175.66,52.79,162.88,47,196.17,37.51,85.69,-18.69,16.54,
"Diluted Earnings Per Linked Unit (ZARc)",-37.35,26.51,-153.96,23.94,-33.4,1.63,82.76,67.65,96.62,-7.97,175.66,,162.88,,196.17,,85.69,-18.69,16.54,
"Headline Earnings Per Linked Unit (CO) (ZARc)",-23.35,26.51,55.62,25.83,26.8,1.67,114.7,68.52,132.58,24.71,83.01,45.1,92.56,47,97.44,37.51,3.81,-18.69,16.85,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",-23.35,26.51,55.62,25.83,26.8,1.67,114.7,68.52,,,83.01,,,,,,,,,
"Distributions Per Linked Unit (ZARc)",,,71.37,36.18,89.31,47.95,102.8,47.95,103.68,51.52,94.77,44.68,85.47,40,77.25,38,60.97,27,3.48,
"Net Asset Value Per Linked Unit (ZARc)",584.27,604.53,564.78,825.63,655.15,717.35,777.67,977.54,1005.79,1003.32,1077.32,996.43,993.89,877.81,861.86,742.44,742.9,679.84,751.2,
"3 Year Beta",0.93,0.52,0.57,0.44,0.08,0.33,0.53,0.41,0.41,0.31,0.38,0.07,,,,,,,,
"Cash Generated Per Linked Unit",3.14,-4,-7.07,-3.19,-70.19,-64.02,36.93,43.77,-3.39,14.98,5.86,16.23,16.34,10.68,17.82,20.25,24.51,12.13,3.22,
"Number of Months",12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,6,
"Net Asset Value Per Linked Unit (Base Currency)",584.27,604.53,564.78,825.63,655.15,717.35,777.67,977.54,1005.79,1003.32,1077.32,996.43,993.89,877.81,861.86,742.44,742.9,679.84,751.2,
"Price at Period End (Base Currency)",140,275,390,479,605,640,790,783,800,979,980,963,965,965,1005,960,825,720,,
"JSE Market Price at Period End (ZARc)",140,275,390,479,605,640,790,783,800,979,980,963,965,965,1005,960,825,720,,
"JSE Market Price High (ZARc)",405,405,650,650,830,830,925,918,1140,1140,1340,1101,1100,1100,1150,1028,830,735,,
"JSE Market Price Low (ZARc)",82,260,340,360,548,570,663,663,735,735,925,925,870,900,800,800,690,690,,
"JSE Volume Traded (Actual)",67974482,16818433,36743823,22844805,71802928,31200987,63012088,36902917,67690036,42642152,34189615,13453933,32133869,13453447,24459850,14219563,7076902,2519269,,
"JSE Rand Value Traded (Actual)",125073909,50499453,177115898,114741166,466292214,220591172,506920337,291800054,612809436,394194298,358063538,130753572,307527437,129894268,239656236,130002434,51952878,17814761,,
"12 Month HEPS",-23.35,56.3,55.62,50.96,26.8,47.85,114.7,176.39,132.58,62.62,83.01,90.66,92.56,106.93,97.44,60.01,3.81,-1.84,33.7,
"12 Month Dividend",,35.19,71.37,77.54,77.54,89.31,102.8,102.8,100.11,103.68,101.61,94.77,85.47,85.47,79.25,77.25,98.97,60.97,27,
"Dividend Per Share (ZARc)",,,,,,,,,,,,,,,,,,27,,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (6m)",
,"23 Sep 2020","10 Mar 2020","19 Sep 2019","5 Mar 2019","1 Oct 2018","5 Mar 2018","4 Sep 2017","6 Mar 2017","29 Aug 2016","23 Feb 2016","27 Aug 2015","23 Feb 2015","25 Aug 2014","24 Feb 2014","19 Aug 2013","25 Feb 2013","17 Sep 2012","12 Mar 2012","3 Oct 2011",
"Cash generated from operations after WC",262879,161729,334834,178423,199960,4377,554858,377861,417205,,,,,,,,,,,
"Net Cash flow from operating activities",11809,-15055,-26592,-11159,-245236,-223681,129374,153328,-12106,53582,15669,33832,26174,18056,21493,24420,29562,14637,1837,
"Net cash flow from investing activities",190322,193234,257264,258529,52083,70699,-143064,-127894,-1334591,-728941,-518689,-678040,-364914,-270362,-93361,-87446,-494925,-218169,-8759,
"Net cash flow from financing activities",-399915,-340996,-37221,-83909,115243,83391,8710,-47829,1243063,785712,658271,613674,379634,270265,75381,122774,481431,248152,6009,
"Dividends paid",-122952,-122952,-270921,-144510,-359690,-192155,-350714,-188171,-367767,,-166003,-67649,-166003,-47339,-86810,-40974,-34516,-4273,,
"Net increase(decrease) in cash & cash equivalents",-197784,-162817,193451,163461,-77910,-69591,-4980,-22395,-103634,110353,155251,,,,,,,,,
"Cash & Cash Equivalent beginning of period",323985,323985,93668,93668,154424,154424,123995,-7933,220385,220385,64449,,,,,,,,,
"Translation effects on cash & cash equivalents",3382,-1128,-220,1626,5165,-1265,-6945,34898,-4479,13033,685,,,,,,,,,
"Cash & Cash Equivalent end of period",142191,173295,323985,269305,93668,92512,154424,128565,123995,343771,220385,,,,,,,,,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (6m)",
,"23 Sep 2020","10 Mar 2020","19 Sep 2019","5 Mar 2019","1 Oct 2018","5 Mar 2018","4 Sep 2017","6 Mar 2017","29 Aug 2016","23 Feb 2016","27 Aug 2015","23 Feb 2015","25 Aug 2014","24 Feb 2014","19 Aug 2013","25 Feb 2013","17 Sep 2012","12 Mar 2012","3 Oct 2011",
"Turnover Per Share",148.6,156.5,159.04,165.12,168.35,173.16,170.3,169.1,170.71,161.92,205.04,199.5,173.72,177.69,190.55,187.21,151.45,132.27,197.1,
"Price/Sales Per Share",0.94,1.76,2.45,2.9,3.59,3.7,4.64,4.63,4.69,6.05,4.78,4.83,5.55,5.43,5.27,5.13,5.45,5.44,,
"Price/Net Asset Value",0.24,0.45,0.69,0.58,0.92,0.89,1.02,0.8,0.8,0.98,0.91,0.97,0.97,1.1,1.17,1.29,1.11,1.06,,
"Price/Cash Flow",44.59,-137.5,-55.15,-300.31,-8.62,-19.99,21.39,35.78,-235.99,130.75,167.24,118.67,59.06,180.71,56.4,94.81,33.66,118.71,,
"Return on Capital Employed",-0.78,7.23,-20.11,4.12,-2.31,-0.62,3,9.63,5.86,-0.93,7.65,5.86,13.25,7.68,18.94,7.64,6.07,-2.26,-1.28,
"Return on Stockholder Funds",-1.43,10.53,-25.28,6.76,-2.69,-1.05,4.53,14.03,9.01,-1.39,12.21,9.02,16.25,9.33,22.94,10.32,7.45,-2.92,-2.3,
"Return on Total Assets",10.01,10.52,10.08,8.86,9.44,9.75,9.71,9.18,8.34,6.94,6.14,6.85,8.24,8.09,9.66,9.01,6.5,5.02,8.05,
"Operating Profit Margin",81.12,80.22,81.48,79.93,85.19,87.14,89.91,85.42,84.86,74.37,69.16,63.23,70.3,60.79,68.09,62.71,55.48,39.84,57.2,
"Net Profit Margin",-8.43,64.78,-148.21,51.88,-14.79,-6.22,28.01,115.38,80.83,-15.16,124.13,84.79,105.78,2.2,93.83,0.51,22.61,-210.7,-21.68,
"Debt : Equity",0.83,0.45,0.25,0.64,0.16,0.69,0.5,0.46,0.54,0.5,0.6,0.54,0.23,0.22,0.21,0.26,0.14,0.24,0.7,
"Interest Cover",,,,,,,,,,,,,3,1.14,1.68,1.54,2.09,0.63,16.18,
"Current Ratio",1.33,0.51,0.5,0.74,0.17,0.14,0.22,0.33,1.1,5.73,3.63,1.53,0.3,0.53,0.1,0.12,0.09,0.97,0.35,
"Dividend Cover",,,-2.16,0.66,-0.37,0.03,0.81,1.41,0.93,-0.15,1.85,1.18,1.91,1.18,2.54,0.99,1.41,-0.69,4.75,
"Debtors Collection Period",48.12,53.6,44.26,33.96,49.17,39.86,29.59,35.94,35.21,38.6,109.67,90.1,47.25,36.5,26.54,35.17,54.32,46.51,35.26,
"Operating Return on Investment",10.64,10.27,11,8.26,9.19,8.79,9.11,8.26,8.01,7.69,6.82,7.02,8.33,8.24,9.84,9.19,6.51,5.08,8.1,
"Operating Income : Turnover",64.6,62.78,65.19,65.19,70.81,70.04,73.6,69.34,70.03,64.95,69.02,62.41,67.26,59.92,67.39,62.12,54.32,38.33,56.79,
"Return on Stockholder Funds",,,12.64,8.76,13.63,13.33,13.22,9.81,10.31,10.27,8.8,8.97,8.6,9.11,8.96,10.24,8.21,7.94,0.93,
"NAV%Price",417.34,219.83,144.82,172.37,108.29,112.09,98.44,124.85,125.72,102.48,109.93,103.47,102.99,90.96,85.76,77.34,90.05,94.42,,
"Price : Earnings",-6,4.88,7.01,9.4,22.57,13.38,6.89,4.44,6.03,15.63,11.81,10.62,10.43,9.02,10.31,16,216.54,-391.3,,
"Profitability %",7.97,8.24,8.07,7.22,7.84,7.84,7.94,7.45,6.88,5.97,6.03,6.75,5.14,0.88,3.81,3.08,3.23,-3.18,7.47,
"Solvency %",188.25,202.72,189.76,224.2,175.63,186.49,196.5,258.09,261.27,285.31,258.36,273.57,314.84,447.74,138.73,231.08,254.79,374.68,214.76,
"Int Bearing Debt : Total Assets",0.39,0.23,0.12,0.35,0.07,0.32,0.25,0.28,0.33,0.33,0.37,0.33,0.15,0.17,0.5,0.15,0.08,0.17,0.37,
"Liquidity %",0.53,-1.46,-1.12,-0.96,-8.1,-15.4,4.58,14.16,-0.54,5.53,0.86,5.65,3.53,8.45,1.84,7.15,5.11,9.81,0.98,
"EV/Ebitda (Pd)",,,,,-72.71,,,,,,,,,,,,,,,
"Cash Flow : Attributable Profit",0.06,-0.23,-0.11,-0.17,-0.73,-2.38,0.35,1.74,-0.03,0.78,0.08,0.83,0.31,-7.17,0.2,10.18,-3.34,-1.08,0.22,
"Loan to value ratio",45.08,31.06,20.17,38.88,14.12,40.63,33.32,,,,,,,,,,,,,
"PEG Ratio",0.46,0.37,0.52,-1.06,-2.47,0.03,0.01,0.01,0.01,0.03,0.03,0.02,0.02,0.01,0.01,-0.19,-2.55,4.23,,

