"Distributable Reserves",-765,-497,-448,68,-367,-784,-982,-982,-1977,-2109,-365,
"Non-Distributable Reserves",-3566,-3537,-3490,-3510,-3333,-3452,-3503,-3503,-3555,-3545,-3557,
"Ordinary Shareholders' Interest",9563,9943,10169,10824,10710,10380,10236,10236,9423,9304,11036,
"Minority Interest",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
"Total Shareholders' Interest",9562,9942,10168,10823,10709,10379,10235,10235,9422,9303,11035,
"Interest Bearing Loans",662,689,591,603,596,635,644,644,631,627,682,
"Other Long-Term Liabilities",1903,2022,1934,1659,1719,1666,1592,1592,1443,1268,1514,
"Long-Term Liabilities",2565,2711,2525,2262,2315,2301,2236,2236,2074,1895,2196,
"Deferred Tax Liability",339,339,334,464,445,463,518,518,501,590,554,
"Total Capital Employed",12466,12992,13027,13549,13469,13143,12989,12989,11997,11788,13785,
"Mining Assets",9680,9764,9596,9848,8196,8225,8373,8373,8651,8678,9550,
"Investments and Loans",460,613,688,686,697,731,569,569,570,543,1707,
"Intangible Assets",248,234,233,212,221,237,252,252,288,304,306,
"Deferred Tax Asset",123,156,155,228,245,265,276,276,382,391,376,
"Other Assets",563,679,642,712,953,835,931,931,815,779,682,
"Stores",735,929,952,990,886,953,781,781,714,814,953,
"Debtors and Payments in Advance",531,605,888,737,826,861,718,718,618,625,1162,
"Cash",1315,1389,1408,1565,2970,2495,2675,2675,1225,697,644,
"Other Current Assets",82,129,153,142,139,184,158,158,111,125,109,
"Current Assets",2663,3052,3401,3434,4821,4493,4332,4332,2668,2261,2868,
"Total Assets",13737,14498,14715,15120,15133,14786,14733,14733,13374,12956,15489,
"Creditors and Provisions",901,1057,1192,1167,1190,1189,1233,1233,1084,937,1319,
"Tax",9,22,179,116,135,20,116,116,6,38,11,
"Bank Overdrafts/Short-Term Loans",355,423,313,284,333,429,391,391,282,186,364,
"Other Current Liabilities",6,4,4,4,6,5,4,4,5,7,10,
"Current Liabilities",1271,1506,1688,1571,1664,1643,1744,1744,1377,1168,1704,
"Net Current Assets",1392,1546,1713,1863,3157,2850,2588,2588,1291,1093,1164,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"20 Aug 2020","13 Feb 2020","22 Aug 2019","14 Feb 2019","23 Aug 2018","15 Feb 2018","24 Aug 2017","16 Feb 2017","25 Aug 2016","25 Feb 2016","24 Aug 2015",
"Exchange Rate (period end)",17.33,13.97,14.09,14.43,13.75,12.37,13.05,13.6,14.86,15.56,12.28,
"Exchange Rate (weighted average)",15.65,14.68,14.19,14.18,12.85,13.39,13.62,14,14.5,13.6,11.44,
"Number of Shares in  Issue (Actual)",4892000000,4900000000,5006000000,5051000000,5159000000,5324000000,5307000000,5324000000,5324000000,5324000000,3437000000,
"Weighted Average Number of Shares (Actual)",4892000000,4941000000,5048000000,5079000000,5159000000,5191000000,5307000000,5319000000,5324000000,5324000000,3437000000,
"Fully Diluted Weighted Average Shares in Issue",4892000000,4966000000,5105000000,5140000000,5159000000,5262000000,530700000,5374000000,5324000000,5328000000,3437000000,
"JSE Market Capitalisation (R000)",119120200,130046000,155786720,172744200,189902790,181016000,143554350,145025760,90774200,64420400,56504280,
"Number of Months",12,6,12,6,12,6,12,6,12,6,12,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"20 Aug 2020","13 Feb 2020","22 Aug 2019","14 Feb 2019","23 Aug 2018","15 Feb 2018","24 Aug 2017","16 Feb 2017","25 Aug 2016","25 Feb 2016","24 Aug 2015",
"Earnings Per Share (ZARc)",-20.35,29.38,109.26,177.25,331.53,140.68,315.98,163.8,-439.4,-447.44,-305.49,
"Diluted Earnings Per Share (ZARc)",-20.35,29.38,107.84,175.83,326.39,138,311.9,161,-439.4,-447.44,-305.49,
"Headline Earnings Per Share (Cont Ops) (ZARc)",7.83,29.38,244.07,177.25,323.82,132.65,314.62,162.4,-49.31,-81.6,-195.62,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",7.83,29.38,241.23,175.83,318.68,131.31,311.9,161,-49.31,-81.6,-195.62,
"Distributions Per Share (ZARc)",50.18,33.51,136.5,94.5,144.47,85.13,129.51,47.04,14.33,,,
"Net Asset Value Per Share (ZARc)",3059.26,2836.68,2862.24,3064.35,3050.16,2413.24,2517.08,2555.03,2631.66,2719.27,3942.99,
"3 Year Beta",1.07,0.98,0.82,1.29,1.47,,,,,,,
"Cash Generated per share",27.9,15.14,36.3,20.63,33.28,6.25,40.17,12.81,19.35,8.73,19.49,
"Earnings Per Share (Base Currency)",-1.3,2,7.7,12.5,25.8,10.5,23.2,11.7,-30.3,-32.9,-26.7,
"Diluted Earnings Per Share (Base Currency)",-1.3,2,7.6,12.4,25.4,10.3,22.9,11.5,-30.3,-32.9,-26.7,
"Headline Earnings Per Share (Cont) (Base Currency)",0.5,2,17.2,12.5,25.2,9.9,23.1,11.6,-3.4,-6,-17.1,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",0.5,2,17,12.4,24.8,9.8,22.9,11.5,-3.4,-6,-17.1,
"Distributions Per Share (Base Currency)",3.2,2.2,9.6,6.8,10.5,7.3,10,3.6,1,,,
"Net Asset Value Per Share (Base Currency)",195.48,202.92,203.14,214.29,221.83,194.97,192.88,187.87,176.99,174.76,321.09,
"Price at Period End (Base Currency)",140,190,221,237,268,275,208,200,116,78,135,
"JSE Market Price at Period End (ZARc)",2435,2654,3112,3420,3681,3400,2705,2724,1705,1210,1644,
"JSE Market Price High (ZARc)",3241,3241,4477,4477,3926,3926,3164,3138,1952,1700,2233,
"JSE Market Price Low (ZARc)",1637,2406,2966,2966,2692,2692,1700,1700,985,985,1629,
"JSE Volume Traded (Actual)",254370706,126268041,283648391,132241703,302067046,152807860,575563995,325394729,436704502,260545972,237748892,
"JSE Value Traded (Actual)",6534702512,3478012999,10411693065,4927439066,10253828831,5098712736,14652441393,7924655383,6617362225,3879290249,4806428048,
"12 Month HEPS",7.83,96.2,244.07,368.42,323.82,284.87,314.62,194.69,-49.31,-163.2,-195.62,
"12 Month Dividend",33.42,58.76,112.87,70.87,165.63,135.4,132.87,134.2,14.32,13.9,,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"20 Aug 2020","13 Feb 2020","22 Aug 2019","14 Feb 2019","23 Aug 2018","15 Feb 2018","24 Aug 2017","16 Feb 2017","25 Aug 2016","25 Feb 2016","24 Aug 2015",
"Cash generated by operations",,799,,968,,438,,797,,426,,
"Working capital changes",,,,,-392,,-105,,-11,,,
"Cash generated from operations after WC",1375,,1626,,1621,,1963,,1608,,,
"Net Cash flow from operating activities",1365,742,1817,1042,1717,333,2132,682,1030,465,670,
"Net cash flow from investing activities",-873,-473,-2312,-1849,-301,-69,-289,-81,-342,-220,-14995,
"Net cash flow from financing activities",-562,-291,-1071,-594,-1119,-445,-393,73,-99,-188,14856,
"Dividends paid",-246,-139,-657,-316,-708,-333,-244,-53,,,,
"Net increase(decrease) in cash & cash equivalents",-70,-22,-1566,-1401,297,-181,1450,674,589,57,531,
"Cash & Cash Equivalent beginning of period",1406,1406,2970,2970,2675,2675,1225,1225,644,644,145,
"Translation effects on cash & cash equivalents",-21,5,2,-4,-2,1,,2,-8,-8,,
"Cash & Cash Equivalent end of period",1315,1389,1406,1565,2970,2495,2675,1901,1225,693,644,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"20 Aug 2020","13 Feb 2020","22 Aug 2019","14 Feb 2019","23 Aug 2018","15 Feb 2018","24 Aug 2017","16 Feb 2017","25 Aug 2016","25 Feb 2016","24 Aug 2015",
"Working Revenue Per Share",112.26,130.18,128.13,150.07,129.52,134.62,116.07,121.11,98.18,111.98,101.25,
"Price/Sales Per Share",1.25,1.46,1.72,1.58,2.07,2.04,1.79,1.65,1.18,0.7,1.33,
"Price/Net Asset Value",0.72,0.93,1.09,1.11,1.21,1.41,1.08,1.07,0.66,0.45,0.42,
"Price/Cash Flow",5.03,25.04,6.09,23.01,8.05,87.92,5.17,31.26,5.99,17.83,6.91,
"Return on Capital Employed",-0.52,1.52,2.99,9.37,9.89,8.26,9.48,9.55,-13.46,-29.67,-6.67,
"Return on Shareholder Funds",-0.68,1.99,3.83,11.73,12.44,10.46,12.03,12.12,-17.14,-37.6,-8.33,
"Return on Total Assets",0.9,2.62,5.54,11.67,10.86,8.29,11.21,11.01,-11.81,-25.8,-2.62,
"Operating Profit Margin",4.75,7.8,13.71,23.83,25.73,19.26,29.14,26.61,-27.57,-53.24,-9.51,
"Net Profit Margin",-1.18,3.08,6.01,16.66,19.93,15.54,19.98,19.25,-30.9,-58.67,-26.41,
"Debt:Equity",0.31,0.32,0.28,0.24,0.25,0.26,0.26,0.26,0.25,0.22,0.23,
"Interest Cover",1.88,3.92,10.56,23.89,17.19,9.61,10.5,14.28,-13.86,-35.27,-4.94,
"Current Ratio",2.1,2.03,2.01,2.19,2.9,2.73,2.48,2.48,1.94,1.94,1.68,
"Dividend Cover",-0.41,0.88,0.8,1.88,2.29,1.65,2.44,3.48,-30.66,,,
"NAV%Price",125.64,106.88,91.97,89.6,82.86,70.98,93.05,93.8,154.35,224.73,239.84,
"Price : Earnings",310.98,27.59,12.75,9.28,11.37,11.94,8.6,13.99,-34.58,-7.41,-8.4,
"Profitability %",1.9,3.46,6.03,12.01,11.36,9.1,12.18,11.63,-10.77,-24.5,-2.14,
"Solvency %",329.03,318.22,323.62,351.87,342.07,335.51,327.55,327.55,338.41,354.67,347.75,
"Int Bearing Debt : Total Assets",0.07,0.08,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.06,0.07,
"EV/Ebitda (Pd)",,468.48,162.77,182.66,,,,,,,,
"Liquidity%",32.69,32.57,39.96,48.5,38.81,15.11,47.4,30.32,26.06,25.46,15.04,
"Cash Flow : Attributable Profit",-21,14.99,4.67,3.28,1.29,1.23,1.73,2.2,-0.64,-0.53,-0.72,
"PEG Ratio",2.24,0.14,0.06,0.03,0.04,0.03,0.02,0.19,-0.46,,,

