,"7 Oct 2020","30 Mar 2020","1 Oct 2019","15 Mar 2019","1 Oct 2018","16 Mar 2018","29 Sep 2017","16 Mar 2017","30 Sep 2016","15 Mar 2016","30 Sep 2015","16 Mar 2015","1 Oct 2014","13 Mar 2014","1 Oct 2013","12 Mar 2013","27 Sep 2012","15 Mar 2012",
"Ordinary Share Capital & Premium",42490,42490,40573,39008,38080,36528,35932,35932,33049,31542,31542,30340,29334,29257,28366,27856,27393,27393,
"Distributable Reserves",-43122,-42159,-40759,-39901,-38367,-37196,-36282,-36484,-24424,-23578,-22851,-20969,-20505,-19627,-17939,-17939,-16038,-15357,
"Non-Distributable Reserves",3131,3037,2894,2830,2772,2194,2122,2122,-7907,-8279,-8166,-8189,-7876,-7892,-8562,-8052,-8762,-8754,
"Other Capital",,,,,,,,,,,,,,,,,2593,,
"Ordinary Shareholders' Interest",2499,3368,2708,1937,2485,1526,1570,1570,719,-315,525,1182,953,1738,1865,1865,2593,3282,
"Total Shareholders' Interest",2499,3368,2708,1937,2485,1526,1570,1570,719,-315,525,1182,953,1738,1865,1865,2593,3282,
"Other Long-Term Liabilities",17,28,,,,,,,,,,,,,,,,,
"Long-Term Liabilities",17,28,,,,,,,,,,,,,,,,,
"Total Capital Employed",2516,3396,2708,1937,2485,1526,1570,1570,719,-315,525,1182,953,1738,1865,1865,2593,3282,
"Mining Assets",24,22,32,67,20,20,22,22,14,17,30,39,47,59,73,91,110,124,
"Right-of-use Asset",39,,,,,,,,,,,,,,,,,,
"Investments in Associates",,,,,,,1180,1180,243,,,,,,,,,,
"Other Assets",1770,1581,1424,1395,1344,1262,,,65,60,187,129,772,506,683,,144,,
"Debtors and Payments in Advance",211,370,292,199,78,101,47,96,34,7,22,142,34,184,269,400,128,408,
"Cash",701,1597,1052,362,1272,364,504,504,743,287,1028,1066,738,1353,548,4783,3340,4672,
"Other Current Assets",,,,,,,64,14,80,114,111,653,295,75,601,,199,,
"Current Assets",912,1967,1344,561,1350,465,615,614,857,408,1161,1861,1067,1612,1418,5183,3667,5080,
"Total Assets",2745,3569,2800,2023,2714,1747,1817,1816,1179,485,1378,2029,1886,2177,2174,5274,3921,5204,
"Creditors and Provisions",207,143,92,86,229,221,247,246,284,142,224,254,418,309,309,226,1233,964,
"Other Current Liabilities",22,30,,,,,,,175,658,629,593,515,130,,18,95,958,
"Current Liabilities",229,173,92,86,229,221,247,246,460,800,853,847,933,439,309,244,1328,1922,
"Net Current Assets",683,1794,1252,475,1121,244,368,368,397,-392,308,1014,134,1173,1109,4939,2339,3158,
"Employment of Capital - Balance",,,,,,,,,,,,,,,,-3165,,,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"7 Oct 2020","30 Mar 2020","1 Oct 2019","15 Mar 2019","1 Oct 2018","16 Mar 2018","29 Sep 2017","16 Mar 2017","30 Sep 2016","15 Mar 2016","30 Sep 2015","16 Mar 2015","1 Oct 2014","13 Mar 2014","1 Oct 2013","12 Mar 2013","27 Sep 2012","15 Mar 2012",
"Exchange Rate (period end)",11.89,9.82,9.89,10.16,10.17,9.66,10.02,9.9,11.04,11.33,9.4,9.46,10,9.32,9.05,8.8,8.4,8.29,
"Exchange Rate (weighted average)",10.48,10.05,10.15,10.27,9.96,10.44,10.26,10.56,10.56,9.82,9.5,9.77,9.54,9.29,9.08,8.81,7.98,7.86,
"Number of Shares in  Issue (Actual)",15401910945,11153752.63,14251769.81,11153752.63,9699515.33,5369563.16,2477440.09,4295650.53,1429223.94,1545968.38,937788.08,748015.55,748015.55,748015.55,643212.77,594369.04,584493.41,597383.41,
"Weighted Average Number of Shares (Actual)",15401910945,11153752.63,14251769.81,11153752.63,9699515.33,5369563.17,2477440.09,4295650.53,1429223.94,1153065.66,937788.08,828858.67,686537.39,686537.39,631753.12,595541.38,584493.41,597383.41,
"Fully Diluted Weighted Average Shares in Issue",15401910945,11153752.63,,11153752.63,9699515.33,5369563.17,2477440.09,,1429223.94,1153065.66,937788.08,828858.67,754423.97,686537.39,734360.12,594369.04,590273.96,597383.41,
"JSE Market Capitalisation (R000)",77009555,55768.76,71258.85,55768.76,96995.15,53695.63,24774.4,107391.26,35730.6,61838.74,60956.23,37400.78,59841.24,78541.63,48240.96,356621.42,137355.95,209084.19,
"JSE Market Capitalisation (R000): FERRUM (FCR)",,,,,,,,,,,,,60896,79927,57090,456723,154255,229741,
"Number of Months",12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"7 Oct 2020","30 Mar 2020","1 Oct 2019","15 Mar 2019","1 Oct 2018","16 Mar 2018","29 Sep 2017","16 Mar 2017","30 Sep 2016","15 Mar 2016","30 Sep 2015","16 Mar 2015","1 Oct 2014","13 Mar 2014","1 Oct 2013","12 Mar 2013","27 Sep 2012","15 Mar 2012",
"Earnings Per Share (ZARc)",-2.1,-50,-150,-155,-300,-155,-4670,-265,-1160,-640,-2375,-535,-3580,-2275,-2725,-1495,6110,6950,
"Diluted Earnings Per Share (ZARc)",-2.1,-50,-150,-155,-300,-155,-4670,-265,-1160,-640,-2375,-535,-3580,-2275,-3075,-1495,-5195,-2910,
"Headline Earnings Per Share (Cont Ops) (ZARc)",-2.1,,-150,-155,-300,-155,-4670,,-1160,-640,-2470,-535,-3580,-2275,-2725,-1495,6110,,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",,,,,,,,,,,,,,-2275,,-1495,,,
"Net Asset Value Per Share (ZARc)",0.24,295,200,150,405,290,300,595,550,-225,515,1515,1250,2145,1570,7435,3735,4560,
"3 Year Beta",-0.4,-0.51,0.12,0.83,2.34,1.99,2.77,1.16,1.87,0.58,0.23,1.15,,,,,,,
"Cash Generated per share",-0.02,-13.24,-19.12,-16.58,-14.8,-13.43,-86.42,-23.77,-110.48,-49.48,-274.69,-195.99,-233.42,-110.96,-356.18,-383.26,-787.18,-507.38,
"Earnings Per Share (Base Currency)",-0.02,-5,-15,-15,-30,-15,-455,-25,-110,-65,-250,-55,-375,-245,-300,-170,765,885,
"Diluted Earnings Per Share (Base Currency)",-0.02,-0.01,-0.03,-0.03,-0.06,-0.03,-0.91,-0.05,-0.22,-0.13,-0.5,-0.11,-0.75,-0.49,-0.68,-0.34,-1.3,-0.74,
"Headline Earnings Per Share (Cont) (Base Currency)",-0.02,,-15,,-30,,-455,,-110,-65,-260,-55,-375,-245,-300,-170,765,,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",,,,,,,,,,,,,,-245,,-170,,,
"Net Asset Value Per Share (Base Currency)",0.02,30,20,15,40,30,30,60,50,-20,55,160,125,230,290,845,445,550,
"Price at Period End (Base Currency)",42,,,,,,,252.75,,353.2,695.5,528.5,797.6,1115.1,813.75,6819.71,2785.38,4231.67,
"JSE Market Price at Period End (ZARc)",500,500,500,500,1000,1000,1000,2500,2500,4000,6500,5000,8000,10500,7500,60000,23500,35000,
"JSE Market Price High (ZARc)",1000,1000,2000,2000,1500,1500,3500,3500,7000,7000,17500,17500,37500,25000,60000,60000,40000,37000,
"JSE Market Price Low (ZARc)",500,500,500,500,500,500,500,2000,2000,2000,3500,5000,7500,7500,7500,23500,23500,33000,
"JSE Volume Traded (Actual)",1226505,1121857,494236,287030,551530,330054,153275,42942,45981,4238,9114,1291,2598,1096,1026,37,658,48,
"JSE Value Traded (Actual)",7119055,5933039,4671460,3616227,4938002,2611389,2882768,1097164,1383189,221469,518467,117437,384444.28,137257.28,110747.6,10015,225028.64,17686,
"12 Month HEPS",-2.1,-45,-150,-300,-300,-4560,-4670,-785,-1160,-2575,-2470,-1840,-3580,-3505,-2725,-2335,6110,13900,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"7 Oct 2020","30 Mar 2020","1 Oct 2019","15 Mar 2019","1 Oct 2018","16 Mar 2018","29 Sep 2017","16 Mar 2017","30 Sep 2016","15 Mar 2016","30 Sep 2015","16 Mar 2015","1 Oct 2014","13 Mar 2014","1 Oct 2013","12 Mar 2013","27 Sep 2012","15 Mar 2012",
"Net Cash flow from operating activities",-2336,-1477,-2725,-1849,-1436,-721,-2141,-1021,-1579,-765,-2576,-1466,-1746,-830,-2291,-2278,-4601,-3031,
"Net cash flow from investing activities",-6,,,,-22,-22,-525,-938,-181,62,883,754,-35,206,-514,-917,-25,-4568,
"Net cash flow from financing activities",1980,2002,2499,928,2159,596,2491,2562,1507,,1964,1008,1993,1401,-11,773,,,
"Net increase(decrease) in cash & cash equivalents",-362,525,-225,-921,701,-147,,604,,-702,,,,,,,,,
"Cash & Cash Equivalent beginning of period",1052,1052,1272,1272,504,504,743,743,1028,1028,738,,,,,,,,
"Translation effects on cash & cash equivalents",11,19,5,10,67,8,-64,-63,-33,-39,19,,,,,,,,
"Cash & Cash Equivalent end of period",701,1597,1052,362,1272,364,504,1284,743,287,1028,,,,,,,,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"7 Oct 2020","30 Mar 2020","1 Oct 2019","15 Mar 2019","1 Oct 2018","16 Mar 2018","29 Sep 2017","16 Mar 2017","30 Sep 2016","15 Mar 2016","30 Sep 2015","16 Mar 2015","1 Oct 2014","13 Mar 2014","1 Oct 2013","12 Mar 2013","27 Sep 2012","15 Mar 2012",
"Working Revenue Per Share",,,,,,2.64,,,,3.47,2.56,4.83,5.24,5.83,13.61,24.52,35.07,42.85,
"Price/Sales Per Share",,,,393.17,,20.68,137.09,493.51,142.92,101.82,271.76,109.51,152.11,191.39,59.78,278.18,79.42,98.75,
"Price/Net Asset Value",2085.49,1.7,2.53,3.29,2.46,3.45,3.32,4.21,4.6,-17.66,12.65,3.3,6.38,4.85,2.81,8.07,6.26,7.69,
"Price/Cash Flow",-2750.05,-6.79,-2.64,-6.58,-6.55,-13.79,-1.17,-21.27,-2.09,-14.28,-2.53,-5.39,-3.42,-20.1,-2.28,-35.59,-3.54,-16.68,
"Return on Capital Employed",,-82.39,-88.33,-158.39,-75.77,-93.45,-718.92,-87.77,-218.78,461.59,-446.86,-78.34,-267.58,-194.25,-101.93,-108.53,172.77,314.44,
"Return on Shareholder Funds",,-83.08,-88.33,-158.39,-75.77,-93.45,-718.92,-87.77,-218.78,461.59,-446.86,-78.34,-267.58,-194.25,-101.93,-108.53,172.77,314.44,
"Return on Total Assets",,-78.4,-85.43,-152.05,-69.38,-84.6,-621.19,-75.88,-133.42,-299.79,-95.43,-42.68,-136.06,-155.08,-87.44,-46.04,114.26,198.31,
"Operating Profit Margin",,,,-21971.43,,-1040.85,-62705.56,-6263.64,-6839.13,-3635,-5479.17,-2165,-7127.78,-8440,-2210.47,-1663.01,2185.37,4031.25,
"Net Profit Margin",,,,-21914.29,,-1004.23,-62705.56,-6263.64,-6839.13,-3635,-9775,-2315,-7083.33,-8440,-2210.47,-1386.3,2185.37,4031.25,
"Debt:Equity",0.01,0.01,,,,,,,,,,,,,,,,,
"Current Ratio",3.98,11.37,14.61,6.52,5.9,2.1,2.49,2.5,1.86,0.51,1.36,2.2,1.14,3.67,4.59,21.24,2.76,2.64,
"NAV%Price",0.05,59,40,30,40.5,29,30,23.8,22,-5.63,7.92,30.3,15.63,20.43,20.93,12.39,15.89,13.03,
"Price : Earnings",-238.1,-11.11,-3.33,-1.67,-3.33,-0.22,-0.21,-3.18,-2.16,-1.55,-2.63,-2.72,-2.23,-3,-2.75,-25.7,3.85,2.52,
"Profitability %",,-78.4,-85.43,-152.05,-69.38,-84.6,-621.19,-75.88,-133.42,-299.79,-95.43,-42.68,-136.06,-155.08,-87.44,-46.04,114.26,198.31,
"Solvency %",1115.85,1775.62,3043.48,2352.33,1185.15,790.5,735.63,738.21,256.3,60.63,161.55,239.55,202.14,495.9,703.56,2161.48,295.26,270.76,
"EV/Ebitda (Pd)",,-38.72,-29.35,-36.12,-50.84,,,,,,,,,,,,,,
"Liquidity%",-949.59,-1469.65,-2961.96,-4300,-627.07,-652.49,-866.8,-830.08,-343.26,-191.25,-301.99,-346.16,-187.14,-378.13,-741.42,-1867.21,-346.46,-315.4,
"Cash Flow : Attributable Profit",,2.11,1.14,924.5,0.76,1.95,0.19,2.96,1,2.1,1.91,6.33,0.68,0.98,1.21,4.5,-1.03,-1.17,
"PEG Ratio",161.45,370.53,111.16,26.65,53.3,,,-158.59,-107.32,1097.17,1858.69,120.46,99.06,1217.23,1118.32,-90.39,13.53,,

