"Ordinary Shareholders' Interest",38729,140810,145818,175599,193831,203322,141875,164622,199191,221585,207501,185774,172874,
"Minority Interest",115629,56533,64142,53376,53459,40596,43507,45995,44300,48784,19562,18536,15462,
"Total Shareholders' Interest",154358,197343,209960,228975,247290,243918,185382,210617,243491,270369,227063,204310,188336,
"Deferred Tax Liability",,,,,,,380,130,830,2296,8181,4371,4488,
"Other Long-Term Liabilities",588921,719303,216531,197061,170084,129253,184358,154522,111830,69945,17628,22507,19747,
"Total Long-Term Liabilities",588921,719303,216531,197061,170084,129253,184738,154652,112660,72241,25809,26878,24235,
"Creditors and Provisions",72045,50236,56602,49590,53285,32470,40303,32954,54991,39314,26922,12667,15152,
"Tax",1651,3317,3167,6139,5000,3540,2326,8720,9567,6320,2599,5512,4023,
"Bank Overdrafts/Short-Term Loans",3126,6325,11278,,,,,,,,11,,,
"Other Current Liabilities",258149,39427,33661,36677,39323,54514,25591,17665,18238,10140,12430,8950,15789,
"Total Current Liabilities",334971,99305,104708,92406,97608,90524,68220,59339,82796,55774,41962,27129,34964,
"Total Liabilities",923892,818608,321239,289467,267692,219777,252958,213991,195456,128015,67771,54007,59199,
"Total Equity and Liabilities",1078250,1015951,531199,518442,514982,463695,438340,424608,438947,398384,294834,258317,247535,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"25 Sep 2020","27 Feb 2020","29 Aug 2019","28 Feb 2019","30 Aug 2018","1 Mar 2018","30 Aug 2017","22 Feb 2017","30 Aug 2016","25 Feb 2016","1 Sep 2015","24 Feb 2015","29 Sep 2014",
"Number of Shares in Issue (Actual)",287988000,287988000,287988000,287988000,287988000,287988000,221615000,221615000,221615000,221615000,221615000,221843000,211615000,
"Weighted Average Shares in Issue (Actual)",287988000,287988000,287988000,287988000,280351000,287988000,221615000,221615000,221615000,221615000,221615000,221615000,120272000,
"Fully Diluted Weighted Average Shares in Issue",287988000,287988000,287988000,287988000,280351000,272838000,281988000,221615000,221983000,222164000,222086000,221843000,120273000,
"Market Capitalisation (R'000)",80637,115195,172793,273589,172793,201592,281451,334639,376746,514147,571767,508020,486715,
"Number of Months",12,6,12,6,12,6,12,6,12,6,12,6,12,
"Number of Employees",,,189,,,,,,,,,,,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"25 Sep 2020","27 Feb 2020","29 Aug 2019","28 Feb 2019","30 Aug 2018","1 Mar 2018","30 Aug 2017","22 Feb 2017","30 Aug 2016","25 Feb 2016","1 Sep 2015","24 Feb 2015","29 Sep 2014",
"Earnings Per Share (ZARc)",-51.08,-7.47,-15.51,-6.21,-14.12,-8.55,-21.74,-10.52,-8.26,0.42,7.89,2.33,6.44,
"Diluted Earnings Per Share (ZARc)",-51.08,-7.47,-15.51,-6.21,-14.12,-8.55,-17.08,-10.52,-8.25,0.42,7.87,2.33,6.44,
"Headline Earnings Per Share (Cont Ops) (ZARc)",-49.42,-7.47,-10.84,-6.21,-12.13,-8.56,-21.75,-10.52,-8.01,0.51,4,2.33,6.44,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",-49.42,-7.47,-10.84,-6.21,-12.13,-8.56,-17.08,-10.52,-7.99,0.51,3.99,2.33,6.44,
"Net Asset Value Per Share (ZARc)",13.45,48.89,72.91,79.51,85.87,84.7,83.65,95.04,109.87,122,102.46,92.31,89,
"3 Year Beta",-1.01,-0.34,-0.69,0.34,0.18,-0.3,-0.12,,,,,,,
"Cash Generated Per Share",20.37,9.67,-1.99,1.42,-4.58,-4.94,-20.06,-9.96,1.96,8.39,11.88,2.94,15.71,
"Net Asset Value Per Share (Base Currency)",13.45,48.89,72.91,79.51,85.87,84.7,83.65,95.04,109.87,122,102.46,92.31,89,
"Price at Period End (Base Currency)",28,40,60,95,60,70,127,151,170,232,258,229,230,
"JSE Market Price High (ZARc)",72,72,99,99,132,132,186,186,259,259,269,248,320,
"JSE Market Price Low (ZARc)",14,26,35,35,55,55,126,150,151,185,150,150,125,
"JSE Market Price at Period End (ZARc)",28,40,60,95,60,70,127,151,170,232,258,229,230,
"JSE Volume Traded (Actual)",21426579,4670181,22854502,13461823,27759575,13881342,31251938,13753426,24161941,12979558,42421739,30590597,64059929,
"JSE Rand Value Traded (Actual)",6979898,2022948,14161677,6699343,20369688,11460895,47525701,22284256,50190044,29115593,81030746,54981837,129327806,
"12 Month HEPS",-49.42,-12.1,-10.84,-9.78,-12.13,-19.79,-21.75,-19.04,-8.01,2.18,4,4.66,6.44,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"25 Sep 2020","27 Feb 2020","29 Aug 2019","28 Feb 2019","30 Aug 2018","1 Mar 2018","30 Aug 2017","22 Feb 2017","30 Aug 2016","25 Feb 2016","1 Sep 2015","24 Feb 2015","29 Sep 2014",
"Cash generated by operations",77562,43897,15577,16796,5772,-4357,-19574,-16288,,,,,,
"Net Cash flow from operating activities",58664,27854,-5739,4095,-13179,-14213,-44457,-22071,4334,18589,26333,6515,33249,
"Net cash flow from investing activities",-19432,-12755,-31864,-16234,-63529,-37408,-33746,-29352,-135743,-96610,-43175,-2996,-7305,
"Net cash flow from financing activities",-23927,-8691,31799,20711,76729,53996,70618,52112,62407,66719,-9124,-4564,92930,
"Dividends paid",-10187,-5862,-8346,-3552,-5958,-4214,-3374,-434,,,,,,
"Net increase(decrease) in cash & cash equivalents",15305,6408,-5804,8572,21,2375,-7585,689,-69002,-11302,-25966,-1045,118874,
"Cash & Cash Equivalent beginning of period",33967,33967,41319,41319,40483,40484,52844,52844,115274,115274,143883,,,
"Translation effects on cash & cash equivalents",9069,-406,-1031,-124,815,-1094,-4776,-3492,6572,11486,-2643,,,
"Cash & Cash Equivalent end of period",56651,39969,33967,49767,41319,41764,40483,50041,52844,115458,115274,,,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"25 Sep 2020","27 Feb 2020","29 Aug 2019","28 Feb 2019","30 Aug 2018","1 Mar 2018","30 Aug 2017","22 Feb 2017","30 Aug 2016","25 Feb 2016","1 Sep 2015","24 Feb 2015","29 Sep 2014",
"Return on Capital Employed",-18.01,-5.03,-8.91,-7.27,-8.68,-12.14,-13.02,-12.42,-4.42,1.39,9.43,7.14,7.28,
"Return on Shareholder Funds",-86.71,-23.38,-18.09,-13.52,-14.66,-18.57,-25.99,-21.54,-6.46,1.76,10.5,8.07,8.22,
"Return on Total Assets",-8.68,-6.73,-6.87,-9.38,-10.3,-15.48,-17.22,-17.19,-5.82,2.02,14.21,10.32,10.18,
"Gross Profit Margin",45.06,54.42,46.9,53.27,50.99,49.49,49.9,50.15,50.9,54.36,55.3,54.74,50.03,
"Operating Profit Margin",-3.57,1.21,-3.51,-5.14,-8.01,-12.42,-16.71,-17.2,-8.53,2.18,16.41,10.3,15.39,
"Net Profit Margin",-30.89,-8.1,-9.27,-7.33,-9.74,-11.7,-15.59,-15.57,-7.59,0.89,9.71,5.58,4.97,
"Debt:Equity (excl non-int debt)",3.84,3.68,1.09,0.86,0.69,0.53,1,0.73,0.46,0.27,0.11,0.13,0.13,
"Interest Cover",-0.3,0.09,-1.09,-1.42,-2.34,-3.77,-3.59,-4.32,-12.47,-1.9,-5.85,-4.93,36.89,
"Quick Ratio",0.89,0.78,0.88,0.87,0.85,0.81,1.15,1.32,1.22,2.67,4.18,5.72,4.61,
"Current Ratio",0.94,0.94,1.02,1.02,0.99,0.94,1.3,1.47,1.33,2.79,4.34,5.86,4.72,
"Debtors Collection Period",26.66,17.17,28.62,15.56,29.97,18.31,31.38,24.9,55.95,39.63,32.53,27.43,32.75,
"Stock Turn",17.27,15.69,17.71,20.78,14.28,17.94,15.43,16.65,13.02,14.9,12.23,21.69,20.38,
"Price : Earnings",-0.57,-3.31,-5.54,-9.71,-4.95,-3.54,-5.84,-7.93,-21.22,106.42,64.5,49.14,35.71,
"Sales Per Share (Base Currency)",165.36,184.36,167.26,169.51,145.05,138.52,139.48,135.15,108.83,93.46,81.29,83.68,129.53,
"Price/Sales Per Share",0.17,0.22,0.36,0.56,0.41,0.51,0.91,1.12,1.56,2.48,3.17,2.74,1.78,
"Price/Net Asset Value",2.08,0.82,0.82,1.19,0.7,0.83,1.52,1.59,1.55,1.9,2.52,2.48,2.58,
"Price/Cash Flow",1.37,8.27,-30.15,133.8,-13.1,-28.34,-6.33,-30.32,86.73,55.3,21.72,155.78,14.64,
"NAV%Price",48.03,122.24,121.52,83.69,143.12,121,65.87,62.94,64.63,52.59,39.71,40.31,38.7,
"Liquidity%",6.35,6.81,-1.79,2.83,-4.92,-12.93,-17.57,-20.63,2.22,29.04,38.86,24.13,56.16,
"Cash Flow:Attributable Profit",-0.41,-2.59,0.18,-0.46,0.39,1.22,0.92,1.89,-0.24,40.19,1.51,2.52,4.3,
"Cash/Equity (%)",38.73,23.46,21.55,21.73,16.71,17.12,21.84,,,,,,,
"EV/Ebitda (Pd)",3.65,3.28,17.18,60.47,-69.47,-22.67,-12.44,,,,,,,
"PEG Ratio",,0.04,0.06,0.08,0.04,0.02,0.03,0.05,0.13,-2.81,-1.7,,,

