"Ordinary Shareholders' Interest",29348,35650,34953,34595,34478,34483,34169,28362,33937,28225,
"Total Shareholders' Interest",29348,35650,34953,34595,34478,34483,34169,28362,33937,28225,
"Non-Interest Bearing Loans",,4208,3487,3568,3425,2988,2988,,2988,,
"Interest Bearing Loans",,,125,125,,,,2212,,898,
"Other Long-Term Liabilities",5616,,,,,,,,,,
"Total Long-Term Liabilities",7972,4208,3612,3693,3425,2988,2988,2212,2988,898,
"Creditors and Provisions",602,290,410,337,242,277,219,57,230,159,
"Tax",136,,,,106,,,,,,
"Bank Overdrafts/Short-Term Loans",106,,,,,,,,,,
"Total Current Liabilities",844,290,410,337,348,277,219,57,230,159,
"Total Liabilities",8816,4498,4022,4030,3773,3265,3207,2269,3218,1057,
"Total Equity and Liabilities",38164,40148,38975,38625,38251,37748,37376,30631,37155,29282,

Share/unit data,"Feb 2019","Nov 2018","Aug 2018","May 2018","Feb 2018","Nov 2017","Aug 2017","May 2017","Feb 2017","Nov 2016",
,"Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (14m)","Final (12m)",
,"14 Feb 2020","31 Jan 2019","15 Oct 2018","1 Aug 2018","26 Jun 2018","11 Jan 2018","13 Oct 2017","19 Jul 2017","3 Oct 2017","24 Jan 2017",
"Exchange Rate (period end)",13.91,13.89,14.71,12.53,11.71,13.66,13.01,13.15,12.93,14.09,
"Exchange Rate (weighted average)",13.55,14.45,12.89,12.16,13.02,13.64,13.07,13.37,14.53,14.81,
"Number of Shares in Issue (Actual)",900000000,900000000,900000000,900000000,900000000,900000000,900000000,900000000,613089321,900000000,
"Weighted Average Shares in Issue (Actual)",900000000,900000000,900000000,900000000,900000000,900000000,900000000,900000000,613089321,900000000,
"Fully Diluted Weighted Average Shares in Issue",,,,,,,900000000,900000000,,900000000,
"Market Capitalisation (R'000)",468000,450000,450000,630000,576000,495000,531000,540000,367854,522000,
"Number of Months",12,3,6,3,12,3,6,3,14,12,

Share statistics,"Feb 2019","Nov 2018","Aug 2018","May 2018","Feb 2018","Nov 2017","Aug 2017","May 2017","Feb 2017","Nov 2016",
,"Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (14m)","Final (12m)",
,"14 Feb 2020","31 Jan 2019","15 Oct 2018","1 Aug 2018","26 Jun 2018","11 Jan 2018","13 Oct 2017","19 Jul 2017","3 Oct 2017","24 Jan 2017",
"Earnings Per Share (ZARc)",0.95,1.16,0.52,0.12,0.78,0.41,0.13,0.4,0.05,14.81,
"Diluted Earnings Per Share (ZARc)",0.95,1.16,0.52,0.12,0.78,0.41,0.13,0.4,0.05,,
"Headline Earnings Per Share (Cont Ops) (ZARc)",0.95,1.16,0.52,0.12,0.78,0.41,0.13,0.4,0.05,,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",0.95,1.16,0.52,0.12,,0.41,0.13,0.4,0.05,,
"Net Asset Value Per Share (ZARc)",45.35,55,57.07,48.12,44.85,52.32,49.45,41.42,71.63,44.24,
"Cash Generated Per Share",-0.05,-0.01,0.01,0.01,0.02,0.03,0.01,,-1.04,,
"Earnings Per Share (Base Currency)",0.07,0.08,0.04,0.01,0.06,0.03,0.01,0.03,,1,
"Diluted Earnings Per Share (Base Currency)",0.07,0.08,0.04,0.01,0.06,0.03,0.01,0.03,,,
"Headline Earnings Per Share (Cont) (Base Currency)",0.07,0.08,0.04,0.01,0.06,0.03,0.01,0.03,,,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",0.07,0.08,0.04,0.01,0.06,0.03,0.01,0.03,,,
"Net Asset Value Per Share (Base Currency)",3.26,3.96,3.88,3.84,3.83,3.83,3.8,3.15,5.54,3.14,
"Price at Period End (Base Currency)",4,4,3,6,5,4,5,5,5,4,
"JSE Market Price High (ZARc)",80,70,80,80,80,80,60,60,65,60,
"JSE Market Price Low (ZARc)",15,25,15,15,49,55,49,55,29,50,
"JSE Market Price at Period End (ZARc)",52,50,50,70,64,55,59,60,60,58,
"JSE Volume Traded (Actual)",682309,119394,401772,71667,230542,48893,54200,39963,920765,317257,
"JSE Rand Value Traded (Actual)",362863,60490,217190,47043,143623,33270,31794,23824,541850,177983,
"12 Month HEPS",0.95,1.23,1.17,0.7,0.78,0.55,0.15,0.43,0.04,14.81,

Cash flow items,"Feb 2019","Nov 2018","Aug 2018","May 2018","Feb 2018","Nov 2017","Aug 2017","May 2017","Feb 2017","Nov 2016",
,"Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (14m)","Final (12m)",
,"14 Feb 2020","31 Jan 2019","15 Oct 2018","1 Aug 2018","26 Jun 2018","11 Jan 2018","13 Oct 2017","19 Jul 2017","3 Oct 2017","24 Jan 2017",
"Working capital changes",,,,,,212,,,,,
"Net Cash flow from operating activities",-444,-68,96,52,188,290,87,-25,-6354,-14,
"Net cash flow from investing activities",,,,3,,,,2,,17,
"Net increase(decrease) in cash & cash equivalents",-572,159,,55,190,,,,-3710,,
"Cash & Cash Equivalent beginning of period",574,573,627,573,383,387,416,384,4093,225,
"Cash & Cash Equivalent end of period",,731,729,627,573,599,387,362,383,227,

Ratios,"Feb 2019","Nov 2018","Aug 2018","May 2018","Feb 2018","Nov 2017","Aug 2017","May 2017","Feb 2017","Nov 2016",
,"Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (14m)","Final (12m)",
,"14 Feb 2020","31 Jan 2019","15 Oct 2018","1 Aug 2018","26 Jun 2018","11 Jan 2018","13 Oct 2017","19 Jul 2017","3 Oct 2017","24 Jan 2017",
"Return on Capital Employed",1.75,3.4,1.86,1.21,1.52,3.47,0.64,1.44,0.05,0.34,
"Return on Shareholder Funds",2.23,3.8,2.05,1.34,1.67,3.77,0.7,1.55,0.06,0.35,
"Return on Total Assets",9.1,13.29,7.22,4.83,7.38,14.62,2.79,5.29,0.02,1.43,
"Operating Profit Margin",31.77,36.79,38.32,29.84,44.2,45.87,36.07,43.73,16.73,13.16,
"Net Profit Margin",15.81,30.57,28.25,20.24,31.61,41.3,27.17,32.07,1.57,13.85,
"Debt:Equity (excl non-int debt)",0.28,,,,,,,0.08,,0.03,
"Interest Bearing Debt as % of Long-Term Finance",,,0.36,0.36,,,,7.23,,3.08,
"Interest Cover",2.4,3.89,2.35,2.04,2.57,5.08,2.23,2.21,0.93,-19,
"Quick Ratio",0.23,3.58,2.75,2.77,2.18,3.93,3.27,11.23,2.32,3.71,
"Current Ratio",0.35,4.44,3.2,3.18,2.46,3.93,3.27,11.23,2.77,3.71,
"Debtors Collection Period",16.77,32.5,35.18,36.95,34.71,56.7,139.58,73.96,43.64,183.51,
"Price : Earnings",54.74,40.65,42.74,99.29,82.05,99.87,389.7,138.86,1398.6,3.92,
"Sales Per Share (Base Currency)",0.46,0.49,0.28,0.25,0.2,0.35,0.1,0.15,0.2,0.08,
"Price/Sales Per Share",8.03,7.35,12.14,22.07,27.12,11.57,45.41,30.51,22.91,52.31,
"Price/Net Asset Value",1.13,0.91,0.88,1.44,1.42,1.06,1.2,1.45,0.83,1.33,
"Price/Cash Flow",-74.81,-1440,679.86,2207.48,271.24,539.96,908.24,-6589.44,-3.78,-2690.16,
"NAV%Price",87.21,110,114.14,68.74,70.08,95.13,83.81,69.03,119.38,76.28,
"Liquidity%",-5.04,-6.05,4.77,5.16,4.98,35.53,5.43,-4.41,-169.24,-1.32,
"Cash Flow:Attributable Profit",-0.68,-0.8,0.53,1.79,0.33,3.57,1.46,-0.91,907.71,-0.14,
"Cash/Equity (%)",,1.8,2.53,2.03,1.66,1.74,1.12,1.28,,,
"EV/Ebitda (Pd)",352.49,,,,,,,,,,
"PEG Ratio",0.12,0.06,0.06,0.15,0.12,-1,-3.91,-1.39,-14.03,,

