"Goodwill",749482,749482,749482,749482,739556,409666,
"Intangible Assets",158678,211522,209868,206228,189838,113522,
"Deferred Tax Asset",132084,107026,116482,43004,63084,14695,
"Long-Term Receivables",18516,16281,15822,,,,
"Total Fixed Assets",1849947,1844544,1734788,1536739,1542336,993480,
"Stock",1922,2132,2434,4372,4347,7370,
"Debtors",114595,115834,123695,89493,119280,42364,
"Cash",122533,93436,349181,259508,303838,646090,
"Tax",10430,9908,7610,12180,14008,6448,
"Other Current Assets",694,805,931,1954,2384,2500,
"Total Current Assets",250174,222115,483851,367507,443857,704772,
"Total Assets",2100121,2066659,2218639,1904246,1986193,1698252,
"Ordinary Share Capital & Premium",1567065,1565675,1565675,1564283,1558683,1367123,
"Distributable Reserves",-76501,-5548,89600,80511,46000,17241,
"Other Capital",15206,11033,8319,5122,3037,953,
"Ordinary Shareholders' Interest",1505770,1571160,1663594,1649916,1607720,1385317,
"Minority Interest",-1117,12138,47999,47186,40961,29354,
"Total Shareholders' Interest",1504653,1583298,1711593,1697102,1648681,1414671,
"Interest Bearing Loans",,65000,,3392,3801,3570,
"Deferred Tax Liability",69793,70809,69236,35776,32174,20116,
"Other Long-Term Liabilities",219889,156054,174975,29941,1339,719,
"Total Long-Term Liabilities",289682,291863,244211,69109,37314,24405,
"Creditors and Provisions",250104,155543,218016,132692,267405,136010,
"Creditors and Provisions: Income received in advance",,89786,,,172904,,
"Creditors and Provisions: Trade and other payables",,65757,,,94501,22609,
"Tax",23912,3158,21679,3262,31720,3460,
"Bank Overdrafts/Short-Term Loans",96,488,96,1895,1073,119706,
"Other Current Liabilities",31674,32309,23044,186,,,
"Total Current Liabilities",305786,191498,262835,138035,300198,259176,
"Total Liabilities",595468,483361,507046,207144,337512,283581,
"Total Equity and Liabilities",2100121,2066659,2218639,1904246,1986193,1698252,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"26 Aug 2020","5 Mar 2020","26 Aug 2019","4 Mar 2019","3 Sep 2018","9 Mar 2018",
"Number of Shares in Issue (Actual)",819000000,818000000,818000000,818000000,816000000,785930000,
"Weighted Average Shares in Issue (Actual)",819000000,818000000,818000000,811000000,805000000,576147000,
"Fully Diluted Weighted Average Shares in Issue",852000000,829000000,823000000,819000000,808000000,581791000,
"Market Capitalisation (R'000)",1048320,1636000,2732120,2854820,3337440,6326737,
"Number of Months",6,12,6,12,6,12,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"26 Aug 2020","5 Mar 2020","26 Aug 2019","4 Mar 2019","3 Sep 2018","9 Mar 2018",
"Earnings Per Share (ZARc)",-8.7,8.5,5.1,7.8,3.6,-1.2,
"Diluted Earnings Per Share (ZARc)",-8.3,8.4,5.1,7.7,3.6,-1.2,
"Headline Earnings Per Share (Cont Ops) (ZARc)",-1.5,8.5,5.1,7.8,3.5,-1.2,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",-1.5,8.4,5.1,7.7,3.5,-1.2,
"Net Asset Value Per Share (ZARc)",184,192,203,202,197,176,
"Cash Generated Per Share",21.19,17.27,17.27,9.44,11.93,-6.07,
"Net Asset Value Per Share (Base Currency)",184,192,203,202,197,176,
"Price at Period End (Base Currency)",128,200,334,349,409,805,
"JSE Market Price High (ZARc)",211,425,425,860,860,950,
"JSE Market Price Low (ZARc)",75,188,290,321,380,520,
"JSE Market Price at Period End (ZARc)",128,200,334,349,409,805,
"JSE Volume Traded (Actual)",102373792,78798551,29943674,112075904,50876229,90622900,
"JSE Rand Value Traded (Actual)",130735021,224079024,107600915,517810704,274111609,632900678,
"12 Month HEPS",1.9,8.5,9.4,7.8,7,-1.2,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"26 Aug 2020","5 Mar 2020","26 Aug 2019","4 Mar 2019","3 Sep 2018","9 Mar 2018",
"Cash generated by operations",123915,201760,107883,,109330,-37233,
"Working capital changes",89186,-12209,58058,-33765,,-39443,
"Cash generated from operations after WC",213101,189551,165941,100075,,,
"Net Cash flow from operating activities",173546,141284,141243,77257,97364,-47737,
"Net cash flow from investing activities",-63330,-176922,-27835,-305161,-280972,-391903,
"Net cash flow from financing activities",-81119,-130434,-23735,-158678,-158644,938459,
"Dividends paid",-364,-13351,-6385,-2731,-1690,,
"Net increase(decrease) in cash & cash equivalents",20097,-166072,89673,-386582,-342252,498819,
"Cash & Cash Equivalent beginning of period",93436,259508,259508,646090,646090,147271,
"Cash & Cash Equivalent end of period",122533,93436,349181,259508,303838,646090,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"26 Aug 2020","5 Mar 2020","26 Aug 2019","4 Mar 2019","3 Sep 2018","9 Mar 2018",
"Return on Capital Employed",-8.7,4.46,5.34,4.38,4.21,-0.35,
"Return on Shareholder Funds",-10.38,5.29,6.1,4.55,4.31,-0.36,
"Return on Total Assets",-8.66,11.54,12.29,11.95,10.13,-0.2,
"Operating Profit Margin",-10.04,14.65,18.07,14.98,14.64,-7.85,
"Net Profit Margin",-15.15,8.56,10.24,10,9.69,-5.76,
"Debt:Equity (excl non-int debt)",0.19,0.18,0.14,0.04,0.02,0.1,
"Interest Bearing Debt as % of Long-Term Finance",,3.94,,0.2,0.23,0.25,
"Interest Cover",-10.31,-14.71,-21.1,-5.11,-4.32,1.32,
"Quick Ratio",0.81,1.15,1.83,2.63,1.46,2.69,
"Current Ratio",0.82,1.16,1.84,2.66,1.48,2.72,
"Debtors Collection Period",44.66,51.85,55.21,51.61,73.35,126.49,
"Price : Earnings",67.37,23.53,35.53,44.74,58.43,-670.83,
"Sales Per Share (Base Currency)",114.34,99.69,99.97,78.04,73.73,21.22,
"Price/Sales Per Share",1.12,2.01,3.34,4.47,5.55,37.94,
"Price/Net Asset Value",0.7,1.04,1.65,1.73,2.08,4.57,
"Price/Cash Flow",12.08,11.58,38.68,36.97,68.57,-132.62,
"NAV%Price",143.75,96,60.78,57.88,48.17,21.86,
"Liquidity%",58.29,29.23,55.71,37.3,57.7,-16.83,
"Cash Flow:Attributable Profit",-4.89,2.02,6.75,1.22,6.77,6.78,
"Cash/Equity (%)",8.14,5.9,20.4,15.29,18.43,45.67,
"EV/Ebitda (Pd)",-2845.43,8.33,22.85,18.91,51.44,12437.69,
"PEG Ratio",0.18,0.06,0.05,0.06,,,

