"Other Current Liabilities",30098,,,,,,,,,,,
"Current Liabilities",70073,91798,95210,96341,65599,111061,164064,,,,,
"Net Current Assets",185777,175274,166237,356197,684155,1403867,34051,,,,,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"9 Sep 2020","12 Mar 2020","12 Aug 2019","13 Mar 2019","20 Jul 2018","2 Mar 2018","31 Jul 2017","28 Feb 2017","29 Jul 2016","26 Feb 2016","29 Jul 2015",
"Number of Linked Units Issued (Actual)",41508000,41508000,42310000,41802000,45274000,45306000,45306000,,,,,
"Weighted Ave Stock Units (Actual)",41508000,41913000,4231000,44813000,45279000,45368000,45368000,,,,,
"Market Capitalisation (R000)",1224486,,,,,,,,,,,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"9 Sep 2020","12 Mar 2020","12 Aug 2019","13 Mar 2019","20 Jul 2018","2 Mar 2018","31 Jul 2017","28 Feb 2017","29 Jul 2016","26 Feb 2016","29 Jul 2015",
"Earnings Per Linked Unit (ZARc)",-387.5,911.1,124.2,531.3,353.3,1517.3,119.7,,,,,
"Headline Earnings Per Linked Unit (CO) (ZARc)",-387.4,911.1,124.2,530.9,352.9,1517.3,119.7,,,,,
"Distributions Per Linked Unit (ZARc)",10,75,36,68,32,61,26,,,,,
"Net Asset Value Per Linked Unit (ZARc)",6624,6648.01,5837,5852,5458,5085,3728,,,,,
"Cash Generated Per Linked Unit",-54.75,41.37,65.66,-125.54,-145.62,45.83,63.48,,,,,
"Number of Months",6,12,6,12,6,12,6,,,,,
"Net Asset Value Per Linked Unit (Base Currency)",6624,6648.01,5837,5852,5458,5085,3728,,,,,
"Price at Period End (Base Currency)",2950,,,,,,,,,,,
"JSE Market Price at Period End (ZARc)",2950,,,,,,,,,,,
"JSE Market Price High (ZARc)",3800,,,,,,,,,,,
"JSE Market Price Low (ZARc)",2556,,,,,,,,,,,
"JSE Volume Traded (Actual)",1606637,,,,,,,,,,,
"JSE Rand Value Traded (Actual)",47120448,,,,,,,,,,,
"12 Month HEPS",399.5,911.1,302.2,530.9,1750.5,1517.3,407.9,,,,,
"12 Month Dividend",10,75,72,68,67,61,93,,,,,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"9 Sep 2020","12 Mar 2020","12 Aug 2019","13 Mar 2019","20 Jul 2018","2 Mar 2018","31 Jul 2017","28 Feb 2017","29 Jul 2016","26 Feb 2016","29 Jul 2015",
"Cash generated from operations after WC",-6639,47142,42829,23174,-4765,47110,43326,,,,,
"Net Cash flow from operating activities",-22727,17170,27780,-52477,-65928,20766,28762,,,,,
"Net cash flow from investing activities",94498,-428519,-310593,438465,251977,-31848,-79373,,,,,
"Net cash flow from financing activities",-19303,164901,110438,-136473,-1805,8053,47812,,,,,
"Dividends paid",-16088,-29972,-15049,-75651,-61163,-26344,-14564,,,,,
"Net increase(decrease) in cash & cash equivalents",52468,-246448,-172375,249515,184244,-3029,-2799,,,,,
"Cash & Cash Equivalent beginning of period",3125,249573,249573,58,58,3087,3087,,,,,
"Cash & Cash Equivalent end of period",55593,3125,77198,249573,184302,58,288,,,,,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"9 Sep 2020","12 Mar 2020","12 Aug 2019","13 Mar 2019","20 Jul 2018","2 Mar 2018","31 Jul 2017","28 Feb 2017","29 Jul 2016","26 Feb 2016","29 Jul 2015",
"Turnover Per Share",-818.83,560.12,929.52,813.05,1003.76,1258.45,368.14,,,,,
"Price/Sales Per Share",-3.6,,,,,,,,,,,
"Price/Net Asset Value",0.45,,,,,,,,,,,
"Price/Cash Flow",-107.76,,,,,,,,,,,
"Return on Capital Employed",-10.29,12.19,3.65,8.74,11.55,27.1,5.2,,,,,
"Return on Stockholder Funds",-11.7,13.84,4.26,9.73,12.95,29.88,6.43,,,,,
"Return on Total Assets",-6.75,11.59,6.41,15.81,18.2,25.36,13.44,,,,,
"Operating Profit Margin",63.52,159.22,485.19,122.32,113.59,117.76,181.47,,,,,
"Net Profit Margin",94.65,162.67,267.24,65.34,70.39,120.57,65.04,,,,,
"Debt : Equity",0.12,0.13,0.11,0.07,0.07,0.08,0.13,,,,,
"Current Ratio",3.65,2.91,2.75,4.7,11.43,13.64,1.21,,,,,
"Dividend Cover",-38.75,12.15,3.45,7.81,11.04,24.87,4.6,,,,,
"Debtors Collection Period",-141.63,193.74,1043.99,35.05,22.66,887.64,11.63,,,,,
"Operating Return on Investment",-8.01,11.84,6.35,17.66,23.25,58.56,14.38,,,,,
"Operating Income : Turnover",100,100,100,100,100,100,100,,,,,
"Return on Stockholder Funds",0.3,1.13,1.23,1.16,1.17,1.2,1.39,,,,,
"NAV%Price",224.54,,,,,,,,,,,
"Price : Earnings",7.38,,,,,,,,,,,
"Profitability %",-8.92,8.76,3.85,13.29,3.98,22.74,11.9,,,,,
"Solvency %",720.01,693.72,588.07,755.01,776.58,764.21,398.67,,,,,
"Int Bearing Debt : Total Assets",0.1,0.11,0.09,0.06,0.06,0.07,0.1,,,,,
"Liquidity %",-10.24,3.69,10.98,-14.05,-36.1,5.99,10.17,,,,,
"EV/Ebitda (Pd)",-11.22,1.13,2.99,,,,,,,,,
"Cash Flow : Attributable Profit",0.29,0.04,1.05,-0.16,-4.43,0.03,0.47,,,,,
"Loan to value ratio",9.28,9.58,7.98,3.67,5.05,4.33,3.35,,,,,
"PEG Ratio",,,,,,,-0.07,,,,,

