"Number of Shares in Issue (Actual)",52514000,58389184,56455000,57349000,57200000,
"Treasury Shares",,5089874,,,,
"Weighted Average Shares in Issue (Actual)",52514000,55084000,56455000,57349000,57200000,
"Fully Diluted Weighted Average Shares in Issue",52713000,55148000,56455000,57459000,57487000,
"Market Capitalisation (R'000)",12400656,8208351,8053870,7978393,,
"Number of Months",3,6,3,12,12,

Share statistics,"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Dec 2018",
,"Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Final (12m)",
,"13 Nov 2020","14 Aug 2020","5 May 2020","12 Feb 2020","6 Dec 2019",
"Earnings Per Share (ZARc)",541.12,439.74,-123.05,1430.55,1166.44,
"Diluted Earnings Per Share (ZARc)",541.12,439.74,-123.05,1430.55,1166.44,
"Headline Earnings Per Share (Cont Ops) (ZARc)",642.58,649.14,,1546.15,1630.37,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",642.58,649.14,,1546.15,1630.37,
"Net Asset Value Per Share (ZARc)",38896.87,44865.91,39925.4,30875.62,30349.62,
"Cash Generated Per Share",,322.35,130.59,747.26,552.66,
"Earnings Per Share (Base Currency)",32,21,-8,99,88,
"Diluted Earnings Per Share (Base Currency)",32,21,-8,99,88,
"Headline Earnings Per Share (Cont) (Base Currency)",38,31,,107,123,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",38,31,,107,122,
"Net Asset Value Per Share (Base Currency)",2327.76,2107.37,2243,2195.99,2109.81,
"Price at Period End (Base Currency)",1412,810,798,993,,
"JSE Market Price High (ZARc)",24700,18000,16549,16415,,
"JSE Market Price Low (ZARc)",8500,9995,9995,13007,,
"JSE Market Price at Period End (ZARc)",23614,14058,14266,13912,,
"JSE Volume Traded (Actual)",5242699,8908941,5910708,1048124,,
"JSE Rand Value Traded (Actual)",997225146,1249027118,804427385,155776832,,
"12 Month HEPS",1678.25,1422.21,1036.56,1546.15,1630.37,

Cash flow items,"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Dec 2018",
,"Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Final (12m)",
,"13 Nov 2020","14 Aug 2020","5 May 2020","12 Feb 2020","6 Dec 2019",
"Working capital changes",,36501,,,,
"Net Cash flow from operating activities",,188220,73722,428545,316119,
"Net cash flow from investing activities",,10651,24789,-761792,-736787,
"Net cash flow from financing activities",,-195697,-150355,386182,408154,
"Dividends paid",,,,,-1996,
"Net increase(decrease) in cash & cash equivalents",,3072,-51907,52977,-12641,
"Cash & Cash Equivalent beginning of period",,277905,277905,224928,237569,
"Translation effects on cash & cash equivalents",,-102,,42,-127,
"Cash & Cash Equivalent end of period",,280977,225998,277905,224928,

Ratios,"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Dec 2018",
,"Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Final (12m)",
,"13 Nov 2020","14 Aug 2020","5 May 2020","12 Feb 2020","6 Dec 2019",
"Return on Capital Employed",1.45,0.47,-0.43,1.15,1.21,
"Return on Shareholder Funds",5.59,1.78,-1.63,4.4,4.39,
"Return on Total Assets",1.85,1.16,0.85,1.39,1.21,
"Operating Profit Margin",36.28,32.96,31.9,35.93,31.73,
"Net Profit Margin",11.37,4,-3.01,9.15,8.22,
"Debt:Equity (excl non-int debt)",3.04,2.96,2.98,3,2.78,
"Interest Bearing Debt as % of Long-Term Finance",73.6,73.06,73.17,73.6,72.25,
"Interest Cover",1.59,1.17,0.83,1.39,1.41,
"Quick Ratio",0.57,0.87,1.13,1.36,1.15,
"Current Ratio",0.65,1.01,1.34,1.55,1.36,
"Debtors Collection Period",62.27,67.13,74.58,64.42,65.66,
"Price : Earnings",14.07,9.88,13.76,9,,
"Sales Per Share (Base Currency)",1135.93,1053.85,1030.75,1080.68,1071.16,
"Price/Sales Per Share",1.24,0.77,0.77,0.92,,
"Price/Net Asset Value",0.61,0.38,0.36,0.45,,
"Price/Cash Flow",,5.02,24.45,1.33,,
"NAV%Price",164.72,319.15,279.86,221.94,,
"Liquidity%",,9.64,7.77,10.94,8.95,
"Cash Flow:Attributable Profit",,12.96,24.05,6.1,6.1,
"Cash/Equity (%)",12.43,15.11,10.24,14.04,11.11,
"EV/Ebitda (Pd)",,55.73,375.92,54.86,17.3,
"PEG Ratio",,-1.91,-2.66,-1.74,,

