,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"12 Nov 2020","28 Feb 2019","20 Feb 2019","30 Nov 2017","15 Sep 2017","12 Dec 2016","25 Nov 2016","23 Nov 2015","29 May 2015","9 Dec 2014","30 May 2014",
"Earnings Per Share (ZARc)",-2.9,-1.12,-13.61,-1.22,-3.64,-3.19,-5.45,-1.8,-3.71,-2.87,10.9,
"Diluted Earnings Per Share (ZARc)",-2.9,-1.12,-13.61,-1.22,-1.82,-3.19,-5.45,-1.8,-3.71,-2.87,10.83,
"Headline Earnings Per Share (Cont Ops) (ZARc)",-2.86,-1.12,-12.89,-1.22,-1.82,-3.26,-4.55,-1.8,-3.92,-2.87,-10.95,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",,,,,,,-4.55,,-3.92,,-10.95,
"Net Asset Value Per Share (ZARc)",6.62,6.04,9.53,19.1,25.97,24.74,28.26,32.4,34.23,35.11,36.61,
"3 Year Beta",-0.63,1.1,0.01,1.35,,,,,,,,
"Cash Generated Per Share",-1.78,-0.49,-1.6,9.95,-0.93,-2.16,-2.88,-1.69,-8.18,-4.96,-2.62,
"Net Asset Value Per Share (Base Currency)",6.62,6.04,9.53,19.1,25.97,24.74,28.26,32.4,34.23,35.11,36.61,
"Price at Period End (Base Currency)",2,2,12,11,13,15,13,18,29,36,,
"JSE Market Price High (ZARc)",12,12,31,13,20,20,32,32,101,101,,
"JSE Market Price Low (ZARc)",1,1,4,4,7,10,11,18,25,27,,
"JSE Market Price at Period End (ZARc)",2,2,12,11,13,15,13,18,29,36,,
"JSE Volume Traded (Actual)",56101846,56101846,21370842,5254274,5748184,1021559,3911413,1646573,14721000,9777209,,
"JSE Rand Value Traded (Actual)",1511347,1511347,1886600,543256,679690,165890,777000,425179,7839701,6127187,,
"12 Month HEPS",-2.86,-12.79,-12.89,0.22,-1.82,-6.01,-4.55,-2.85,-3.92,-8.34,-10.95,

Cash flow items,"Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"12 Nov 2020","28 Feb 2019","20 Feb 2019","30 Nov 2017","15 Sep 2017","12 Dec 2016","25 Nov 2016","23 Nov 2015","29 May 2015","9 Dec 2014","30 May 2014",
"Cash generated by operations",,-1728,,33165,350,-3279,-3862,,-10743,,,
"Working capital changes",78,,28182,,,,,,,,,
"Cash generated from operations after WC",4736,,-3684,,,,,,,,,
"Net Cash flow from operating activities",-4787,-1302,-4283,33652,-2146,-4806,-6203,-3644,-17608,-10565,-4959,
"Net cash flow from investing activities",-70,489,2533,-33053,23394,764,246,-111,39,-175,1085,
"Net cash flow from financing activities",5488,1604,1881,-2394,-20597,4359,4936,2529,17662,11701,3638,
"Net increase(decrease) in cash & cash equivalents",631,790,131,70,651,316,-1021,-1004,93,961,-236,
"Cash & Cash Equivalent beginning of period",-347,-347,-478,-478,-1129,-1129,-108,-108,-201,,,
"Cash & Cash Equivalent end of period",284,443,-347,-408,-478,-813,-1129,-1112,-108,,,

Ratios,"Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"12 Nov 2020","28 Feb 2019","20 Feb 2019","30 Nov 2017","15 Sep 2017","12 Dec 2016","25 Nov 2016","23 Nov 2015","29 May 2015","9 Dec 2014","30 May 2014",
"Return on Capital Employed",-21.68,-14.11,-75.59,-8.64,-10.37,-18.05,-13.27,-7.63,-6.66,-10,12.39,
"Return on Shareholder Funds",-44.04,-26.86,-126.28,-12.23,-16.37,-26.45,-19.28,-11.6,-10.58,-15.44,19.53,
"Return on Total Assets",-14.4,-10.72,-60.1,0.23,-11.51,-12.14,-11.17,-6.85,-7.39,-8.28,18.06,
"Gross Profit Margin",100,100,58605.13,100,36.38,71.48,89.87,72.68,84.55,53.21,87.32,
"Operating Profit Margin",-32303.85,-21575,-86610.26,-53.97,-74.22,-1008.98,-370.82,-138.94,-286.21,-348.32,903.87,
"Net Profit Margin",-29938.46,-18631.25,-82002.56,-125.68,-71.32,-1250.7,-420.12,-180.67,-278.56,-409.04,491.62,
"Debt:Equity (excl non-int debt)",1.03,0.9,0.7,0.43,0.59,0.48,0.47,0.54,0.6,0.54,0.58,
"Interest Bearing Debt as % of Long-Term Finance",29.93,24.05,20.82,21,22.82,23.88,21.39,18.51,16.38,18.91,19.94,
"Interest Cover",10.19,8.12,77.83,12.24,-4.64,-3.35,-3.16,-2.57,-4.37,-5.63,18.16,
"Quick Ratio",0.82,0.85,0.9,3.37,0.43,0.57,0.91,0.1,0.18,0.06,0.08,
"Current Ratio",0.82,0.85,0.9,3.37,2.72,1.29,1.75,1.98,3.15,2.02,1.89,
"Debtors Collection Period",2934.04,627.34,505.38,1.51,0.79,220.41,78.41,116.86,58.48,49.35,38.9,
"Stock Turn",,,,,0.32,0.01,0.01,0.03,0.01,0.03,0.01,
"Price : Earnings",-0.7,-0.16,-0.93,50,-7.14,-2.5,-2.86,-6.32,-7.4,-4.31,,
"Sales Per Share (Base Currency)",0.01,0.01,0.02,1.86,5.1,0.51,1.3,2,1.33,1.4,2.22,
"Price/Sales Per Share",206.36,200,600,5.91,2.55,29.41,10,9,21.8,25.71,,
"Price/Net Asset Value",0.3,0.33,1.26,0.58,0.5,0.61,0.46,0.56,0.85,1.03,,
"Price/Cash Flow",-1.12,-8.16,-7.52,2.21,-13.98,-13.89,-4.51,-21.3,-3.55,-14.52,,
"NAV%Price",331,302,79.42,173.64,199.77,164.93,217.38,180,118.03,97.53,,
"Liquidity%",-13.74,-7.65,-14.32,180.29,-5.16,-14.23,-9.72,-12.69,-31.1,-34.63,-7.99,
"Cash Flow:Attributable Profit",0.61,0.87,0.13,126.51,0.41,1.36,0.53,2.12,2.11,3.65,-0.36,
"Cash/Equity (%)",1.6,1.97,0.96,0.52,0.65,,,,,,,
"EV/Ebitda (Pd)",-2.24,,-1.29,-19.82,-6.65,,,,,,,
"PEG Ratio",0.01,,0.01,-1.09,0.16,0.03,0.03,0.06,0.07,0.01,,

