,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Final (12m)","Final (12m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"30 Sep 2020","29 Nov 2019","12 Jul 2019","4 Jul 2019","5 Nov 2018","10 Jul 2018","10 Jul 2018","10 Jul 2018","10 Jul 2018","9 May 2014","28 Nov 2013","30 May 2013","14 Nov 2012","29 May 2012","30 Nov 2011","31 May 2011","30 Nov 2010","6 May 2010",
"Number of Shares in Issue (Actual)",1480145213,1480145213,1288086443,1288086443,1288086443,1288086443,711153964,711153964,711153964,711154000,649048000,605196000,327187000,284511000,284511000,284511000,284511000,247400494,
"Weighted Average Shares in Issue (Actual)",1480145213,1291243573,1288086443,1288086443,1288086443,793957670,711153964,711153964,693135147,674676000,521789000,400874000,287317000,284511000,284511000,284511000,247502000,247400494,
"Market Capitalisation (R'000)",59206,59206,51523,51523,51523,51523,28446,28446,35558,99562,129810,114987,65437,79663,82508,193467,162171,163284,
"Number of Months",6,12,6,12,6,12,12,12,12,6,12,6,12,6,12,6,12,6,

Share statistics,"Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Aug 2016","Aug 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Final (12m)","Final (12m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"30 Sep 2020","29 Nov 2019","12 Jul 2019","4 Jul 2019","5 Nov 2018","10 Jul 2018","10 Jul 2018","10 Jul 2018","10 Jul 2018","9 May 2014","28 Nov 2013","30 May 2013","14 Nov 2012","29 May 2012","30 Nov 2011","31 May 2011","30 Nov 2010","6 May 2010",
"Earnings Per Share (ZARc)",-0.29,-0.48,-0.22,-0.58,-0.29,4.07,-0.16,-0.18,-7.78,-0.85,-4.52,-3.08,-9.46,-5.7,-19,-3.9,-6.74,-2.99,
"Diluted Earnings Per Share (ZARc)",-0.29,-0.48,-0.22,-0.58,-0.29,4.07,-0.16,-0.18,-7.78,-0.85,-4.52,-3.08,-9.46,-5.7,,,,,
"Headline Earnings Per Share (Cont Ops) (ZARc)",-0.29,-0.48,-0.22,-0.58,-0.29,-1.12,-0.16,-0.39,-4,-1.7,-5.34,-2.93,-10.21,-5.7,-11.23,-3.9,-6.74,-2.99,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",-0.29,-0.48,-0.22,-0.58,-0.29,-1.12,-0.16,-0.39,-4,-1.7,-5.34,-2.93,-10.21,-5.7,,,,,
"Net Asset Value Per Share (ZARc)",2.38,2.25,2.47,2.66,2.96,3.24,-1.88,-1.72,-1.54,5.24,5.56,5.31,-1.85,-1.4,4.38,20.3,24.18,138,
"3 Year Beta",,,,,,,-0.59,-0.87,-1.06,-0.66,-0.02,0.71,0.42,0.72,1.25,2.16,2.21,2.26,
"Cash Generated Per Share",,-0.39,-0.32,-0.59,-0.01,-0.05,-0.09,0.01,-2.25,-0.59,-2.79,-1.56,-10.13,-4.71,-8.92,-4.71,-0.84,-2.3,
"Net Asset Value Per Share (Base Currency)",2.38,2.25,2.47,2.66,2.96,3.24,-1.88,-1.72,-1.54,5.24,5.56,5.31,-1.85,-1.4,4.38,20.3,24.18,138,
"Price at Period End (Base Currency)",4,4,4,4,4,4,4,4,5,14,20,19,20,28,29,68,57,66,
"JSE Market Price High (ZARc)",4,4,6,4,4,4,4,6,26,26,25,25,35,35,79,79,92,92,
"JSE Market Price Low (ZARc)",4,4,4,4,4,4,4,4,4,9,14,14,14,14,26,56,47,61,
"JSE Market Price at Period End (ZARc)",4,4,4,4,4,4,4,4,5,14,20,19,20,28,29,68,57,66,
"JSE Volume Traded (Actual)",,,,,,,,4325324,191618329,123692025,58682368,27565853,40465987,26521468,43639381,27341429,33359802,16435544,
"JSE Rand Value Traded (Actual)",,,,,,,,217902,22544528,16933114,11561055,5269346,9029088,6201789,26179286,18770892,22623341,12290409,
"12 Month HEPS",-0.55,-0.48,-0.51,-0.58,-0.85,-1.12,-0.16,-0.39,-4,-4.11,-5.34,-7.44,-10.21,-13.03,-11.23,-7.62,-6.74,-5.38,

Cash flow items,"Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Aug 2016","Aug 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Final (12m)","Final (12m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"30 Sep 2020","29 Nov 2019","12 Jul 2019","4 Jul 2019","5 Nov 2018","10 Jul 2018","10 Jul 2018","10 Jul 2018","10 Jul 2018","9 May 2014","28 Nov 2013","30 May 2013","14 Nov 2012","29 May 2012","30 Nov 2011","31 May 2011","30 Nov 2010","6 May 2010",
"Cash generated by operations",,,,,,,,,-15793,,-18073,,-31214,-10646,-25314,-13496,-2562,-5931,
"Working capital changes",,,,,,8311,467,1496,11809,,,,,,,,,,
"Cash generated from operations after WC",,,,,,601,-687,104,,,,,,,,,,,
"Net Cash flow from operating activities",19,-5845,-4161,-7552,-65,-584,-672,45,-16027,-4224,-18087,-9437,-33160,-13408,-25387,-13408,-2403,-5695,
"Net cash flow from investing activities",8,2917,2917,10535,34,-15,-13,760,9553,-330,2927,-295,3229,-6534,-8393,-6534,-13269,-3409,
"Net cash flow from financing activities",,-64,-64,,,547,719,-780,6356,4703,12015,6639,30513,-474,11938,-474,25095,-523,
"Net increase(decrease) in cash & cash equivalents",27,-2992,-1260,2983,-32,-52,34,24,-117,149,-3145,-3093,581,-20416,-21842,-20416,9423,-9627,
"Cash & Cash Equivalent beginning of period",26,3018,3018,35,36,88,54,30,147,,,,,,,,,,
"Cash & Cash Equivalent end of period",53,317,1758,3335,4,352,424,377,348,,,,,,,,,,

Ratios,"Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Aug 2016","Aug 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Final (12m)","Final (12m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"30 Sep 2020","29 Nov 2019","12 Jul 2019","4 Jul 2019","5 Nov 2018","10 Jul 2018","10 Jul 2018","10 Jul 2018","10 Jul 2018","9 May 2014","28 Nov 2013","30 May 2013","14 Nov 2012","29 May 2012","30 Nov 2011","31 May 2011","30 Nov 2010","6 May 2010",
"Return on Capital Employed",-29.23,-18.57,-17.74,-21.9,-25.57,99.22,5.3,6.53,307.1,-19.76,-71.25,-79.81,369.22,1320.22,-385.57,-32.69,-24.31,-4.2,
"Return on Shareholder Funds",-29.23,-18.57,-17.74,-21.9,-25.57,99.22,5.01,6.18,287.8,-20.51,-73.95,-83.27,333.94,816.01,-442.22,-38.23,-25.29,-4.34,
"Return on Total Assets",-688.82,-426.3,-186.4,-94.88,-76.79,-91.59,-61.48,-74.49,-580.43,-34.41,-123.64,-102.62,-110.27,-127.62,-195.24,-83.28,-38.73,-83.37,
"Debt:Equity (excl non-int debt)",,,,,0.01,,-0.06,-0.06,-0.22,0.09,0.04,0.04,-0.1,-0.38,0.15,0.17,0.04,0.03,
"Interest Bearing Debt as % of Long-Term Finance",,,,,,,,,,0.58,,0.87,,-10.54,5.71,2.19,2.57,0.67,
"Interest Cover",528.75,87.59,58.98,499.53,527.86,-1854.56,-20.32,-9.84,-167,-4.22,-377,47.51,-13.37,-13.47,-107.75,126.48,109.82,-208.17,
"Quick Ratio",0.04,0.11,0.21,0.54,0.43,0.52,0.03,0.02,0.07,0.22,0.14,0.38,0.15,0.09,0.16,0.37,1.42,2.42,
"Current Ratio",0.04,0.11,0.21,0.54,0.43,0.52,0.03,0.02,0.07,0.22,0.14,0.38,0.15,0.09,0.16,0.37,1.42,2.42,
"Price : Earnings",-7.27,-8.33,-7.84,-6.9,-4.71,-3.57,-25,-10.26,-1.25,-3.41,-3.75,-2.55,-1.96,-2.15,-2.58,-8.92,-8.46,-12.27,
"Price/Net Asset Value",1.68,1.78,1.62,1.5,1.35,1.23,-2.13,-2.33,-3.25,2.67,3.6,3.58,-10.81,-20,6.62,3.35,2.36,0.48,
"Price/Cash Flow",6232.19,-10.13,-25,-6.78,-1585.34,-80,-44.44,400,-2.22,-47.14,-7.17,-24.36,-1.97,-11.88,-3.25,-28.87,-67.86,-57.39,
"NAV%Price",59.5,56.16,61.75,66.5,74,81,-47,-43,-30.8,37.43,27.8,27.95,-9.25,-5,15.1,29.85,42.42,209.09,
"Liquidity%",0.33,-78.03,-78.05,-58.28,-0.65,-3.61,-2.36,0.17,-59.07,-76.3,-160.4,-98.88,-56.83,-49.16,-62.64,-111.07,-10.88,-80.06,
"Cash Flow:Attributable Profit",-0.01,0.86,2.95,0.98,0.03,0.07,0.55,-0.03,0.99,1.46,0.77,1.52,1.21,1.65,0.47,2.42,0.14,1.58,
"Cash/Equity (%)",1.28,1.04,6.61,9.77,1.11,1.08,-1.89,-1.76,-1.73,,,,,,,,,,
"EV/Ebitda (Pd)",,-9.55,,-6.43,,,,,,,,,,,,,,,
"PEG Ratio",0.09,0.11,0.1,0.09,,0.05,-0.54,-0.49,0.18,0.1,0.11,0.04,0.03,0.04,0.05,0.17,0.17,0.02,

