"Debt : Equity",0.72,0.56,0.49,0.35,0.2,0.13,0.09,0.57,0.54,0.41,0.31,0.17,0.08,0.35,
"Current Ratio",0.29,0.18,0.3,0.65,9.33,9.28,2.4,2.98,14.28,7.76,0.78,0.87,0.66,0.38,
"Dividend Cover",0.34,0.91,1.16,0.96,1.34,0.84,0.1,1.26,0.49,0.7,0.82,1.79,0.82,6.45,
"Debtors Collection Period",33.75,19.93,15.88,17.18,33.23,31.48,47.9,35.7,148.61,84.77,57.72,30.23,16.13,18.47,
"Operating Return on Investment",6.29,7.54,7.94,6.48,6.97,6.74,7.12,5.97,5.61,6.04,6.18,6.04,7.13,5.72,
"Operating Income : Turnover",62.75,66.76,70.12,65.16,71.35,71.49,73.22,70.53,67.45,72.32,73.17,74.73,73.66,65.93,
"Return on Stockholder Funds",4.52,5.98,5.52,5.74,5.14,6.68,6.92,7.59,7.64,7.73,7.82,7.76,8.32,2.18,
"NAV%Price",221.47,233.03,156.74,154.49,154.63,122.07,116.08,124.26,110.18,116.99,106.1,103.06,106.8,,
"Price : Earnings",25.86,9.33,10.37,9.11,6.76,14.32,23.49,16.44,21.63,15.53,15.19,15.74,17.79,,
"Profitability %",5.85,7,7.26,5.94,6.32,4.55,3.09,5.45,5.29,5.48,5.92,5.84,7.2,4.67,
"Solvency %",234.95,242.54,296.67,309.07,563.36,783.95,1075.41,268.52,278.62,334.58,400.15,623.42,1095.27,363.46,
"Int Bearing Debt : Total Assets",0.39,0.32,0.32,0.24,0.17,0.11,0.08,0.36,0.35,0.29,0.24,0.15,0.08,0.25,
"Liquidity %",-2.23,0.28,0.49,-3.56,-8.8,-8.11,-29.29,-7.51,-18.85,-11.43,-3.77,-1.94,12.29,7.28,
"Cash Flow : Attributable Profit",-0.68,0.03,0.07,-0.22,-0.55,-0.25,-10.16,-0.91,-5.59,-0.9,-0.39,-0.06,0.37,0.58,
"Loan to value ratio",31.17,20.96,18.77,25.72,16.66,11.49,5.14,,,,,,,,
"PEG Ratio",-3.82,-1.38,0.67,,0.4,0.84,1.22,0.86,0.65,0.46,0.19,0.2,,,

