"Total Fixed Assets",73963,80604,66930,67753,67918,67087,67195,
"Stock",10729,13767,13825,13664,12850,11554,10954,
"Debtors",6157,10136,6809,6887,5874,5643,4764,
"Cash",5241,3926,3925,3140,3835,2921,3797,
"Tax",284,273,363,377,277,174,167,
"Other Current Assets",5404,13,1669,229,224,201,236,
"Total Current Assets",27815,28115,26591,24297,23060,20493,19918,
"Total Assets",101778,108719,93521,92050,90978,87580,87113,
"Ordinary Share Capital & Premium",67234,65336,64690,64690,64690,64690,64690,
"Distributable Reserves",-14027,-9045,-8098,-8364,-8982,-11355,-11798,
"Ordinary Shareholders' Interest",53207,56291,56592,56326,55708,53335,52892,
"Minority Interest",9,7,6,6,3,24,25,
"Total Shareholders' Interest",53216,56298,56598,56332,55711,53359,52917,
"Interest Bearing Loans",1252,16511,15508,17011,15518,26,16,
"Deferred Tax Liability",3933,4151,4037,4112,4142,4088,4050,
"Retirement Obligation",86,115,89,53,91,130,112,
"Other Long-Term Liabilities",24380,15251,552,1016,1109,12174,12260,
"Total Long-Term Liabilities",29651,36028,20186,22192,20860,16418,16438,
"Creditors and Provisions",10929,10361,11965,10003,11872,10773,11496,
"Tax",2018,1505,1480,649,524,482,557,
"Bank Overdrafts/Short-Term Loans",241,1069,1857,1542,713,5879,100,
"Other Current Liabilities",5723,3458,1435,1332,1298,669,5605,
"Total Current Liabilities",18911,16393,16737,13526,14407,17803,17758,
"Total Liabilities",48562,52421,36923,35718,35267,34221,34196,
"Total Equity and Liabilities",101778,108719,93521,92050,90978,87580,87113,

Share/unit data,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Nov 2020","27 May 2020","25 Nov 2019","29 May 2019","26 Nov 2018","29 May 2018","4 Dec 2017",
"Number of Shares in Issue (Actual)",3660000000,3488000000,3450000000,3450000000,3450000000,3450000000,2678000000,
"Weighted Average Shares in Issue (Actual)",3520000000,3457000000,3450000000,3450000000,3450000000,3450000000,2678000000,
"Fully Diluted Weighted Average Shares in Issue",3557000000,3492000000,3472000000,3473000000,3460000000,3461000000,2678000000,
"Market Capitalisation (R'000)",40772400,37147200,61237500,60720000,54924000,72277500,58701760,
"Number of Months",12,6,12,6,12,6,12,
"Number of Employees",,,56100,,48000,,,

Share statistics,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Nov 2020","27 May 2020","25 Nov 2019","29 May 2019","26 Nov 2018","29 May 2018","4 Dec 2017",
"Earnings Per Share (ZARc)",-86.2,42.6,62.6,50.8,83.6,36.2,132.6,
"Diluted Earnings Per Share (ZARc)",-85.3,42.2,62.2,50.4,83.3,36.1,132.6,
"Headline Earnings Per Share (Cont Ops) (ZARc)",62.6,44.3,95.5,51.2,84.2,36.2,133.6,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",62,43.8,94.4,50.9,84,36.1,133.6,
"Final Dividend (ZARc)",,,20.9,,27.8,,,
"Dividend Per Share (ZARc)",,,20.9,,27.8,,,
"Distributions Per Share (ZARc)",,,20.9,,27.8,,,
"Net Asset Value Per Share (ZARc)",1453.6,1613.8,1640.4,1632.6,1614.7,1545.9,1533.1,
"Cash Generated Per Share",236.8,66.8,16.12,-67.86,72.96,-11.22,83.91,
"Net Asset Value Per Share (Base Currency)",1453.6,1613.8,1640.4,1632.6,1614.7,1545.9,1533.1,
"Price at Period End (Base Currency)",1114,1065,1775,1760,1592,2095,2192,
"JSE Market Price High (ZARc)",1875,1875,2232,2232,2740,2740,2246,
"JSE Market Price Low (ZARc)",931,975,1515,1515,1434,1434,2135,
"JSE Market Price at Period End (ZARc)",1114,1065,1775,1760,1592,2095,2192,
"JSE Volume Traded (Actual)",1278666471,554139090,518907712,310835342,1749191887,884354511,140206168,
"JSE Rand Value Traded (Actual)",17120736924,9097988474,9747488148,5999305881,33153608027,17280005291,3052485995,
"12 Month HEPS",62.6,91.4,95.5,99.2,84.2,103,133.6,
"12 Month Dividend",,20.9,20.9,27.8,27.8,,,

Cash flow items,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Nov 2020","27 May 2020","25 Nov 2019","29 May 2019","26 Nov 2018","29 May 2018","4 Dec 2017",
"Cash generated by operations",13344,,9659,,8643,,,
"Working capital changes",-432,-3674,-5573,-4493,-3331,-3365,-993,
"Cash generated from operations after WC",12912,3780,4086,168,5312,601,6276,
"Net Cash flow from operating activities",8667,2330,556,-2341,2517,-387,2247,
"Net cash flow from investing activities",-2187,-575,-1576,-587,-2194,-999,6211,
"Net cash flow from financing activities",-4549,-1786,1306,2375,-220,801,-7312,
"Dividends paid",-79,-76,-962,-961,-15,-6,-1963,
"Net increase(decrease) in cash & cash equivalents",1931,-31,286,-553,103,-585,1146,
"Cash & Cash Equivalent beginning of period",3925,3925,3835,3835,3797,3797,2771,
"Translation effects on cash & cash equivalents",14,49,-196,-142,-65,-291,-120,
"Cash & Cash Equivalent end of period",5870,3926,3925,3140,3835,2921,3797,

Ratios,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Nov 2020","27 May 2020","25 Nov 2019","29 May 2019","26 Nov 2018","29 May 2018","4 Dec 2017",
"Return on Capital Employed",-3.66,3.2,2.81,4.46,3.78,3.6,5.14,
"Return on Shareholder Funds",-5.7,5.24,3.82,6.22,5.2,4.7,6.74,
"Return on Total Assets",-3.3,9.31,14.58,17.21,15.62,16.19,19.65,
"Gross Profit Margin",35.24,34.55,36.45,34.39,34.57,35.62,35.33,
"Operating Profit Margin",2.17,10.39,10.55,9.66,9.14,8.2,10,
"Net Profit Margin",-4.76,3.93,3.51,4.96,4.51,3.79,6.14,
"Debt:Equity (excl non-int debt)",0.56,0.66,0.39,0.42,0.39,0.42,0.31,
"Interest Bearing Debt as % of Long-Term Finance",2.3,22.68,21.51,23.19,21.79,0.05,0.03,
"Interest Cover",0.47,2.39,4.12,4.61,5,4.9,9.33,
"Quick Ratio",0.9,0.88,0.76,0.79,0.71,0.5,0.5,
"Current Ratio",1.47,1.72,1.59,1.8,1.6,1.15,1.12,
"Dividend Cover",,,3,,3.01,,,
"Dividend Cover (HEPS)",,,4.57,,3.03,,,
"Debtors Collection Period",35.29,49.26,40.44,35.63,33.55,31.21,30.06,
"Stock Turn",3.84,3.57,2.82,3.39,3.25,3.68,3.42,
"Price : Earnings",17.8,11.65,18.59,17.74,18.91,20.34,16.41,
"Sales Per Share (Base Currency)",1809.06,2172.52,1781.28,2044.81,1852.52,1912.93,2160.19,
"Price/Sales Per Share",0.62,0.49,1,0.86,0.86,1.1,1.01,
"Price/Net Asset Value",0.77,0.66,1.08,1.08,0.99,1.36,1.43,
"Price/Cash Flow",4.7,31.89,110.11,-51.87,21.82,-373.44,26.12,
"NAV%Price",130.48,151.53,92.42,92.76,101.43,73.79,69.94,
"Liquidity%",17.85,8.89,1.51,-13.11,7.14,-2.26,6.57,
"Cash Flow:Attributable Profit",-3.07,3.2,0.17,-2.65,0.88,-0.62,0.63,
"Cash/Equity (%)",9.85,6.97,6.93,5.57,6.88,5.47,7.18,
"EV/Ebitda (Pd)",7.08,8.53,9.57,18.51,9.34,23.07,8.12,
"PEG Ratio",1.13,0.35,0.57,0.42,0.45,0.17,0.14,

