"Attributable Income Before Extraordinary Items",-2304,-4676,-644,1370,-1602,-5128,-2223,-4706,-450,-8635,-111,-158,-15,322,-2256,-2147,248,-140,-275,-508,-462,-148,102,279,8,-184,-462,654,184,1345,64,1777,745,
"Income Attributable To Equity Holders",-2304,-4676,-644,1370,-1602,-5128,-2223,-4706,-450,-8635,-111,-158,-15,322,-2256,-2147,248,-140,-275,-508,-462,-148,102,279,8,-184,-462,654,184,1345,64,1777,745,
"Total Comprehensive Income/Loss for the period",-2947,-4609,-552,-105,-1313,-5543,-2461,-5260,-577,-7305,229,,,,,,,,,,,,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-2613,-3265,-638,968,54,-2518,-1619,-2589,-458,-5370,-109,-227,-6,323,-301,-224,199,-123,-270,-518,-456,-168,106,283,-52,-260,-460,668,195,1377,68,1804,748,
"Enterprise Value (EV)",4379.976,4724.291,4376.359,4333.023,4300.687,7493.884,8925.718,13176.365,8500.549,4906.409,7619.604,11402.745,13313.334,14644.279,15519.835,16608.555,14036.491,12127.464,11308.185,15520.077,13986.272,16802.282,20874.985,22772.264,27423.433,27423.433,22882.387,29445.946,33857,28589.222,29541,25561.22,37024,

Balance sheet (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Mar 2014","Dec 2013","Dec 2013","Sep 2013","Jun 2013","Mar 2013","Dec 2012","Dec 2012","Sep 2012","Jun 2012","Mar 2012","Dec 2011","Dec 2011","Sep 2011","Jun 2011","Mar 2011","Dec 2010","Sep 2010","Jun 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)",
,"30 Jul 2020","6 Feb 2020","1 Aug 2019","7 Feb 2019","1 Aug 2018","31 Jan 2018","27 Jul 2017","10 Feb 2017","29 Jul 2016","12 Feb 2016","31 Jul 2015","13 Feb 2015","1 Aug 2014","9 May 2014","7 Feb 2014","7 Feb 2014","7 Nov 2013","1 Aug 2013","10 May 2013","6 Feb 2013","6 Feb 2013","31 Oct 2012","25 Jul 2012","10 May 2012","7 Feb 2012","6 Feb 2013","3 Nov 2011","27 Jul 2011","11 May 2011","8 Feb 2011","26 Oct 2010","28 Jul 2010","29 Apr 2010",
"Fixed Assets",8969,9046,10276,8995,8480,8474,10196,10670,12046,11859,15719,16001,14936,14514,14702,14702,16021,16177,16039,16068,16068,16017,16126,16364,16618,16618,16304,16159,16259,16432,15706,15573,,
"Investments and Loans",613,616,549,552,227,4424,4447,4667,5037,5090,4037,4031,3830,3834,3737,3737,3665,3432,3343,3204,3204,3165,3056,2687,2772,2772,2546,2262,2197,2386,2574,2760,,
"Intangible Assets",65,70,70,73,75,82,91,103,115,112,122,135,143,145,146,146,122,125,118,121,121,117,118,123,126,126,81,83,80,84,72,75,,
"Other Assets",9,40,54,66,39,55,418,394,369,573,419,58,14,11,17,17,24,31,20,26,26,24,35,37,57,57,67,70,181,208,214,222,,
"Long-Term Receivables",9,22,,10,19,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Fixed Assets",9665,9794,10949,9696,8840,13065,15192,15834,17567,17634,20297,20225,18923,18504,18602,18602,19832,19765,19520,19419,19419,19323,19335,19211,19573,19573,18998,18574,18717,19110,18566,18630,,
"Stock",6856,8700,12704,12179,10449,11519,11694,11274,9436,9385,11493,10684,10396,10724,10553,10553,9807,9583,8463,8761,8761,9038,8762,9301,9935,9935,9232,8175,7380,7156,7234,6918,,
"Debtors",2454,2837,4747,3972,4522,2988,3342,1774,3133,1666,2704,1562,2791,2907,2194,2194,3026,3311,2399,1669,1669,3282,3327,3409,2374,2374,2392,3065,2634,1816,2625,3380,,
"Cash",3606,1988,2759,2525,3662,3138,3723,1660,2759,2164,378,454,406,1139,1298,1298,575,1865,1114,884,884,284,550,628,439,439,1276,2623,2503,3506,3714,5179,,
"Tax",25,21,132,132,58,58,65,58,74,75,73,64,72,51,51,51,104,139,150,154,154,11,18,,100,100,,,,18,,,,
"Other Current Assets",7,193,254,56,3216,428,13,46,24,38,318,37,3,5,17,17,12,24,7,11,11,14,3,1,1,1,20,2,105,112,120,121,,
"Other Current Assets: Non-current assets held for sale",,,,,,,,,,,298,,,,,,,,,,,,,,,,,,,,,,,
"Other Current Assets: Other financial assets",,,,,,,,,,38,20,37,,,17,17,12,,,11,11,14,3,,1,1,,2,,112,,121,,
"Total Current Assets",12948,13739,20596,18864,21907,18131,18837,14812,15426,13328,14966,12801,13668,14826,14113,14113,13524,14922,12133,11479,11479,12629,12660,13339,12849,12849,12920,13865,12622,12608,13693,15598,,
"Total Assets",22613,23533,31545,28560,30747,31196,34029,30646,32993,30962,35263,33026,32591,33330,32715,32715,33356,34687,31653,30898,30898,31952,31995,32550,32422,32422,31918,32439,31339,31718,32259,34228,,
"Ordinary Share Capital & Premium",4537,4537,4537,4537,4537,4537,4537,4537,4537,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
"Distributable Reserves",1206,3508,7451,7083,1429,3158,6216,8425,12702,13260,21828,21979,22207,22533,22271,22271,24548,24391,24191,24383,24383,24705,24914,25133,24863,24863,25127,25665,25247,24994,25354,25874,,
"Non-Distributable Reserves",-4203,-3568,-3545,-3659,751,363,345,581,177,175,-899,-1294,-1521,-1517,-1614,-1614,-1752,-1970,-2072,-2178,-2178,-2137,-2169,-2339,-2231,-2231,-2322,-2601,-2641,-2475,-2239,-2051,,
"Ordinary Shareholders' Interest",1540,4477,8443,7961,6717,8058,11098,13543,17416,13472,20966,20722,20723,21053,20694,20694,22833,22458,22155,22242,22242,22605,22782,22831,22669,22669,22842,23101,22643,22556,23152,23860,,
"Total Shareholders' Interest",1540,4477,8443,7961,6717,8058,11098,13543,17416,13472,20966,20722,20723,21053,20694,20694,22833,22458,22155,22242,22242,22605,22782,22831,22669,22669,22842,23101,22643,22556,23152,23860,,
"Non-Interest Bearing Loans",,,,,,,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interest Bearing Loans",4208,4208,2700,2700,2700,2700,317,311,336,236,223,261,258,234,267,267,274,255,243,270,270,259,254,231,241,241,227,222,217,224,226,214,,
"Deferred Tax Liability",,,,,,,,,4,,1142,1204,1754,1782,1747,1747,1898,1848,1849,2031,2031,2166,2223,2289,2310,2310,2246,2287,2314,2354,2331,2426,,
"Retirement Obligation",,,,,,,,,,,,,,,,,8,9,9,,9,7,7,8,7,7,7,7,9,8,8,8,,
"Other Long-Term Liabilities",4703,2508,3255,2936,3238,3092,3150,3019,3123,3088,1923,1976,2024,2013,2085,2085,1876,1925,1820,1790,1781,2018,1982,1915,1916,1916,1978,1968,2006,2006,2067,2066,,
"Other Long-Term Liabilities: Finance Lease",,,,,,,,,159,193,225,,96,,,,,,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Finance Lease Liability",,,,,,54,,124,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Finance Lease obligations",,,,46,35,,88,,,,,256,,,757,757,536,539,,426,426,464,450,,451,451,,483,,515,,551,,
"Other Long-Term Liabilities: Long-term payable",,,,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Long-term portion of banking liabilities",,,,,,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Non-current provisions",,,,,,1826,1970,1872,2964,2895,1698,1720,1735,,1328,1328,1340,1386,,,1355,1554,1532,,1465,1465,,1485,,1491,,1515,,
"Other Long-Term Liabilities: Other financial liabilities",,,,544,857,813,1092,1023,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Other Long-term payables",,,,,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Provisions",,,,1774,1959,,,,,,,,,,,,,,,1364,,,,,,,,,,,,,,
"Total Long-Term Liabilities",8911,6716,5955,5636,5938,5792,6167,3330,3463,3324,3288,3441,4036,4029,4099,4099,4056,4037,3921,4091,4091,4450,4466,4443,4474,4474,4458,4484,4546,4592,4632,4714,,
"Creditors and Provisions",8065,10471,14848,12710,12859,11604,11651,10354,9383,8302,6840,6973,5944,6021,6128,6128,6122,7032,4540,4381,4234,4466,4544,4500,5115,5115,4338,4463,3897,4423,3861,5214,,
"Creditors and Provisions: Provisions",,,,406,260,304,269,301,249,541,282,571,355,,,408,322,322,,312,312,280,251,,471,471,,336,,403,,228,,
"Creditors and Provisions: Trade and other payables",,,,12304,12599,11300,11382,10053,9134,7761,6558,6402,5589,,,5720,5800,6710,,4069,3922,4186,4293,,4644,4644,,4127,,4020,,4986,,
"Tax",103,93,94,91,81,82,,,,,,18,59,19,6,6,107,144,205,97,97,,,3,,,124,180,112,,481,305,,
"Bank Overdrafts/Short-Term Loans",3100,1150,1800,300,2850,3700,3600,1950,1749,5029,2900,1000,1000,2105,1586,1013,155,899,769,87,157,378,148,718,107,107,104,156,83,88,93,79,,
"Other Current Liabilities",894,626,405,1862,2302,1960,1513,1469,982,835,1269,872,829,103,202,775,83,117,63,,77,53,55,55,57,57,52,55,58,59,40,56,,
"Other Current Liabilities: Finance Lease obligations",,,,,,,,,,,,,,,,,83,,,,77,53,55,,57,57,,55,,59,,56,,
"Total Current Liabilities",12162,12340,17147,14963,18092,17346,16764,13773,12114,14166,11009,8863,7832,8248,7922,7922,6467,8192,5577,4565,4565,4897,4747,5276,5279,5279,4618,4854,4150,4570,4475,5654,,
"Total Liabilities",21073,19056,23102,20599,24030,23138,22931,17103,15577,17490,14297,12304,11868,12277,12021,12021,10523,12229,9498,8656,8656,9347,9213,9719,9753,9753,9076,9338,8696,9162,9107,10368,,
"Total Equity and Liabilities",22613,23533,31545,28560,30747,31196,34029,30646,32993,30962,35263,33026,32591,33330,32715,32715,33356,34687,31653,30898,30898,31952,31995,32550,32422,32422,31918,32439,31339,31718,32259,34228,,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Mar 2014","Dec 2013","Dec 2013","Sep 2013","Jun 2013","Mar 2013","Dec 2012","Dec 2012","Sep 2012","Jun 2012","Mar 2012","Dec 2011","Dec 2011","Sep 2011","Jun 2011","Mar 2011","Dec 2010","Sep 2010","Jun 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)",
,"30 Jul 2020","6 Feb 2020","1 Aug 2019","7 Feb 2019","1 Aug 2018","31 Jan 2018","27 Jul 2017","10 Feb 2017","29 Jul 2016","12 Feb 2016","31 Jul 2015","13 Feb 2015","1 Aug 2014","9 May 2014","7 Feb 2014","7 Feb 2014","7 Nov 2013","1 Aug 2013","10 May 2013","6 Feb 2013","6 Feb 2013","31 Oct 2012","25 Jul 2012","10 May 2012","7 Feb 2012","6 Feb 2013","3 Nov 2011","27 Jul 2011","11 May 2011","8 Feb 2011","26 Oct 2010","28 Jul 2010","29 Apr 2010",
"Number of Shares in Issue (Actual)",1093510000,1138060000,1093510000,1138060000,1138060000,1093510000,1138060000,1093510000,1093510000,401202000,401202000,401202000,401202000,401202000,401202000,445752132,401202000,401202000,401202000,445752132,401202000,401202000,401202000,401202000,401202000,401202000,401202000,401202000,400000000,401202000,400000000,401202000,400000000,
"Weighted Average Shares in Issue (Actual)",1093510000,1093510000,1093510000,1093510000,1093510000,1093510000,1093510000,1062364000,1025040000,401202000,401202000,401202000,401202000,401202000,401202000,401202000,401202000,401202000,401202000,401202000,401202000,401202000,401202000,401202000,401202000,401202000,401202000,401202000,400000000,401202000,400000000,401202000,400000000,
"Fully Diluted Weighted Average Shares in Issue",1093510000,1093510000,1093510000,1093510000,1093510000,1093510000,1093510000,1062364000,1025040000,401202000,401202000,401202000,401202000,401202000,401202000,401202000,401240000,401202000,401444000,401202000,401202000,401240000,401240000,401444000,401444000,401202000,401532000,401441000,400000000,401532000,400000000,401701000,400000000,
"Market Capitalisation (R'000)",677976,1354291,2635359,3858023,2412687,4231884,6031718,12575365,9174549,1805409,4874604,10595745,12461334,13444279,14964835,16626555,14182491,12838464,11410185,16047077,14443272,16449282,21022985,22451264,27514433,27514433,23827387,31690946,36060000,31783222,32936000,30447220,37024000,
"Number of Months",6,12,6,12,6,12,6,12,6,12,6,12,6,3,3,12,3,6,3,12,3,3,6,3,12,3,3,6,6,12,3,6,3,
"Number of Employees",,8379,,8837,,8913,,9056,9315,9315,8817,8825,,,,9016,8758,,,,,,,,,,,,,,,,,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Mar 2014","Dec 2013","Dec 2013","Sep 2013","Jun 2013","Mar 2013","Dec 2012","Dec 2012","Sep 2012","Jun 2012","Mar 2012","Dec 2011","Dec 2011","Sep 2011","Jun 2011","Mar 2011","Dec 2010","Sep 2010","Jun 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)",
,"30 Jul 2020","6 Feb 2020","1 Aug 2019","7 Feb 2019","1 Aug 2018","31 Jan 2018","27 Jul 2017","10 Feb 2017","29 Jul 2016","12 Feb 2016","31 Jul 2015","13 Feb 2015","1 Aug 2014","9 May 2014","7 Feb 2014","7 Feb 2014","7 Nov 2013","1 Aug 2013","10 May 2013","6 Feb 2013","6 Feb 2013","31 Oct 2012","25 Jul 2012","10 May 2012","7 Feb 2012","6 Feb 2013","3 Nov 2011","27 Jul 2011","11 May 2011","8 Feb 2011","26 Oct 2010","28 Jul 2010","29 Apr 2010",
"Earnings Per Share (ZARc)",-211,-428,-59,125,-147,-469,-203,-443,-44,-2152,-28,-39,-4,80.26,-562.31,-535,62,-35,-69,-126.62,-115.15,-36.89,25.42,69.54,1.99,-45.86,-115.15,163.01,46,335.24,16,442.92,186.25,
"Diluted Earnings Per Share (ZARc)",-211,-428,-59,125,-147,-469,-203,-443,-44,-2152,-28,-39,-4,80,-562,-535,62,-35,-69,-127,115,37,25,,2,-46,,163,,335,,442,,
"Headline Earnings Per Share (Cont Ops) (ZARc)",-239,-299,-58,89,5,-230,-148,-244,-45,-1338,-27,-57,-2,81,-75,-56,50,-31,-67,-129,-114,-42,26,71,-13,-65,-115,166,49,343,17,450,186,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",-239,-299,-58,89,5,-230,-148,-244,-45,-1338,-27,-57,-2,81,-75,-56,50,-31,-67,-129,-114,-42,26,,-13,-65,,166,,343,,449,,
"Interim Dividend (ZARc)",,,,,,,,,,,,,,,,,,,,,,,,,55,,,55,,150,,150,,
"Dividend Per Share (ZARc)",,,,,,,,,,,,,,,,,,,,,,,,,55,,,55,,150,,150,,
"Distributions Per Share (ZARc)",,,,,,,,,,,,,,,,,,,,,,,,,55,,,55,,150,,150,,
"Net Asset Value Per Share (ZARc)",141,311,772,728,614,737,1015,1239,1530,3358,5226,5165,5165,5247.48,5158,5158,5691.15,5597.68,5522.16,5544,5543.84,5634.32,5678.44,5690.65,5650.27,5650.27,5693.39,5757.95,5660.75,5622.11,5788,5947.13,,
"3 Year Beta",0.86,0.72,0.87,0.74,1.84,1.87,1.54,1.37,1.84,2.3,1.81,1.31,1.25,1.27,1.27,1.27,1.3,1.17,1,0.52,0.52,0.47,0.59,0.69,0.62,0.62,1.07,0.97,1.01,1.1,1.1,1.16,1.16,
"Cash Generated Per Share",-5.3,11.34,-36.21,77.94,175.56,-138.82,-140.24,8.23,17.47,-275.92,-270.69,434.69,-25.17,-64.56,91.23,243.18,-77.27,256.23,147.56,398.43,327.27,-36.39,156.28,-76.77,-351.94,-15.2,-226.57,-101.45,-215.25,333.25,-239.75,326.27,,
"Net Asset Value Per Share (Base Currency)",141,311,772,728,614,737,1015,1239,1530,3358,5226,5165,5165,5247.48,5158,5158,5691.15,5597.68,5522.16,5544,5543.84,5634.32,5678.44,5690.65,5650.27,5650.27,5693.39,5757.95,5660.75,5622.11,5788,5947.13,,
"Price at Period End (Base Currency)",62,119,241,339,212,387,530,1150,839,450,1215,2641,3106,3351,3730,3730,3535,3200,2844,3600,3600,4100,5240,5596,6858,6858,5939,7899,9015,7922,8234,7589,9256,
"JSE Market Price High (ZARc)",175,430,430,608,412,1540,1540,1290,1200,2699,2699,4850,4850,4850,4559,4559,3826,3991,3991,7065,4192,5352,7065,7065,9360,6995,8094,9360,9251,11745,8869,11745,11745,
"JSE Market Price Low (ZARc)",26,119,223,186,186,350,461,390,390,290,1161,2235,3081,3205,3282,2260,3106,2260,2795,2517,2517,3900,5113,5249,5500,5500,5500,7427,7825,7115,7115,7301,8340,
"JSE Market Price at Period End (ZARc)",62,119,241,339,212,387,530,1150,839,450,1215,2641,3106,3351,3730,3730,3535,3200,2844,3600,3600,4100,5240,5596,6858,6858,5939,7899,9015,7922,8234,7589,9256,
"JSE Volume Traded (Actual)",52716185,71697559,42643616,85617396,30052624,113346186,61539802,197962341,139217219,181871472,56551934,137556539,57892295,20419913,20386951,92450563,21721685,50398783,16064225,106472284,28395472,26807625,51269187,31799818,144627996,40472725,41474686,62727261,37446556,216769690,40809609,137052564,90230260,
"JSE Rand Value Traded (Actual)",42888947,208396625,141815893,285008415,86727464,828189461,563184222,1554362936,963512725,2279068247,1180697367,4886010599,2141891525,828421355,804061990,3034000013,746137603,1485862776,531814839,5264560991,965090104,1201040265,3098430622,2029383430,10538850351,2575203169,2628853421,5338477743,3239601352,19414907430,3344715873,12963252581,9106653147,
"12 Month HEPS",-480,-299,26,89,-77,-230,-347,-244,-1356,-1338,-82,-57,-27,39,-56,-56,16,-186,-163.75,-129,-129,316,-153,61.25,-13,-14,343,59,306.25,343,411,536,108,
"12 Month Dividend",,,,,,,,,,,,,,,,,,,,,,,,55,55,,55,55,55,150,150,150,150,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Mar 2014","Dec 2013","Dec 2013","Sep 2013","Jun 2013","Mar 2013","Dec 2012","Dec 2012","Sep 2012","Jun 2012","Mar 2012","Dec 2011","Dec 2011","Sep 2011","Jun 2011","Mar 2011","Dec 2010","Sep 2010","Jun 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)",
,"30 Jul 2020","6 Feb 2020","1 Aug 2019","7 Feb 2019","1 Aug 2018","31 Jan 2018","27 Jul 2017","10 Feb 2017","29 Jul 2016","12 Feb 2016","31 Jul 2015","13 Feb 2015","1 Aug 2014","9 May 2014","7 Feb 2014","7 Feb 2014","7 Nov 2013","1 Aug 2013","10 May 2013","6 Feb 2013","6 Feb 2013","31 Oct 2012","25 Jul 2012","10 May 2012","7 Feb 2012","6 Feb 2013","3 Nov 2011","27 Jul 2011","11 May 2011","8 Feb 2011","26 Oct 2010","28 Jul 2010","29 Apr 2010",
"Cash generated by operations",78,423,-277,2282,2552,-712,-1117,873,592,-264,-727,2205,109,-166,521,1595,,1285,594,,,,759,-221,-879,,-627,-290,-902,2666,-229,1737,,
"Net Cash flow from operating activities",-58,129,-396,887,1998,-1518,-1596,90,191,-1107,-1086,1744,-101,-259,366,1084,-310,1028,592,1776,1313,-146,627,-308,-1412,-61,-909,-407,-861,1337,-959,1309,,
"Net cash flow from investing activities",-248,-1479,-850,1984,-587,-1313,-599,-1945,-771,-1140,-835,-2608,-815,-193,-660,-1545,-248,-637,-271,-1125,432,-284,-430,-99,-1212,-513,-350,-349,-149,-1706,-341,-453,,
"Net cash flow from financing activities",1929,810,1481,-3487,-896,4310,4254,1359,1189,3937,1848,77,91,363,886,674,-748,536,-103,-231,-58,-77,-93,-38,-616,-267,-189,-195,-58,-374,-93,-159,,
"Dividends paid",,,,,,,,,,,,,,,,,,,,,,,,,-221,,-221,,,-602,-602,,,
"Net increase(decrease) in cash & cash equivalents",1623,-540,235,-616,515,1479,2059,-496,609,1690,-73,-787,-825,-89,592,213,-1306,927,218,420,823,-507,104,-445,-3240,-841,-1448,-951,-1068,-743,-1393,697,,
"Cash & Cash Equivalent beginning of period",1988,2525,2525,3138,3138,1660,1660,2164,2164,454,454,,,,,,,,,,,,,,,,,,,,,,,
"Translation effects on cash & cash equivalents",-5,3,-1,3,9,-1,4,-8,-14,20,-3,,,,,,,,,,,,,,,,,,,,,,,
"Cash & Cash Equivalent end of period",3606,1988,2759,2525,3662,3138,3723,1660,2759,2164,378,,,,,,,,,,,,,,,,,,,,,,,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Mar 2014","Dec 2013","Dec 2013","Sep 2013","Jun 2013","Mar 2013","Dec 2012","Dec 2012","Sep 2012","Jun 2012","Mar 2012","Dec 2011","Dec 2011","Sep 2011","Jun 2011","Mar 2011","Dec 2010","Sep 2010","Jun 2010","Mar 2010",
