"Tax",11,7,7,4,,15,,53,,4,,,,
"Other Current Assets",2462,2380,3443,3292,1628,1866,1800,1560,1557,1474,1508,1417,1428,
"Other Current Assets: Assets held for sale",,,,,,,,,,,177,,,
"Other Current Assets: Assets of disposal group",,,,,,82,70,66,,131,,178,44,
"Other Current Assets: Financial Assets",,,,,,445,526,357,490,362,411,419,560,
"Other Current Assets: Insurance assets",,,,,,1339,1204,1137,,981,,820,,
"Other Current Assets: Insurance contracts",,,,,,,,,1067,,920,,,
"Other Current Assets: Insurance related assets",,,,,,,,,,,,,824,
"Total Current Assets",6485,6873,8817,8752,7875,7959,8181,8274,6985,7284,6709,6549,6365,
"Total Assets",315959,282053,314933,312608,320243,309246,311781,294435,291178,289257,270674,274147,280477,
"Ordinary Share Capital & Premium",,,,6192,,6192,,6192,,6192,6192,6192,6192,
"Treasury Shares",,,,497,,392,,160,,181,166,166,323,
"Distributable Reserves",,,,-64,,169,,1205,,-267,-459,-640,-775,
"Non-Distributable Reserves",,,,120,,41,,-336,,157,161,-36,-25,
"Ordinary Shareholders' Interest",4291,4806,5413,5645,5531,6010,6448,6901,5789,5901,5728,5350,5069,
"Minority Interest",40,297,273,299,283,287,251,218,169,255,163,190,154,
"Total Shareholders' Interest",4331,5103,5686,5944,5814,6297,6699,7119,5958,6156,5891,5540,5223,
"Interest Bearing Loans",,101,719,719,719,719,725,725,807,705,622,1000,1307,
"Deferred Tax Liability",67,85,105,113,117,119,178,199,287,262,269,323,490,
"Other Long-Term Liabilities",306995,272612,302208,299885,307831,297891,299993,282632,280010,277626,259599,263317,269670,
"Other Long-Term Liabilities: Employee benefits",,,,,,162,166,160,,166,,177,178,
"Other Long-Term Liabilities: Finance Lease Liability",,,,,,51,72,75,,80,,86,88,
"Other Long-Term Liabilities: Financial Liabilities",,,,,,352,298944,281604,,276509,256143,262172,268602,
"Other Long-Term Liabilities: Insurance Liabilities",,,,,,,313,320,,253,2851,358,346,
"Other Long-Term Liabilities: Operating Lease Liabilities",,,,,,197,192,182,,266,255,207,164,
"Other Long-Term Liabilities: Provisions",,,,,,304,306,291,,352,350,317,292,
"Total Long-Term Liabilities",307062,272798,303032,300717,308667,298729,300896,283556,281104,278593,260490,264640,271467,
"Creditors and Provisions",367,1060,870,980,1040,585,710,786,1316,1518,1332,1334,1290,
"Tax",21,10,,20,,49,,3,,35,,,,
"Other Current Liabilities",4178,3082,5345,4947,4722,3586,3476,2971,2800,2955,2961,2633,2497,
"Other Current Liabilities: Deferred Income",,,,,,,,,47,34,,25,40,
"Other Current Liabilities: Defferred income",,,,,,,,,,,49,,,
"Other Current Liabilities: Disposals & Impairments",,,,,,,,,,,61,,20,
"Other Current Liabilities: Insurance Liabilities",,,,,,3572,3464,2960,2753,2878,2851,2536,2437,
"Other Current Liabilities: Liabilities held for sale",,,,,,14,,11,,43,,72,,
"Other Current Liabilities: Liabilities of disposal group held for sale",,,,,,,12,,,,,,,
"Total Current Liabilities",4566,4152,6215,5947,5762,4220,4186,3760,4116,4508,4293,3967,3787,
"Total Liabilities",311628,276950,309247,306664,314429,302949,305082,287316,285220,283101,264783,268607,275254,
"Total Equity and Liabilities",315959,282053,314933,312608,320243,309246,311781,294435,291178,289257,270674,274147,280477,

Share/unit data,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"3 Dec 2020","8 Jun 2020","9 Dec 2019","18 Jun 2019","11 Dec 2018","11 Jun 2018","4 Dec 2017","12 Jun 2017","28 Nov 2016","13 Jun 2016","30 Nov 2015","8 Jun 2015","2 Dec 2014",
"Number of Shares in Issue (Actual)",1302000000,1218000000,1222000000,1223000000,1231000000,1246000000,1341000000,1282000000,1280000000,1280000000,1282000000,1282000000,1263000000,
"Treasury Shares",,,,,,,79000000,,,,,,,
"Weighted Average Shares in Issue (Actual)",1297000000,1222000000,1223000000,1237000000,1245000000,1269000000,1279000000,1280000000,1279000000,1282000000,1282000000,1237000000,1198000000,
"Fully Diluted Weighted Average Shares in Issue",1343000000,1249000000,1240000000,1251000000,1260000000,1275000000,1284000000,1287000000,1295000000,1292000000,1312000000,1251000000,1198000000,
"Market Capitalisation (R'000)",4557000,5213040,6843200,6151690,6093450,8971200,9051750,8243260,8256000,8576000,9807300,13204600,10356600,
"Number of Months",6,12,6,12,6,12,6,12,6,12,6,12,6,
"Number of Employees",,,,3120,,3092,,3554,4045,4267,4199,4111,3912,

Share statistics,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"3 Dec 2020","8 Jun 2020","9 Dec 2019","18 Jun 2019","11 Dec 2018","11 Jun 2018","4 Dec 2017","12 Jun 2017","28 Nov 2016","13 Jun 2016","30 Nov 2015","8 Jun 2015","2 Dec 2014",
"Earnings Per Share (ZARc)",14.1,-11.8,24.2,27.2,-3.5,18.9,22,114.5,27.3,56.9,26.3,20.5,9.5,
"Diluted Earnings Per Share (ZARc)",13.7,-11.8,23.9,26.9,-3.4,18.8,22,113.8,26.9,56.4,25.7,20.2,9.5,
"Headline Earnings Per Share (Cont Ops) (ZARc)",14.5,32.2,17.8,32.9,13.4,34.5,21.7,53.4,27,58.1,26,31.9,11.5,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",14,31.6,17.5,32.6,13.2,34.4,21.6,53.1,26.7,57.6,25.5,31.5,11.5,
"Interim Dividend (ZARc)",13,18,18,18,18,18,18,17,17,15,15,,,
"Final Dividend (ZARc)",,12,,12,,24,,23,,22,,12,,
"Dividend Per Share (ZARc)",13,30,18,30,18,42,18,40,17,37,15,12,,
"Other Distributions (ZARc)",,50,,30,,,,23,,,,,,
"Distributions Per Share (ZARc)",13,80,18,60,18,42,18,63,17,37,15,12,,
"Net Asset Value Per Share (ZARc)",329.57,394.58,442.96,461.57,449.31,505,531,555,465,480,460,448,414,
"3 Year Beta",0.23,0.19,-0.12,-0.43,0.63,0.73,0.99,,,,,,,
"Cash Generated Per Share",-12.29,-165.93,54.91,-158.14,-15.92,-130.82,28.93,-59.98,172.5,515.86,468.49,-165.37,258.19,
"Net Asset Value Per Share (Base Currency)",329.57,394.58,442.96,461.57,449.31,505,531,555,465,480,460,448,414,
"Price at Period End (Base Currency)",350,428,560,503,495,720,675,643,645,670,765,1030,820,
"JSE Market Price High (ZARc)",490,647,647,720,720,770,737,810,763,1090,1090,1149,999,
"JSE Market Price Low (ZARc)",300,280,477,420,451,526,551,550,578,451,750,751,795,
"JSE Market Price at Period End (ZARc)",350,428,560,503,495,720,675,643,645,670,765,1030,820,
"JSE Volume Traded (Actual)",326653677,436345072,232848291,493948915,145412587,439193201,265974333,419044050,161399754,443420359,154453559,799724788,444268809,
"JSE Rand Value Traded (Actual)",1322057738,2371383762,1315913071,2516408608,821492275,2937751837,1751410954,2839177479,1088855224,3309985830,1381266062,7071571975,3763663190,
"12 Month HEPS",28.9,32.2,37.3,32.9,26.2,34.5,48.1,53.4,59.1,58.1,46.4,31.9,23,
"12 Month Dividend",25,30,30,30,42,42,42,40,40,37,37,27,12,

Cash flow items,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"3 Dec 2020","8 Jun 2020","9 Dec 2019","18 Jun 2019","11 Dec 2018","11 Jun 2018","4 Dec 2017","12 Jun 2017","28 Nov 2016","13 Jun 2016","30 Nov 2015","8 Jun 2015","2 Dec 2014",
"Cash generated from operations after WC",335,936,489,1003,485,861,470,1091,490,1056,513,1043,496,
"Net Cash flow from operating activities",-160,-2021,671,-1934,-196,-1630,388,-769,2208,6603,6006,-2120,3261,
"Net cash flow from investing activities",-76,1364,-111,209,298,-469,-347,776,-1,-233,-74,-82,-38,
"Net cash flow from financing activities",-309,-768,-68,-290,-195,-280,-209,531,-22,-400,-501,-266,-5,
"Dividends paid",-846,-984,-526,-531,-307,-829,-600,-509,-289,-352,-156,,,
"Net increase(decrease) in cash & cash equivalents",-545,-1425,492,-2015,-93,-2379,-168,538,2185,5970,5431,-2468,3218,
"Cash & Cash Equivalent beginning of period",-10376,11751,11751,13702,13702,16087,16087,15748,15748,9674,9674,12129,,
"Translation effects on cash & cash equivalents",-8,50,-3,64,62,-6,40,-199,-127,104,99,13,,
"Cash & Cash Equivalent end of period",9823,10376,12240,11751,13671,13702,15959,16087,17806,15748,15204,9674,,

Ratios,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"3 Dec 2020","8 Jun 2020","9 Dec 2019","18 Jun 2019","11 Dec 2018","11 Jun 2018","4 Dec 2017","12 Jun 2017","28 Nov 2016","13 Jun 2016","30 Nov 2015","8 Jun 2015","2 Dec 2014",
"Return on Capital Employed",0.13,0.02,0.22,0.13,-0.03,0.11,0.21,0.54,0.29,0.31,0.3,0.13,0.12,
"Return on Shareholder Funds",9.14,0.9,12.03,6.56,-1.38,5.19,9.67,22.11,13.96,14.2,13.72,6.5,6.39,
"Return on Total Assets",0.3,-0.18,0.24,0.19,0.11,0.26,0.31,0.31,0.31,0.46,0.45,0.33,0.47,
"Operating Profit Margin",23.15,-16.68,22.73,16.68,9.17,22.39,21.23,23.05,19,19.96,21.54,23.4,22.89,
"Net Profit Margin",12.84,-4.6,18.64,10.71,-2.74,7.97,15.68,42.22,17.5,21.47,13.15,5.22,4.8,
"Debt:Equity (excl non-int debt)",70.9,53.46,53.29,50.59,53.09,47.44,44.92,39.83,47.18,22.51,0.12,0.2,51.98,
"Interest Bearing Debt as % of Long-Term Finance",,1.94,11.23,10.79,11.01,10.25,9.77,9.24,11.93,10.28,9.55,15.29,20.02,
"Interest Cover",-2.63,43.83,-29.58,-10.21,-6.31,-5.8,-3.91,-8.97,-7.07,-8.77,-13.03,-7.07,-2.64,
"Quick Ratio",1.42,1.66,1.42,1.47,1.37,1.89,1.95,2.2,1.7,1.62,1.56,1.65,1.68,
"Current Ratio",1.42,1.66,1.42,1.47,1.37,1.89,1.95,2.2,1.7,1.62,1.56,1.65,1.68,
"Dividend Cover",1.08,-0.15,1.34,0.45,-0.19,0.45,1.22,1.82,1.61,1.54,1.75,1.71,,
"Dividend Cover (HEPS)",1.12,0.4,0.99,0.55,0.74,0.82,1.21,0.85,1.59,1.57,1.73,2.66,,
"Debtors Collection Period",135.28,61.01,54.13,48.3,42.17,34.44,41.69,41.86,88.05,99.88,68.29,58.84,77.31,
"Price : Earnings",12.11,13.29,15.01,15.29,18.89,20.87,14.03,12.04,10.91,11.53,16.49,32.29,35.65,
"Sales Per Share (Base Currency)",237.78,258.02,259.69,253.52,252.37,237.19,281.31,271.09,311.81,264.82,399.84,392.16,396.83,
"Price/Sales Per Share",1.47,1.66,2.16,1.98,1.96,3.04,2.4,2.37,2.07,2.53,1.91,2.63,2.07,
"Price/Net Asset Value",1.06,1.08,1.26,1.09,1.1,1.43,1.27,1.16,1.39,1.4,1.66,2.3,1.98,
"Price/Cash Flow",-56.96,-2.58,20.4,-3.18,-62.19,-5.5,46.66,-10.72,7.48,1.3,3.27,-6.23,6.35,
"NAV%Price",94.16,92.19,79.1,91.76,90.77,70.14,78.67,86.31,72.09,71.64,60.13,43.5,50.49,
"Liquidity%",-0.1,-0.73,0.43,-0.63,-0.12,-0.54,0.25,-0.27,1.55,2.33,4.54,-0.79,2.37,
"Cash Flow:Attributable Profit",-1,2.12,6.39,-7.44,-13.07,-3.71,2.79,-1.5,-1.17,-1.84,-3.3,-5,16.64,
"Cash/Equity (%)",66.24,77.58,86.11,84.81,101.2,92.01,89.12,87.98,,79.22,,,,
"EV/Ebitda (Pd)",,,,3.09,4.77,,,,,,,,,
"PEG Ratio",1.9,2.08,0.39,0.39,0.33,0.42,0.18,0.17,0.09,0.1,0.1,0.2,,

