"Net Income Before Extraords",-1101.109,235.603,350.533,847.85,772.31,1525.629,845.097,2480.003,735.961,1413.639,521.951,967.18,360.512,1159.394,721.655,736.633,206.285,414.761,376.447,852.14,349.117,
"Extraordinary Items",226.819,,,,,,,,,,,,,,,,,,,,,
"Income Attributable To Equity Holders",-874.29,235.603,350.533,847.85,772.31,1525.629,845.097,2480.003,735.961,1413.639,521.951,967.18,360.512,1159.394,721.655,736.633,206.285,414.761,376.447,852.14,349.117,
"Total Comprehensive Income/Loss for the period",-874.29,227.198,350.145,969.115,874.403,1438.119,801.956,2362.23,687.836,1501.5,521.951,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-207.513,877.515,454.552,947.026,555.104,1058.265,525.928,953.777,441.529,822.825,422.186,467.267,158.464,657.824,344.081,559.565,270.388,626.191,323.102,582.529,303.441,
"Enterprise Value (EV)",10025.625,14455.114,14526.477,14786.67,17134.842,17664.947,18271.248,18011.989,15688.197,14068.894,12652.907,12346.983,9966.969,9214.964,8733.609,8176.004,7749.619,8552.598,7890.756,7973.377,7283.693,

Balance sheet (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"15 Sep 2020","11 Mar 2020","3 Sep 2019","5 Mar 2019","4 Sep 2018","27 Feb 2018","29 Aug 2017","28 Feb 2017","29 Aug 2016","29 Feb 2016","31 Aug 2015","2 Mar 2015","26 Aug 2014","3 Mar 2014","26 Aug 2013","22 Feb 2013","20 Aug 2012","22 Feb 2012","19 Aug 2011","18 Feb 2011","20 Aug 2010",
"Ordinary Unitholders Interest",10655.219,11991.689,12690.248,12861.3,13313.092,13008.861,12350.973,12070.009,10206.276,9980.915,7842.293,7603.215,7290.71,7280.242,7168.527,6973.355,6777.333,6967.767,7217.128,7125.735,6815.206,
"Total Stockholders' Interest",10655.219,11991.689,12690.248,12861.3,13313.092,13008.861,12350.973,12070.009,10206.276,9980.915,7842.293,7603.215,7290.71,7280.242,7168.527,6973.355,6777.333,6967.767,7217.128,7125.735,6815.206,
"Interest Bearing Loans",6035.084,6057.457,6832.201,4698.774,5469.749,4575.411,3963.832,3439.813,3583.868,3486.022,3094.576,3100.65,2116.472,1625.913,1216.014,620.975,920.976,1222.982,1499.842,1684.33,1800,
"Other Long-Term Liabilities",668.904,363.441,357.865,559.26,292.486,244.745,19.748,,17.991,,,5.841,2.496,,,,,,,,,
"Long-Term Liabilities",6703.988,6420.898,7190.066,5258.034,5762.235,4820.156,3983.58,3439.813,3601.859,3486.022,3094.576,3106.491,2118.968,1625.913,1216.014,620.975,920.976,1222.982,1499.842,1684.33,1800,
"Deferred Tax Liability",,,,,,1.616,7.408,,,,,,,,,146.744,112.564,95.363,124.047,119.774,189.87,
"Other Capital",,,,,,,,,,,,,,,,,29.227,32.545,17.699,31.541,10.351,
"Total Capital Employed",17359.207,18412.587,19880.314,18119.334,19075.327,17830.633,16341.961,15509.822,13808.135,13466.937,10936.869,10709.706,9409.678,8906.155,8384.541,7741.074,7840.1,8318.657,8858.716,8961.38,8815.427,
"Investments",109.7,117.166,128.22,128.96,,170.26,,,,,,,,,,,,,,,,
"Investments In Associates",1103.063,930.605,965.775,981.179,978.012,847.033,830.403,799.389,824.193,850.068,,,,,,,,,157.154,155.892,133.041,
"Fixed Assets / Property",15816.97,16804.689,16756.258,17326.136,16727.538,15729.043,15084.825,14357.675,12788.81,11636.768,10998.063,10293.42,9033.391,8927.419,8055.905,7990.017,7418.385,8552,8782.988,8772.268,8497,
"Right-of-use Asset",24.891,13.102,11.589,,,,,,,,,,,,,,,,,,,
"Intangible Assets",81.904,81.904,81.904,81.904,81.904,81.904,81.904,81.904,76.897,76.897,82.972,71.8,,,,,,,,,,
"Deferred Tax Asset",9.21,6.196,4.513,0.199,0.124,,,1.909,0.664,2.016,,0.697,,,,,,,,,,
"Other Assets",569.9,530.158,522.761,551.887,1468.272,512.022,327.244,,298.461,354.363,288.693,255.121,264.665,,272.937,,227.434,,,,,
"Debtors",414.009,372.548,417.052,451.114,423.94,351.093,428.587,350.432,278.748,246.492,209.304,183.025,186.256,162.78,148.257,129.142,172.908,180.147,183.383,186.337,143.209,
"Cash and Short Term Funds",214.791,193.553,219.711,206.595,167.813,275.454,157.754,191.38,183.882,310.349,22.248,301.224,267.884,311.52,283.971,407.281,664.984,373.651,520.891,310.478,553.727,
"Other Current Assets",999.66,744.387,1259.524,668.033,450.227,1424.087,938.2,1206.522,159.114,659.701,306.169,235.062,207.759,40.948,112.04,217.792,371.224,28.775,281.735,30.43,33.944,
"Other Current Assets: Captial gains taxation",,,,,,,,,,,,,,,,0.824,,,,,,
"Other Current Assets: Letting commissions",,,,,,,,,,,,,,,,0.835,,,,,,
"Other Current Assets: Properties held for sale",,,,,,,,,,,,,,,,182.9,,,243.788,,,
"Other Current Assets: Rental receivable straight-line",,,,,,,,,,,,,,,,33.233,,28.775,37.947,30.43,33.944,
"Current Assets",1628.46,1310.488,1896.287,1325.742,1041.98,2050.634,1524.541,1748.334,621.744,1216.542,537.721,719.311,661.899,515.248,544.268,754.215,1209.116,538,986.009,455,730.88,
"Total Assets",19344.098,19794.308,20367.307,20396.007,20297.83,19390.896,17848.917,16989.211,14610.769,14136.654,11907.449,11340.349,9959.955,9442.667,8873.11,8744.232,8854.935,9306.055,9644.416,9424.975,9360.802,
"Creditors",545.163,440.817,435.619,462.828,425.124,349.073,327.799,302.082,277.292,292.301,250.177,253.56,185.542,198.506,161.951,171.317,172.258,179.424,180.161,147.915,138.686,
"Dividends",,,,,,,,,,,398.049,359.91,350.044,326.03,322.315,305.475,311.133,301.411,298.791,295.296,296.431,
"Receiver of Revenue",,,,,,0.34,,,,,0.48,0.48,,,0.031,0.056,0.056,2.415,19.81,18.795,18.795,
"Bank O/D & S/T Loans",986.475,896.13,18.237,1791.376,773.795,1192.376,1169.019,1177.307,508.595,371.623,309.915,0.009,,,,520,500,500,,,,
"Other Current Liabilities",453.253,44.774,33.137,22.469,23.584,18.474,10.138,,16.747,5.793,11.959,16.684,14.691,11.976,4.272,6.31,31.388,4.148,286.938,1.589,91.463,
"Current Liabilities",1984.891,1381.721,486.993,2276.673,1222.503,1560.263,1506.956,1479.389,802.634,669.717,970.58,630.643,550.277,536.512,488.569,1003.158,1014.835,1006,785.7,463.595,545.375,
"Net Current Assets",-356.431,-71.233,1409.294,-950.931,-180.523,490.371,17.585,268.945,-180.89,546.825,-432.859,88.668,111.622,-21.264,55.699,-248.943,194.281,-468,200.309,-8.595,185.505,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"15 Sep 2020","11 Mar 2020","3 Sep 2019","5 Mar 2019","4 Sep 2018","27 Feb 2018","29 Aug 2017","28 Feb 2017","29 Aug 2016","29 Feb 2016","31 Aug 2015","2 Mar 2015","26 Aug 2014","3 Mar 2014","26 Aug 2013","22 Feb 2013","20 Aug 2012","22 Feb 2012","19 Aug 2011","18 Feb 2011","20 Aug 2010",
"Number of Linked Units Issued (Actual)",2514732000,2514732000,2530689000,2530689000,2530689000,2530689000,2417482000,2417482000,2287304000,2287304000,2024162410,1997395000,1980093000,1980093000,1980093000,2038989000,2050917000,2081869000,2081869000,2081869000,2081869000,
"Weighted Ave Stock Units (Actual)",2514732000,2526975000,2530689000,2530689000,2530689000,2473310000,2417482000,2320805000,2287304000,2033656000,2021500000,1988341000,1980093000,1985703000,1991406000,2057569000,2069385000,2081869000,2081869000,2081869000,2087441000,
"Market Capitalisation (R000)",3218857,7695080,7895750,8503115,11059111,12172614,13296151,13586249,11779616,10521598,9270664,9547548,8118381,7900571,7801566,7442310,6993627,7203267,6911805,6599525,6037420,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"15 Sep 2020","11 Mar 2020","3 Sep 2019","5 Mar 2019","4 Sep 2018","27 Feb 2018","29 Aug 2017","28 Feb 2017","29 Aug 2016","29 Feb 2016","31 Aug 2015","2 Mar 2015","26 Aug 2014","3 Mar 2014","26 Aug 2013","22 Feb 2013","20 Aug 2012","22 Feb 2012","19 Aug 2011","18 Feb 2011","20 Aug 2010",
"Earnings Per Linked Unit (ZARc)",-43.79,9.32,13.85,33.5,30.51,61.68,34.96,106.86,32.18,69.51,25.82,48.42,18.21,58.39,36.24,35.8,9.99,19.92,18.08,40.93,17.26,
"Diluted Earnings Per Linked Unit (ZARc)",-43.79,9.32,13.85,33.5,30.51,61.68,34.96,106.86,32.18,,25.82,,,,,,,,,,,
"Headline Earnings Per Linked Unit (CO) (ZARc)",-8.25,34.73,17.96,37.42,21.93,42.79,21.76,41.1,19.3,40.46,20.88,23.5,8,33.13,17.28,27.2,13.09,30.08,15.52,27.98,14.58,
"Distributions Per Linked Unit (ZARc)",,38.04,20.38,42.22,21.7,44.92,22.38,43.02,21.44,39.57,19.66,35.7,17.68,32.75,16.28,30.15,15.17,28.83,14.35,28.42,14.24,
"Net Asset Value Per Linked Unit (ZARc)",423.71,476.86,501.45,508,526.07,514.04,511,499,446,436,387,381,368,368,362.03,342,330.45,334.69,346.67,342.28,332,
"3 Year Beta",1.47,0.23,0.35,0.07,0.13,0.35,0.39,0.51,0.5,0.01,-0.1,-0.25,-0.06,-0.11,-0.03,0.18,0.25,0.2,0.21,0.31,0.33,
"Cash Generated Per Linked Unit",4.77,-2.91,-1.87,-3.75,-1.75,-2.33,-2.39,-3.79,-2.13,-4.38,2.52,-7.96,0.17,1.5,1.44,2.68,1.58,1.11,1.27,-3.28,2.3,
"Number of Months",6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,
"Net Asset Value Per Linked Unit (Base Currency)",423.71,476.86,501.45,508,526.07,514.04,511,499,446,436,387,381,368,368,362.03,342,330.45,334.69,346.67,342.28,332,
"Price at Period End (Base Currency)",128,306,312,336,437,481,550,562,515,460,458,478,410,399,394,365,341,346,332,317,290,
"JSE Market Price at Period End (ZARc)",128,306,312,336,437,481,550,562,515,460,458,478,410,399,394,365,341,346,332,317,290,
"JSE Market Price High (ZARc)",321,384,384,550,550,607,607,590,521,550,550,499,425,468,468,386,363,348,341,346,304,
"JSE Market Price Low (ZARc)",74,244,244,327,414,438,500,370,370,385,400,363,363,330,330,311,311,292,292,262,260,
"JSE Volume Traded (Actual)",874594588,1284570076,863984757,1252083242,688555640,1108737873,366724993,926469647,458417248,808200919,408233175,578938469,255263725,602645200,298914585,506376867,227553042,460795268,247132339,431599096,219927843,
"JSE Rand Value Traded (Actual)",1327671400,4247955609,2891619354,5685180389,3334163480,5855585203,2068208143,4725620933,2172707524,3920438295,2001839912,2425137254,1010870554,2390587227,1205888712,1766500551,758988341,1503058992,796176889,1275922182,615212798,
"12 Month HEPS",8.52,34.73,33.45,37.42,42.96,42.79,43.56,41.1,38.88,40.46,36.38,23.5,23.85,33.13,31.39,27.2,27.65,30.08,28.92,27.98,26.26,
"12 Month Dividend",17.66,38.04,40.9,42.22,44.24,44.92,44.92,43.96,43.02,41.35,39.57,37.68,35.7,34.15,32.75,31.26,30.15,29.65,28.83,28.53,28.42,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"15 Sep 2020","11 Mar 2020","3 Sep 2019","5 Mar 2019","4 Sep 2018","27 Feb 2018","29 Aug 2017","28 Feb 2017","29 Aug 2016","29 Feb 2016","31 Aug 2015","2 Mar 2015","26 Aug 2014","3 Mar 2014","26 Aug 2013","22 Feb 2013","20 Aug 2012","22 Feb 2012","19 Aug 2011","18 Feb 2011","20 Aug 2010",
"Cash generated by operations",594.403,1361.807,699.196,1459.528,735.65,1374.678,661.67,1180.39,600.04,989.752,497.271,,,,,,,,,,,
"Working capital changes",3.875,82.462,9.297,41.272,11.344,17.23,-19.032,-18.702,-54.402,-66.222,34.106,,,,,,,,,,,
"Cash generated from operations after WC",598.278,1444.269,708.493,1500.8,746.994,1391.908,642.638,1161.688,545.638,923.53,531.377,,,,,,,,,,,
"Net Cash flow from operating activities",119.842,-73.1,-47.444,-94.95,-44.299,-58.885,-57.833,-91.551,-48.664,-100.104,50.944,-159.078,3.43,29.641,28.558,54.676,32.386,23.091,26.493,-68.228,47.875,
"Net cash flow from investing activities",-48.369,-91.944,-51.425,-802.719,-407.792,-1736.245,-524.276,-1335.723,-305.522,-1607.235,-734.468,-783.072,-537.625,-395.668,-12.236,708.137,665.542,1.43,83.212,-133.675,-133.001,
"Net cash flow from financing activities",-50.235,152.002,111.985,828.81,344.45,1879.204,548.483,1308.313,277.727,1716.465,404.557,931.845,490.559,270.266,-139.632,-729.183,-406.595,38.652,100.708,84.33,210.802,
"Dividends paid",-204.212,-1034.947,-519.178,-1119.39,-570.356,-1088.134,-521.781,,,,,,,,,,,,,,,
"Net increase(decrease) in cash & cash equivalents",21.238,-13.042,13.116,-68.859,-107.641,84.074,-33.626,-118.961,-126.459,9.126,-278.967,,,,,,,,,,,
"Cash & Cash Equivalent beginning of period",193.553,206.595,206.595,275.454,275.454,191.38,191.38,310.341,310.341,301.215,301.215,,,,,,,,,,,
"Cash & Cash Equivalent end of period",214.791,193.553,219.711,206.595,167.813,275.454,157.754,191.38,183.882,310.341,22.248,,,,,,,,,,,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"15 Sep 2020","11 Mar 2020","3 Sep 2019","5 Mar 2019","4 Sep 2018","27 Feb 2018","29 Aug 2017","28 Feb 2017","29 Aug 2016","29 Feb 2016","31 Aug 2015","2 Mar 2015","26 Aug 2014","3 Mar 2014","26 Aug 2013","22 Feb 2013","20 Aug 2012","22 Feb 2012","19 Aug 2011","18 Feb 2011","20 Aug 2010",
"Turnover Per Share",83.14,90.38,89.69,91.26,92.5,85.47,86.32,78.98,79.44,79.39,77.36,70.86,66.51,59.75,57.26,59.67,58.44,59.34,58.2,56.79,54.95,
"Price/Sales Per Share",1.54,3.39,3.48,3.68,4.72,5.63,6.37,7.12,6.48,5.79,5.92,6.75,6.16,6.68,6.88,6.12,5.84,5.83,5.7,5.58,5.28,
"Price/Net Asset Value",0.3,0.64,0.62,0.66,0.83,0.94,1.08,1.13,1.15,1.06,1.18,1.25,1.11,1.08,1.09,1.07,1.03,1.03,0.96,0.93,0.87,
"Price/Cash Flow",53.67,-105.15,-333.69,-89.6,-499.43,-206.44,-460.25,-148.28,-483.57,-105.02,363.96,-60.05,4823.53,266,547.22,136.19,431.65,311.71,521.78,-96.65,252.17,
"Return on Capital Employed",-10.07,1.37,3.7,4.58,8.09,8.56,10.34,15.99,10.66,10.5,9.54,9.03,7.66,13.02,17.21,9.52,5.26,4.99,8.5,9.51,7.92,
"Return on Stockholder Funds",-16.41,2.11,5.8,6.45,11.6,11.73,13.68,20.55,14.42,14.16,13.31,12.72,9.89,15.93,20.13,10.56,6.09,5.95,10.43,11.96,10.25,
"Return on Total Assets",5.44,7.11,7.37,7.61,12.17,11.75,11.81,10.78,12.47,11.26,13.07,12.27,13.32,12.67,12.91,14.26,13.92,13.89,13.08,13.21,12.75,
"Operating Profit Margin",54.14,60.63,63.64,65.21,101.91,101.6,100.59,99.45,99.77,98.07,98.81,98.17,100.71,100.87,100.47,101.54,101.66,101.28,101.51,102.05,101.85,
"Net Profit Margin",-162.72,18.11,51.74,60.51,67.94,74.3,83.35,139.75,83.28,90.64,68.62,71.51,55.31,98.59,128.33,60.57,34.23,33.79,62.36,72.77,61.41,
"Debt : Equity",0.72,0.61,0.57,0.55,0.49,0.46,0.42,0.38,0.4,0.39,0.43,0.41,0.29,0.22,0.17,0.16,0.21,0.25,0.25,0.24,0.26,
"Current Ratio",0.82,0.95,3.89,0.58,0.85,1.31,1.01,1.18,0.77,1.82,0.55,1.14,1.2,0.96,1.11,0.75,1.19,0.53,1.25,0.98,1.34,
"Dividend Cover",,0.25,0.68,0.79,1.41,1.37,1.56,2.48,1.5,1.76,1.31,1.36,1.03,1.78,2.23,1.19,0.66,0.69,1.26,1.44,1.21,
"Debtors Collection Period",140.62,104.5,112.34,117.51,68.06,62.41,77.14,72.08,57.57,57.69,50.22,49.39,52.15,50.52,48.11,38.76,52.37,53.56,55.44,58.08,45.97,
"Operating Return on Investment",6.78,7.77,8.11,8.12,13.7,13.02,13.44,12.36,13.82,13.4,13.83,13.14,14.43,13.17,13.96,14.92,16.25,14.36,13.75,13.35,13.38,
"Operating Income : Turnover",51.4,56.97,59.69,60.67,97.13,97.13,97.18,96.81,97.27,96.59,97.28,96,98.98,99.12,98.63,99.06,99.65,99.37,99.65,99.01,99.12,
"Admin & Collection Fees : Turnover",0.49,0.43,0.4,0.39,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.01,0.01,0.01,-0.01,,-0.01,,-0.01,0.01,
"Return on Stockholder Funds",,7.98,8.13,8.31,8.25,8.74,8.76,8.62,9.61,9.07,10.15,9.38,9.6,8.91,8.99,8.82,9.18,8.61,8.28,8.3,8.7,
"NAV%Price",331.02,155.84,160.72,151.19,120.38,106.87,92.91,88.79,86.6,94.78,84.5,79.71,89.76,92.23,91.89,93.7,96.91,96.73,104.42,107.97,114.48,
"Price : Earnings",15.02,8.81,9.33,8.98,10.17,11.24,12.63,13.67,13.25,11.37,12.59,20.34,17.19,12.04,12.55,13.42,12.33,11.5,11.48,11.33,11.04,
"Profitability %",5.58,6.64,6.72,6.95,7.4,6.96,11.36,10.45,8.12,11.03,8.23,11.93,8.31,10.4,7.69,8.35,7.76,8.15,7.35,5.31,8.04,
"Solvency %",222.63,253.69,265.3,270.69,290.6,303.84,324.65,345.37,331.72,340.17,292.91,303.45,373.14,436.67,520.54,493.78,432.29,400.37,400.25,415.62,369.23,
"Int Bearing Debt : Total Assets",0.36,0.35,0.34,0.32,0.31,0.3,0.29,0.27,0.28,0.27,0.29,0.27,0.21,0.17,0.14,0.13,0.16,0.19,0.16,0.18,0.19,
"Liquidity %",2.76,-0.94,-1.24,-1.26,-1.27,-0.92,-2.1,-1.86,-2.21,-2.41,2.51,-4.26,0.26,1.37,3.35,3.09,3.16,0.99,2.2,-3.01,3.78,
"EV/Ebitda (Pd)",-12.17,19.55,24.35,,,,,,,,,,,,,,,,,,,
"Cash Flow : Attributable Profit",0.96,-0.08,-0.19,-0.09,-0.15,-0.05,-0.14,-0.06,-0.2,-0.08,0.26,-0.13,0.02,0.03,0.13,0.1,0.24,0.04,0.2,-0.17,0.3,
"Loan to value ratio",38.62,34.87,36.17,29.02,30.21,27.03,24.38,,,,,,,,,,,,,,,
"PEG Ratio",1.29,0.76,1.29,1.24,0.72,0.8,1.11,1.2,1.05,0.9,-17.15,-27.71,7,4.91,1.67,1.79,-792.1,-738.79,1.26,1.24,1.28,

