"Market Capitalisation (R'000)",1432787,1636712,1322139,1142494,1832669,2650322,3300626,3758546,4133028,3305348,,
"Number of Months",6,12,6,12,6,12,6,12,6,12,6,

Share statistics,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"12 Oct 2020","18 May 2020","21 Oct 2019","15 May 2019","15 Oct 2018","14 May 2018","20 Nov 2017","15 May 2017","15 Nov 2016","23 May 2016","25 Nov 2015",
"Earnings Per Share (ZARc)",17.33,88.02,39.5,95.82,37.85,104.56,34.7,140.64,37,131.57,58,
"Diluted Earnings Per Share (ZARc)",17.19,87.17,39.26,95.8,37.68,104.06,34.54,139.96,,130.79,,
"Headline Earnings Per Share (Cont Ops) (ZARc)",17.33,87.83,39.68,95.84,38,104.56,35,140.58,37,131.29,58,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",17.19,86.98,39.9,95.83,38,104.05,,139.9,,130.51,,
"Interim Dividend (ZARc)",19.6,11.7,11.7,,,10,10,11.09,11.09,,,
"Final Dividend (ZARc)",,,,14.51,,21,,31,,21,,
"Dividend Per Share (ZARc)",19.6,11.7,11.7,14.51,,31,10,42.09,11.09,21,,
"Distributions Per Share (ZARc)",19.6,11.7,11.7,14.51,,31,10,42.09,11.09,21,,
"Net Asset Value Per Share (ZARc)",648.61,631.13,593,567.51,509,491.98,432,428.57,334,319.84,209,
"3 Year Beta",0.02,-0.08,-0.06,-0.26,,,,,,,,
"Cash Generated Per Share",-18.82,84.39,95.35,21.43,14.43,-83.04,-7.88,-126.32,-206.31,17.2,-25.51,
"Net Asset Value Per Share (Base Currency)",648.61,631.13,593,567.51,509,491.98,432,428.57,334,319.84,209,
"Price at Period End (Base Currency)",306,350,280,242,390,564,699,800,880,700,,
"JSE Market Price High (ZARc)",365,396,350,640,640,830,830,1040,1040,1105,,
"JSE Market Price Low (ZARc)",128,180,180,222,371,435,620,640,680,505,,
"JSE Market Price at Period End (ZARc)",306,350,280,242,390,564,699,800,880,700,,
"JSE Volume Traded (Actual)",64701446,74925068,40060991,56491570,22105675,95880300,51401688,101361229,52575564,35849962,,
"JSE Rand Value Traded (Actual)",151854379,224587097,111740583,219322512,117892590,613377059,360198926,809920800,436917691,319071082,,
"12 Month HEPS",65.48,87.83,97.52,95.84,107.56,104.56,139,140.58,110.29,131.29,116,
"12 Month Dividend",19.6,11.7,26.21,14.51,14.51,31,31,42.09,42.09,21,21,

Cash flow items,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"12 Oct 2020","18 May 2020","21 Oct 2019","15 May 2019","15 Oct 2018","14 May 2018","20 Nov 2017","15 May 2017","15 Nov 2016","23 May 2016","25 Nov 2015",
"Cash generated by operations",-39262,581724,546890,285417,185370,-129913,-103868,-316600,-873970,267997,-100012,
"Net Cash flow from operating activities",-88125,394632,450228,101170,67818,-390238,-37186,-593487,-968947,81238,-120464,
"Net cash flow from investing activities",-15328,-19735,-17096,-45072,-8244,-13897,7713,-31488,-1884,14239,-3096,
"Net cash flow from financing activities",54647,-227747,-488598,172843,-97268,-42801,-250825,709656,672784,236884,172306,
"Dividends paid",,-123762,-68515,-99160,-99160,-193599,-146380,-151525,-99160,-419683,-94118,
"Net increase(decrease) in cash & cash equivalents",-48806,147150,-55466,229349,-37694,-446936,-280298,84680,-298047,332360,48746,
"Cash & Cash Equivalent beginning of period",476532,329382,329382,100033,100033,546969,546969,462288,462288,129928,129928,
"Cash & Cash Equivalent end of period",427726,476532,273916,329382,62339,100033,266671,546969,164241,462288,178674,

Ratios,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"12 Oct 2020","18 May 2020","21 Oct 2019","15 May 2019","15 Oct 2018","14 May 2018","20 Nov 2017","15 May 2017","15 Nov 2016","23 May 2016","25 Nov 2015",
"Return on Capital Employed",4.89,12.44,11.96,14.93,12.97,16.99,12.47,25.18,16.11,35.28,55.97,
"Return on Shareholder Funds",5.35,13.94,13.36,17.05,14.88,21.25,16.06,32.82,22.12,37.18,55.97,
"Return on Total Assets",4.72,12.51,12.59,14.3,13.07,18.8,14.56,28.04,18.08,41.13,43.42,
"Gross Profit Margin",24.5,27.1,24.53,30.14,27.29,32.8,32.42,37.42,41.86,42.96,43.28,
"Operating Profit Margin",11.78,19.69,17.76,24.1,20.65,27.33,24.25,33.43,31.37,36.84,38.72,
"Net Profit Margin",8.73,14.12,13.06,17.31,14.91,20.02,18.24,24.45,23.28,26.81,28.37,
"Debt:Equity (excl non-int debt)",0.09,0.12,0.12,0.14,0.15,0.25,0.29,0.3,0.37,0.05,,
"Interest Cover",-33.53,-557.27,-56.27,397.27,-1324.95,-57.27,-21.68,-65.24,-37.19,-72.79,-96.37,
"Quick Ratio",0.82,0.87,0.77,0.92,0.64,1.31,1.29,1.87,0.43,1.63,0.45,
"Current Ratio",3.18,3.47,4.05,3.14,3.58,4.81,6.12,4.98,5.2,5.98,2.23,
"Dividend Cover",0.88,7.52,3.38,6.6,,3.37,3.47,3.34,3.34,6.27,,
"Dividend Cover (HEPS)",0.88,7.51,3.39,6.61,,3.37,3.5,3.34,3.34,6.25,,
"Debtors Collection Period",130.85,74.79,58.54,127.52,87.37,127.79,62.83,85.62,12.21,5.68,18.03,
"Stock Turn",0.4,0.63,0.67,0.6,0.57,0.64,0.5,0.84,0.36,0.89,0.81,
"Price : Earnings",4.67,3.98,2.87,2.53,3.63,5.39,5.03,5.69,7.98,5.33,,
"Sales Per Share (Base Currency)",397.06,623.24,607.04,553.67,507.82,522.36,380.61,575.15,317.63,490.77,411.7,
"Price/Sales Per Share",0.77,0.56,0.46,0.44,0.77,1.08,1.84,1.39,2.77,1.43,,
"Price/Net Asset Value",0.47,0.55,0.47,0.43,0.77,1.15,1.62,1.87,2.63,2.19,,
"Price/Cash Flow",-32.52,4.15,5.87,11.29,54.05,-6.79,-177.41,-6.33,-8.53,40.7,,
"NAV%Price",211.96,180.32,211.79,234.51,130.51,87.23,61.8,53.57,37.95,45.69,,
"Liquidity%",-10.01,23.83,68.84,5.79,9.81,-29.58,-6.87,-47.21,-177.19,20.85,-37.13,
"Cash Flow:Attributable Profit",-2.17,0.96,4.86,0.22,0.76,-0.79,-0.46,-0.9,-11.1,0.15,-1.03,
"Cash/Equity (%)",14.08,16.15,9.87,12.41,2.61,4.33,13.13,27.16,,,,
"EV/Ebitda (Pd)",,,,1.28,,,,,,,,
"PEG Ratio",1.11,0.95,0.39,0.34,0.29,0.43,0.16,0.18,0.14,0.09,,

