,"Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)",
,"11 Nov 2020","9 Sep 2020","9 Jun 2020","12 Feb 2020","13 Nov 2019","11 Sep 2019","15 May 2019","12 Feb 2019","14 Nov 2018","5 Sep 2018","8 May 2018","7 Feb 2018","7 Nov 2017","20 Sep 2017","10 May 2017","10 Feb 2017","9 Nov 2016",
"Working capital changes",,-713,,643,,1501,542,-15,,834,14,5,,36,-3,45,356,
"Net Cash flow from operating activities",-534,-1957,-1319,-1019,-323,-1403,-1042,-683,-363,-1594,-1006,-518,-261,-966,-111,-203,200,
"Net cash flow from investing activities",,-11328,-19193,-11395,-8826,92,515,5640,5689,-50008,-40126,-33421,-13201,-3696,,-4,45,
"Net cash flow from financing activities",,-353,7516,,,,,,,,,,,71847,,71847,71847,
"Net increase(decrease) in cash & cash equivalents",1987,-13639,-12997,-12414,-9149,-1311,-527,4957,5327,-51602,-41133,-33267,-13462,67185,-111,71640,72092,
"Cash & Cash Equivalent beginning of period",583,14221,14221,14221,14221,15534,15534,15534,15534,67138,67138,67138,67138,,71593,,,
"Translation effects on cash & cash equivalents",,,,,-1,-3,-2,-2,-1,-1,-1,,,-48,-930,-47,-11,
"Cash & Cash Equivalent end of period",2570,583,1224,1807,5071,14221,15005,20490,20860,15534,26004,33352,53675,67138,71482,71593,72082,

Ratios,"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016",
,"Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)",
,"11 Nov 2020","9 Sep 2020","9 Jun 2020","12 Feb 2020","13 Nov 2019","11 Sep 2019","15 May 2019","12 Feb 2019","14 Nov 2018","5 Sep 2018","8 May 2018","7 Feb 2018","7 Nov 2017","20 Sep 2017","10 May 2017","10 Feb 2017","9 Nov 2016",
"Turnover Per Share",0.77,0.67,0.01,0.66,0.47,0.59,0.21,0.88,0.79,0.88,0.5,0.94,0.8,0.57,0.67,0.43,0.27,
"Price/Sales Per Share",111.71,128.76,7898.59,159.43,189.39,157,402.49,99.64,110.04,97.45,193.77,103.46,96.95,161.56,143.92,247.79,368.16,
"Price/Net Asset Value",0.8,0.79,0.85,0.92,0.78,0.81,0.79,0.85,0.84,0.83,0.93,0.99,0.79,0.93,0.97,1.07,1.01,
"Price/Cash Flow",-468.6,-32.17,-191.95,-148.32,-791.11,-47.54,-234.85,-185.77,-696,-38.81,-277.36,-270.84,-857.58,-68.66,-2567.47,-758.35,1443.2,
"Return on Capital Employed",-4.04,-4.01,-38.79,-1.56,0.38,9.72,14.47,-0.12,-0.75,4.63,23.35,-1.05,-0.9,-0.94,-0.61,-0.83,-0.67,
"Return on Stockholder Funds",-4.57,-4.39,-42.77,-1.56,0.38,9.72,14.47,-0.12,-0.75,4.63,23.35,-1.05,-0.9,-0.94,-0.61,-0.83,-0.67,
"Return on Total Assets",-0.82,-0.92,2.62,-0.64,-1.48,-3.07,-4.45,-1.19,-1.3,-2.53,-1.38,-1.05,-0.9,-0.86,-0.61,-0.82,-0.65,
"Operating Profit Margin",-131.43,-165.98,27100,-112.66,-370.59,-614.35,-2307.89,-141.32,-171.33,-300.95,-287.78,-109.44,-111.11,-149.27,-90.08,-190.32,-240.82,
"Net Profit Margin",217.23,429.38,-1461.99,93.41,-24.76,-307.7,-319.27,10.27,56.73,-181.18,-1314.37,100,100,108.29,100,101.02,102.54,
"Debt : Equity",,,0.1,,,,,,,,,,,,,,,
"Current Ratio",1.88,0.41,1.31,1.08,3.26,6.22,10.67,24.26,23.7,23.91,611.33,760.77,814.73,1050.7,1701.95,1627.11,202.48,
"Debtors Collection Period",-21.04,-43.26,13.64,-82.3,-791.99,-75.49,-8.32,-65.18,,-30.61,-1413.56,-60.01,-55.32,-63.5,,,,
"Operating Return on Investment",-1.89,-0.92,2.66,-1.67,-1.63,-3.71,-5.51,-1.64,-1.8,-3.49,-3.03,-1.98,-3.7,-15.38,,,,
"Operating Income : Turnover",-294.29,-165.98,27100,-288.19,-370.59,-614.35,-2307.89,-141.32,-171.33,-300.95,-371.11,-109.44,-111.11,-149.27,-90.08,-190.32,-240.82,
"Admin & Collection Fees : Turnover",0.8,4.14,67.5,0.86,1.11,4.31,16.55,0.51,0.52,1.84,0.98,0.91,0.61,0.77,1.3,1.28,1.59,
"NAV%Price",124.75,124.67,104.44,108.44,129.1,123.86,126.53,118.18,91.09,120.84,107.73,102.37,127.07,107.67,99.12,94.56,99.66,
"Price : Earnings",-19.05,-19.73,-9.24,10.28,10.65,8.09,-10.49,18.03,27.61,19.18,19.17,-91.06,-89.02,-97.42,-119.08,-120.5,-142.46,
"Profitability %",-0.82,-0.92,2.62,-0.64,-1.48,-3.07,-4.45,-1.19,-1.3,-2.53,-1.38,-1.05,-0.9,-0.86,-0.61,-0.82,-0.65,
"Solvency %",771.23,952.47,962.06,4304.72,3556.56,3585.37,5573.27,8803.85,8498.99,8659.4,147550.98,161034.09,107709.09,111320.31,170195.24,162711.36,20247.75,
"Int Bearing Debt : Total Assets",,,0.09,,,,,,,,,,,,,,,
"Liquidity %",-18.31,-21.07,-61.37,-104.46,-53.97,-59.15,-294.77,-159.39,-163.7,-182.8,-7890.2,-2354.55,-1581.82,-1509.38,-1057.14,-922.73,224.72,
"EV/Ebitda (Pd)",,,-177.94,-2197.16,15239.82,,,,-8178,,,,,,,,,
"Cash Flow : Attributable Profit",8.58,1.97,-9.73,7.63,4.1,0.54,4.75,3.05,5.93,0.84,15.54,2.79,6.53,1.57,4.07,1.38,-6.78,
"Loan to value ratio",11.57,8.79,9.3,,,,,,,,,,,,,,,
"PEG Ratio",,-0.1,-0.02,0.03,0.03,0.02,-0.02,0.03,0.05,0.03,,,,,,,,

