"Attributable Income Before Extraordinary Items",-2020.47,-1786.045,-255.376,3.449,86.869,1.414,18.375,75.16,33.89,21.238,20.955,15.306,5.609,2.332,5.52,1.636,2.947,1.232,-2.28,0.706,-4.03,-2.139,-6.645,
"Extraordinary Profit",,,,,15.311,16.476,15.79,2.852,-4.865,-1.035,2.405,0.579,1.182,-0.609,-3.395,-1.617,-0.954,,,,,,,
"Extraordinary Profit: Discontinued Operations",,,,,15.311,15.312,15.312,2.852,-5.077,-1.148,2.706,0.579,-1.182,-0.609,-3.395,-1.617,-0.954,,,,,,,
"Extraordinary Profit: Other Comprehensive Income",,,,5.176,,1.164,0.478,,0.212,0.113,-0.301,,,,,,,,,,,,,
"Income Attributable To Equity Holders",-2020.47,-1786.045,-255.376,3.449,102.18,16.736,34.165,78.012,29.025,20.203,23.359,15.885,6.791,1.723,2.125,0.019,1.993,1.232,-2.28,0.706,-4.03,-2.139,-6.645,
"Total Comprehensive Income/Loss for the period",-2144.609,-1779.488,-245.44,8.998,94.816,13.807,31.447,67.858,21.541,17.572,19.633,15.808,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-2013.376,-1788.867,-136.423,3.359,75.474,1.363,18.325,0.132,17.794,8.9,22.453,16.67,5.334,0.072,2.335,0.046,2.001,1.24,-2.273,0.204,-4.023,-2.076,-5.503,
"Enterprise Value (EV)",30.271,69.501,190.694,190.157,657.768,356.374,1597.469,71.615,98.108,626.762,526.827,289.293,225.552,109.216,75.295,101.927,68.826,48.661,47.841,28.784,19.961,20.014,14.738,

Balance sheet (ZAR million),"Mar 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Mar 2018","Sep 2017","Mar 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Sep 2012","Jun 2012","Sep 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (9m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (15m)","Interim (12m)","Interim (6m)","Final (12m)",
,"1 Sep 2020","17 Apr 2020","14 Nov 2019","26 Mar 2019","18 Sep 2018","29 Jun 2018","28 Nov 2017","29 Jun 2017","24 Mar 2017","27 Sep 2016","1 Apr 2016","1 Oct 2015","1 Apr 2015","25 Sep 2014","31 Mar 2014","2 Sep 2013","2 Apr 2013","10 Dec 2012","28 Jun 2012","30 Dec 2011","30 Sep 2011","31 Mar 2011","15 Oct 2010",
"Fixed Assets",15.841,16.882,4.953,3.591,4.005,9.87,6.296,6.81,7.117,10.567,8.475,8.2,6.134,5.128,4.716,6.725,6.745,4.764,4.407,4.572,2.332,2.493,3.204,
"Investments in Associates",648.139,650.043,1533.896,748.42,21.5,318.55,273.285,,,,,5.097,,,,,,,,,,,,
"Investments and Loans",240.665,434.999,973.045,1284.155,803.599,,,667.089,,,,,,,,,,,,,,,,
"Intangible Assets",,,5.704,23.968,4.066,5.327,5.668,6.011,6.182,20.131,8.557,5.909,1.132,0.706,0.706,1.82,1.65,1.825,1.825,1.555,0.936,0.936,0.936,
"Deferred Tax Asset",284.527,388.117,138.586,80.001,49.635,38.057,39.623,28.458,13.506,18.15,12.191,16.048,12.737,11.43,11.138,12.132,11.636,11.233,12.154,11.404,4.455,3.447,3.365,
"Other Assets",243.624,241.389,416.461,570.152,537.232,1065.009,895.77,,604.059,70.98,98.066,,,,,,,,3.613,,,,,
"Long-Term Receivables",26.967,14.573,17.804,0.75,,1,5.652,4.656,4.569,4.314,3.127,80.832,56.448,23.817,13.666,6.524,6.667,3.957,,2.323,,,,
"Total Fixed Assets",1459.763,1746.003,3090.449,2711.037,1420.037,1437.813,1226.294,713.024,635.433,124.142,130.416,116.086,76.451,41.081,30.226,27.201,26.698,21.779,21.999,19.854,7.723,6.876,7.505,
"Stock",,,0.223,0.683,0.654,1.119,1.05,1.222,1.593,2.045,1.819,,,,,,,,,,,,,
"Debtors",30.387,18.989,39.124,24.244,37.878,50.981,38.419,36.15,54.662,100.401,40.379,,,,,,,,,,,,,
"Cash",9.511,32.179,37.658,37.673,45.086,24.854,11.938,25.38,20.605,40.936,15.115,,,,,,,,,,,,,
"Tax",6.132,5.098,7.13,1.541,2.44,0.254,0.254,0.186,0.309,0.088,,,,,,,,,,,,,,
"Other Current Assets",,3.248,,,729.709,428.294,184.638,438.855,350.744,509.455,278.45,,,,,,,,,,,,,
"Total Current Assets",46.03,59.514,84.135,64.141,815.767,505.502,236.299,501.793,427.913,652.925,335.763,178.723,73.732,39.972,30.472,47.113,28.321,19.4,11.812,6.293,1.932,1.185,1.27,
"Total Assets",1505.793,1805.517,3174.584,2775.178,2235.804,1943.315,1462.593,1214.817,1063.346,777.067,466.179,294.809,150.183,81.053,60.698,74.314,55.019,41.179,33.811,26.147,9.655,8.061,8.775,
"Ordinary Share Capital & Premium",145.17,145.17,145.17,145.17,145.17,,,,,,,,,,,,,,,,,,,
"Distributable Reserves",-2233.857,-1999.432,-213.202,45.623,50.926,,,,,,,,,,,,,,,,,,,
"Non-Distributable Reserves",-118.515,6.761,6.132,2.219,-2.957,,,,,,,,,,,,,,,,,,,
"Ordinary Shareholders' Interest",-2207.202,-1847.501,-61.9,193.012,193.139,119.279,141.151,106.986,36.817,47.322,78.191,72.475,56.667,25.916,23.773,21.736,21.717,21.126,17.746,2.729,-2.86,-0.97,1.17,
"Preference Shareholders",,,,,,,1232.459,,,,,,,,,,,,,,,,,
"Minority Interest",7.314,14.336,0.842,0.735,0.362,-8.2,-12.431,-11.429,-11.962,-26.569,-4.653,-5.215,-3.795,-0.783,-1.24,-0.798,-0.194,0.677,1.267,1.118,-2.623,-1.041,-0.433,
"Total Shareholders' Interest",-2199.888,-1833.165,-61.058,193.747,193.501,111.079,1361.179,95.557,24.855,20.753,73.538,67.26,52.872,25.133,22.533,20.938,21.523,21.803,19.013,3.847,-5.483,-2.011,0.737,
"Interest Bearing Loans",,,,,,,,,,517.441,324.84,159.27,49.029,33.986,18.798,40.547,20.166,8.012,6.937,13.477,7.534,2.995,0.121,
"Deferred Tax Liability",63.653,74.246,185.027,150.484,93.831,0.576,18.689,13.454,4.603,4.232,5.939,6.872,1.169,0.438,0.768,1.152,0.862,0.733,0.509,0.495,,,0.182,
"Other Long-Term Liabilities",3580.086,3516.704,3028.332,2405.742,1847.379,1654.551,10.713,925.334,761.774,11.396,9.552,,,,,,,,,,,,,
"Other Long-Term Liabilities: Deferred revenue",,,,,,15.401,,2.538,2.248,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Finance lease liability",,,,,0.879,,,,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Lease liabilities",9.339,10.304,0.201,0.969,,,,,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Note programme",161.099,148.252,65.395,5.972,,,,,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Other financial liabilities",1068.1,797.903,677.379,377.698,150.522,143.807,,0.871,759.526,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Preference share liabilities",2341.548,2560.245,2285.357,2021.103,1694.362,1495.343,,921.925,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Trade and other payables",,,,,1.616,,,,,,,,,,,,,,,,,,,
"Total Long-Term Liabilities",3643.739,3590.95,3213.359,2556.226,1941.21,1655.127,29.402,938.788,766.377,533.069,340.331,166.142,50.198,34.424,19.566,41.699,21.028,8.745,7.446,13.972,7.534,2.995,0.303,
"Creditors and Provisions",61.838,39.771,19.112,16.017,19.97,30.29,26.131,20.778,21.454,30.79,22.391,,,,,,,,,,,,,
"Tax",0.023,6.981,2.368,8.8,0.138,68.025,32.483,11.864,32.536,15.358,3.142,,,,,,,,,,,,,
"Bank Overdrafts/Short-Term Loans",0.081,0.98,0.803,0.388,0.781,0.79,0.741,0.469,0.227,0.025,5.374,,,,,,,,,,,,,
"Other Current Liabilities",,,,,80.204,78.004,12.657,147.361,217.897,177.072,21.403,,,,,,,,,,,,,
"Other Current Liabilities: Deferred revenue",,,,,,2.8,,0.148,0.132,,,,,,,,,,,,,,,
"Other Current Liabilities: Finance lease liability",,,0.035,,0.159,1.07,,,,,,,,,,,,,,,,,,
"Other Current Liabilities: Liabilities held-for-sale",,,,,,,,,193.994,,,,,,,,,,,,,,,
"Other Current Liabilities: Liabilities of disposal group held for sale",,,,,,,,130.689,,,,,,,,,,,,,,,,
"Other Current Liabilities: Note programme",,,0.736,,,,,,,,,,,,,,,,,,,,,
"Other Current Liabilities: Other financial liabilities",,,309.272,,72.432,61.949,,10.476,23.771,,,,,,,,,,,,,,,
"Other Current Liabilities: Preference share liabilities",,,,,7.613,12.185,,6.048,,,,,,,,,,,,,,,,
"Total Current Liabilities",61.942,47.732,22.283,25.205,101.093,177.109,72.012,180.472,272.114,223.245,52.31,61.407,47.113,21.496,18.599,11.677,12.468,10.631,7.352,8.328,7.604,7.077,7.735,
"Total Liabilities",3705.681,3638.682,3235.642,2581.431,2042.303,1832.236,101.414,1119.26,1038.491,756.314,392.641,227.549,97.311,55.92,38.165,53.376,33.496,19.376,14.798,22.3,15.138,10.072,8.038,
"Total Equity and Liabilities",1505.793,1805.517,3174.584,2775.178,2235.804,1943.315,1462.593,1214.817,1063.346,777.067,466.179,294.809,150.183,81.053,60.698,74.314,55.019,41.179,33.811,26.147,9.655,8.061,8.775,

Share/unit data,"Mar 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Mar 2018","Sep 2017","Mar 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Sep 2012","Jun 2012","Sep 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (9m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (15m)","Interim (12m)","Interim (6m)","Final (12m)",
,"1 Sep 2020","17 Apr 2020","14 Nov 2019","26 Mar 2019","18 Sep 2018","29 Jun 2018","28 Nov 2017","29 Jun 2017","24 Mar 2017","27 Sep 2016","1 Apr 2016","1 Oct 2015","1 Apr 2015","25 Sep 2014","31 Mar 2014","2 Sep 2013","2 Apr 2013","10 Dec 2012","28 Jun 2012","30 Dec 2011","30 Sep 2011","31 Mar 2011","15 Oct 2010",
"Number of Shares in Issue (Actual)",1079555364,1079555534,1079555364,1079555364,1079555364,1079550795,1079550795,1079550795,931769996,930531435,901588049,901588049,901588049,447132678,444131678,444132000,444131678,444131678,440406000,157652363,150500000,150500000,150500000,
"Weighted Average Shares in Issue (Actual)",1079555000,1079555364,1073555326,1079555364,1079551326,1079550795,1079550795,930907328,916937611,902676200,901588049,901588049,570498813,444132678,444131678,444132000,412524515,404471183,366353000,150970550,150500000,150500000,81703640,
"Market Capitalisation (R'000)",32387,86364,226707,226707,701711,388638,388638,107955,130448,176801,216381,135238,180318,76013,57737,62178,48854,39972,39637,14189,15050,18060,15050,
"Number of Months",12,6,12,6,15,12,6,15,12,6,12,6,12,6,12,6,12,12,6,15,12,6,12,

Share statistics,"Mar 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Mar 2018","Sep 2017","Mar 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Sep 2012","Jun 2012","Sep 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (9m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (15m)","Interim (12m)","Interim (6m)","Final (12m)",
,"1 Sep 2020","17 Apr 2020","14 Nov 2019","26 Mar 2019","18 Sep 2018","29 Jun 2018","28 Nov 2017","29 Jun 2017","24 Mar 2017","27 Sep 2016","1 Apr 2016","1 Oct 2015","1 Apr 2015","25 Sep 2014","31 Mar 2014","2 Sep 2013","2 Apr 2013","10 Dec 2012","28 Jun 2012","30 Dec 2011","30 Sep 2011","31 Mar 2011","15 Oct 2010",
"Earnings Per Share (ZARc)",-187.16,-165.44,-23.67,0.32,9.47,1.55,3.12,8.38,3.16,2.23,2.59,1.76,1.19,0.39,0.48,,0.48,0.3,-0.62,0.47,-2.68,-1.42,-8.13,
"Diluted Earnings Per Share (ZARc)",-187.16,-165.44,-23.67,0.32,9.47,1.55,3.12,8.38,3.16,2.23,2.59,1.76,1.19,0.39,0.48,,0.48,,,0.47,-2.68,-1.38,-8.13,
"Headline Earnings Per Share (Cont Ops) (ZARc)",-186.5,-165.7,-12.64,0.31,7,0.13,1.7,0.01,1.94,0.99,2.49,1.85,0.94,0.02,0.53,0.01,0.49,0.31,-0.62,0.14,-2.67,-1.38,-6.74,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",-186.5,165.7,-12.64,0.31,7,0.13,1.7,0.01,1.94,0.99,2.49,1.85,0.94,0.02,0.53,0.01,0.49,,,0.14,-2.67,-1.34,-6.74,
"Net Asset Value Per Share (ZARc)",-204.45,-171.14,-5.66,17.88,17.92,10.29,13.08,10.26,2.76,5.24,8.67,8.04,6.29,5.8,5.35,4.89,4.89,4.76,4.03,1.73,-1.9,-0.64,0.78,
"3 Year Beta",1.74,2.2,1.37,1.24,0.46,0.2,0.2,0.01,0.65,0.69,-0.09,0.01,-0.18,-0.06,-0.09,1.07,1.78,1.32,1.34,0.62,0.41,0.37,-0.18,
"Cash Generated Per Share",-23.67,-18.2,-47.86,-5.4,10.13,8.34,2.13,4.2,3.75,2.18,0.11,-1.01,0.3,-0.29,1.77,-0.23,0.32,-2.79,-1.41,-5.33,-3.88,-2.09,0.01,
"Net Asset Value Per Share (Base Currency)",-204.45,-171.14,-5.66,17.88,17.92,10.29,13.08,10.26,2.76,5.24,8.67,8.04,6.29,5.8,5.35,4.89,4.89,4.76,4.03,1.73,-1.9,-0.64,0.78,
"Price at Period End (Base Currency)",3,8,21,21,65,36,36,10,14,19,24,15,20,17,13,14,11,9,9,9,10,12,10,
"JSE Market Price High (ZARc)",24,24,63,63,69,69,69,24,24,24,25,20,21,21,21,21,11,10,10,20,20,20,100,
"JSE Market Price Low (ZARc)",2,7,17,17,9,9,9,10,11,16,10,10,9,9,7,7,5,5,7,2,2,7,1,
"JSE Market Price at Period End (ZARc)",3,8,21,21,65,36,36,10,14,19,24,15,20,17,13,14,11,9,9,9,10,12,10,
"JSE Volume Traded (Actual)",37705617,24792325,29459299,20503305,57112087,47676695,30149485,38595547,29657670,20100779,40148116,17814579,22205809,11251021,17292074,6432729,24191204,19203051,8624897,13020283,7620752,3904808,8914454,
"JSE Rand Value Traded (Actual)",3335855,2826937,9205754,6981683,17096883,12932992,6695872,6635525,5579099,4048530,7727509,3015787,3324030,1512502,2453639,743000,1992866,1643076,739162,1168503,783334,430431,2260023,
"12 Month HEPS",-189.66,-178.65,-12.64,3.11,6.96,0.13,1.7,-0.47,1.94,1.63,2.49,2.77,0.94,0.54,0.53,1.43,0.41,0.31,-0.56,0.8,-2.67,-2.91,-6.74,
"12 Month Dividend",,,,,,,,,,,,,,90.75,,,,,,,,,,

Cash flow items,"Mar 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Mar 2018","Sep 2017","Mar 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Sep 2012","Jun 2012","Sep 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (9m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (15m)","Interim (12m)","Interim (6m)","Final (12m)",
,"1 Sep 2020","17 Apr 2020","14 Nov 2019","26 Mar 2019","18 Sep 2018","29 Jun 2018","28 Nov 2017","29 Jun 2017","24 Mar 2017","27 Sep 2016","1 Apr 2016","1 Oct 2015","1 Apr 2015","25 Sep 2014","31 Mar 2014","2 Sep 2013","2 Apr 2013","10 Dec 2012","28 Jun 2012","30 Dec 2011","30 Sep 2011","31 Mar 2011","15 Oct 2010",
"Cash generated by operations",-33.28,-7.552,-244.149,68.891,343.682,251.208,100.789,177.263,95.792,,20.34,,,,,,,,,,,,,
"Net Cash flow from operating activities",-255.55,-196.49,-516.693,-58.274,109.312,90.014,22.964,45.297,34.971,20.271,1.002,-9.085,2.745,-1.291,7.88,-1.001,1.418,-12.412,-6.19,-8.406,-5.841,-3.152,0.021,
"Net cash flow from investing activities",-110.743,-107.13,109.653,-354.251,-943.962,-795.026,-328.409,-683.978,-479.978,-211.075,-251.845,-89.922,-63.538,-0.669,-7.208,-18.557,-29.454,-3.465,-5.629,-0.582,0.43,0.378,-0.2,
"Net cash flow from financing activities",346.112,291.017,390.949,408.25,855.361,701.348,290.038,657.05,478.033,222.386,268.244,108.403,53.091,-1.526,-0.023,20.314,27.963,15.967,13.24,9.263,5.53,2.874,-0.129,
"Net increase(decrease) in cash & cash equivalents",-20.181,-12.603,-16.091,-4.275,20.711,-3.664,-15.407,18.369,33.026,31.582,17.401,9.396,-7.703,-3.486,0.649,0.756,-0.073,0.09,1.421,0.275,0.119,0.1,-0.308,
"Cash & Cash Equivalent beginning of period",36.855,36.855,44.305,44.305,26.48,26.481,26.481,9.741,9.741,9.741,-6.95,-6.95,,,,,,,,,,,,
"Translation effects on cash & cash equivalents",-7.244,6.947,8.641,-2.745,-2.888,1.247,0.123,-1.631,-0.663,-0.413,-0.71,0.044,,,,,,,,,,,,
"Cash & Cash Equivalent end of period",9.43,31.199,36.855,37.285,44.303,24.064,11.197,26.48,42.104,40.91,9.741,2.49,,,,,,,,,,,,

Ratios,"Mar 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Mar 2018","Sep 2017","Mar 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Sep 2012","Jun 2012","Sep 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (9m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (15m)","Interim (12m)","Interim (6m)","Final (12m)",
,"1 Sep 2020","17 Apr 2020","14 Nov 2019","26 Mar 2019","18 Sep 2018","29 Jun 2018","28 Nov 2017","29 Jun 2017","24 Mar 2017","27 Sep 2016","1 Apr 2016","1 Oct 2015","1 Apr 2015","25 Sep 2014","31 Mar 2014","2 Sep 2013","2 Apr 2013","10 Dec 2012","28 Jun 2012","30 Dec 2011","30 Sep 2011","31 Mar 2011","15 Oct 2010",
"Return on Capital Employed",-139.9,-202.54,-8.07,0.28,3.65,0.72,4.52,5.23,2.72,6.35,4.74,11.85,5.06,5.65,2.45,-1.87,1.19,2.02,-17.88,1.26,-303.22,-558.54,-873.46,
"Return on Shareholder Funds",91.82,194.21,-4.13,3.95,0.53,0.14,4.62,0.73,0.79,169.34,26.7,41.13,9.87,13.39,4.58,-5.59,2.36,2.83,-24.89,5.82,113.42,273.3,-1232.56,
"Return on Total Assets",-151.61,-236.31,-0.08,4.11,0.04,0.01,4.15,0.06,5.24,8.14,4.23,10.76,3.95,2.44,10.26,4.01,4.35,2.68,-19.39,-23.28,-85.92,-84.55,-128.98,
"Gross Profit Margin",7.89,11.57,19.92,14.24,82.09,83.21,88.28,86.39,83.11,82.94,83.54,72.49,84.24,77.08,77.99,71.94,73.26,66.58,53.59,61.57,70.32,50.59,28.37,
"Operating Profit Margin",-4452.37,-4401.36,-50.33,132.76,88.32,63.29,73.32,67.8,52.76,54.89,30.7,32.79,19.34,6.84,21.36,11.39,12.2,11.67,-17.24,-81.54,-237.67,-228.12,-158.65,
"Net Profit Margin",-4444.11,-3966.61,-152.97,2.91,21.88,4.41,22.1,24.24,11.85,18.54,16.14,23.78,11.83,9.93,5.69,0.13,6.69,4.51,-18.92,10.92,-137.5,-168.03,-116.29,
"Debt:Equity (excl non-int debt)",-1.66,-1.96,-52.64,13.2,9.95,14.91,9.73,9.83,30.84,25.69,4.73,2.47,1.4,1.37,1.06,1.99,0.98,0.4,0.39,3.63,-1.37,-1.49,0.41,
"Interest Bearing Debt as % of Long-Term Finance",,,,,,,,,,96.14,81.54,70.31,48.11,57.49,45.48,65.95,48.37,26.87,26.73,77.79,367.33,304.37,14.1,
"Interest Cover",-7.82,-13.08,-0.51,1.56,1.58,1.24,1.55,1.67,1.75,2.06,1.87,3.35,2.28,16.3,4.38,6.45,3.53,1.5,-2.03,-2.8,-13.27,-26.89,-8.67,
"Quick Ratio",0.74,1.25,3.77,2.52,8.06,2.85,3.27,2.77,1.57,2.92,6.38,2.91,1.57,1.86,1.64,4.03,2.27,1.82,1.61,0.76,0.25,0.17,0.16,
"Current Ratio",0.74,1.25,3.78,2.54,8.07,2.85,3.28,2.78,1.57,2.92,6.42,2.91,1.57,1.86,1.64,4.03,2.27,1.82,1.61,0.76,0.25,0.17,0.16,
"Debtors Collection Period",243.96,76.96,85.54,37.28,37.01,49.03,45.35,51.25,81.44,168.17,101.85,,,,,,,,,,,,,
"Stock Turn",,,599.49,298.01,102.31,56.94,34.5,28.66,25.97,18.18,13.09,,,,,,,,,,,,,
"Price : Earnings",-0.02,-0.04,-1.66,6.75,9.34,276.92,21.13,-21.05,7.22,11.66,9.64,5.42,21.28,31.48,24.53,9.79,26.83,29.03,-16.07,11.25,-3.75,-4.12,-1.48,
"Sales Per Share (Base Currency)",4.21,8.34,15.55,21.99,34.61,35.16,28.64,27.65,26.72,24.14,16.05,14.82,10.06,7.82,8.4,6.81,7.22,6.75,6.58,3.43,1.95,1.69,6.99,
"Price/Sales Per Share",0.71,0.96,1.35,0.96,1.88,1.02,1.26,0.36,0.52,0.79,1.5,1.01,1.99,2.17,1.55,2.06,1.52,1.33,1.37,2.62,5.13,7.1,1.43,
"Price/Net Asset Value",-0.01,-0.05,-3.71,1.17,3.63,3.5,2.75,0.97,5.07,3.63,2.77,1.87,3.18,2.93,2.43,2.86,2.25,1.89,2.23,5.2,-5.26,-18.62,12.86,
"Price/Cash Flow",-0.13,-0.88,-0.44,-7.78,5.13,4.32,33.8,1.9,3.73,17.43,218.18,-29.7,66.67,-117.24,7.34,-121.74,34.45,-3.23,-12.77,-1.35,-2.58,-11.48,1000,
"NAV%Price",-6815.16,-2139.19,-26.95,85.14,27.57,28.58,36.33,102.6,19.71,27.58,36.14,53.59,31.43,34.09,41.17,34.96,44.45,52.85,44.77,19.23,-19,-5.37,7.77,
"Liquidity%",-6.9,-10.8,-15.97,-4.51,4.28,4.91,45.29,3.24,3.37,5.36,0.26,-7.99,2.82,-4.62,20.65,-3.75,4.23,-64.06,-83.66,-30.16,-38.59,-62.59,0.26,
"Cash Flow:Attributable Profit",0.13,0.22,2.02,-33.79,1.01,63.66,14.14,0.48,1.03,1.91,0.07,-1.38,0.57,-14.51,1.43,-1.22,0.73,-10.07,5.43,-9.53,1.45,2.95,,
