"12 Month Dividend",45,86,81.5,114.5,74,,,,,,,,,,,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"22 Sep 2020","3 Mar 2020","10 Sep 2019","5 Mar 2019","11 Sep 2018","27 Feb 2018","12 Sep 2017","28 Feb 2017","13 Sep 2016","8 Mar 2016","22 Sep 2015","16 Mar 2015","30 Sep 2014","19 Mar 2014","7 Oct 2013",
"Cash generated from operations after WC",1217.045,649.612,1170.806,466.061,911.595,291.641,1033.295,396.257,837.693,307.303,,,,,,
"Net Cash flow from operating activities",574.526,353.501,653.327,213.554,384.589,63.771,124.022,58.644,140.551,-0.108,66.575,-179.164,276.516,-287.017,-19.305,
"Net cash flow from investing activities",-524.482,-336.202,-819.409,-554.218,-116.03,-237.601,310.427,136.607,-1166.362,-1923.647,-2182.147,-1026.557,-3970.959,-1127.497,-636.524,
"Net cash flow from financing activities",49.017,20.897,-381.558,-152.115,535.006,461.524,-423.884,-420.978,735.296,1499.014,2453.684,1746.225,3751.402,1598.894,547.323,
"Dividends paid",-605.191,-288.433,-805.25,-520.334,,,,,,,,,,,,
"Net increase(decrease) in cash & cash equivalents",99.061,38.196,-547.64,-492.779,803.565,287.694,10.565,-225.727,-290.515,-424.741,338.112,,,,,
"Cash & Cash Equivalent beginning of period",673.486,673.486,1221.126,1221.126,417.561,417.561,437.281,437.281,727.796,727.796,389.294,,,,,
"Cash & Cash Equivalent end of period",772.547,711.682,673.486,728.347,1221.126,705.255,447.846,211.554,437.281,303.055,727.796,,,,,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"22 Sep 2020","3 Mar 2020","10 Sep 2019","5 Mar 2019","11 Sep 2018","27 Feb 2018","12 Sep 2017","28 Feb 2017","13 Sep 2016","8 Mar 2016","22 Sep 2015","16 Mar 2015","30 Sep 2014","19 Mar 2014","7 Oct 2013",
"Turnover Per Share",311.51,339.63,324.64,314.87,281.99,259.76,293.41,295.53,231.12,219.41,191.1,180.94,151.45,140.54,139.86,
"Price/Sales Per Share",1.61,3.64,4.04,4.68,6.05,7.66,5.78,5.72,8.14,8.31,11.62,12.16,11.7,12.67,,
"Price/Net Asset Value",0.31,0.58,0.59,0.62,0.7,0.97,0.86,0.9,0.98,0.94,1.3,1.42,1.2,1.39,,
"Price/Cash Flow",6.15,49.18,14.13,97.17,31.18,438.81,96.15,404.55,93.86,-182400,233.68,-172.14,43,-71.99,,
"Return on Capital Employed",-15.67,-0.29,-2.29,0.33,10.06,2.2,2.49,0.54,5.34,8.23,4.41,3.76,5.83,5.66,7.11,
"Return on Stockholder Funds",-32.53,-0.49,-3.87,0.53,15.86,3.97,4.32,1.06,10.28,15.15,8.23,6.62,10,9.48,13.19,
"Return on Total Assets",6.09,8.28,7.38,6.65,6.12,5.86,6.74,6.39,6.74,9.45,5.91,5.4,6.39,7.5,4.99,
"Operating Profit Margin",72.36,77.14,81.21,81.2,81.06,81.14,76.11,78.06,111.2,152.72,99.18,93.05,138.65,131.04,86.32,
"Net Profit Margin",-264.65,-4.57,-40.1,6.13,207.37,47.81,47.79,10.93,124.1,187.56,102.58,86.07,146.34,149.75,173.73,
"Debt : Equity",1.08,0.75,0.69,0.64,0.6,0.67,0.76,0.85,0.8,0.81,0.78,0.76,0.69,0.57,0.94,
"Current Ratio",3.03,1.01,1.56,1.48,1.79,4.11,0.89,2.62,2.83,2.03,2.6,1.38,1.22,0.76,0.48,
"Dividend Cover",-11.9,-0.12,-1.05,0.16,5.2,,,,,,,,,0.96,1.76,
"Debtors Collection Period",56.49,47.53,49.42,57.16,56.84,51.81,48.34,60.37,94.84,96.29,85.35,94.67,94.45,101.11,136.38,
"Operating Return on Investment",7.34,7.97,7.64,7.06,5.47,5.1,5.48,5.66,4.98,4.91,4.88,5.85,3.89,4.45,4.04,
"Operating Income : Turnover",64.94,67.83,67.19,65.09,67.02,65.78,63.98,64.45,68.99,69.01,72.67,69.48,73.74,64.48,66.21,
"Admin & Collection Fees : Turnover",0.35,0.32,0.33,0.35,0.33,0.34,0.36,0.36,0.31,0.31,0.27,0.31,0.26,0.36,0.34,
"Return on Stockholder Funds",2.74,4.2,3.68,3.43,3.05,,,,,,,,,10.78,7.19,
"NAV%Price",327.69,173.36,168.9,160.2,142.17,103.42,116.91,111.13,102.23,105.98,76.85,70.55,83.35,72.19,,
"Price : Earnings",-7.22,20.21,80.99,4.32,5.26,70.34,73.78,-46.54,156.75,44.49,1057.14,27.36,33.56,-70.63,,
"Profitability %",6.07,5.59,4.68,4.61,3.78,3.69,2.9,1.26,4.41,7.22,3.67,4.22,2.75,6.56,1.99,
"Solvency %",189.29,225.65,235.99,247.42,257.64,216.17,203.61,194.44,195.15,202.3,205.54,213.21,221.45,207.2,191.49,
"Int Bearing Debt : Total Assets",0.47,0.4,0.39,0.38,0.36,0.35,0.38,0.41,0.39,0.05,0.4,0.05,0.37,,0.4,
"Liquidity %",4.43,5.9,5.7,3.79,3.56,1.02,0.92,0.84,0.99,,0.59,-3.73,3.32,-8.08,-0.29,
"EV/Ebitda (Pd)",-4.63,47.57,54.04,38.85,11.51,26.31,12.06,,,,,,,,,
"Cash Flow : Attributable Profit",0.7,1.22,0.93,1.24,0.17,1.68,1,-0.02,-0.02,,-0.01,0.06,-0.04,0.14,,
"Loan to value ratio",51.72,39.8,39.82,37.65,35.92,36.63,34.19,42.15,40.77,38.49,40.21,37.56,36.5,,,
"PEG Ratio",,0.03,0.05,0.01,0.01,0.15,0.16,-0.08,0.27,0.07,1.64,0.02,0.02,,,

