"Total Long-Term Liabilities",25305,24730,24146,23572,22988,2680,5331,12140,20372,18017,14530,
"Creditors and Provisions",6790,17496,15217,13440,11099,3539,22648,2385,4763,4718,3489,
"Bank Overdrafts/Short-Term Loans",15602,,,,,,,,,,,
"Other Current Liabilities",,,,,,26271,,11719,,,,
"Total Current Liabilities",22392,17496,15217,13440,11099,29810,22648,14104,4763,4718,3489,
"Total Liabilities",47697,42226,39363,37012,34087,32490,27979,26244,25135,22735,18019,
"Total Equity and Liabilities",83980,81454,77618,82162,83619,81270,82692,83579,92635,83810,82182,

Share/unit data,"Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"1 Oct 2015","17 Mar 2015","1 Oct 2014","14 Mar 2014","27 Sep 2013","8 Mar 2013","28 Sep 2012","15 Mar 2012","30 Sep 2011","11 Mar 2011","20 Sep 2010",
"Exchange Rate (period end)",9.4,9.46,10,9.3,9.04,8.8,8.42,8.28,7.25,6.75,6.55,
"Exchange Rate (weighted average)",9.54,9.76,9.54,9.26,9.07,8.75,8.03,7.85,6.94,6.74,6.7,
"Number of Shares in Issue (Actual)",3549698723,3549698723,3549698723,3113878641,3549698723,3113878641,3113878641,2958675784,2781314361,2400712230,2331300464,
"Weighted Average Shares in Issue (Actual)",3549698723,3549698723,3549698723,3113878641,3156326311,3113878641,2983192306,2360000000,2481222510,2360000000,2084646605,
"Fully Diluted Weighted Average Shares in Issue",3549698723,3549698723,3549698723,3113878641,3156326311,3113878641,2983192306,2360000000,2481222510,2360000000,2084646605,
"Market Capitalisation (R'000)",212982,212982,212982,2543,2119,848,217972,236694,389384,504150,699390,
"Market Capitalisation (R'000): FIRESTONE (FSE)",,212982,212982,319473,212982,283976,,,,,699390,
"Market Capitalisation (R'000): FIRESTONE OPT (FSEO1)",,1695,2119,2543,2119,848,,,,,,
"Number of Months",12,6,12,6,12,6,12,6,12,6,12,

Share statistics,"Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"1 Oct 2015","17 Mar 2015","1 Oct 2014","14 Mar 2014","27 Sep 2013","8 Mar 2013","28 Sep 2012","15 Mar 2012","30 Sep 2011","11 Mar 2011","20 Sep 2010",
"Earnings Per Share (ZARc)",-1.53,-0.68,-1.34,-0.65,-1.72,-0.79,-1.21,-0.63,-1.32,-0.67,-1.07,
"Diluted Earnings Per Share (ZARc)",-1.53,,-1.34,-0.65,-1.72,,-1.21,-0.63,-1.32,-0.67,-1.07,
"Headline Earnings Per Share (Cont Ops) (ZARc)",-1.53,-0.68,-1.34,-0.65,-1.72,-0.79,-1.21,-0.63,,-0.67,,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",-1.53,,-1.34,,,,,,,,,
"Net Asset Value Per Share (ZARc)",9.59,10.5,10.8,13.49,12.67,13.82,14.82,16.7,20.37,17.16,1.84,
"3 Year Beta",2.31,1.4,0.94,0.78,-0.87,-1.84,-1.61,,,,,
"Cash Generated Per Share",-0.02,-0.01,-0.03,-0.02,-0.07,-0.03,-0.05,-0.02,-0.13,-0.04,-0.19,
"Earnings Per Share (Base Currency)",-0.16,-0.07,-0.14,-0.07,-0.19,-0.09,-0.15,-0.08,-0.19,-0.1,-0.16,
"Diluted Earnings Per Share (Base Currency)",-0.16,,-0.14,,-0.19,,-0.15,-0.08,-0.19,-0.1,-0.16,
"Headline Earnings Per Share (Cont) (Base Currency)",-0.16,-0.07,-0.14,-0.07,-0.19,-0.09,-0.15,-0.08,,-0.1,,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",-0.16,,,,,,,,,,,
"Net Asset Value Per Share (Base Currency)",1.02,1.11,1.08,1.45,1.4,1.57,1.76,1.94,2.81,2.54,0.28,
"Price at Period End (Base Currency)",1,1,1,1,1,1,1,1,2,3,5,
"JSE Market Price High (ZARc)",8,8,16,16,13,13,18,18,42,39,45,
"JSE Market Price Low (ZARc)",4,5,5,5,5,7,4,6,14,19,28,
"JSE Market Price at Period End (ZARc)",6,6,6,9,6,8,7,8,14,21,30,
"JSE Volume Traded (Actual)",107881547,60003795,179410414,89917191,92933604,54645243,221831729,65745041,61688378,7981424,2698521,
"JSE Rand Value Traded (Actual)",6392253,3916359,15582682,8503850,7730294,4691125,21381892,8325235,13458825,2019374,960858,
"12 Month HEPS",-1.53,-1.37,-1.34,-1.58,-1.72,-1.37,-1.21,-1.28,-1.32,-1.21,-1.07,

Cash flow items,"Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"1 Oct 2015","17 Mar 2015","1 Oct 2014","14 Mar 2014","27 Sep 2013","8 Mar 2013","28 Sep 2012","15 Mar 2012","30 Sep 2011","11 Mar 2011","20 Sep 2010",
"Net Cash flow from operating activities",-620,-218,-936,-596,-2365,-844,-1472,-739,-3494,-917,-4406,
"Net cash flow from investing activities",-9,-8,-525,-423,-2890,-1209,-2577,-1040,-6863,-4138,-12104,
"Net cash flow from financing activities",607,200,1092,697,5484,2048,2327,771,10208,4560,16769,
"Net increase(decrease) in cash & cash equivalents",-23,-26,-369,-322,229,-4,-1722,-1008,-148,-495,260,

Ratios,"Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"1 Oct 2015","17 Mar 2015","1 Oct 2014","14 Mar 2014","27 Sep 2013","8 Mar 2013","28 Sep 2012","15 Mar 2012","30 Sep 2011","11 Mar 2011","20 Sep 2010",
"Return on Capital Employed",-9.49,-7.65,-7.7,-7.15,-8.06,-11.21,-7.55,-6.43,-5.42,-5.98,-4.37,
"Return on Shareholder Funds",-16.11,-12.48,-12.55,-10.89,-11.81,-11.83,-8.28,-7.79,-7.05,-7.74,-5.36,
"Return on Total Assets",-6.96,-6.01,-6.19,-5.98,-7.99,-7.1,-5.48,-5.34,-5.14,-5.64,-4.18,
"Operating Profit Margin",,,-69200,,-41557.14,,-4687.1,,-3487.93,,-3474.19,
"Net Profit Margin",,,-480200,,-83542.86,,-14616.13,,-8210.34,,-5541.94,
"Debt:Equity (excl non-int debt)",1.13,0.63,0.63,0.52,0.46,0.05,0.1,0.21,0.3,0.29,0.23,
"Interest Bearing Debt as % of Long-Term Finance",41.09,38.67,38.69,34.3,31.7,5.21,8.88,17.47,23.18,22.78,18.46,
"Interest Cover",-0.19,-0.15,-0.17,-0.21,-0.77,-0.88,-0.47,-0.54,-0.74,-0.87,-1.68,
"Quick Ratio",0.12,0.04,0.04,0.01,0.06,0.01,0.02,0.06,0.41,0.34,0.61,
"Current Ratio",0.12,0.04,0.04,0.01,0.06,0.01,0.02,0.06,0.41,0.39,0.73,
"Debtors Collection Period",,,212430,,12983.57,,1919.19,,390.17,,,
"Price : Earnings",-3.92,-4.38,-4.48,-5.7,-3.49,-5.84,-5.79,-6.25,-10.61,-17.36,-28.04,
"Price/Sales Per Share",,,21234.3,,2935.38,,798.44,,855.59,,1681.17,
"Price/Net Asset Value",0.63,0.57,0.55,0.66,0.47,0.58,0.47,0.52,0.71,1.23,17.86,
"Price/Cash Flow",-36.76,-126.84,-19.94,-95.58,-9.3,-60.62,-17.55,-100,-15.92,-155.98,-26.46,
"NAV%Price",159.83,175,180,149.89,211.17,172.75,211.71,208.75,145.5,81.71,6.13,
"Liquidity%",-1.3,-1.03,-2.38,-3.22,-6.94,-5.2,-5.26,-5.63,-13.9,-8.07,-24.45,
"Cash Flow:Attributable Profit",0.11,0.18,0.19,0.48,0.4,0.59,0.32,0.66,0.73,0.78,1.28,
"PEG Ratio",,0.32,3.11,0.25,0.15,0.36,0.36,0.22,0.37,0.51,0.83,

