"Price at Period End (Base Currency)",1100,1100,1100,1100,1500,2500,2700,1300,3400,6200,7000,8500,10000,13000,8000,9000,9000,9000,
"JSE Market Price High (ZARc)",1100,1100,1100,8000,8000,3600,3500,8000,8000,10500,10500,12300,14000,14000,14000,14000,12000,12000,
"JSE Market Price Low (ZARc)",1100,1100,1100,1000,1400,600,600,1200,1300,4000,5500,5500,6000,8000,8000,8000,7000,7000,
"JSE Market Price at Period End (ZARc)",1100,1100,1100,1100,1500,2500,2700,1300,3400,6200,7000,8500,10000,13000,8000,9000,9000,9000,
"JSE Volume Traded (Actual)",,,,83033,61709,403321,194087,36242,11852,55074,33386,36985,51623,9493,16169,10587,50346,7768,
"JSE Rand Value Traded (Actual)",,,,1600380,1304854,8988627,4005555,1085244,543851,4050408.34,2734456.78,3392814.16,4761576.21,1016380.68,1453130.84,953480.14,4138583.25,676738.05,
"12 Month HEPS",-0.6,-0.49,-0.66,-1.54,17.24,-3.76,246,-141,-858,-722,-2474,-1047,-680,-1700,-600,-1000,-500,-400,

Cash flow items,"Feb 2020","Feb 2019","Feb 2018","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Final (12m)","Final (12m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"1 Dec 2020","1 Dec 2020","1 Dec 2020","1 Dec 2020","7 Dec 2016","28 Jun 2016","4 Dec 2015","29 May 2015","15 Dec 2014","4 Jun 2014","28 Nov 2013","31 May 2013","19 Nov 2012","31 May 2012","30 Nov 2011","27 May 2011","26 Nov 2010","28 May 2010",
"Cash generated by operations",-289,-407,-1086,-3157,,-8920,,-12620,,,,,,,,,,,
"Working capital changes",,,,,,814,,636,,,,,,,,,,,
"Net Cash flow from operating activities",-289,-407,-1086,-3157,-867,-9015,-4112,-12734,-6085,-8660,-4439,-20786,-2700,-1500,-200,-1400,-1400,-1100,
"Net cash flow from investing activities",,,,,,-520,-72,26,,-344,-320,-82,,,,,,,
"Net cash flow from financing activities",289,407,1086,2759,473,9902,5698,12835,7688,4180,1000,25206,,,,,,,
"Net increase(decrease) in cash & cash equivalents",,,,-398,-394,367,1513,127,1603,-4825,-3759,4338,,,,,,,
"Cash & Cash Equivalent beginning of period",1,2,2,399,401,33,33,-94,,,,,,,,,,,
"Cash & Cash Equivalent end of period",1,1,2,2,7,400,1546,33,,,,,,,,,,,

Ratios,"Feb 2020","Feb 2019","Feb 2018","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Final (12m)","Final (12m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"1 Dec 2020","1 Dec 2020","1 Dec 2020","1 Dec 2020","7 Dec 2016","28 Jun 2016","4 Dec 2015","29 May 2015","15 Dec 2014","4 Jun 2014","28 Nov 2013","31 May 2013","19 Nov 2012","31 May 2012","30 Nov 2011","27 May 2011","26 Nov 2010","28 May 2010",
"Return on Capital Employed",154.6,170.79,201.96,570.78,-97.73,-38.33,287.74,,-528.08,-633.37,-188.53,-865.84,4.42,,-0.43,-3.07,-3.84,-2.94,
"Return on Shareholder Funds",15.72,15.34,24.39,90.59,-84.87,-38.33,74,135.13,-1399.8,-15976.12,-271.05,-915.2,4.59,-8.53,-0.45,-3.22,-4.07,-3.09,
"Return on Total Assets",-132.96,-134.76,-220.35,-739.31,446.2,-89.85,-96.25,-240.38,-487.27,-495.1,-206.47,-885.84,11.63,5.43,0.21,-3.07,-3.2,-2.94,
"Gross Profit Margin",,,4.7,,,,,,,,,,,,,,,,
"Operating Profit Margin",,,-209.55,,,,,,,-4342.34,,-5079.32,100,100,100,100,100,100,
"Net Profit Margin",,,-218.35,,,,,,,-4315.32,,-4990.3,-520,-150,-200,100,120,100,
"Debt:Equity (excl non-int debt)",-0.9,-0.91,-0.88,-0.84,-0.13,,-0.74,-1,1.65,26.09,0.44,0.06,0.04,0.05,,,,,
"Interest Bearing Debt as % of Long-Term Finance",,,,,,,,,,,,,3.72,4.52,,,,,
"Interest Cover",-19.17,-14.29,-23.83,-89.88,,-0.56,,-24.54,-69.13,165.68,24.05,58.82,-0.11,-1.2,,,,,
"Quick Ratio",0.47,0.47,0.39,0.34,0.07,0.65,0.25,0.12,1.26,0.61,3.87,6.97,,,,,,,
"Current Ratio",0.47,0.47,0.39,0.34,0.07,0.65,0.25,0.12,1.26,0.61,3.87,6.97,,,,,,,
"Dividend Cover",,,,,,,,,,,,,,-0.75,,-0.29,-0.79,-0.29,
"Dividend Cover (HEPS)",,,,,,,,,,,,,,-2.85,,,,,
"Debtors Collection Period",,,292.22,,,,,,,1458.53,,276.45,,,,,,,
"Price : Earnings",-1833.33,-2244.9,-1666.67,-714.29,87.01,-664.89,10.98,-9.22,-3.96,-8.59,-2.83,-8.12,-14.71,-7.65,-13.33,-9,-18,-22.5,
"Sales Per Share (Base Currency)",,,0.3,,,,,,,16.74,,86.85,,,,,,,
"Price/Sales Per Share",,,3666.67,,,,,,,370.43,,97.86,,,,,,,
"Price/Net Asset Value",-289.47,-343.53,-405.9,-536.89,-20.55,-131.54,-5.56,-2.63,49.28,620,30.17,15.77,0.92,1.17,0.69,0.79,0.77,0.75,
"Price/Cash Flow",-16561.91,-11760.18,-4400,-1516.12,-150.53,-12.07,-29.93,-2.33,-22,-13.77,-59.12,-15.17,-14.07,,-150.94,-48.85,-24.46,-62.07,
"NAV%Price",-0.35,-0.29,-0.25,-0.19,-4.87,-0.76,-17.99,-38.01,2.03,0.16,3.31,6.34,108.96,85.44,144.76,127.21,129.26,132.48,
"Liquidity%",-1.56,-2.62,-8.28,-31.5,-40.51,-292.03,-54.82,-92.54,-400.46,-262.82,-397.76,-2878.95,-168.75,,,,,,
"Cash Flow:Attributable Profit",0.11,0.19,0.38,0.39,-1.14,4.55,6.47,4.38,1.77,0.81,1.99,1.17,-1.42,,,,,,
"Cash/Equity (%)",-0.01,-0.01,-0.01,-0.01,-0.19,-47.62,,,,,,,,,,,,,
"PEG Ratio",-42.28,-35.1,-23.11,-42.09,34.87,-266.46,-52.34,43.96,3.7,8.02,3.52,10.1,18.92,15.7,27.37,13.81,27.62,-90.66,

