"Price/Sales Per Share",9.59,-10.74,125.23,6.17,3.01,-13.83,,
"Price/Net Asset Value",0.68,0.68,0.72,0.72,0.75,0.65,,
"Price/Cash Flow",4.19,0.81,73.76,-15.82,224.47,-44.62,,
"Return on Capital Employed",2.91,-7.45,-1.16,2.23,18.9,-4.67,12.31,
"Return on Stockholder Funds",2.91,-7.45,-1.16,2.24,18.96,-4.67,12.71,
"Return on Total Assets",2.13,-3.2,-1.75,4.34,23.22,-5.5,18.76,
"Operating Profit Margin",53.33,145.61,-342.86,38.42,92.89,152.6,92.88,
"Net Profit Margin",128.97,68.98,30.59,52.51,81.77,75.6,65.01,
"Debt : Equity",,,,,,0.11,0.01,
"Current Ratio",1.77,1.25,3.71,13.53,712.54,4.86,87.24,
"Debtors Collection Period",13795.49,-3626.38,-99.18,413.28,0.01,-0.87,2.42,
"Operating Return on Investment",7.38,-30.53,-12.26,11.37,48.15,-11.55,,
"Operating Income : Turnover",29.29,176.17,-764.28,36.1,92.38,154.26,92.65,
"Admin & Collection Fees : Turnover",0.71,-0.76,8.64,0.64,0.08,-0.54,0.07,
"NAV%Price",146.34,147.89,138.14,138.4,132.46,154.71,,
"Price : Earnings",12.23,-8.84,-8.68,32.58,21.53,-11.86,,
"Profitability %",1.16,-3.84,-3.86,4.02,23.09,-5.56,18.71,
"Solvency %",227.42,153.2,787.72,2090.25,23779.22,1007.35,2351.96,
"Int Bearing Debt : Total Assets",,,,,,0.1,0.01,
"Liquidity %",13.26,44.34,26.99,-90.9,318.47,-13.14,-238.98,
"EV/Ebitda (Pd)",,5.1,,,5.26,,,
"Cash Flow : Attributable Profit",2.75,-10.92,-5.81,-2.06,0.14,0.31,-1.67,
"PEG Ratio",-0.14,0.05,0.4,-1.49,-0.11,0.06,,

