"Exchange Rate (period end)",17.33,14.06,14.09,14.38,13.72,12.38,13.05,13.69,14.87,15.47,12.17,11.6,10.64,10.5,
"Exchange Rate (weighted average)",16.66,14.45,14.2,13.25,12.3,13.3,13.21,14.71,15.41,12.78,11.92,10.83,10.7,9.65,
"Number of Shares in Issue (Actual)",14586200000,14586200000,14583200000,14586200000,14586200000,14256020000,14586200000,14224100000,14586200000,13317970000,12278405000,13098766000,13278405000,11093184000,
"Weighted Average Shares in Issue (Actual)",13315151000,13684091000,13709712000,14151826000,14278227000,14256020000,14248660000,14224100000,14220554000,13317970000,12937722000,13098766000,13122578000,11093184000,
"Fully Diluted Weighted Average Shares in Issue",13315151000,13776565000,13778788000,14253527000,14391148000,14423044000,14364693000,14358279000,14220554000,13317970000,12977298000,13151345000,13137423000,11093184000,
"Market Capitalisation (R'000)",531812852,632749356,718660096,781382734,961959890,917517447,714869662,663980988,433064278,277146956,603483606,705761512,787409417,608017415,
"Number of Months",6,12,6,12,6,12,6,12,6,12,6,12,6,12,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"6 Aug 2020","18 Feb 2020","7 Aug 2019","20 Feb 2019","8 Aug 2018","21 Feb 2018","10 Aug 2017","23 Feb 2017","24 Aug 2016","1 Mar 2016","19 Aug 2015","3 Mar 2015","20 Aug 2014","4 Mar 2014",
"Earnings Per Share (ZARc)",-333.2,-43.35,28.4,318.12,233.79,545.3,224.57,147.1,-46.23,-472.86,-59.6,194.94,139.1,-704.45,
"Diluted Earnings Per Share (ZARc)",-333.2,-43.35,28.4,318.12,233.79,532,224.57,147.1,-46.23,-472.86,-59.6,194.94,139.1,-704.45,
"Headline Earnings Per Share (Cont Ops) (ZARc)",83.3,224.96,113.6,424.16,246.09,452.2,224.57,44.13,-46.23,-38.34,35.76,227.43,139.1,221.95,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",83.3,224.96,113.6,424.16,246.09,452,224.57,44.13,-46.23,-38.34,35.76,227.43,139.1,221.95,
"Interim Dividend (ZARc)",,,,141.27,141.27,45.45,45.45,,,78.47,78.47,64.23,64.23,,
"Final Dividend (ZARc)",,300,,292.16,,119.98,,46.84,,,,142.75,,116.13,
"Dividend Per Share (ZARc)",,300,,433.43,141.27,165.43,45.45,46.84,,78.47,78.47,206.98,64.23,116.13,
"Distributions Per Share (ZARc)",,300,,433.43,141.27,165.43,45.45,46.84,,78.47,78.47,206.98,64.23,116.13,
"Net Asset Value Per Share (ZARc)",4285.36,3882.11,4074.12,4510.7,4433.68,4320.74,4095.09,4258.14,4207.32,4791.99,4455.8,4298.73,4001.81,4667.57,
"3 Year Beta",1.56,1.13,1.17,1.18,1.85,2.06,2.07,1.78,,,,,,,
"Cash Generated Per Share",-1.14,59.84,33.11,79.25,35.19,33.79,33.61,33.98,27.32,97.84,61.13,62.11,33.42,82.79,
"Earnings Per Share (Base Currency)",-20,-3,2,24,19,41,17,10,-3,-37,-5,18,13,-73,
"Diluted Earnings Per Share (Base Currency)",-20,-3,2,24,19,40,17,10,-3,-37,-5,18,13,-73,
"Headline Earnings Per Share (Cont) (Base Currency)",5,16,8,32,20,34,17,3,-3,-3,3,21,13,23,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",5,16,8,32,20,34,17,3,-3,-3,3,21,13,23,
"Distributions Per Share (Base Currency)",,20,,20,10,13.5,3.5,7,,6,6,12,6,11.1,
"Net Asset Value Per Share (Base Currency)",247.28,276.11,289.15,313.57,322.94,349.01,313.8,311.04,282.94,,366.13,370.58,376.11,444.53,
"Price at Period End (Base Currency)",210,310,350,372,480,520,377,343,202,134,403,466,561,527,
"JSE Market Price High (ZARc)",4682,6265,6265,7209,7209,7198,5686,5380,3627,5782,5782,6900,6440,5549,
"JSE Market Price Low (ZARc)",2254,3880,4480,4818,5671,4528,4528,1665,1665,1420,4139,5110,5275,4967,
"JSE Market Price at Period End (ZARc)",3646,4338,4928,5357,6595,6436,4901,4668,2969,2081,4915,5388,5930,5481,
"JSE Volume Traded (Actual)",361587506,665141816,340751077,739676364,348847934,918736747,483421777,1218502880,652902007,1308162967,327732517,668335656,390067142,151613976,
"JSE Rand Value Traded (Actual)",12724597811,32863559824,18409817435,44435820953,22247705311,51680019590,24791911453,40745782524,18236685383,41452125271,16457755536,39411429578,22410175479,8058016782,
"12 Month HEPS",194.66,224.96,291.67,424.16,473.72,452.2,314.93,44.13,-120.33,-38.34,124.09,227.43,250.07,221.95,
"12 Month Dividend",,152.31,292.16,420.98,281.98,165.43,280.25,187.77,93.52,78.47,221.22,211.46,204.87,179.73,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"6 Aug 2020","18 Feb 2020","7 Aug 2019","20 Feb 2019","8 Aug 2018","21 Feb 2018","10 Aug 2017","23 Feb 2017","24 Aug 2016","1 Mar 2016","19 Aug 2015","3 Mar 2015","20 Aug 2014","4 Mar 2014",
"Cash generated by operations",4317,10346,5409,13210,6805,11866,5599,7868,2851,7545,4066,10978,5576,,
"Working capital changes",-3250,2088,1743,1325,130,-4965,379,-1186,2157,7525,4732,-703,,,
"Net Cash flow from operating activities",-166,8729,4828,11559,5133,4817,4903,4833,3985,13030,7506,8136,4437,9184,
"Net cash flow from investing activities",-1471,-3716,-1643,-7293,-2446,-2533,-938,3612,-1510,-5089,-3103,-4031,-4919,-6695,
"Net cash flow from financing activities",1241,-5147,-3395,-4334,-2598,-2665,-4482,-8629,-2494,-8058,-4165,-4130,870,-2422,
"Dividends paid",,-2710,-1368,-2836,-1427,-998,,,,-2328,-1551,-2244,-1457,-2062,
"Net increase(decrease) in cash & cash equivalents",-396,-134,-210,-68,89,-381,-517,-184,-19,-117,238,-25,388,-67,
"Cash & Cash Equivalent beginning of period",1901,2046,2046,2147,2147,2508,2518,2707,2707,2824,2824,2849,,,
"Translation effects on cash & cash equivalents",-72,-11,2,-33,-48,21,1,-15,,,,,,,
"Cash & Cash Equivalent end of period",1433,1901,1838,2046,2188,2148,2002,2508,2688,2707,3062,2824,,,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"6 Aug 2020","18 Feb 2020","7 Aug 2019","20 Feb 2019","8 Aug 2018","21 Feb 2018","10 Aug 2017","23 Feb 2017","24 Aug 2016","1 Mar 2016","19 Aug 2015","3 Mar 2015","20 Aug 2014","4 Mar 2014",
"Return on Capital Employed",-12.18,-1.78,-0.36,2.96,5.82,5.66,5.47,1.15,-1.46,-9.26,-1.59,2.26,3.2,-7.32,
"Return on Shareholder Funds",-27.45,-3.84,-0.76,5.76,10.84,10.44,10.12,2.14,-3,-19.63,-3.38,4.75,6.7,-15.08,
"Return on Total Assets",0.05,-1.32,2.58,-0.37,-1.17,-0.21,-1.35,-1.27,-1.28,-1.05,-0.71,-0.57,-0.53,-5.28,
"Operating Profit Margin",1.12,,1.99,,,,,,,,,,,-3.09,
"Net Profit Margin",-3.66,-0.19,0.21,1.55,2.56,2.81,2.44,0.9,-0.53,-2.91,-0.79,1.04,1.51,-3.46,
"Debt:Equity (excl non-int debt)",1.63,1.36,1.28,1.13,1.05,1.03,1.02,1.08,1.26,1.39,1.36,1.34,1.41,1.37,
"Interest Bearing Debt as % of Long-Term Finance",44.65,42.56,41.51,36.8,33.67,33.16,34.26,34.62,41.89,44.34,44.7,44.15,43.38,42.36,
"Interest Cover",-5.53,0.42,1.31,3.4,5.98,4.97,4.78,0.63,0.1,-4.82,-0.04,3.46,3.72,-5.15,
"Quick Ratio",0.47,0.56,0.54,0.59,0.55,0.58,0.57,0.58,0.7,0.58,0.61,0.65,0.79,0.79,
"Current Ratio",0.99,1.06,1.05,1.1,1.08,1.12,1.05,1,1.07,1.03,1.13,1.21,1.28,1.28,
"Dividend Cover",,-0.14,,0.73,1.65,3.3,4.94,3.14,,-6.03,-0.76,0.94,2.17,-6.07,
"Dividend Cover (HEPS)",,0.75,,0.98,1.74,2.73,4.94,0.94,,-0.49,0.46,1.1,2.17,1.91,
"Debtors Collection Period",32.29,28.88,28.08,29.44,33.4,36.16,29.53,47.89,40.83,36.4,43.34,35.42,38.11,38.49,
"Stock Turn",7.04,10.56,10.22,10.28,8.5,8.21,10.81,8.16,8.59,9.12,7.08,0.01,9.52,9.98,
"Price : Earnings",18.73,19.28,16.9,12.63,13.92,14.23,15.56,105.78,-24.67,-54.28,39.61,23.69,23.71,24.69,
"Sales Per Share (Base Currency)",1065.87,1571.98,1562.37,1558.27,1520.55,1441.33,1407.67,1075.27,976.4,1280.2,1324.93,1687.74,1738.44,2097.63,
"Price/Sales Per Share",0.2,0.2,0.22,0.24,0.32,0.36,0.27,0.32,0.21,0.1,0.3,0.28,0.32,0.25,
"Price/Net Asset Value",0.85,1.12,1.21,1.19,1.49,1.49,1.2,1.1,0.71,,1.1,1.26,1.49,1.18,
"Price/Cash Flow",-368.42,5.18,21.13,4.69,27.27,15.39,22.4,10.1,14.79,1.37,13.18,7.51,33.56,6.36,
"NAV%Price",117.54,89.49,82.67,84.2,67.23,67.13,83.56,91.22,141.71,230.27,90.66,79.78,67.48,85.16,
"Liquidity%",-0.42,10.29,11.28,13.88,11.8,5.59,13.08,5.98,9.18,14.95,15.05,8.08,8.4,8.99,
"Cash Flow:Attributable Profit",-0.13,-8.19,7.69,-6.72,-6.08,-3.42,-8.34,-2.86,-16.6,7.3,-23.31,-2.95,-7.57,-1.14,
"Cash/Equity (%)",4.33,4.84,4.42,4.51,4.59,4.29,4.47,,,,,,,,
"EV/Ebitda (Pd)",,309.59,,112.85,,,,,,,,,,,
"PEG Ratio",0.1,0.1,0.08,0.06,0.03,0.03,0.05,0.33,-0.07,-0.15,0.07,0.04,0.02,0.02,

