,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"2 Dec 2020","1 Jun 2020","18 Nov 2019","10 Jun 2019","14 Nov 2018","16 May 2018","14 Nov 2017","19 Jun 2017","3 Nov 2016","19 May 2016",
"Fixed Assets",27514,28838,25668,21737,18764,15276,15865,212,175,173,
"Investments in Associates",,,,26360,27583,28788,36333,,,,
"Goodwill",728578,728578,728578,728578,728578,728578,728578,,,,
"Intangible Assets",61975,61871,65598,62259,66655,71452,78166,,,,
"Deferred Tax Asset",8880,7424,6086,5141,6416,2644,3021,,,,
"Other Assets",20449,24433,28397,19011,18298,17625,16953,,,,
"Total Fixed Assets",847396,851144,854325,863086,866294,864363,878916,212,175,173,
"Stock",4018,8140,52853,16167,10103,21320,,,,,
"Debtors",92587,81098,131697,44368,108304,68035,98703,589,591,480,
"Cash",488416,505121,415896,611227,551525,513170,463482,1047789,1037034,1008020,
"Tax",2165,870,3151,4588,510,308,247,247,,,
"Other Current Assets",4956,1456,,5180,5092,4512,,,,,
"Total Current Assets",592142,596685,603597,681530,675534,607345,562432,1048625,1037625,1008500,
"Total Assets",1439538,1447829,1457922,1544616,1541828,1471708,1441348,1048837,1037800,1008673,
"Ordinary Share Capital & Premium",1003600,976599,1009048,1204657,1207330,1211781,1234341,1004003,,1004003,
"Distributable Reserves",322886,304628,241265,216387,188690,155356,98974,38820,,22159,
"Other Capital",5514,27789,26831,26072,25348,25151,24926,,,-22543,
"Ordinary Shareholders' Interest",1332000,1309016,1277144,1447116,1421368,1392288,1358241,1042823,1030512,1003618,
"Total Shareholders' Interest",1332000,1309016,1277144,1447116,1421368,1392288,1358241,1042823,1030512,1003618,
"Deferred Tax Liability",11131,12502,14359,16217,18075,19932,21790,,,,
"Other Long-Term Liabilities",22634,28289,41017,18426,15380,15756,16555,,,,
"Total Long-Term Liabilities",33765,40791,55376,34643,33455,35688,38345,,,,
"Creditors and Provisions",57190,68725,112560,53357,72362,33091,29122,6014,1133,4969,
"Tax",1813,6542,3062,4034,,6326,7257,,6155,86,
"Bank Overdrafts/Short-Term Loans",,,,2434,13318,2990,350,,,,
"Other Current Liabilities",14770,22755,9780,3032,1325,1325,8033,,,,
"Total Current Liabilities",73773,98022,125402,62857,87005,43732,44762,6014,7288,5055,
"Total Liabilities",107538,138813,180778,97500,120460,79420,83107,6014,7288,5055,
"Total Equity and Liabilities",1439538,1447829,1457922,1544616,1541828,1471708,1441348,1048837,1037800,1008673,

Share/unit data,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"2 Dec 2020","1 Jun 2020","18 Nov 2019","10 Jun 2019","14 Nov 2018","16 May 2018","14 Nov 2017","19 Jun 2017","3 Nov 2016","19 May 2016",
"Number of Shares in Issue (Actual)",1310000000,1310000000,1310000000,1555000000,1555000000,1555000000,1555000000,1250000000,1250000000,1250000000,
"Weighted Average Shares in Issue (Actual)",1219063984,1333003863,1468535272,1495475231,1497743079,1505442013,1495935842,1250000000,1250000000,1250000000,
"Fully Diluted Weighted Average Shares in Issue",1254763089,1363003863,1498535272,1525475231,1529650423,1532647492,1520198137,1250000000,1250000000,1250000000,
"Market Capitalisation (R'000)",1244500,786000,1008700,1150700,1508350,1244000,1212900,1087500,1162500,1200000,
"Number of Months",6,12,6,12,6,12,6,12,6,12,
"Number of Employees",,,,249,,222,,139,,,

Share statistics,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"2 Dec 2020","1 Jun 2020","18 Nov 2019","10 Jun 2019","14 Nov 2018","16 May 2018","14 Nov 2017","19 Jun 2017","3 Nov 2016","19 May 2016",
"Earnings Per Share (ZARc)",4.45,11.24,3.94,8.33,4.23,9.49,3.75,3.14,2.15,1.77,
"Diluted Earnings Per Share (ZARc)",4.32,10.99,3.86,8.17,4.14,9.33,3.69,3.14,2.15,1.77,
"Headline Earnings Per Share (Cont Ops) (ZARc)",4.45,10.67,3.43,8.33,4.23,9.53,3.75,3.14,2.15,1.77,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",4.32,10.44,3.36,8.17,4.14,9.36,3.69,3.14,,,
"Interim Dividend (ZARc)",2.5,2.25,2.25,2.25,2.25,2,2,,,,
"Final Dividend (ZARc)",,2.75,,2,,2,,,,,
"Dividend Per Share (ZARc)",2.5,5,2.25,4.25,2.25,4,2,,,,
"Distributions Per Share (ZARc)",2.5,5,2.25,4.25,2.25,4,2,,,,
"Net Asset Value Per Share (ZARc)",101.68,109,97.49,93.06,95,89.54,87.35,83.43,82.44,80.29,
"3 Year Beta",0.41,0.08,-0.33,-0.47,,,,,,,
"Cash Generated Per Share",0.95,9.63,-1.14,7.98,3.64,7.33,2.56,3.2,2.33,2.14,
"Net Asset Value Per Share (Base Currency)",101.68,109,97.49,93.06,95,89.54,87.35,83.43,82.44,80.29,
"Price at Period End (Base Currency)",95,60,77,74,97,80,78,87,93,96,
"JSE Market Price High (ZARc)",102,83,83,105,105,99,90,100,100,125,
"JSE Market Price Low (ZARc)",55,51,69,36,36,60,70,80,89,87,
"JSE Market Price at Period End (ZARc)",95,60,77,74,97,80,78,87,93,96,
"JSE Volume Traded (Actual)",71577713,152500871,41541257,187501239,121527327,281794922,100717868,191901904,104193202,194466266,
"JSE Rand Value Traded (Actual)",58302189,111930536,31920475,167914373,113771946,213806544,79001534,178429234,97507570,208457162,
"12 Month HEPS",11.69,10.67,7.53,8.33,10.01,9.53,4.74,3.14,4.3,1.77,
"12 Month Dividend",5.25,5,4.25,4.25,4.25,4,4,2,,,

Cash flow items,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"2 Dec 2020","1 Jun 2020","18 Nov 2019","10 Jun 2019","14 Nov 2018","16 May 2018","14 Nov 2017","19 Jun 2017","3 Nov 2016","19 May 2016",
"Cash generated by operations",65657,206086,20078,212698,92423,166302,40645,-18771,-6223,2284,
"Working capital changes",,,45502,,9830,,-25389,,,,
"Net Cash flow from operating activities",12450,126178,-14902,124024,56633,113926,39870,39953,29125,26743,
"Net cash flow from investing activities",-11486,4647,17283,-19855,-8975,-588737,-589585,-185,-112,-182,
"Net cash flow from financing activities",-17157,-235944,-195609,-10113,-8813,-60443,-34942,,,981459,
"Dividends paid",-33858,-57827,,-63583,,-30400,,,,,
"Net increase(decrease) in cash & cash equivalents",-16193,-105120,-193228,94056,38845,-535254,-584657,39768,29013,1008020,
"Cash & Cash Equivalent beginning of period",505121,608793,608793,513170,512680,1047789,1047789,1008020,1008020,,
"Translation effects on cash & cash equivalents",-512,1447,331,1567,,635,,,,,
"Cash & Cash Equivalent end of period",488416,505121,415896,608793,551525,513170,463132,1047789,1037034,1008020,

Ratios,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"2 Dec 2020","1 Jun 2020","18 Nov 2019","10 Jun 2019","14 Nov 2018","16 May 2018","14 Nov 2017","19 Jun 2017","3 Nov 2016","19 May 2016",
"Return on Capital Employed",7.94,11.1,8.69,8.41,8.7,10.01,8.04,3.76,5.22,2.21,
"Return on Shareholder Funds",8.14,11.45,9.06,8.61,8.91,10.27,8.27,3.76,5.22,2.21,
"Return on Total Assets",23,34.03,21.55,26.53,23.69,29.77,24.65,5.75,7.2,3.05,
"Gross Profit Margin",44.39,47.38,43.08,49.11,41.43,47.94,40.38,,,,
"Operating Profit Margin",19.92,26.86,18.34,27.1,22.92,31.94,28.35,-24.77,94,93.29,
"Net Profit Margin",16.75,21.37,20.55,20.5,20.07,28.13,27.83,48.9,67.67,67.16,
"Debt:Equity (excl non-int debt)",0.03,0.03,0.04,0.03,0.03,0.03,0.03,,,,
"Interest Cover",-6.35,-4.78,-2.98,-3.68,-4.16,-4.2,-2.67,0.25,,,
"Quick Ratio",7.97,6,4.39,10.59,7.65,13.4,12.56,174.36,142.37,199.51,
"Current Ratio",8.03,6.09,4.81,10.84,7.76,13.89,12.56,174.36,142.37,199.51,
"Dividend Cover",1.78,2.25,1.75,1.96,1.88,2.37,1.88,,,,
"Dividend Cover (HEPS)",1.78,2.13,1.52,1.96,1.88,2.38,1.88,,,,
"Debtors Collection Period",52.21,42.21,85.37,26.65,62.66,48.86,89.27,2.68,2.71,5.31,
"Stock Turn",89.59,45.33,6.06,19.13,36.57,12.41,,,,,
"Price : Earnings",8.13,5.62,10.23,8.88,9.69,8.39,16.46,27.71,21.63,54.24,
"Sales Per Share (Base Currency)",53.1,52.61,38.34,40.64,42.12,33.76,26.98,6.41,6.36,2.64,
"Price/Sales Per Share",1.79,1.14,2.01,1.82,2.3,2.37,2.89,13.57,14.62,36.36,
"Price/Net Asset Value",0.93,0.55,0.79,0.8,1.02,0.89,0.89,1.04,1.13,1.2,
"Price/Cash Flow",199.92,6.23,-135.09,9.27,53.3,10.91,60.94,27.19,79.83,44.86,
"NAV%Price",107.03,181.67,126.61,125.76,97.94,111.93,111.98,95.9,88.65,83.63,
"Liquidity%",23.15,90.9,-16.49,127.2,94.03,143.45,95.95,664.33,799.26,529.04,
"Cash Flow:Attributable Profit",0.55,0.84,-0.61,0.91,1.79,0.8,1.42,1.02,2.17,1.21,
"Cash/Equity (%)",36.67,38.59,32.56,42.24,38.8,36.86,34.12,100.48,,,
"EV/Ebitda (Pd)",8.15,1.15,6.61,2.75,10.52,3.61,,,,,
"PEG Ratio",0.11,0.08,0.11,0.1,0.07,0.06,0.21,0.36,,,

