"Total Comprehensive Income/Loss for the period",-29640,-17372,-7703,44041,26524,42960,14805,68139,25248,60420,18511,47161,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-34283,-17054,-8551,43763,26010,42777,14428,67603,24979,60110,18356,47165,-3802,-4453,5232,-16355,-9783,-22704,-5600,-63932,-37789,-97937,-66874,
"Enterprise Value (EV)",143886,194340,432592,499353,510687,693811,548825,759791,702538,1066875,1388449,2102067,1142878,1535328,1109422,1486119,532551,301773,498193,618849,547445,513222,486047,

Balance sheet (ZAR '000),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (9m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (16m)","Interim (12m)",
,"13 Nov 2020","11 Aug 2020","14 Nov 2019","26 Jun 2019","13 Nov 2018","28 Jun 2018","9 Nov 2017","30 Jun 2017","10 Nov 2016","29 Jun 2016","5 Nov 2015","26 Jun 2015","3 Nov 2014","27 Jun 2014","20 Nov 2013","27 Jun 2013","21 Feb 2013","26 Sep 2012","28 Mar 2012","29 Sep 2011","31 Mar 2011","30 Sep 2010","31 May 2010",
"Fixed Assets",108151,124271,149729,147060,151802,143665,141632,142798,135254,134181,,128787,,129180,,116878,,,,14021,,416921,232968,
"Right-of-use Asset",58194,42138,46006,,,,,,,,,,,,,,,,,,,,,
"Investments in Associates",782531,812679,804437,812202,782069,765870,738048,743843,720005,670467,,652313,,616389,,631134,,625990,,613469,,87,,
"Investments and Loans",121,2000,121,2000,121,2000,,2000,,,,,,,,,,,,,,,,
"Goodwill",223422,223422,223422,223422,223422,223422,223422,223422,223422,223422,,223422,,223422,,223422,,,,,,749,3749,
"Intangible Assets",,,,574,,2867,,5162,,7456,,10897,,14338,,19915,,,,59201,,88990,69125,
"Other Assets",19024,10882,12755,11038,14638,8580,18682,10639,5735,,,,,6924,,9805,,18434,,21164,,,,
"Long-Term Receivables",,,,,,,,,,,,,,,,,,,158197,5080,20000,567,568,
"Long-Term Receivables: Deposits for rehabilitation",,,,,,,,,,,,,,,,,,,,,,,568,
"Total Fixed Assets",1191443,1215392,1236470,1196296,1172052,1146404,1121784,1127863,1084416,1035526,999867,1015419,983827,990253,996316,1001154,643230,644424,813806,712935,715084,507314,306410,
"Stock",19403,16764,18759,18154,18236,16829,16289,16972,11683,12245,,8965,,7973,,6730,,,,,,,,
"Debtors",116958,79071,115435,100849,115631,133332,132987,121614,113257,110971,,110753,,75937,,60600,,27,,11907,,16880,70991,
"Cash",9864,6381,3769,2824,6232,10510,26490,44757,38301,91231,,70914,,26001,,22338,,24629,,5835,,14900,40159,
"Tax",,1643,,1176,,,,,,,,934,,,,,,,,,,57,,
"Other Current Assets",4889,18504,1402,,,,864,,13726,12988,,12504,,6649,,8926,,4525,,21031,,73438,26309,
"Other Current Assets: Director loans",,,,,,,,,,,,,,,,,,,,,,1,,
"Other Current Assets: Loans to group companies",,,,,,,,,,,,,,,,337,,928,,945,,577,,
"Other Current Assets: Other financial assets",,,,,,,,,,12988,,12504,,6649,,8589,,3597,,20086,,72524,,
"Other Current Assets: Other Loans",,,,,,,,,,,,,,,,,,,,,,336,,
"Total Current Assets",151114,122363,139365,123003,140099,160671,176630,183343,176967,227435,234522,204070,166358,116559,125132,98594,21985,29181,26046,38773,76796,105276,137459,
"Total Assets",1342557,1337755,1375835,1319299,1312151,1307075,1298414,1311206,1261383,1262961,1234389,1219489,1150185,1106812,1121448,1099749,665215,673605,839852,751708,791880,612590,443869,
"Ordinary Share Capital & Premium",,682782,,648003,,644444,,635403,,623950,,631127,,585573,,580591,,500035,601128,592128,261673,225215,225215,
"Distributable Reserves",,10644,,14351,,12025,,19262,,18911,,15685,,17625,,13569,,10295,155700,-6610,507835,149209,176771,
"Non-Distributable Reserves",,407339,,422969,,378929,,329214,,258731,,197907,,144526,,145988,,162293,8164,161266,4626,31991,-38216,
"Ordinary Shareholders' Interest",1071599,1100765,1079612,1085324,1066702,1035398,1003699,983880,939822,901592,865415,844719,747818,747724,752605,740148,664313,672623,764992,746784,774134,406415,363770,
"Minority Interest",,,,,,,,,,,,,,,,,,,,,,71674,60578,
"Total Shareholders' Interest",1071599,1100765,1079612,1085324,1066702,1035398,1003699,983880,939822,901592,865415,844719,747818,747724,752605,740148,664313,672623,764992,746784,774134,478089,424348,
"Interest Bearing Loans",64680,71846,104869,81015,121591,121353,,180133,,231309,,248672,,142577,,249391,,,,,,,,
"Deferred Tax Liability",17541,15849,22043,21772,21612,21022,21255,19697,19620,15979,,14778,,13556,,15462,,,,,,17079,2152,
"Other Long-Term Liabilities",53586,45697,44381,878,1555,1555,182455,2233,214116,1867,,2380,,3217,,1103,,,,,,15171,,
"Total Long-Term Liabilities",135807,133392,171293,103665,144758,143930,203710,202063,233736,249155,253701,265830,169374,159350,208685,265956,902,,,,,32250,2152,
"Creditors and Provisions",107649,71673,90248,80096,72956,76192,67842,84272,75875,80453,,81869,,56994,,42472,,982,,4923,,26457,13618,
"Tax",,,,,,307,,409,,1283,,,,1193,,11402,,,,,,91,1749,
"Bank Overdrafts/Short-Term Loans",,1632,6675,4730,1799,46477,,35803,,18208,,24750,,140907,,39583,,,,1,,74725,,
"Other Current Liabilities",27502,30293,28007,45484,25936,4771,23163,4780,11950,3270,,2319,,644,,189,,,,,,978,2002,
"Total Current Liabilities",135151,103598,124930,130310,100691,127747,91005,125263,87825,103214,115273,108938,232993,199738,160158,93646,,982,74860,4924,17746,102251,17369,
"Total Liabilities",270958,236990,296223,233975,245449,271677,294715,327326,321561,352369,368974,374769,402367,359088,368843,359601,902,982,74860,4924,17746,134501,19521,
"Total Equity and Liabilities",1342557,1337755,1375835,1319299,1312151,1307075,1298414,1311206,1261383,1262961,1234389,1219489,1150185,1106812,1121448,1099749,665215,673605,839852,751708,791880,612590,443869,

Share/unit data,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (9m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (16m)","Interim (12m)",
,"13 Nov 2020","11 Aug 2020","14 Nov 2019","26 Jun 2019","13 Nov 2018","28 Jun 2018","9 Nov 2017","30 Jun 2017","10 Nov 2016","29 Jun 2016","5 Nov 2015","26 Jun 2015","3 Nov 2014","27 Jun 2014","20 Nov 2013","27 Jun 2013","21 Feb 2013","26 Sep 2012","28 Mar 2012","29 Sep 2011","31 Mar 2011","30 Sep 2010","31 May 2010",
"Number of Shares in Issue (Actual)",254486436,254486436,208216175,208216175,208216175,206342821,205469487,202969487,202969487,201908654,201224508,201224508,190479645,189872979,188998646,187901843,171790732,171790732,171790732,169290732,165892298,155805363,155209263,
"Weighted Average Shares in Issue (Actual)",254486436,214047496,208216175,207610543,206676432,204431259,203072227,202609094,202080131,201426940,201224508,193050707,190145200,188987697,188456030,173613522,171790732,171080349,170377689,161305112,156280785,154896985,155209263,
"Fully Diluted Weighted Average Shares in Issue",254486436,214047496,208216175,207872041,207016775,205520366,204222969,204250654,203384383,208566392,208746604,199899905,205773832,202291556,198045313,182557388,190714202,186503819,185751159,176788582,162220785,160836985,159431138,
"Market Capitalisation (R'000)",89070,127243,324817,416432,393529,536491,575315,588612,740839,908589,1388449,1899559,1142878,1277845,1109422,1219483,532551,326402,498193,624683,547445,381723,465628,
"Number of Months",6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,9,6,12,6,12,6,16,12,
"Number of Employees",,,,,,,,,,,,,,,,,,,,,,,92,

Share statistics,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (9m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (16m)","Interim (12m)",
,"13 Nov 2020","11 Aug 2020","14 Nov 2019","26 Jun 2019","13 Nov 2018","28 Jun 2018","9 Nov 2017","30 Jun 2017","10 Nov 2016","29 Jun 2016","5 Nov 2015","26 Jun 2015","3 Nov 2014","27 Jun 2014","20 Nov 2013","27 Jun 2013","21 Feb 2013","26 Sep 2012","28 Mar 2012","29 Sep 2011","31 Mar 2011","30 Sep 2010","31 May 2010",
"Earnings Per Share (ZARc)",-11.65,-8.12,-3.7,21.21,12.83,21.6,7.29,33.63,12.49,30,9.2,24.43,-1.96,-1.49,3.32,-9.39,-5.69,0.58,-3.29,213.07,238.16,-46.16,-28.31,
"Diluted Earnings Per Share (ZARc)",-11.65,-8.12,-3.7,21.19,12.81,21.49,7.25,33.36,12.41,28.97,8.87,23.59,-1.82,-1.39,3.16,-8.93,-5.13,0.53,-3.01,194.41,229.43,-44.45,-27.56,
"Headline Earnings Per Share (Cont Ops) (ZARc)",-13.47,-7.97,-4.11,21.08,12.59,20.92,7.1,33.37,12.36,29.84,9.12,24.43,-2,-2.36,2.78,-9.42,-5.69,-26.3,-3.29,-16.09,-24.18,-63.23,-43.09,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",-13.47,-7.97,-4.11,21.05,12.56,20.81,7.06,33.1,12.28,28.82,8.79,23.59,-1.85,-2.2,2.64,-8.96,-5.13,-24.13,-3.01,-14.68,-23.3,-60.89,-41.95,
"Net Asset Value Per Share (ZARc)",421.08,432.54,518.51,521.25,512.3,501.79,488.49,484.74,463.04,450.99,430.07,419.79,392.6,393.8,398.21,393.9,386.7,391.54,445.3,441.13,466.65,260.85,234.37,
"3 Year Beta",0.29,0.4,0.13,0.05,0.19,0.33,0.39,0.81,0.85,0.31,0.47,0.65,0.85,0.87,0.69,1.21,0.87,,,,,,,
"Cash Generated Per Share",1.14,9.52,5.82,23.6,15.71,8.93,2.13,29.95,16.91,38.86,15.28,35.25,18.29,21.51,9.35,-11.76,-4.93,-11.51,-7.9,-30.59,-6.04,-72.44,-46.49,
"Net Asset Value Per Share (Base Currency)",421.08,432.54,518.51,521.25,512.3,501.79,488.49,484.74,463.04,450.99,430.07,419.79,392.6,393.8,398.21,393.9,386.7,391.54,445.3,441.13,466.65,260.85,234.37,
"Price at Period End (Base Currency)",35,50,156,200,189,260,280,290,365,450,690,944,600,673,587,649,310,190,290,369,330,245,300,
"JSE Market Price High (ZARc)",74,200,200,280,280,325,325,484,484,1022,1022,949,690,750,750,649,330,369,369,380,395,640,750,
"JSE Market Price Low (ZARc)",23,49,120,102,123,200,255,250,342,420,630,515,555,500,500,170,170,121,121,201,201,202,295,
"JSE Market Price at Period End (ZARc)",35,50,156,200,189,260,280,290,365,450,690,944,600,673,587,649,310,190,290,369,330,245,300,
"JSE Volume Traded (Actual)",29439944,10293568,2847955,31211501,24221226,26602443,15247017,58420797,33997085,39802846,24522485,61209264,19408230,29911274,15158967,21143223,10565519,11943227,8181279,22455483,6717234,2245989,1358742,
"JSE Rand Value Traded (Actual)",9870494,10479307,4765661,64721586,51602626,74379258,44003412,208595223,137193030,273582515,193478187,432368017,127597160,184707132,88795456,77169643,29845721,33918383,24331111,75785006,22613919,7762387,5292058,
"12 Month HEPS",-17.33,-7.97,4.38,21.08,26.41,20.92,28.11,33.37,33.08,29.84,35.55,24.43,-7.14,-2.36,-3.79,-15.99,-29.36,-26.96,-18.74,-39.63,-47.89,-48.86,-43.09,

Cash flow items,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (9m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (16m)","Interim (12m)",
,"13 Nov 2020","11 Aug 2020","14 Nov 2019","26 Jun 2019","13 Nov 2018","28 Jun 2018","9 Nov 2017","30 Jun 2017","10 Nov 2016","29 Jun 2016","5 Nov 2015","26 Jun 2015","3 Nov 2014","27 Jun 2014","20 Nov 2013","27 Jun 2013","21 Feb 2013","26 Sep 2012","28 Mar 2012","29 Sep 2011","31 Mar 2011","30 Sep 2010","31 May 2010",
"Working capital changes",,14745,,35062,,-21110,,-11549,,,,,,,,,,,,,,,,
"Cash generated from operations after WC",10978,34648,18214,66574,43676,47455,22653,96979,56299,117037,50883,114192,,,,,,,,,,,,
"Net Cash flow from operating activities",2894,24231,12110,49142,32721,18433,4376,60781,34313,78471,30747,70925,34846,40835,17667,-22089,-8468,-19776,-13570,-51780,-10017,-112866,-72154,
"Net cash flow from investing activities",24449,-9758,-8675,-15176,-12921,-9990,-5115,-73753,-59979,-35075,-9323,-26777,-21543,-27253,-15815,-96972,156,-34712,-18091,-3927,-4914,-172283,-112418,
"Net cash flow from financing activities",-22228,-7818,-4434,-39687,-19182,-49385,-17528,-33503,-27264,-23079,-12500,765,-3094,-9919,11948,116770,591,73282,73582,46644,33707,28370,-46949,
"Net increase(decrease) in cash & cash equivalents",5115,6656,-999,-5721,618,-40942,-18267,-46475,-52930,20317,8924,44913,10209,3663,13800,-2291,-7721,18794,41921,-9063,18776,-256779,-231521,
"Cash & Cash Equivalent beginning of period",4749,-1907,-1907,3815,3815,44757,44757,91231,91231,70914,70914,26001,,,,,,,,,,,,
"Cash & Cash Equivalent end of period",9864,4749,-2906,-1907,4433,3815,26490,44757,38301,91231,79838,70914,,,,,,,,,,,,

Ratios,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (9m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (16m)","Interim (12m)",
,"13 Nov 2020","11 Aug 2020","14 Nov 2019","26 Jun 2019","13 Nov 2018","28 Jun 2018","9 Nov 2017","30 Jun 2017","10 Nov 2016","29 Jun 2016","5 Nov 2015","26 Jun 2015","3 Nov 2014","27 Jun 2014","20 Nov 2013","27 Jun 2013","21 Feb 2013","26 Sep 2012","28 Mar 2012","29 Sep 2011","31 Mar 2011","30 Sep 2010","31 May 2010",
"Return on Capital Employed",-4.91,-1.41,-1.23,3.7,4.38,3.75,2.45,5.75,4.3,5.25,3.31,4.25,-0.81,-0.31,1.3,-2.16,-2.94,0.15,-1.46,46.02,96.16,-13.25,-13.2,
"Return on Shareholder Funds",-5.53,-1.58,-1.43,4.06,4.97,4.27,2.95,6.93,5.37,6.7,4.28,5.58,-1,-0.38,1.66,-2.94,-2.95,0.15,-1.46,46.02,96.16,-14.15,-13.27,
"Return on Total Assets",-4.99,-1.97,-1.25,4.3,5.82,5.35,4.55,8.32,7.31,7.97,5.13,7.31,5.7,-0.05,2.91,-0.36,-2.94,-2.34,0.37,-5.14,-4.4,-17.9,-14.57,
"Gross Profit Margin",38.58,38.27,37.53,38.35,38.71,41.16,41.28,42.42,42.43,41.64,40.59,43.98,44.1,44.16,44.38,41.99,,,,,,54.73,,
"Operating Profit Margin",3.08,-0.63,2.24,1.76,4.85,6.54,8.87,10.09,10.64,9.64,11.16,7.65,13.13,8.95,11.2,-54.77,,,,,,-1692.51,-2682.14,
"Net Profit Margin",-10.18,-2.39,-1.81,5.27,5.67,5.32,3.31,8.11,5.64,6.91,4.01,6.08,-0.92,-0.49,2.08,-43.83,,,,,,-1156.72,-1751.14,
"Debt:Equity (excl non-int debt)",0.13,0.12,0.16,0.1,0.14,0.18,0.2,0.24,0.25,0.3,0.29,0.34,0.23,0.4,0.28,0.41,,,,,,0.22,0.01,
"Interest Bearing Debt as % of Long-Term Finance",5.69,6.13,8.85,6.95,10.23,10.49,,15.48,,20.42,,22.74,,16.01,,25.2,,,,,,,,
"Interest Cover",1.33,-0.26,1.06,1.05,3.13,3.14,4.2,4.34,4.46,4.18,4.67,2.56,2.81,1.58,2.88,-12.56,19.74,168.36,107.44,-350.76,9200.6,6.64,5.24,
"Quick Ratio",0.97,1.02,0.97,0.8,1.21,1.13,1.76,1.33,1.88,2.08,2.03,1.79,0.71,0.54,0.78,0.98,,29.72,0.35,7.87,4.33,1.03,7.91,
"Current Ratio",1.12,1.18,1.12,0.94,1.39,1.26,1.94,1.46,2.01,2.2,2.03,1.87,0.71,0.58,0.78,1.05,,29.72,0.35,7.87,4.33,1.03,7.91,
"Debtors Collection Period",73.33,39.7,49.48,44.04,45.09,58.59,54.2,52.85,46.14,46.33,,52.13,,48.49,,446.01,,,,,,1329.06,10327.51,
"Stock Turn",18.43,26.77,28.36,28.38,31.46,29.04,32.29,28.5,44.15,41.67,,48.46,,40.03,,4.27,,,,,,,,
"Price : Earnings",-2.02,-6.27,35.62,9.49,7.16,12.43,9.96,8.69,11.03,15.08,19.41,38.64,-84.03,-285.17,-154.68,-40.58,-10.56,-7.22,-15.47,-22.94,-6.89,-3.87,-6.96,
"Sales Per Share (Base Currency)",228.75,339.66,408.99,402.59,452.88,406.34,441.05,414.58,443.33,434.03,458.56,401.67,425.1,302.42,320.04,28.57,,,,,,2.99,1.62,
"Price/Sales Per Share",0.15,0.15,0.38,0.5,0.42,0.64,0.63,0.7,0.82,1.04,1.5,2.35,1.41,2.23,1.83,22.72,,,,,,81.86,185.58,
"Price/Net Asset Value",0.08,0.12,0.3,0.38,0.37,0.52,0.57,0.6,0.79,1,1.6,2.25,1.53,1.71,1.47,1.65,0.8,0.49,0.65,0.84,0.71,0.94,1.28,
"Price/Cash Flow",61.56,5.25,53.64,8.47,24.06,29.12,262.91,9.68,43.17,11.58,90.31,26.78,65.61,31.29,125.56,-73.58,-125.76,-16.51,-73.42,-12.06,-109.27,-2.54,-6.45,
"NAV%Price",1203.09,865.08,332.38,260.63,271.06,193,174.46,167.15,126.86,100.22,62.33,44.47,65.43,58.51,67.84,60.69,124.74,206.07,153.55,119.55,141.41,106.47,78.12,
"Liquidity%",2.14,10.22,8.18,21,26.66,6.78,2.97,18.57,21.34,22.27,16.67,18.92,17.32,11.37,9.58,-8.19,-1877.61,-2014.04,-36.25,-1051.58,-112.89,-62.94,-369.62,
"Cash Flow:Attributable Profit",-0.2,-1.39,-3.14,1.12,2.47,0.42,0.59,0.89,2.72,1.3,3.32,1.5,3.77,-14.49,5.64,3.11,1.73,1.26,-17.68,1.83,1.06,0.82,1.72,
"Cash/Equity (%)",0.92,0.58,0.35,0.26,0.58,1.02,2.64,,,,,,,,,,,,,,,,,
"EV/Ebitda (Pd)",-15.52,9.7,,6.31,12.67,,,,,,,,,,,,,,,,,,,
"PEG Ratio",,0.22,0.16,0.04,0.03,0.05,0.04,0.03,0.04,0.06,0.08,0.15,0.99,3.35,1.47,0.39,0.11,0.06,0.12,0.17,0.04,0.02,-1.99,

