"Ordinary Share Capital & Premium",3782833,3893198,4207219,4314291,4462874,4339723,2002500,,
"Distributable Reserves",821093,810447,558392,496795,274725,163361,41213,-130,
"Other Capital",,,,,,,-15938,-18763,
"Ordinary Shareholders' Interest",4603926,4703645,4765611,4811086,4737599,4503084,2027775,-18893,
"Minority Interest",58060,66389,62921,60289,20506,20779,,,
"Total Shareholders' Interest",4661986,4770034,4828532,4871375,4758105,4523863,2027775,-18893,
"Interest Bearing Loans",875,73425,70390,74839,93070,,,,
"Deferred Tax Liability",244448,244303,241131,227419,221816,159610,,,
"Other Long-Term Liabilities",467803,510595,546761,96026,95702,97479,34,,
"Total Long-Term Liabilities",713126,828323,858282,398284,410588,257089,34,,
"Creditors and Provisions",367638,481285,449318,497495,383439,200377,10000,18893,
"Tax",4194,5382,3108,11404,9495,2710,17081,,
"Bank Overdrafts/Short-Term Loans",77616,9941,17707,18105,17288,160338,,,
"Other Current Liabilities",150537,168288,101133,,14262,,,,
"Total Current Liabilities",599985,664896,571266,527004,424484,363425,27081,18893,
"Total Liabilities",1313111,1493219,1429548,925288,835072,620514,27115,18893,
"Total Equity and Liabilities",5975097,6263253,6258080,5796663,5593177,5144377,2054890,,

Share/unit data,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Sep 2017","Mar 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (11m)","Interim (6m)","Final (9m)",
,"21 Oct 2020","14 May 2020","14 Oct 2019","15 May 2019","24 Oct 2018","9 May 2018","27 Oct 2017","26 May 2017",
"Number of Shares in Issue (Actual)",733857000,774444000,851390000,877386000,911699000,889642000,405500000,,
"Weighted Average Shares in Issue (Actual)",765407000,839052000,875187000,902054000,912206000,564067000,391776000,,
"Fully Diluted Weighted Average Shares in Issue",,,,,913880000,571729000,391776000,,
"Market Capitalisation (R'000)",2018107,2470476,3328935,4062297,4649665,4937513,2437055,,
"Number of Months",6,12,6,12,6,11,6,9,

Share statistics,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Sep 2017","Mar 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (11m)","Interim (6m)","Final (9m)",
,"21 Oct 2020","14 May 2020","14 Oct 2019","15 May 2019","24 Oct 2018","9 May 2018","27 Oct 2017","26 May 2017",
"Earnings Per Share (ZARc)",0.8,43,14.5,39,16,30,10.6,-130,
"Diluted Earnings Per Share (ZARc)",0.8,42.4,14.3,38.5,16,29.6,10.6,,
"Headline Earnings Per Share (Cont Ops) (ZARc)",0.8,43.4,14.5,38.7,16,30.2,10.6,-130,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",0.8,43.1,14.5,38.2,15.9,29.8,10.6,,
"Final Dividend (ZARc)",,,,,,5.4,,,
"Dividend Per Share (ZARc)",,,,,,5.4,,,
"Distributions Per Share (ZARc)",,,,,,5.4,,,
"Net Asset Value Per Share (ZARc)",627,607,560,548,520,506,500,-188.93,
"3 Year Beta",0.09,,,,,,,,
"Cash Generated Per Share",28.44,75.95,15.57,44.47,4.04,22.5,15.24,,
"Net Asset Value Per Share (Base Currency)",627,607,560,548,520,506,500,-188.93,
"Price at Period End (Base Currency)",275,319,391,463,510,555,601,,
"JSE Market Price High (ZARc)",333,505,505,640,640,838,838,,
"JSE Market Price Low (ZARc)",222,302,351,381,465,411,526,,
"JSE Market Price at Period End (ZARc)",275,319,391,463,510,555,601,,
"JSE Volume Traded (Actual)",208418374,357855334,132182203,330579231,147994244,270468137,73038367,,
"JSE Rand Value Traded (Actual)",616817774,1500113731,588838742,1673638619,826439296,1431670813,461033356,,
"12 Month HEPS",29.7,43.4,37.2,38.7,37.36,15.75,21.2,-173.33,
"12 Month Dividend",,,,,5.4,5.4,,,

Cash flow items,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Sep 2017","Mar 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (11m)","Interim (6m)","Final (9m)",
,"21 Oct 2020","14 May 2020","14 Oct 2019","15 May 2019","24 Oct 2018","9 May 2018","27 Oct 2017","26 May 2017",
"Cash generated by operations",173712,764121,322650,536944,212386,169746,-13162,-130,
"Working capital changes",72747,-25585,-105328,-71854,-149518,-18044,2357,,
"Cash generated from operations after WC",246459,738536,217322,465090,62868,151702,-10806,,
"Net Cash flow from operating activities",208729,588170,132594,390195,36875,200135,61788,,
"Net cash flow from investing activities",-19280,-258302,-168090,-566462,-412047,-489878,-52523,,
"Net cash flow from financing activities",-197932,-588378,-181188,-427250,-262613,1981411,1979633,,
"Dividends paid",-905,-2562,-1332,-51790,-51506,,,,
"Net increase(decrease) in cash & cash equivalents",-8483,-258510,-216684,-603517,-637785,1691668,1988898,,
"Cash & Cash Equivalent beginning of period",829635,1088145,1088145,1691662,1691662,,,,
"Translation effects on cash & cash equivalents",,,,,104,-6,,,
"Cash & Cash Equivalent end of period",821152,829635,871461,1088145,1053981,1691662,1988898,,

Ratios,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Sep 2017","Mar 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (11m)","Interim (6m)","Final (9m)",
,"21 Oct 2020","14 May 2020","14 Oct 2019","15 May 2019","24 Oct 2018","9 May 2018","27 Oct 2017","26 May 2017",
"Return on Capital Employed",0.28,6.6,4.62,6.76,5.69,3.87,4.08,0.92,
"Return on Shareholder Funds",0.32,7.74,5.44,7.31,6.18,4.09,4.08,0.92,
"Return on Total Assets",0.7,15.88,11.5,18.08,15.49,10.15,5.54,,
"Gross Profit Margin",36.16,39.27,39.12,39.69,40.94,47.3,,,
"Operating Profit Margin",1.22,12.53,9.96,11.77,10.63,13.23,,,
"Net Profit Margin",0.43,8.82,6.93,9.65,9.53,19.1,,,
"Debt:Equity (excl non-int debt)",0.17,0.18,0.18,0.09,0.09,0.09,,,
"Interest Bearing Debt as % of Long-Term Finance",0.02,1.52,1.44,1.51,1.92,,,,
"Interest Cover",2.53,108.48,-265.2,-5.99,-4.04,-0.96,0.22,,
"Quick Ratio",1.87,1.86,2.05,2.63,3.12,4.85,73.69,,
"Current Ratio",3.07,3.09,3.63,4.17,4.99,6.45,73.69,,
"Dividend Cover",,,,,,5.56,,,
"Dividend Cover (HEPS)",,,,,,5.59,,,
"Debtors Collection Period",29.57,28.68,27.29,29.24,30.9,25.2,,,
"Stock Turn",2.51,3.04,2.47,2.7,2.28,0.88,,,
"Price : Earnings",9.26,7.35,10.51,11.96,13.65,35.23,28.35,,
"Sales Per Share (Base Currency)",371.3,487.63,419.95,403.78,336.09,171.11,,,
"Price/Sales Per Share",0.74,0.65,0.93,1.15,1.52,3.24,,,
"Price/Net Asset Value",0.44,0.53,0.7,0.84,0.98,1.1,1.2,,
"Price/Cash Flow",19.34,4.2,50.22,10.41,252.19,26.91,78.87,,
"NAV%Price",228,190.28,143.22,118.36,101.96,91.17,83.19,,
"Liquidity%",31.79,39.39,18.55,42.17,8.83,35.19,455.75,,
"Cash Flow:Attributable Profit",68.75,1.63,2.08,1.11,0.5,1.29,2.99,,
"Cash/Equity (%)",17.61,17.39,18.05,22.34,22.15,37.39,98.08,,
"EV/Ebitda (Pd)",7.96,2.2,7.73,6.33,17.65,,7.87,,
"PEG Ratio",0.17,0.13,0.14,0.16,0.11,0.29,,,

