,"29 Oct 2020","6 May 2020","30 Oct 2019","3 May 2019","13 Nov 2018","15 May 2018","14 Nov 2017","17 May 2017","16 Nov 2016","19 May 2016","19 Nov 2015","21 May 2015","20 Nov 2014","22 May 2014","21 Nov 2013",
"Exchange Rate (period end)",12.05,11.07,10.23,10.27,10.22,9.08,10.61,10.22,10.65,11.45,9.74,9.29,9.82,9.79,9.37,
"Exchange Rate (weighted average)",11.94,10.06,10.06,10.02,9.92,10.04,10.15,10.57,10.93,10.11,9.4,9.65,9.88,9.42,9.25,
"Number of Linked Units Issued (Actual)",611298000,611298000,555726000,478802454,478802000,478802000,429265000,435588000,322359000,312541000,246581000,246581298,134685000,134685000,22000000,
"Weighted Ave Stock Units (Actual)",611298000,571380000,531766000,478802000,478802000,450084000,434055000,323342000,318121000,254437000,246581000,190633000,134685000,57214000,22000000,
"Market Capitalisation (R000)",9597379,7329463,8752685,6080791,5985025,5027421,5623372,5645220,4735454,4316191,2857874,2709928,1481535,1583896,,

Share statistics,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"29 Oct 2020","6 May 2020","30 Oct 2019","3 May 2019","13 Nov 2018","15 May 2018","14 Nov 2017","17 May 2017","16 Nov 2016","19 May 2016","19 Nov 2015","21 May 2015","20 Nov 2014","22 May 2014","21 Nov 2013",
"Earnings Per Linked Unit (ZARc)",74.86,103.82,80.92,111.12,61.71,241.5,118.65,159.41,72.25,172.87,33.28,85.31,27.07,123.4,54.11,
"Diluted Earnings Per Linked Unit (ZARc)",74.86,103.82,80.92,111.12,61.71,241.5,118.65,159.41,72.25,172.87,33.28,,,,,
"Headline Earnings Per Linked Unit (CO) (ZARc)",49.91,68.21,41.67,79.36,52.98,104.78,55.62,122.07,37.82,90.93,46.25,74.59,42.58,123.68,55.5,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",,68.21,41.67,79.36,52.98,104.78,55.62,122.07,37.82,90.93,46.25,,,,,
"Distributions Per Linked Unit (ZARc)",49.19,83.73,31.72,118.78,51.69,99.81,51.78,97.31,49.48,99.02,46.84,38.37,37.68,33.22,,
"Net Asset Value Per Linked Unit (ZARc)",1614.7,1461.24,1360.68,1335.1,1329.65,1171.66,122.8,1187.5,1156.38,1218.1,972.73,937.07,950.18,959.91,1027.47,
"3 Year Beta",0.71,0.67,0.36,0.44,0.28,0.25,0.08,0.02,,,,,,,,
"Cash Generated Per Linked Unit",0.13,0.34,-1.25,-0.44,-0.12,-0.68,-0.34,0.9,-0.18,1.77,1.22,1.07,1.04,4.82,5.87,
"Number of Months",,12,6,12,6,12,6,12,6,12,6,12,6,12,6,
"Earnings Per Linked Unit (Base Currency)",6.27,10.32,8.04,11.09,6.22,24.04,11.69,15.07,6.61,17.09,3.54,8.84,2.74,13.1,5.85,
"Diluted Earnings Per Share (Base Currency)",6.27,10.32,8.04,11.09,6.22,24.04,11.69,15.07,6.61,17.09,3.54,,,,,
"Headline Earnings Per LinkedUnit(Cont)BaseCurrency",4.18,6.78,4.14,7.92,5.34,10.43,5.48,11.54,3.46,8.99,4.92,7.73,4.31,13.13,6,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",,6.78,4.14,7.92,5.34,10.43,5.48,11.54,3.46,8.99,4.92,,,,,
"Disrtibutions Per Linked Unit (Base Currency)",4.39,7.5,3.2,10.3,5.05,10.03,4.95,9.74,4.81,9.19,4.54,4.15,4.03,3.42,,
"Net Asset Value Per Linked Unit (Base Currency)",134,132,133,130,130.1,128.94,122.8,116.09,108.58,106.38,99.87,100.86,96.76,98.05,109,
"Price at Period End (Base Currency)",131,109,154,123,122,115,124,127,139,122,119,119,111,121,,
"JSE Market Price at Period End (ZARc)",1570,1199,1575,1270,1250,1050,1310,1296,1469,1381,1159,1099,1100,1176,,
"JSE Market Price High (ZARc)",1734,1639,1620,1350,1302,1400,1400,1559,1515,1543,1289,1240,1240,1234,,
"JSE Market Price Low (ZARc)",1100,947,1215,1036,1036,1000,1250,1260,1320,1096,1091,1045,1075,1000,,
"JSE Volume Traded (Actual)",131677393,204596740,118884562,90148121,34771657,70695635,30640648,47087720,23981877,34359577,17838647,48400279,19645522,17762249,,
"JSE Rand Value Traded (Actual)",1960230016,2953621422,1742734282,1095337067,385964300,881981402,401590856,650041999,336678716,413725160,207780373,548285409,224764298,195166177,,
"12 Month HEPS",76.45,68.21,68.05,79.36,102.14,104.78,139.87,122.07,82.5,90.93,78.26,74.59,110.76,123.68,111,
"12 Month Dividend",100.87,83.73,83.87,103.39,99.6,100.5,98.89,97.3,101.67,104.77,99.68,84.26,76.21,71.72,32.89,

Cash flow items,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"29 Oct 2020","6 May 2020","30 Oct 2019","3 May 2019","13 Nov 2018","15 May 2018","14 Nov 2017","17 May 2017","16 Nov 2016","19 May 2016","19 Nov 2015","21 May 2015","20 Nov 2014","22 May 2014","21 Nov 2013",
"Cash generated from operations after WC",31830,65664,31478,61035,31093,52254,24547,40376,16827,29260,15133,18832,,,,
"Net Cash flow from operating activities",775,2059,-6932,-2120,-587,-3251,-1440,3916,-566,5529,3011,2638,1400,6491,1292,
"Net cash flow from investing activities",85348,-91547,-5183,-59100,-22839,-139299,-1955,-268453,-29911,-129443,-41794,-183675,-27265,-153331,,
"Net cash flow from financing activities",-96098,98824,9700,61794,24158,145652,2210,267545,33216,122662,42483,177028,21910,153210,,
"Dividends paid",-26305,-51672,-31649,-48186,-24120,-45179,-21456,-29977,-14321,-19100,-10226,-14533,-4602,-1858,,
"Net increase(decrease) in cash & cash equivalents",-9975,9336,-2415,574,732,3103,-1185,3008,2739,-1253,3700,-4009,,,,
"Cash & Cash Equivalent beginning of period",17128,7792,7792,7218,7218,4116,4116,1108,1108,2361,2361,6370,,,,
"Cash & Cash Equivalent end of period",7153,17128,5377,7792,7950,7218,2931,4116,3847,1108,6061,2361,,,,

Ratios,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"29 Oct 2020","6 May 2020","30 Oct 2019","3 May 2019","13 Nov 2018","15 May 2018","14 Nov 2017","17 May 2017","16 Nov 2016","19 May 2016","19 Nov 2015","21 May 2015","20 Nov 2014","22 May 2014","21 Nov 2013",
"Turnover Per Share",,17.69,18.02,18.69,18.79,17.24,16.93,16.85,15.97,15.44,14.74,12.71,14.07,19.54,23.3,
"Price/Sales Per Share",,6.16,8.54,6.58,6.5,6.7,7.3,7.52,8.73,7.9,8.08,9.37,7.91,6.18,,
"Price/Net Asset Value",0.98,0.83,1.16,0.95,0.94,0.9,1.01,1.09,1.28,1.15,1.19,1.18,1.15,1.23,,
"Price/Cash Flow",,320.54,-246.24,-279.55,-2036.49,-169.82,-727.44,140.83,-1548.98,68.89,195.32,111.21,214.08,25.06,,
"Return on Capital Employed",,5.07,7.78,5.19,5.97,11.18,12.82,6.4,8.08,9.14,4.72,4.95,4.22,4.86,5.07,
"Return on Stockholder Funds",,7.3,11.6,8.54,9.56,17.53,19.25,9.64,12.02,13.08,7.1,6.57,5.65,5.67,10.7,
"Return on Total Assets",,6.65,6.69,6.6,7.01,6.39,7.5,5.91,8.01,6.96,8.1,6.25,9.06,6.11,8.84,
"Operating Profit Margin",78.12,78.99,78.56,79.92,80.03,82.29,83.54,85.35,85.28,87.97,86.77,89.16,87.82,88.01,89.23,
"Net Profit Margin",108.7,73.91,113.8,74.53,83.14,169.87,165.52,105.75,97.28,127.49,55.53,76.53,44.51,77.39,56.98,
"Debt : Equity",0.32,0.43,0.43,0.61,0.6,0.56,0.5,0.51,0.49,0.43,0.5,0.33,0.34,0.17,1.11,
"Current Ratio",0.47,2.99,0.57,0.24,0.44,0.36,0.26,0.24,0.26,0.14,0.61,0.23,0.37,0.98,3.72,
"Dividend Cover",1.52,1.24,2.55,0.94,1.19,2.42,2.29,1.64,1.46,1.75,0.71,2.22,0.72,3.71,,
"Debtors Collection Period",,20.44,26.11,32.83,26.99,41.36,17.45,32.6,12.63,11.86,20.95,40.36,21.63,10.82,10.51,
"Operating Return on Investment",,7.35,6.84,6.7,7.07,6.46,7.57,5.91,8.08,6.91,8.33,6.24,9.18,6.27,9.43,
"Operating Income : Turnover",78.07,78.89,78.44,79.63,79.6,82.09,83.4,84.57,85.11,86.8,86.6,88.16,87.37,86.6,88.06,
"Return on Stockholder Funds",,63.33,47.81,91.51,79.46,77.41,84.33,83.82,91.14,93.08,93.8,38.04,77.89,33.88,,
"NAV%Price",102.85,121.87,86.39,105.13,106.37,111.59,9.37,91.63,78.72,88.2,83.93,85.27,86.38,81.62,,
"Price : Earnings",20.54,17.58,23.14,16,12.24,10.02,9.37,10.62,17.81,15.19,14.81,14.73,9.93,9.51,,
"Profitability %",,5.51,5.16,5.95,6.35,5.76,6.82,5.35,7.32,6,7.24,5.47,7.81,5.43,7.92,
"Solvency %",375.84,305.96,289.92,234.54,253.91,261.92,280.67,280.04,283.71,302.2,272.13,356.3,344.19,555.69,186.77,
"Int Bearing Debt : Total Assets",0.23,0.29,0.28,0.35,0.36,0.34,0.32,0.32,0.3,0.29,0.31,0.23,0.24,0.14,0.52,
"Liquidity %",,0.52,-3.57,-0.46,-0.29,-0.85,-0.99,1.39,-0.59,3.36,4.21,2.72,5.25,22.4,9.33,
"EV/Ebitda (Pd)",,106.81,212.5,121.62,,,,,,,,,,,,
"Cash Flow : Attributable Profit",,0.04,-0.63,-0.04,-0.05,-0.07,-0.12,0.1,-0.1,0.24,0.5,0.18,0.48,0.86,2.01,
"Loan to value ratio",24.25,30.44,32.94,39.25,37.54,36.22,33.37,,,,,,,,,
"PEG Ratio",27.92,23.89,-5.27,-3.64,26.63,21.81,2.28,2.58,-3,-2.56,-0.75,-0.74,,,,

