,"29 Sep 2020","12 Mar 2020","6 Sep 2019","7 Mar 2019","6 Dec 2018","7 Sep 2018","25 Jun 2018","8 Mar 2018","5 Sep 2017","29 Jun 2017","9 Mar 2017","30 Sep 2016",
"Exchange Rate (period end)",19.47,15.69,16.04,16.47,16.44,13.75,14.57,14.86,14.9,14.3,14.44,16.52,
"Exchange Rate (weighted average)",18.37,16.17,16.04,15.61,16.35,12.85,14.69,15.76,14.29,14.08,16.28,17.2,
"Number of Linked Units Issued (Actual)",907946793,907946793,907946792,829989804,829989804,793552888,793552888,704970211,704970211,586051293,586051293,414901280,
"Weighted Ave Stock Units (Actual)",907946793,883598583,829989804,808554466,829989804,793552888,793552888,671412270,637298120,586051293,366544911,193842583,
"Market Capitalisation (R000)",8525620,15571287,18358684,15562309,17056290,13799885,15553637,11984494,13535428,11011904,11428000,,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Jun 2017","Mar 2017","Dec 2016","Jun 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)",
,"29 Sep 2020","12 Mar 2020","6 Sep 2019","7 Mar 2019","6 Dec 2018","7 Sep 2018","25 Jun 2018","8 Mar 2018","5 Sep 2017","29 Jun 2017","9 Mar 2017","30 Sep 2016",
"Earnings Per Linked Unit (ZARc)",-49.6,121.33,64.18,240.39,188.19,128.5,38.95,301.02,88.64,57.76,320.72,548.68,
"Diluted Earnings Per Linked Unit (ZARc)",-49.6,121.33,64.18,240.39,188.19,128.5,38.95,301.02,88.64,57.76,320.72,548.68,
"Headline Earnings Per Linked Unit (CO) (ZARc)",126.75,111.94,48.13,168.9,136.36,82.24,40.71,108.74,54.33,57.76,141.64,430,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",126.75,111.94,48.13,168.9,136.36,82.24,40.71,108.74,54.33,57.76,141.64,430,
"Distributions Per Linked Unit (ZARc)",,94.36,94.36,194.51,,100.49,,163.2,122.65,,42.71,,
"Net Asset Value Per Linked Unit (ZARc)",2355.87,2067.2,2133.76,2223.45,2186.52,1883.75,1938.44,1961.52,1832.84,1531.1,1675.04,2081.52,
"3 Year Beta",1.16,-0.08,,,,,,,,,,,
"Cash Generated Per Linked Unit",5.59,13.58,4.51,13.68,7.67,7.63,0.17,16.24,10.92,7.88,4.38,0.78,
"Number of Months",6,12,6,12,9,6,3,12,6,3,12,6,
"Earnings Per Linked Unit (Base Currency)",-2.7,7.5,4,15.4,11.51,10,2.65,19.1,6.2,4.1,19.7,31.9,
"Diluted Earnings Per Share (Base Currency)",-2.7,7.5,4,15.4,11.51,10,2.65,19.1,6.2,4.1,19.7,31.9,
"Headline Earnings Per LinkedUnit(Cont)BaseCurrency",6.9,6.92,3,10.82,8.34,6.4,2.77,6.9,3.8,4.1,8.7,25,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",6.9,6.92,3,10.82,8.34,6.4,2.77,6.9,3.8,4.1,8.7,25,
"Disrtibutions Per Linked Unit (Base Currency)",,5.8,5.8,11.6,,5.82,,10.87,5.19,,3.14,,
"Net Asset Value Per Linked Unit (Base Currency)",121,131.7,133,135,133,137,133,132,123,107,116,126,
"Price at Period End (Base Currency)",48,109,126,114,125,108,134,116,129,131,137,,
"JSE Market Price at Period End (ZARc)",939,1715,2022,1875,2055,1739,1960,1700,1920,1879,1950,,
"JSE Market Price High (ZARc)",1775,2100,2100,2183,2183,1960,1960,2199,2099,2000,2450,,
"JSE Market Price Low (ZARc)",434,1631,1768,1382,1382,1382,1382,1315,1722,1722,1900,,
"JSE Volume Traded (Actual)",97282302,118704035,69414035,236234141,156317066,99028080,41995179,214979283,96225999,25895906,27962906,,
"JSE Rand Value Traded (Actual)",941718574,2229083964,1312746025,4470921575,2858734300,1715620598,669887187,4217201669,1869162675,487434640,595837639,,
"12 Month HEPS",190.56,111.94,134.79,168.9,177.07,136.65,122.26,108.74,-234.03,163.99,141.64,860,
"12 Month Dividend",,94.35,188.37,194.5,183.74,183.74,89.08,79.93,122.65,122.88,42.71,,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Jun 2017","Mar 2017","Dec 2016","Jun 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)",
,"29 Sep 2020","12 Mar 2020","6 Sep 2019","7 Mar 2019","6 Dec 2018","7 Sep 2018","25 Jun 2018","8 Mar 2018","5 Sep 2017","29 Jun 2017","9 Mar 2017","30 Sep 2016",
"Cash generated by operations",,,,,,,,,,46688,,,
"Cash generated from operations after WC",53722,135962,46391,-5809,69177,64472,2916,118649,78279,,26363,13933,
"Net Cash flow from operating activities",50782,123282,40946,113534,63628,60562,1355,114482,76951,46187,25656,3251,
"Net cash flow from investing activities",-10181,-201826,-180251,-511904,-521681,-380921,-365184,-262934,-307963,-10477,-362906,16215,
"Net cash flow from financing activities",68759,75641,170485,365912,435003,279533,335314,229469,278813,-27988,359605,1659,
"Dividends paid",,-100076,-47415,-88334,-40029,-40029,,-66923,-19930,,-22333,-9775,
"Net increase(decrease) in cash & cash equivalents",109360,-2903,31180,-32458,-23050,-40826,-28515,81017,47801,7722,22355,17807,
"Cash & Cash Equivalent beginning of period",67319,60340,60340,99544,99544,99544,99544,21921,21921,21921,,,
"Translation effects on cash & cash equivalents",,9882,,-6746,1844,-1621,-1651,-3394,299,497,-434,,
"Cash & Cash Equivalent end of period",176679,67319,91520,60340,78338,57097,69378,99544,70021,30140,21921,17807,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Jun 2017","Mar 2017","Dec 2016","Jun 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)",
,"29 Sep 2020","12 Mar 2020","6 Sep 2019","7 Mar 2019","6 Dec 2018","7 Sep 2018","25 Jun 2018","8 Mar 2018","5 Sep 2017","29 Jun 2017","9 Mar 2017","30 Sep 2016",
"Turnover Per Share",16.92,18.52,24.38,19.48,22.87,23.3,23.47,22.67,20.82,21.32,26.33,39.71,
"Price/Sales Per Share",2.84,5.9,5.18,5.84,5.47,4.65,5.72,5.12,6.19,6.14,5.18,,
"Price/Net Asset Value",0.4,0.83,0.95,0.84,0.94,0.79,1.01,0.88,1.05,1.22,1.18,,
"Price/Cash Flow",17.17,8.04,55.97,8.32,21.73,28.4,3160.32,7.14,23.61,66.5,31.17,,
"Return on Capital Employed",-1.91,2.58,2.71,5.15,5.23,7.33,3.93,7.23,4.55,6.59,5.07,10.23,
"Return on Stockholder Funds",-4.84,5.99,6.23,12.14,12.85,16.27,8.7,15.39,10.02,15.27,11.91,23.59,
"Return on Total Assets",3.48,6.05,5.8,6.93,7.27,8.06,5.96,5.68,5.44,5.98,5,4.83,
"Operating Profit Margin",69.84,96.39,71.95,108.76,75.88,73.75,73.66,73.09,72.59,72.04,79.26,79.09,
"Net Profit Margin",-46.18,44.01,47.92,87.03,93.4,119.91,63.86,124.3,86.87,110.12,107.47,235.88,
"Debt : Equity",1.45,1.26,1.24,1.29,1.37,1.23,1.25,1.16,1.23,1.26,1.34,1.36,
"Current Ratio",2.8,1.4,1.91,1.8,2.13,0.63,0.88,0.88,0.97,1.34,1.02,0.86,
"Dividend Cover",,1.29,0.68,1.24,,1.28,,1.84,0.72,,7.51,,
"Debtors Collection Period",69.69,42.22,49.9,43.41,48.15,46.38,106.56,94.46,46.66,63.14,177.11,41.3,
"Operating Return on Investment",4.4,5.94,5.83,6.1,6.2,6.41,6.52,6.21,5.61,6.36,4.86,4.35,
"Operating Income : Turnover",68.54,90.51,70.99,90.58,71.83,71.62,70.67,67.73,68.63,69.6,69.34,68.16,
"Return on Stockholder Funds",,78.79,154.96,157.86,,163.41,,137.54,143.23,,41.21,,
"NAV%Price",250.89,120.54,105.53,118.58,106.4,108.32,98.9,115.38,95.46,81.48,85.9,,
"Price : Earnings",4.93,15.32,15,11.1,11.61,12.73,16.03,15.63,-8.2,11.46,13.77,,
"Profitability %",3.27,5.18,4.9,6.04,4.84,5.11,4.99,4.43,4.99,5.03,3.51,4.33,
"Solvency %",162.25,171.57,173.04,170.58,165.55,172.64,172.47,174.56,173.16,170.92,167.35,171.35,
"Int Bearing Debt : Total Assets",0.54,0.51,0.51,0.53,0.52,0.51,0.52,0.49,0.51,0.52,0.53,0.56,
"Liquidity %",6.3,8.11,5.41,7.84,5.61,9.01,0.41,10.24,14.27,20.89,2.84,0.88,
"EV/Ebitda (Pd)",,128.3,,117.78,,,,,,,122.91,,
"Cash Flow : Attributable Profit",6.78,1.62,2.34,1.13,1.28,2.71,0.26,2.99,4.9,7.72,1.15,0.12,
"Loan to value ratio",56.53,52.72,52.5,53.53,54.56,49.91,50.65,47.76,50.3,53.27,53.27,,
"PEG Ratio",-12.11,-37.66,1.4,1.04,-1,-1.1,-1.38,-1.35,,,,,

