"Profit Before Exceptional Items",-149,-112,-3497,-95,-260,-1837,-21711,-5556,1208,-627,1176,-18957,-7727,-960,5322,-6282,-16807,-5983,5456,-1809,922,-10111,-164,-779,3608,-930,-20783,-2805,-2785,-6340,-2323,-7507,-2135,-1070,87,-1157,-2198,-25,-1729,-2060,330,-2683,
"Amortisation",,,,,,,,,-932,-659,,,,,,,,,406,,,,,,381,,,,,,,,,,,,,,,,,,
"Exceptional Item 1",,,-23266,,,282,4649,763,-738,129,65,-5482,-1995,-2823,-2823,,,,-5937,51,,,,24,-5408,32,7669,23,-9,18,27,-7597,,83,68,15,-286,,23,21,2,-8994,
"Profit Before Interest And Tax",-149,-112,-26763,-95,-260,-1555,-17062,-4793,1402,161,1241,-24439,-9722,-3783,2499,-6282,-16807,-5983,-887,-1758,922,-10111,-164,-755,-2181,-898,-13114,-2782,-2794,-6322,-2296,-15104,-2135,-987,155,-1142,-2484,-25,-1706,-2039,332,-11677,
"Interest Received",22,,232,,-343,22,76,,19,1,18,88,78,49,10,39,449,8,266,137,129,699,161,86,254,168,614,158,160,229,69,780,303,176,69,107,102,76,95,82,13,970,
"Interest Received: Financial Income",,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interest Received: Foreign Exchange (loss)/gain",22,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interest Paid",729,773,2545,179,,776,3159,709,1508,791,717,4111,875,1341,1037,304,1308,223,387,200,187,1137,199,197,398,200,1407,204,186,377,191,874,272,241,132,109,481,119,181,43,138,576,
"Interest Paid: Finance costs",,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interest Paid: Foreign Exchange (loss)/gain",,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Interest Paid/(Received)",707,773,2313,179,343,754,3083,709,1489,790,699,4023,797,1292,1027,265,859,215,121,63,58,438,38,111,144,32,793,46,26,148,122,94,-31,65,63,2,379,43,86,-39,125,-394,
"Income From Associates Before Tax",,,,,,20,81,6,69,33,36,152,31,91,58,33,149,-173,85,,34,59,27,,56,,,,,,,,53,,,,,13,,,,,
"Income Before Tax",-856,-885,-29076,-274,-603,-2289,-20064,-5496,-18,-596,578,-28310,-10488,-4984,1530,-6514,-17517,-6371,-923,-1821,898,-10490,-175,-866,-2269,-930,-13907,-2828,-2820,-6470,-2418,-15198,-2051,-1052,92,-1144,-2863,-55,-1792,-2000,207,-11283,
"Taxation",,,,,,,-5597,,,-8,8,-629,-1162,-950,384,-1334,-2991,-1621,214,-339,553,-63,205,578,341,237,-130,1841,-409,-1025,616,-1479,1511,-932,-994,62,2188,735,1362,296,1066,-2626,
"Profit For The Period",-856,-885,-29076,-274,-603,-2289,-14467,-5496,-18,-588,570,-27681,-9326,-4034,1146,-5180,-14526,-4750,-1137,-1482,345,-10427,-380,-1444,-2610,-1167,-13777,-4669,-2411,-5445,-3034,-13719,-3562,-120,1086,-1206,-5051,-790,-3154,-2296,-859,-8657,
"Income Attributable To Minority Interests",,,,,,,,,601,,,601,20,-83,-49,-34,-546,75,-151,-91,-60,191,-22,-68,-56,11,-2876,-950,-394,-1303,-909,-2082,-17,-468,-178,-290,-88,275,-355,-224,-132,-1619,
"Attributable Income Before Extraordinary Items",-856,-885,-29076,-274,-603,-2289,-14467,-5496,-619,-588,570,-28282,-9346,-3951,1195,-5146,-13980,-4825,-986,-1391,405,-10618,-358,-1376,-2554,-1178,-10901,-3719,-2017,-4142,-2125,-11637,-3545,348,1264,-916,-4963,-1065,-2799,-2072,-727,-7038,
"Income Attributable To Equity Holders",-856,-885,-29076,-274,-603,-2289,-14467,-5496,-619,-588,570,-28282,-9346,-3951,1195,-5146,-13980,-4825,-986,-1391,405,-10618,-358,-1376,-2554,-1178,-10901,-3719,-2017,-4142,-2125,-11637,-3545,348,1264,-916,-4963,-1065,-2799,-2072,-727,-7038,
"Total Comprehensive Income/Loss for the period",-856,-885,-29076,-274,22887,-2654,-15251,-6172,-169,-286,117,-32962,-10847,-6495,175,-7945,-13418,-4236,,,,,,,,,,,,,,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-856,-885,-28961,-277,-603,-2172,-7028,-5502,-222,-592,370,-26775,-9353,-3629,1184,-4813,-10700,-4825,-817,-1415,,-4327,-358,-1399,-2626,-1195,-6961,-3633,-2353,-4522,-2169,-6209,-3485,477,1393,-916,-4381,-1065,-2799,-2072,-727,,
"Enterprise Value (EV)",39813,39044,38243,37674,37423,64998,78467,24621,83012,83012,66068,49515,64575,147108,147108,137069,107354,158497,192317,192317,176293,200340,187205,134820,134820,95677,101632,110730,146216,146216,175153,169161,179671,163665,163665,139114,163481,181266,153934,153934,227178,184397,

Balance sheet (CAD '000),"Feb 2020","Feb 2019","Feb 2018","Nov 2017","Aug 2017","May 2017","Feb 2017","Nov 2016","Aug 2016","Aug 2016","May 2016","Feb 2016","Nov 2015","Aug 2015","Aug 2015","May 2015","Feb 2015","Nov 2014","Aug 2014","Aug 2014","May 2014","Feb 2014","Nov 2013","Aug 2013","Aug 2013","May 2013","Feb 2013","Nov 2012","Aug 2012","Aug 2012","May 2012","Feb 2012","Nov 2011","Aug 2011","Aug 2011","May 2011","Feb 2011","Nov 2010","Aug 2010","Aug 2010","May 2010","Feb 2010",
,"Final (12m)","Final (12m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)",
,"10 Dec 2020","10 Dec 2020","10 Dec 2020","15 Jan 2018","17 Oct 2017","18 Jul 2017","31 May 2017","17 Jan 2017","17 Oct 2016","17 Oct 2016","13 Jul 2016","31 May 2016","15 Jan 2016","16 Oct 2015","16 Oct 2015","15 Jul 2015","29 May 2015","14 Jan 2015","10 Oct 2014","10 Oct 2014","11 Jul 2014","23 May 2014","10 Jan 2014","11 Oct 2013","11 Oct 2013","12 Jul 2013","24 May 2013","11 Jan 2013","12 Oct 2012","12 Oct 2012","13 Jul 2012","25 May 2012","13 Jan 2012","14 Oct 2011","14 Oct 2011","12 Aug 2011","31 May 2011","17 Jan 2011","18 Oct 2010","18 Oct 2010","16 Jul 2010","31 May 2010",
"Fixed Assets",,,,,,27523,24254,23273,27723,27723,24920,25506,32547,36157,36157,38181,27001,28748,28335,28335,29051,30719,29983,30406,30406,28178,33545,39938,42718,42718,44538,49392,53110,84678,84678,63770,62828,57631,85806,85806,56398,58791,
"Investments in Associates",,,,,,643,623,399,539,539,475,452,453,458,458,413,396,351,415,415,367,233,257,228,228,203,208,189,170,170,180,161,255,212,212,146,130,138,124,124,98,,
"Investments and Loans",,,,,,153,136,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Assets",,,,,,17139,17027,14051,26036,26036,25710,26185,27799,31135,31135,32867,21396,32893,33801,33801,33992,33729,35070,34811,34811,,38111,38188,40203,40203,,42632,34233,5575,5575,,,31842,5182,5182,,,
"Other Assets: Deposits for rehabilitation",,,,,,,,,,,,,,,,,,,1193,,,,,,,,,,,,,,,,,,,,,,,,
"Other Assets: Investments",,,,,,,,,,,,,,,,,,,6014,,,,,,,,,,,,,,,,,,,,,,,,
"Other Assets: Investments and deposits",,,,,,,,1670,,,1414,,1436,1461,,1492,1502,2898,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Assets: Mineral Property Interests",,,,,,15073,15143,12275,,,23207,23871,24320,26110,,27385,16518,26622,26594,,,26642,,,28314,,31405,,33824,33824,,35949,,,,,,,,,,,
"Other Assets: Other assets",,,,,,,,,,,,,,,,,,,,,,5386,,,,,4888,,,,,3569,,,,,,,,,,,
"Other Assets: Other financial assets",,,,,,,,,,,,,,,,,,,,,,,,,4833,,,,4542,4542,,,,,,,,,,,,,
"Other Assets: Reclamation Deposits",,,,,,,,,,,,,,,,,,,,,,1701,,,1664,,1818,,1837,1837,,3105,,,,,,,,,,,
"Other Assets: Rehabilitation deposits",,,,,,2066,1884,106,,,1089,2314,2043,3564,,3990,3376,3373,,,,,,,,,,,,,,,,,,,,,,,,,
"Long-Term Receivables",,,,,,,,,,,,,,,,,,,,,,,,,,34567,,,,,39328,,,,,28893,29978,,,,27303,34557,
"Long-Term Receivables: Mineral Property Interests",,,,,,,,,,,,,,,,,,,,,,,,,,28290,,,,,32967,,,,,23569,25176,,,,23725,30851,
"Long-Term Receivables: Other assets",,,,,,,,,,,,,,,,,,,,,,,,,,4632,,,,,4485,,,,,2523,,,,,680,828,
"Long-Term Receivables: Other financial assets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4802,,,,,,
"Long-Term Receivables: Reclamation Deposits",,,,,,,,,,,,,,,,,,,,,,,,,,1645,,,,,1876,,,,,2801,,,,,2898,2898,
"Total Fixed Assets",,,,,,45458,42040,37723,54298,54298,51105,52276,60799,67750,67750,71461,48793,61992,62551,62551,63410,64681,65310,65445,65445,62948,71865,78315,83091,83091,84046,92176,87598,90465,90465,92809,92936,89611,91112,91112,83799,93368,
"Stock",,,,,,929,1381,1538,2616,2616,2858,2100,3142,3595,3595,2403,2177,6146,10227,10227,8818,4608,6748,3840,3840,2458,2305,3865,2266,2266,2531,1623,5121,4468,4468,2631,2628,9344,4291,4291,8473,2976,
"Debtors",7,16,43,64,85,1510,1569,3538,3369,3369,2870,4083,5706,12501,12501,8727,4889,7763,5219,5219,6425,8687,6241,5962,5962,6640,5851,2948,2781,2781,4115,5616,5649,136,136,3053,5530,6645,10370,10370,6196,6261,
"Cash",13,54,37,33,56,285,1730,154,23,23,478,58,704,214,214,952,576,1337,2197,2197,1050,1325,598,1862,1862,2811,5571,5235,5362,5362,10480,10741,11150,15316,15316,6648,4772,3686,4631,4631,8570,2512,
"Tax",,,,,,,,,,,,,32,34,34,35,37,36,35,35,35,36,36,36,36,35,40,39,,,42,,,,,,,,,,,,
"Other Current Assets",,,,,,10970,10970,15689,,,,,,,,,13533,,335,335,110,,87,101,101,114,94,979,1076,1076,142,277,107,2478,2478,90,92,35,49,49,28,126,
"Other Current Assets: Assets held for sale",,,,,,,,,,,,,,,,,13525,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Current Assets: Current Tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,,,,,,,,,,,,,
"Other Current Assets: Loan",,,,,,,,,,,,,,,,,,,335,,,,,,101,,94,,136,136,,277,,,,,,,,,,,
"Other Current Assets: Loans to group companies",,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Current Assets: Pre payments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,
"Other Current Assets: Restricted Cash",,,,,,,,,,,,,,,,,,,,,,,,,,,,,899,899,,,,,,,,,,,,5,
"Other Current Assets: Trade receivables",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,
"Other Current Assets: Trade receivables- retail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,46,
"Total Current Assets",20,70,80,97,141,13694,15650,20919,6008,6008,6206,6241,9584,16344,16344,12117,21212,15282,18013,18013,16438,14656,13710,11801,11801,12058,13860,13066,11485,11485,17310,18257,22027,22398,22398,12422,13022,19710,19341,19341,23267,11875,
"Total Assets",20,70,80,97,141,59152,57690,58642,60306,60306,57311,58517,70383,84094,84094,83578,70005,77274,80564,80564,79848,79337,79020,77246,77246,75006,85724,91381,94576,94576,101356,110433,109625,112863,112863,105231,105958,109321,110453,110453,107066,105243,
"Ordinary Share Capital & Premium",147472,147472,147472,147472,147472,147472,147472,147472,147472,147472,147472,147472,147435,147435,147435,147435,147435,147452,147073,147073,147073,147073,146857,146857,146857,146857,146862,145852,145852,145852,145852,145633,146138,142875,142875,136425,135990,135990,135990,135990,135990,127999,
"Distributable Reserves",-175642,-174786,-173901,-164003,-163729,-147114,-144825,-135872,-130376,-130376,-129788,-130358,-115373,-104684,-104684,-107222,-102076,-93907,-89082,-89082,-87692,-88096,-80070,-79711,-79711,-78335,-77478,-73481,-69762,-69762,-67745,-65620,-55884,-52339,-52339,2791,-53983,-51472,-50407,-50407,-870,,
"Non-Distributable Reserves",9099,9099,9099,,,-14756,-14391,-14363,-13742,-13742,-14051,-13607,-13872,-12345,-12345,-11372,-8575,-9942,-10391,-10391,-10160,-10009,-16708,-17486,-17486,-17646,-11875,-12532,-9868,-9868,-8153,-2846,-3356,3451,3451,-53603,715,4352,4004,4004,-48335,-7980,
"Other Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-42825,
"Ordinary Shareholders' Interest",-19071,-18215,-17330,-16531,-16257,-14398,-11744,-2763,3354,3354,3633,3507,18190,30406,30406,28841,36784,43603,47600,47600,49221,48968,50079,49660,49660,50876,57509,59839,66222,66222,69954,77167,86898,93987,93987,85613,82722,88870,89587,89587,86785,77194,
"Minority Interest",,,,,,,,,,,,,-621,-691,-691,-661,-2369,-1815,-1865,-1865,-1786,-1737,-2018,-1973,-1973,-1905,-2137,-2697,-1880,-1880,-1532,-712,-1757,176,176,410,647,777,475,475,518,649,
"Total Shareholders' Interest",-19071,-18215,-17330,-16531,-16257,-14398,-11744,-2763,3354,3354,3633,3507,17569,29715,29715,28180,34415,41788,45735,45735,47435,47231,48061,47687,47687,48971,55372,57142,64342,64342,68422,76455,85141,94163,94163,86023,83369,89647,90062,90062,87303,77843,
"Non-Interest Bearing Loans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,424,,,,438,438,,,
"Interest Bearing Loans",,,,,,42047,,,,,,,,,,,,,,,,,,,,,,328,,,,,381,,,,,610,,,34,140,
"Deferred Tax Liability",,,,,,,,1499,4867,4867,4727,4867,3567,4960,4960,4692,2995,4509,6075,6075,6442,5926,6223,5916,5916,5354,6543,6613,5373,5373,6060,7541,5665,4907,4907,5902,9729,4782,4079,4079,3972,11545,
"Retirement Obligation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3983,3983,,,,3642,3642,,,
"Other Long-Term Liabilities",,,,,,3668,3469,30538,34277,34277,34044,34756,30257,11406,11406,8886,11107,13921,10082,10082,9963,9810,12237,11504,11504,10179,11163,,15148,15148,15818,16607,8454,733,733,4322,4240,3897,,,4418,4138,
"Other Long-Term Liabilities: Capital Lease Commitments",,,,,,,,,,,,,,,,,,,,,,110,,,,198,281,,267,267,348,455,,,,,,,,,,,
"Other Long-Term Liabilities: Due from related parties",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,401,,,,431,425,,,,415,415,
"Other Long-Term Liabilities: Finance Lease obligations",,,,,,,,,,,,430,626,852,852,1050,1276,1404,75,,,,,,142,,,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Loans and Borrowings",,,,,,,,28497,,,26472,24425,23474,3940,3940,1068,3844,5709,3390,,,3241,,,3743,,,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Loans from related parties",,,,,,,,,,,,2148,,,,,,,,,,,,,,,,,357,357,,,,,,,,,,,,,
"Other Long-Term Liabilities: Non-current liabilities",,,,,,961,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Obligations under finance lease",,,,,,,,,,,,,,,,,,,6617,,,,,,,,,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Other financial liabilities",,,,,,,,,,,,,,,,,,,,,,,,,,3648,3890,,3929,3929,4373,4582,,,,,,,,,,,
"Other Long-Term Liabilities: Reclamation Obligations",,,,,,,,,,,,,,,,,,,,,,6459,,,7619,6333,6992,,10595,10595,10729,11169,,,,3891,3815,,,,4003,3723,
"Other Long-Term Liabilities: Rehabilitation obligation",,,,,,2707,2508,2041,,,7572,7753,6157,6614,6614,6768,5987,6808,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Long-Term Liabilities",,,,,,45715,3469,32037,39144,39144,38771,39623,33824,16366,16366,13578,14102,18430,16157,16157,16405,15736,18460,17420,17420,15533,17706,6941,20521,20521,21878,24148,14500,10047,10047,10224,13969,9289,8159,8159,8424,15823,
"Creditors and Provisions",1258,1180,1123,914,912,17875,17007,17564,16483,16483,13486,12185,12859,12082,12082,11566,10902,12576,13513,13513,11439,11166,8105,8926,8926,6376,8122,8864,8144,8144,6668,7582,8134,6848,6848,4900,6618,7034,7354,7354,6903,6459,
"Tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,261,261,248,,855,398,398,334,583,
"Bank Overdrafts/Short-Term Loans",17833,17105,16287,15714,15486,1243,40059,1132,560,560,566,2608,5340,25257,25257,29566,2296,3810,3160,3160,2502,5039,2845,1615,1615,2508,2839,2151,,,3209,829,426,918,918,3632,1787,2200,3297,3297,2013,698,
"Other Current Liabilities",,,,,,8717,8899,10672,765,765,855,594,791,674,674,688,8290,670,1999,1999,2067,165,1549,1598,1598,1618,1685,16283,1569,1569,1179,1419,1135,626,626,,215,296,1183,1183,2089,3837,
"Other Current Liabilities: Capital Lease Commitments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,266,,,,,,,,,,,,,
"Other Current Liabilities: Current portion of capital lease",,,,,,,,,,,,,,,,,,,,,,165,,,,323,321,,,,266,283,,,,40,143,,,,1913,3196,
"Other Current Liabilities: Due from related parties",,,,,,,,,,,,,,,,,,,,,,,,,,4,49,,,,66,330,,,,164,72,,,,176,641,
"Other Current Liabilities: Finance Lease obligations",,,,,,329,511,650,,,855,594,628,674,674,688,708,,,,,,,,300,,,,,,,,,,,,,,,,,,
"Other Current Liabilities: Liabilities held for sale",,,,,,,,10022,,,,,,,,,7420,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Current Liabilities: Loans and Borrowings",,,,,,,,,,,,,,,,,,,1929,,,,,,1293,,,,,,,,,,,,,,,,,,
"Other Current Liabilities: Loans from related parties",,,,,,,,,,,,,163,,,,162,,4,,,,,,4,,,,5,5,,,,,,,,,,,,,
"Other Current Liabilities: Non-current liabilities",,,,,,,8388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Current Liabilities: Non-current liabilities held for sale",,,,,,8388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Current Liabilities: Obligations under finance lease",,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,
"Other Current Liabilities: Other financial liabilities",,,,,,,,,,,,,,,,,,,,,,,,,,1291,1315,,1298,1298,847,806,,,,,,,,,,,
"Total Current Liabilities",19091,18285,17410,16628,16398,27835,65965,29368,17808,17808,14907,15387,18990,38013,38013,41820,21488,17056,18672,18672,16008,16370,12499,12139,12139,10502,12646,27298,9713,9713,11056,9830,9984,8653,8653,8780,8620,10385,12232,12232,11339,11577,
"Total Liabilities",19091,18285,17410,16628,16398,73550,69434,61405,56952,56952,53678,55010,52814,54379,54379,55398,35590,35486,34829,34829,32413,32106,30959,29559,29559,26035,30352,34239,30234,30234,32934,33978,24484,18700,18700,19004,22589,19674,20391,20391,19763,27400,
"Total Equity and Liabilities",20,70,80,97,141,59152,57690,58642,60306,60306,57311,58517,70383,84094,84094,83578,70005,77274,80564,80564,79848,79337,79020,77246,77246,75006,85724,91381,94576,94576,101356,110433,109625,112863,112863,105027,105958,109321,110453,110453,107066,105243,
"Employment of Capital - Balance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,,,,,,,

Share/unit data,"Feb 2020","Feb 2019","Feb 2018","Nov 2017","Aug 2017","May 2017","Feb 2017","Nov 2016","Aug 2016","Aug 2016","May 2016","Feb 2016","Nov 2015","Aug 2015","Aug 2015","May 2015","Feb 2015","Nov 2014","Aug 2014","Aug 2014","May 2014","Feb 2014","Nov 2013","Aug 2013","Aug 2013","May 2013","Feb 2013","Nov 2012","Aug 2012","Aug 2012","May 2012","Feb 2012","Nov 2011","Aug 2011","Aug 2011","May 2011","Feb 2011","Nov 2010","Aug 2010","Aug 2010","May 2010","Feb 2010",
,"Final (12m)","Final (12m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)",
,"10 Dec 2020","10 Dec 2020","10 Dec 2020","15 Jan 2018","17 Oct 2017","18 Jul 2017","31 May 2017","17 Jan 2017","17 Oct 2016","17 Oct 2016","13 Jul 2016","31 May 2016","15 Jan 2016","16 Oct 2015","16 Oct 2015","15 Jul 2015","29 May 2015","14 Jan 2015","10 Oct 2014","10 Oct 2014","11 Jul 2014","23 May 2014","10 Jan 2014","11 Oct 2013","11 Oct 2013","12 Jul 2013","24 May 2013","11 Jan 2013","12 Oct 2012","12 Oct 2012","13 Jul 2012","25 May 2012","13 Jan 2012","14 Oct 2011","14 Oct 2011","12 Aug 2011","31 May 2011","17 Jan 2011","18 Oct 2010","18 Oct 2010","16 Jul 2010","31 May 2010",
"Exchange Rate (period end)",11.66,10.58,9.19,10.6,10.38,9.73,9.86,10.48,11.11,11.11,12.11,10.3,10.77,10.05,10.05,9.75,9.26,9.66,9.81,9.81,9.67,9.7,9.61,10.32,10.32,9.58,8.72,8.87,8.52,8.52,8.2,7.57,8.1,7.22,7.22,7.1,7.14,7,6.97,6.97,7.28,7.32,
"Exchange Rate (weighted average)",11,10.34,9.52,10.86,9.98,9.79,10.88,10.56,11.36,11.11,11.61,11.96,10.41,9.74,9.8,9.69,9.73,9.87,9.73,9.85,9.61,9.54,9.63,10.01,9.14,9.01,8.36,8.69,8.21,8.05,7.88,7.42,7.76,7.09,7.1,7.08,7.08,6.88,7.27,7.22,7.31,7.22,
"Number of Shares in Issue (Actual)",54983244,54983244,54983244,54983244,54983244,54983244,54983244,54983244,54983244,54983244,54983244,54610498,54558244,54558244,54558244,54558244,54001354,54427244,53523244,53523244,53523244,49839859,49595681,48942745,48942745,48942745,48409413,48409413,48409413,48409413,48409413,47942746,47942746,35492571,35492571,34992569,34545682,34545683,33194558,33194558,34545683,24722871,
"Weighted Average Shares in Issue (Actual)",54983244,54983244,54983244,54983244,54983244,54983244,54983244,54983244,54983244,54983244,54983244,54610498,54558244,54558244,54558244,54558244,54001354,54427244,53523244,53523244,53523244,49839859,49595681,48942745,48887673,48832600,48349322,48409413,48409413,48290210,48173515,40485275,47942746,35492571,35492571,34992569,33864568,34545683,33194558,34545683,31843433,17810954,
"Fully Diluted Weighted Average Shares in Issue",54983244,54983244,54983244,54983244,54983244,54983244,54983244,54983244,54983244,54983244,54983244,54610498,54558244,54558244,54558244,54558244,54001354,54427244,53523244,53523244,53523244,49839859,49595681,48942745,48887673,48832600,48349322,48409413,48409413,48290210,48173515,40485275,47942746,35492571,35492571,34992569,33864568,,33194558,34545683,,17810954,
"Market Capitalisation (R'000)",21993,21993,21993,21993,21993,21993,40138,23643,82475,82475,65980,46965,60560,122756,122756,109116,108003,157839,193219,193219,176627,198363,186976,137040,137040,97885,106501,116183,153458,153458,183956,179785,191771,177463,177463,141720,165819,181365,154355,154355,233183,185422,
