"Exceptional Income",-62,-111905,,,-37403,-17149,,,-106547,-93927,-65492,,-42962,12217,4809,,-22628,48650,7156,,,-80438,-1581,,1231,,,-3015,-3512,1313,,-3464,-4723,-2584,-232,-2884,-8647,-4236,
"Profit Before Interest And Tax",14308,-69391,-97367,73970,-12650,45227,10469,-13744,-56819,4638,-20235,-70225,-14927,20126,18186,33755,-11170,44272,10638,-457018,-193392,-113815,-3332,-40786,-5116,-4058,-28515,-2760,-3857,2133,-12660,-5545,-559,-730,3258,4226,1163,185,
"Interest Received",127,328,137,1163,408,617,310,2434,452,1528,923,2078,427,1043,417,1548,328,811,431,850,209,842,31,76,28,43,338,,,,589,,,,,,,,
"Interest Paid",9045,18035,8739,38295,9412,20568,9947,57016,15074,29593,14514,54434,15664,22795,13271,72672,14393,43750,22295,90301,24684,36064,1775,8059,1238,1087,2546,578,1049,499,2186,588,989,582,,307,521,312,
"Net Interest Paid/(Received)",8918,17707,8602,37132,9004,19951,9637,54582,14622,28065,13591,52356,15237,21752,12854,71124,14065,42939,21864,89451,24475,35222,1744,7983,1210,1044,2208,578,1049,499,1597,588,989,582,,307,521,312,
"Pre-Tax Profit",5390,-87098,-105969,36838,-21654,25276,832,-68326,-71441,-23427,-33826,-122581,-30164,-1626,5332,-37369,-25235,1333,-11226,-546469,-218284,-149037,-5076,-48769,-6326,-5102,-30723,-3338,-4906,1634,-14257,-6133,-1548,-1312,3258,3919,642,-127,
"Taxation",,,,,,,,49,-967,1016,1016,1108,,1108,1107,8175,301,1945,868,15356,43533,-26710,-1524,1370,616,-1263,-1768,-898,1042,1654,-4108,-1161,268,278,968,396,3068,878,
"Profit For The Period",5390,-87098,-105969,36838,-21654,25276,832,-68375,-70474,-24443,-34842,-123689,-30164,-2734,4225,-45544,-25536,-612,-12094,-561825,-261817,-122327,-3552,-50140,-6942,-3839,-28955,-2440,-5948,-20,-10149,-4972,-1816,-1590,2290,3523,-2426,-1005,
"Attributable Income Before Extraordinary Items",5390,-87098,-105969,36838,-21654,25276,832,-68375,-70474,-24443,-34842,-123689,-30164,-2734,4225,-45544,-25536,-612,-12094,-561825,-261817,-122327,-3552,-50140,-6942,-3839,-28955,-2440,-5948,-20,-10149,-4972,-1816,-1590,2290,3523,-2426,-1005,
"Extraordinary Loss/(Profit)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3847,,,,8680,,,,182,,
"Income Attributable To Equity Holders",5390,-87098,-105969,36838,-21654,25276,832,-68375,-70474,-24443,-34842,-123689,-30164,-2734,4225,-45544,-25536,-612,-12094,-561825,-261817,-122327,-3552,-50140,-6942,-3839,-28955,-2440,-9795,-20,-10149,-4972,-10496,-1590,2290,3523,-2608,-1005,
"Total Comprehensive Income/Loss for the period",5390,-87098,-105969,36839,-21654,25277,832,-68375,-70474,-24442,-34842,-123689,-30164,-2734,4225,-45544,-25536,-612,,-561825,,-122327,,,,,,,,,,,,,,,,,
"Profit Before Capex",5390,-87098,-105969,36838,-21654,25276,832,-68375,-70474,-24443,-34842,-123689,-30164,-2734,4225,-414055,-25536,-369123,-380605,-561825,-261817,-122327,-3552,-50140,-6942,-3839,-28955,-2440,-9795,-20,-10149,-4972,-10496,-1590,2290,3523,-2608,-1005,
"Profit After Capex",5390,-87098,-105969,36838,-21654,25276,832,-68375,-70474,-24443,-34842,-123689,-30164,-2734,4225,-414055,-25536,-369123,-380605,-561825,-261817,-122327,-3552,-50140,-6942,-3839,-28955,-2440,-9795,-20,-10149,-4972,-10496,-1590,2290,3523,-2608,-1005,
"Headline Earnings (Cont Ops)",,,,42259,,,,-21475,,,,-124141,,,4225,-41536,,,-12094,-565427,,,,,,,,,,,,,,,,,,,
"Enterprise Value (EV)",839728,836483,835578,775312,826126,827971,845709,833876,474160,483663,478810,512654,439867,418499,393947,555920,586906,404386,494935,184301,301171,242617,137081,98224,134620,115702,119396,117030,103709,118586,217634,134963,299450,442427,549009,487498,707662,-19812,

Balance sheet ('000),"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016","Jun 2016","Mar 2016","Dec 2015","Sep 2015","Jun 2015","Mar 2015","Dec 2014","Sep 2014","Jun 2014","Feb 2014","Nov 2013","Aug 2013","May 2013","Feb 2013","Nov 2012","Aug 2012","May 2012","Feb 2012","Nov 2011","Aug 2011","May 2011",
,"Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (10m)","Qtrly (3m)","Interim (4m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)",
,"20 Nov 2020","21 Aug 2020","29 May 2020","9 Apr 2020","15 Nov 2019","29 Aug 2019","31 May 2019","25 Apr 2019","21 Nov 2018","10 Aug 2018","17 May 2018","22 Mar 2018","9 Nov 2017","23 Aug 2017","12 May 2017","28 Mar 2017","30 Nov 2016","26 Aug 2016","13 May 2016","30 Mar 2016","12 Nov 2015","14 Aug 2015","15 May 2015","27 Mar 2015","14 Nov 2014","14 Aug 2014","2 Jun 2014","15 Jan 2014","16 Oct 2013","25 Jul 2013","30 May 2013","18 Jan 2013","16 Oct 2012","17 Jul 2012","30 May 2012","17 Jan 2012","18 Oct 2011","15 Aug 2011",
,"ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","CAD","CAD","CAD","CAD","CAD","CAD","CAD","CAD","CAD","CAD","CAD","CAD","CAD","CAD","CAD","CAD",
"Ordinary Share Capital & Premium",1089305,1089305,1089305,1089305,1089305,1089305,1089305,1089305,1086857,1086857,1085642,1082397,1082397,1080283,1078057,1075881,1063828,1061183,1043282,1038097,971464,955219,98941,92644,95691,95907,97918,97568,97342,97342,97342,98520,98793,98793,98793,98793,,98793,
"Distributable Reserves",-1330142,-1335533,-1354902,-1248932,-1282148,-1260596,-1285040,-1285872,-1313598,-1243124,-1253524,-1218682,-1127891,-1097727,-1090768,-1095287,-1077888,-1052368,-1065985,-1055512,-877833,16714,-22999,-94198,-52741,-46641,-44288,-23829,-21391,-15464,-19704,8517,-15299,-14519,-14519,-15728,,-18439,
"Non-Distributable Reserves",9098,9099,9597,9597,9597,9698,9698,9698,13331,12251,12097,14125,12563,12990,13093,13309,15722,15841,33157,16727,16554,-616310,1698,1493,1988,2057,3392,4525,3503,3127,7388,,-4647,5102,11208,,,,
"Translation Reserves",-219945,-219945,-219945,-219945,-219945,-219945,-219945,-219945,-219945,-219945,-219945,-219945,-219945,-219945,-219945,-219945,-219945,-219945,-219945,-219945,-219945,-219945,-55210,-19629,-21786,-22155,-23737,-21796,-22488,-26086,-18641,-18089,,,-6107,-9973,,481,
"Other Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18610,,,,10758,,10253,
"Ordinary Shareholders' Interest",-451684,-457074,-475945,-369975,-403191,-381538,-405982,-406814,-433355,-363961,-375730,-342105,-252876,-224399,-219563,-226042,-218283,-195289,-209491,-220633,-109760,135678,22430,-19690,23152,29168,33285,56468,56966,58919,66385,70338,78847,89376,89375,83850,88560,91088,
"Minority Interest",4339,4339,4339,4339,4339,4339,4339,4339,4339,4339,4339,4339,4339,4339,4339,4339,4339,4339,4339,4339,4339,4339,454,387,430,437,639,639,639,639,639,639,639,639,639,639,1598,1598,
"Total Shareholders' Interest",-447345,-452735,-471606,-365636,-398852,-377199,-401643,-402475,-429016,-359622,-371391,-337766,-248537,-220060,-215224,-221703,-213944,-190950,-205152,-216294,-105421,140017,22884,-19303,23582,29605,33924,57107,57605,59558,67024,70977,79486,90015,90014,84489,90158,92686,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2854,
"Interest Bearing Loans",,,,,,,,,,,,,,,,,,,,,104007,123006,13361,,10499,,,,,,,,,,,,,,
"Other Long-Term Liabilities",48170,47826,46401,45760,46005,49040,45718,44606,44620,30000,396044,345036,390731,360774,380419,394888,394304,544407,596349,584805,358575,326403,25096,52190,26388,20759,18770,17987,13020,14931,17956,17317,24298,22013,22013,10935,12804,10187,
"Long-Term Liabilities",48170,47826,46401,45760,46005,49040,45718,44606,44620,30000,396044,345036,390731,360774,380419,394888,394304,544407,596349,584805,462582,449409,38457,52190,36887,20759,18770,17987,13020,14931,17956,17317,24298,22013,22013,10935,12804,32045,
"Deferred Tax Liability",,,,,,,,,,,,,,,,,,,,,,,,,1865,3492,4871,7476,7551,8071,9424,10129,11747,14313,14312,14356,18372,19004,
"Total Capital Employed",-399175,-404909,-425205,-319876,-352847,-328159,-355925,-357869,-384396,-329622,24653,7270,142194,140714,165195,173185,180360,353457,391197,368511,357161,589426,61341,32887,62334,53856,57565,82570,78176,82560,94404,98423,115531,126341,126339,109780,121334,143735,
"Mining Assets",41243,36907,39156,41420,53657,59697,56737,58484,59392,112239,111955,106886,295573,302978,304207,311731,309115,321598,332831,340650,354483,550751,58824,30401,59089,55564,59363,60560,60443,60093,69796,67206,71301,81956,81956,78048,76442,85159,
"Right-of-use Asset",961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Investments and Loans",232,234,233,199,211,198,200,194,202,192,169,181,127,45180,43488,41633,40803,39395,38070,35675,33278,32443,3281,3184,2740,2628,2434,,,,2645,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110093,
"Goodwill",,,,,,,,,,,,,,,,,,,,,,,,,,,,13880,13725,13698,15240,14877,15628,17506,17506,16672,18672,18672,
"Intangible Assets",,,,,,,,,,,,,,,,,,,,,,,,,1068,1116,1187,4022,4010,4045,3717,4484,4741,5414,5414,5180,5814,,
"Deferred Tax Asset",,,,,,,,,,,,,,,,,3494,2509,1705,1743,1087,43557,3575,156,,,,1532,852,618,,1107,342,327,327,130,150,55,
"Other Assets",67394,68834,67174,68794,70805,75786,79043,73925,73316,71725,70202,69591,64797,15244,15216,15233,15249,15312,15387,15299,15316,16036,1805,1365,1647,364,403,3977,3721,4413,1800,13380,5489,6958,7421,7291,8341,6207,
"Stores",38521,27096,36160,51280,49453,52060,45335,41824,34666,33441,28949,38095,49013,49439,41341,35222,48028,49922,48182,42226,35126,40399,3172,3768,4018,6155,7572,9372,9018,8620,10153,6920,5268,3444,3444,3237,6466,13341,
"Debtors and Payments in Advance",27051,26463,27827,37533,35278,39515,31351,48284,101330,98433,104185,123260,118093,81336,104485,86675,89092,76611,92852,77280,74921,93522,9034,6897,9280,7349,8008,11295,13928,13377,6127,6482,11153,13479,12921,11442,13634,9810,
"Cash",5118,17542,9930,3518,15990,6071,6187,5232,7444,17280,13807,21429,12000,9860,10507,13754,17946,9647,21228,20365,15176,23632,5500,1818,526,2705,3300,2225,1876,2404,3076,3729,14980,11466,9481,18746,26295,21594,
"Other Current Assets",,,,,,,,865,865,865,865,865,,,,,,,,25052,44671,2728,266,2235,1357,1064,4103,95,2914,1788,9446,190,,,2081,176,80,116,
"Current Assets",70690,71101,73917,92331,100722,97646,82872,96205,144305,150019,147806,183649,179106,140635,156333,135651,155066,136180,162262,164923,169894,160281,17972,14718,15181,17273,22983,22987,27736,26189,28803,17321,31401,28389,27927,33601,46475,44861,
"Total Assets",180520,177076,180480,202744,225395,233327,218852,228808,277214,334175,330132,360308,539603,504037,519244,504248,523727,514994,550255,558290,574058,803068,85457,49824,79725,76945,86371,106958,110487,109056,122001,118374,128902,140550,140551,140922,155894,154954,
"Creditors and Provisions",70338,63510,74226,95045,87501,75399,77444,95352,148228,131307,135880,156498,201281,163433,175932,158262,153830,126216,128702,161401,185308,192978,18918,14404,17028,15308,17561,18451,21567,16654,16591,11855,9687,9234,9234,10518,11991,6792,
"Tax",298,300,298,255,270,844,851,829,860,4199,3684,2901,2958,,9954,8775,3166,2657,,,1389,,283,,,,,,,,,,,,,,,,
"Bank Overdrafts/Short-Term Loans",503425,512604,525155,420555,483841,475767,489407,482070,123170,145639,158914,187956,187270,185070,162176,161016,182988,30000,27692,25714,24000,18000,4636,2295,99,,,,,,,24,,,,52,179,184,
"Other Current Liabilities",5634,5571,6006,6765,6630,9476,7075,8426,389353,382652,7001,5683,5900,14820,5987,3010,3383,2664,2664,2664,6200,2664,279,238,264,7781,11245,5937,10744,9842,11006,8072,3684,4975,4978,20572,22390,23247,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62268,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154954,
"Current Liabilities",579695,581985,605685,522620,578242,561486,574777,586677,661611,663797,305479,353038,397409,363323,354049,331063,343367,161537,159058,189779,216897,213642,24116,16937,17391,23089,28806,24388,32311,26496,27597,19951,13371,14209,14212,31142,34560,30223,
"Net Current Assets",-509005,-510884,-531768,-430289,-477520,-463840,-491905,-490472,-517306,-513778,-157673,-169389,-218303,-222688,-197716,-195412,-188301,-25357,3204,-24856,-47003,-53361,-6144,-2219,-2210,-5816,-5823,-1401,-4575,-307,1206,-2630,18030,14180,13715,2459,11915,14638,
"Employment of Capital - Balance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19004,

Share/unit data,"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016","Jun 2016","Mar 2016","Dec 2015","Sep 2015","Jun 2015","Mar 2015","Dec 2014","Sep 2014","Jun 2014","Feb 2014","Nov 2013","Aug 2013","May 2013","Feb 2013","Nov 2012","Aug 2012","May 2012","Feb 2012","Nov 2011","Aug 2011","May 2011",
,"Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (10m)","Qtrly (3m)","Interim (4m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)",
,"20 Nov 2020","21 Aug 2020","29 May 2020","9 Apr 2020","15 Nov 2019","29 Aug 2019","31 May 2019","25 Apr 2019","21 Nov 2018","10 Aug 2018","17 May 2018","22 Mar 2018","9 Nov 2017","23 Aug 2017","12 May 2017","28 Mar 2017","30 Nov 2016","26 Aug 2016","13 May 2016","30 Mar 2016","12 Nov 2015","14 Aug 2015","15 May 2015","27 Mar 2015","14 Nov 2014","14 Aug 2014","2 Jun 2014","15 Jan 2014","16 Oct 2013","25 Jul 2013","30 May 2013","18 Jan 2013","16 Oct 2012","17 Jul 2012","30 May 2012","17 Jan 2012","18 Oct 2011","15 Aug 2011",
"Exchange Rate (period end)",,,,,,,,,,,,,,,,,,,,,,,9.56,9.98,9.69,9.94,9.68,9.61,9.8,9.58,8.62,8.86,8.52,8.2,7.57,8.1,7.04,7.1,
"Exchange Rate (weighted average)",,,,,,,,,,,,,,,,,,,,,,,9.47,9.88,9.54,9.67,9.52,9.63,9.33,9.01,8.39,8.67,,,,,,,
"Number of Shares in  Issue (Actual)",421352596,421352596,421352596,421352596,421352596,421352596,421352598,414939530,416582594,412900283,411704440,402103783,400397305,398250175,396565418,336932882,347937162,316411592,293413234,105825767,105747621,69088164,62065181,105825767,49647238,39323403,34873429,34887190,34865717,34386035,34386035,33665717,34865717,34865717,34865717,34865717,34865717,34865717,
"Weighted Average Number of Shares (Actual)",421352596,421352596,421352596,421352596,421352596,421352596,421352596,414939530,416582594,412900283,411704440,402103783,400397305,398250175,396565418,336932882,347937162,316411592,293413234,105825767,105747621,69088164,62065181,105825767,49647238,39323403,34873429,34887190,34865717,34386035,34752538,33665717,34865717,34865717,34859160,34865717,34865717,34389636,
"Fully Diluted Weighted Average Shares in Issue",421352596,421352596,421352596,421352596,421352596,421352596,421352596,414939530,416582594,412900283,411704440,402103783,400397305,398250175,396565418,336932882,347937162,316411592,293413234,105825767,105747621,69088164,62065181,105825767,49647238,39323403,34873429,,,34386035,34752538,,,,34863120,,,,
"JSE Market Capitalisation (R000)",337082,337082,316014,353936,353936,353936,358150,352699,354095,350965,329364,341788,260258,238950,237939,404319,417525,379694,484132,174613,184001,120904,124130,97360,124118,117970,122057,118616,104946,120351,220071,138029,313791,453254,557851,505553,732180,,
"Number of Months",3,6,3,12,3,6,3,12,6,6,3,12,3,6,3,12,3,6,3,12,3,6,3,10,3,4,12,3,6,3,12,3,6,3,12,3,6,3,

Share statistics,"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016","Jun 2016","Mar 2016","Dec 2015","Sep 2015","Jun 2015","Mar 2015","Dec 2014","Sep 2014","Jun 2014","Feb 2014","Nov 2013","Aug 2013","May 2013","Feb 2013","Nov 2012","Aug 2012","May 2012","Feb 2012","Nov 2011","Aug 2011","May 2011",
,"Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (10m)","Qtrly (3m)","Interim (4m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)",
,"20 Nov 2020","21 Aug 2020","29 May 2020","9 Apr 2020","15 Nov 2019","29 Aug 2019","31 May 2019","25 Apr 2019","21 Nov 2018","10 Aug 2018","17 May 2018","22 Mar 2018","9 Nov 2017","23 Aug 2017","12 May 2017","28 Mar 2017","30 Nov 2016","26 Aug 2016","13 May 2016","30 Mar 2016","12 Nov 2015","14 Aug 2015","15 May 2015","27 Mar 2015","14 Nov 2014","14 Aug 2014","2 Jun 2014","15 Jan 2014","16 Oct 2013","25 Jul 2013","30 May 2013","18 Jan 2013","16 Oct 2012","17 Jul 2012","30 May 2012","17 Jan 2012","18 Oct 2011","15 Aug 2011",
"Earnings Per Share (ZARc)",1,-21,-25,9,-5,6,,-16,-18,-6,-8,-31,-8,-1,1,-14,-7,,-4,-531,-248,-177,-56.82,-4.64,-133.56,-97,-762.07,-67.44,-158.62,-9.01,-251.7,-121.46,-41.94,-39.35,52.08,77.7,-49.28,-21.18,
"Diluted Earnings Per Share (ZARc)",1,-21,-25,9,-5,6,,-16,-18,-6,-8,-31,-8,-1,1,-14,-7,,-4,-531,-248,-177,-56.82,-4.64,-133.56,-97,-762.07,-67.44,-158.62,-9.01,-251.7,-121.46,-41.94,-39.35,52.08,77.7,-49.28,-21.18,
"Headline Earnings Per Share (Cont Ops) (ZARc)",1,-21,-25,10,-5,6,,-0.05,-18,-6,-8,-31,-7,-1,1,-12,-7,,-4,-534,-248,-172,-56.82,-4.74,-133.56,-97,-762.07,-67.44,-158.62,-9.01,-251.7,-121.46,-41.94,-39.35,52.08,77.7,,,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",1,-21,-25,10,-5,6,,-0.05,-18,-6,-8,-31,-7,-1,1,-12,-7,,-4,-534,-248,-172,-56.82,-4.74,-133.56,-97,-762.07,-67.44,-158.62,-9.01,-251.7,-121.46,-41.94,-39.35,,77.7,,,
"Net Asset Value Per Share (ZARc)",-107.2,-108.48,-112.96,-87.81,-95.69,-90.55,-96.35,-98.04,-104.03,-88.15,-91.26,-85.08,-63.16,-56.35,-55.37,-67.09,-62.74,-61.72,-71.4,-208.49,-103.79,196.38,345.5,226.95,451.84,737.35,924.86,1557,1601.48,1641.64,193.06,1851.64,1926.71,2103.01,1826.85,1949.29,1790.52,1855.35,
"3 Year Beta",26.44,23.3,42.92,46.37,47.33,45.3,52.5,51.28,46.49,48.24,-0.35,-1.17,-1.33,-1.67,-1.78,-1.1,-1,-0.82,-0.65,-0.63,-0.61,-1.22,-1.2,0.13,-0.53,,,,,,,,,,,,,,
"Cash Generated per share",-0.5,4.83,1.69,8.6,6.77,1.25,0.63,25.52,5.26,14.17,7.04,7.03,3.36,-0.58,1.09,9.5,1.07,-7.51,-6.05,-60.37,,-20.95,0.36,-23.29,,-2.63,-0.83,-2.66,14.97,3.82,1.29,-12.12,11.16,3.2,57.18,12.73,42.54,12.8,
"Earnings Per Share (Base Currency)",,,,,,,,,,,,,,,,,,,,,,,-6,-0.47,-14,-10,-80,-7,-17,-1,-30,-14,-5,-5,7,10,-7,-3,
"Diluted Earnings Per Share (Base Currency)",,,,,,,,,,,,,,,,,,,,,,,-6,-0.47,-14,-10,-80,-7,-17,-1,-30,-14,-5,-5,7,10,-7,-3,
"Headline Earnings Per Share (Cont) (Base Currency)",,,,,,,,,,,,,,,,,,,,,,,-6,-0.48,-14,-10,-80,-7,-17,-1,-30,-14,-5,-5,7,10,,,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",,,,,,,,,,,,,,,,,,,,,,,-6,-0.48,-14,-10,-80,-7,-17,-1,-30,-14,-5,-5,,10,,,
"Net Asset Value Per Share (Base Currency)",-107.2,-108.48,-112.96,-87.81,-95.69,-90.55,-96.35,-98.04,-104.03,-88.15,-91.26,-85.08,-63.16,-56.35,-55.37,-67.09,-62.74,-61.72,-71.4,-208.49,-103.79,196.38,36.14,22.74,46.63,74.17,95.45,161.86,163.39,171.35,193.06,208.93,226.14,,241.26,240.49,254,261.25,
"Price at Period End (Base Currency)",80,80,75,84,84,84,85,85,85,85,80,85,65,60,60,120,120,120,165,165,174,175,21,9,25,30,36,35,30,36,74,46,105,157,213,179,291,,
"JSE Market Price at Period End (ZARc)",80,80,75,84,84,84,85,85,85,85,80,85,65,60,60,120,120,120,165,165,174,175,200,92,250,300,350,340,301,350,640,410,900,1300,1600,1450,2100,,
"JSE Market Price High (ZARc)",80,84,84,85,84,85,85,85,85,85,85,120,65,120,120,165,120,165,165,200,184,200,200,350,300,350,640,375,640,640,1800,900,1800,1800,2750,2150,2750,,
"JSE Market Price Low (ZARc)",80,75,75,84,84,84,85,1,84,1,80,60,60,60,60,120,120,120,165,92,174,92,92,91,250,300,119,301,301,311,310,310,800,1050,1000,1430,1000,,
"JSE Volume Traded (Actual)",2373,8767,1930,1971,,1874,446,23243,11730,10954,7275,74298,330,66168,57248,22763,11450,3187,187,12084,1201,10760,3200,14086,450,7303,1412028,1355459,46178,42258,115449,6843,92829,48810,140558,64265,34323,,
"JSE Value Traded (Actual)",1898,7047,1578,1660,,1579,379,19661,9959,9227,6124,46535,215,39701,34349,27400,13740,3909,309,22743,2104,20425,5437,31829,1125,23262,4812346,4611499,171930,158149,1255671,33547,1123716,696807,2777887,1238137,873467,,
"12 Month HEPS",5,-17,-17.5,10,54.95,11.95,-0.03,-0.05,-34,-36,-31.25,-31,1,-13,-8,-12,203,-362,-404.5,-534,-123.1,-174.84,-61.08,-53.24,-548.08,-605.04,-762.07,-113.38,-368.38,-191.56,-243.4,-344.42,96.15,-0.29,52.08,1.92,-102.28,-84.72,

