Balance sheet (USD million),"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Mar 2017","Dec 2016","Sep 2016","Sep 2016","Jun 2016","Mar 2016","Mar 2016","Dec 2015","Sep 2015","Sep 2015","Jun 2015","Mar 2015","Mar 2015","Dec 2014","Sep 2014","Sep 2014","Jun 2014","Mar 2014","Mar 2014","Dec 2013","Sep 2013","Sep 2013","Jun 2013","Mar 2013","Mar 2013","Dec 2012","Sep 2012","Sep 2012","Jun 2012","Mar 2012","Mar 2012","Dec 2011","Sep 2011","Sep 2011","Jun 2011","Mar 2011","Mar 2011","Dec 2010","Sep 2010","Sep 2010","Jun 2010","Mar 2010","Mar 2010",
,"Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)",
,"5 Nov 2020","30 Jul 2020","7 May 2020","5 Feb 2020","14 Nov 2019","1 Aug 2019","9 May 2019","9 May 2019","6 Feb 2019","15 Nov 2018","13 Aug 2018","14 May 2018","14 May 2018","7 Feb 2018","16 Nov 2017","3 Aug 2017","15 May 2017","15 May 2017","8 Feb 2017","10 Nov 2016","10 Nov 2016","4 Aug 2016","9 May 2016","9 May 2016","10 Feb 2016","12 Nov 2015","12 Nov 2015","7 Aug 2015","14 May 2015","14 May 2015","11 Feb 2015","10 Nov 2014","10 Nov 2014","31 Jul 2014","12 May 2014","12 May 2014","5 Feb 2014","7 Nov 2013","7 Nov 2013","2 Aug 2013","9 May 2013","9 May 2013","6 Feb 2013","8 Nov 2012","8 Nov 2012","3 Aug 2012","10 May 2012","10 May 2012","8 Feb 2012","10 Nov 2011","10 Nov 2011","4 Aug 2011","9 May 2011","9 May 2011","9 Feb 2011","8 Nov 2010","8 Nov 2010","2 Aug 2010","7 May 2010","7 May 2010",
"Fixed Assets",3103,3025,3047,3306,3061,3095,2990,2990,3006,3010,2926,2993,2993,2803,2681,2544,2430,2430,2404,2501,2501,2391,2389,2389,2396,2508,2508,2595,2591,2591,2758,2841,2841,2960,2978,2978,3012,3078,3078,3110,3102,3102,3192,3157,3157,3098,3224,3224,3171,3235,3235,3607,3612,3612,3656,3660,3660,3424,3638,3638,
"Right-of-use Asset",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Investments and Loans",419,411,395,490,451,482,466,466,459,466,481,549,549,521,458,470,454,454,445,441,441,382,369,369,348,383,383,419,422,422,419,430,430,455,454,454,451,464,464,481,607,607,553,555,555,560,613,613,586,580,580,695,701,701,717,687,687,550,457,457,
"Goodwill",,,,,,,,,,,,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Intangible Assets",113,109,81,82,54,57,60,60,62,63,87,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deferred Tax Asset",59,119,109,109,106,104,99,99,97,106,92,93,93,93,123,153,147,147,150,152,152,161,157,157,158,162,162,141,138,138,141,138,138,98,94,94,96,92,92,120,118,118,152,154,154,144,45,45,43,45,45,57,57,57,52,53,53,49,52,52,
"Other Assets",96,205,212,216,117,136,132,132,129,121,103,108,108,128,77,95,82,82,78,77,77,123,118,118,124,121,121,129,135,135,92,96,96,112,148,148,148,153,153,128,123,123,127,124,124,233,221,221,226,225,225,249,245,245,264,253,253,287,254,254,
"Total Fixed Assets",3891,3869,3844,4203,3789,3874,3747,3747,3753,3766,3689,3837,3837,3545,3378,3262,3113,3113,3077,3171,3171,3057,3033,3033,3026,3174,3174,3284,3286,3286,3410,3505,3505,3625,3674,3674,3707,3787,3787,3839,3950,3950,4024,3990,3990,4035,4103,4103,4026,4085,4085,4608,4615,4615,4689,4653,4653,4310,4401,4401,
"Stock",673,731,765,782,709,780,804,804,828,741,735,752,752,697,636,676,652,652,647,606,606,632,646,646,636,595,595,678,682,682,708,687,687,735,756,756,771,728,728,754,785,785,809,726,726,773,826,826,771,750,750,949,937,937,890,836,836,795,777,777,
"Debtors",584,563,688,698,718,710,737,737,707,767,703,734,734,655,668,616,579,579,559,642,642,626,636,636,605,650,650,631,614,614,688,731,731,870,764,764,776,748,748,756,720,720,772,807,807,782,753,753,771,834,834,969,944,944,907,903,903,846,824,824,
"Cash",279,190,268,270,393,226,720,720,350,363,317,459,459,618,550,446,703,703,681,703,703,542,457,457,383,456,456,351,399,399,329,528,528,248,307,307,178,352,352,236,398,398,504,645,645,403,453,453,401,639,639,362,567,567,591,792,792,534,724,724,
"Tax",19,12,14,10,11,11,11,11,9,12,15,8,8,8,12,10,9,9,12,11,11,11,11,11,10,10,10,9,10,10,10,14,14,15,13,13,17,18,18,,,,,,,,,,,,,,,,,,,,,,
"Other Current Assets",9,7,9,11,3,13,6,6,9,21,8,18,18,26,3,8,62,62,69,44,44,,,,,28,28,,,,,,,,93,93,93,94,94,87,,,,,,20,12,12,,,,,,,,,,75,76,76,
"Total Current Assets",1564,1503,1744,1771,1834,1740,2278,2278,1903,1904,1778,1971,1971,2004,1869,1756,2005,2005,1968,2006,2006,1811,1750,1750,1634,1739,1739,1669,1705,1705,1735,1960,1960,1868,1933,1933,1835,1940,1940,1833,1903,1903,2085,2178,2137,1978,2044,2044,1943,2181,2223,2280,2448,2448,2388,2531,2483,2250,2401,2401,
"Total Assets",5455,5372,5588,5974,5623,5614,6025,6025,5656,5670,5467,5808,5808,5549,5247,5018,5118,5118,5045,5177,5177,4868,4783,4783,4660,4913,4913,4953,4991,4991,5145,5465,5465,5493,5607,5607,5542,5727,5727,5672,5853,5853,6109,6168,6168,6013,6147,6147,5969,6308,6308,6888,7063,7063,7077,7184,7184,6560,6802,6802,
"Ordinary Share Capital & Premium",710,,,,802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Distributable Reserves",1106,,,,1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-Distributable Reserves",101,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Translation Reserves",-245,,,,-184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Capital",-40,,,,-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordinary Shareholders' Interest",1632,1781,1827,2071,1948,2033,1987,1987,1915,1947,1842,1968,1968,1821,1747,1627,1551,1551,1442,1378,1378,1182,1114,1114,1015,1015,1015,1120,1135,1135,1059,1044,1044,1160,1146,1146,1122,1144,1144,1340,1443,1443,1513,1525,1525,1557,1642,1642,1516,1478,1478,1884,1951,1951,2016,1896,1896,1719,1683,1683,
"Total Shareholders' Interest",1632,1781,1827,2071,1948,2033,1987,1987,1915,1947,1842,1968,1968,1821,1747,1627,1551,1551,1442,1378,1378,1182,1114,1114,1015,1015,1015,1120,1135,1135,1059,1044,1044,1160,1146,1146,1122,1144,1144,1340,1443,1443,1513,1525,1525,1557,1642,1642,1516,1478,1478,1884,1951,1951,2016,1896,1896,1719,1683,1683,
"Interest Bearing Loans",1861,1779,1855,1903,1713,1762,1759,1759,1778,1818,1816,1940,1940,1831,1739,1635,1483,1483,1473,1535,1535,1915,1974,1974,1983,2031,2031,2050,2086,2086,2238,2311,2311,2354,2443,2443,2444,2499,2499,2434,2243,2243,2293,2358,2358,2209,2220,2220,2245,2289,2289,2033,2009,2009,2120,2317,2317,2253,2360,2360,
"Deferred Tax Liability",304,296,293,353,328,345,337,337,336,335,306,342,342,328,295,288,280,280,276,272,272,242,235,235,229,245,245,265,265,265,270,272,272,288,284,284,267,267,267,285,297,297,321,319,319,334,363,363,342,336,336,421,421,421,417,386,386,348,324,324,
"Other Long-Term Liabilities",535,483,469,507,420,392,386,386,392,397,422,442,442,429,423,518,502,502,501,518,518,518,523,523,521,530,530,448,444,444,561,615,615,563,613,613,611,605,605,613,630,630,688,651,651,537,557,557,547,553,553,553,553,553,552,546,546,498,517,517,
"Total Long-Term Liabilities",2700,2558,2617,2763,2461,2499,2482,2482,2506,2550,2544,2724,2724,2588,2457,2441,2265,2265,2250,2325,2325,2675,2732,2732,2733,2806,2806,2763,2795,2795,3069,3198,3198,3205,3340,3340,3322,3371,3371,3332,3170,3170,3302,3328,3328,3080,3140,3140,3134,3178,3178,3007,2983,2983,3089,3249,3249,3099,3201,3201,
"Creditors and Provisions",816,695,885,889,975,844,877,877,960,1015,920,913,913,837,868,,,,,854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dividends",,,,,,,,,92,,,,,75,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tax",11,19,21,33,51,42,32,32,49,39,46,45,45,85,37,53,25,25,39,42,42,29,43,43,25,30,30,26,31,31,21,25,25,17,8,8,8,12,12,13,14,14,19,26,26,19,15,15,14,20,20,26,35,35,39,36,36,43,50,50,
"Bank Overdrafts/Short-Term Loans",270,291,195,190,181,192,641,641,129,113,104,151,151,136,133,129,549,549,546,576,576,210,135,135,134,196,196,218,229,229,131,163,163,180,112,112,119,100,106,99,307,307,306,266,266,407,366,366,331,450,450,804,928,928,903,696,696,618,793,793,
"Bank Overdrafts/Short-Term Loans: Bank overdraft",,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,7,,5,,,,5,1,,,,,4,,5,,,,
"Bank Overdrafts/Short-Term Loans: Interest bearing borrowings",,,,,,191,,,116,97,98,,,136,133,129,,,546,576,576,210,135,135,134,196,196,,,,131,163,163,,,,114,99,99,,,,299,,261,,366,366,326,449,,,928,928,899,,691,,,,
"Bank Overdrafts/Short-Term Loans: Liabilities held-for-sale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,6,,,,,,,,,,,,,,,,,,,,,,
"Bank Overdrafts/Short-Term Loans: Overdraft",,,,,,1,,,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Current Liabilities",26,28,43,28,7,4,6,6,5,6,11,7,7,7,5,768,728,728,719,2,856,772,759,759,753,866,866,826,801,801,865,1035,1035,931,1001,1001,971,1100,1094,888,919,919,969,1023,1023,950,984,984,974,1182,1182,1167,1166,1166,1030,1307,1307,1081,1075,1075,
"Total Current Liabilities",1123,1033,1144,1140,1214,1082,1556,1556,1235,1173,1081,1116,1116,1140,1043,950,1302,1302,1353,1474,1474,1011,937,937,912,1092,1092,1070,1061,1061,1017,1223,1223,1128,1121,1121,1098,1212,1212,1000,1240,1240,1294,1315,1315,1376,1365,1365,1319,1652,1652,1997,2129,2129,1972,2039,2039,1742,1918,1918,
"Total Liabilities",3823,3591,3761,3903,3675,3581,4038,4038,3741,3723,3625,3840,3840,3728,3500,3391,3567,3567,3603,3799,3799,3686,3669,3669,3645,3898,3898,3833,3856,3856,4086,4421,4421,4333,4461,4461,4420,4583,4583,4332,4410,4410,4596,4643,4643,4456,4505,4505,4453,4830,4830,5004,5112,5112,5061,5288,5288,4841,5119,5119,
"Total Equity and Liabilities",5455,5372,5588,5974,5623,5614,6025,6025,5656,5670,5467,5808,5808,5549,5247,5018,5118,5118,5045,5177,5177,4868,4783,4783,4660,4913,4913,4953,4991,4991,5145,5465,5465,5493,5607,5607,5542,5727,5727,5672,5853,5853,6109,6168,6168,6013,6147,6147,5969,6308,6308,6888,7063,7063,7077,7184,7184,6560,6802,6802,

Share/unit data,"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Mar 2017","Dec 2016","Sep 2016","Sep 2016","Jun 2016","Mar 2016","Mar 2016","Dec 2015","Sep 2015","Sep 2015","Jun 2015","Mar 2015","Mar 2015","Dec 2014","Sep 2014","Sep 2014","Jun 2014","Mar 2014","Mar 2014","Dec 2013","Sep 2013","Sep 2013","Jun 2013","Mar 2013","Mar 2013","Dec 2012","Sep 2012","Sep 2012","Jun 2012","Mar 2012","Mar 2012","Dec 2011","Sep 2011","Sep 2011","Jun 2011","Mar 2011","Mar 2011","Dec 2010","Sep 2010","Sep 2010","Jun 2010","Mar 2010","Mar 2010",
,"Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)",
,"5 Nov 2020","30 Jul 2020","7 May 2020","5 Feb 2020","14 Nov 2019","1 Aug 2019","9 May 2019","9 May 2019","6 Feb 2019","15 Nov 2018","13 Aug 2018","14 May 2018","14 May 2018","7 Feb 2018","16 Nov 2017","3 Aug 2017","15 May 2017","15 May 2017","8 Feb 2017","10 Nov 2016","10 Nov 2016","4 Aug 2016","9 May 2016","9 May 2016","10 Feb 2016","12 Nov 2015","12 Nov 2015","7 Aug 2015","14 May 2015","14 May 2015","11 Feb 2015","10 Nov 2014","10 Nov 2014","31 Jul 2014","12 May 2014","12 May 2014","5 Feb 2014","7 Nov 2013","7 Nov 2013","2 Aug 2013","9 May 2013","9 May 2013","6 Feb 2013","8 Nov 2012","8 Nov 2012","3 Aug 2012","10 May 2012","10 May 2012","8 Feb 2012","10 Nov 2011","10 Nov 2011","4 Aug 2011","9 May 2011","9 May 2011","9 Feb 2011","8 Nov 2010","8 Nov 2010","2 Aug 2010","7 May 2010","7 May 2010",
"Exchange Rate (period end)",17.13,17.24,17.63,14.03,15.15,14.09,14.49,14.49,14.43,12.37,13.73,11.82,11.82,12.37,13.56,13.06,13.42,13.42,13.74,13.71,13.71,15.06,15.45,15.45,15.28,13.91,13.91,12.2,12.05,12.05,11.6,11.22,11.22,10.6,10.57,10.57,10.53,10.09,10.09,9.88,9.23,9.23,8.48,8.3,8.3,8.16,7.67,7.67,8.14,8.09,8.09,6.73,6.69,6.69,6.62,7.01,7.02,7.62,7.89,7.89,
"Exchange Rate (weighted average)",16.23,17.97,15.26,14.72,14.34,14.39,14.02,14.16,14.31,13.62,12.63,12.79,11.96,13.62,13.38,13.19,13.58,13.22,13.92,14.78,14.16,15,15.82,14.99,14.15,12.94,11.96,12.08,11.72,11.46,11.21,10.56,10.74,10.7,10.84,10.49,10.14,9.28,9.99,9.47,8.81,8.93,8.69,8.25,8.05,8.12,7.92,7.75,8.11,6.95,7.15,6.79,6.94,6.99,6.95,7.35,7.49,7.58,8.61,9.42,
"Number of Shares in Issue (Actual)",546100000,546100000,546100000,546100000,542800000,542700000,542700000,542700000,542600000,539300000,539100000,538900000,538900000,538600000,535000000,534900000,534800000,534800000,534500000,530600000,530600000,530300000,530000000,526400000,529600000,526400000,526400000,526400000,525900000,525900000,525300000,524200000,524200000,522700000,522600000,522600000,522500000,521500000,521500000,521500000,521200000,521500000,521500000,520800000,520800000,520800000,520700000,520700000,520900000,520500000,520500000,520400000,519600000,519600000,519755819,519500000,519511104,516000000,515200000,515200000,
"Weighted Average Shares in Issue (Actual)",545500000,546100000,544800000,543600000,542000000,542700000,542700000,541300000,539900000,538100000,538900000,537200000,538700000,535800000,533900000,534800000,533000000,534500000,531600000,529400000,530400000,530200000,529700000,528600000,527400000,526400000,525700000,526300000,525700000,525100000,524500000,522500000,523300000,522600000,522500000,522100000,521700000,521300000,521500000,521500000,521200000,521500000,520900000,520800000,520800000,520800000,520700000,520800000,520500000,519900000,520400000,519900000,519600000,519700000,519523637,519500000,516700000,516000000,515500000,515600000,
"Fully Diluted Weighted Average Shares in Issue",547700000,547400000,546100000,544700000,546300000,546400000,549300000,548800000,549700000,550000000,550000000,549200000,549400000,549000000,547400000,550100000,545900000,548000000,544000000,540300000,542600000,541900000,541400000,538400000,535400000,531500000,531200000,532400000,531500000,530400000,529100000,526600000,529100000,526700000,525600000,524800000,523400000,521300000,521500000,521500000,523200000,523800000,522200000,522300000,522200000,520800000,524700000,525000000,524500000,519900000,520400000,519900000,519600000,519700000,524500000,524000000,520800000,529400000,515500000,515600000,
"Market Capitalisation (R'000)",14493494,14804771,11468100,23848187,20382140,29788803,36170955,36170955,44303290,47862875,49327650,41064180,41064180,48204700,49252100,46584441,48736324,48736324,48078275,38341156,37672600,36309641,34646100,34410768,34561696,22372000,21419216,22714160,25732287,25732287,22167660,22734554,23316416,20003729,19336200,19336200,17111875,13293035,13167875,12724600,14968864,14977480,16114350,12322128,12322128,14295960,14787880,14787880,12397420,12413925,12413925,18068288,18627660,18627660,17671698,18639660,18520571,15428400,16692480,16692480,
