"Headline Earnings (Cont Ops)",44938,9836,13023,10513,49134,25722,57799,41953,14281,2925,4688,3396,-48925,-28386,
"Enterprise Value (EV)",3966874,2993944,5596033,5676135,4621590,5552837,4960044,5656653,4378862,1736196,1283342,1566488,5996145,49528,

Balance sheet (USD '000),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"30 Nov 2020","21 May 2020","28 Nov 2019","15 May 2019","28 Nov 2018","16 May 2018","30 Nov 2017","16 May 2017","29 Nov 2016","13 Jun 2016","9 Dec 2015","17 Jun 2015","15 Dec 2014","17 Jun 2014",
"Fixed Assets",278960,251124,263980,269048,264311,308534,232559,225992,220534,204126,214518,239190,253356,253356,
"Investments and Loans",10303,9713,8781,3622,4438,,4505,4796,9846,9754,10656,13377,14479,14479,
"Goodwill",1427,675,750,785,804,961,838,876,883,843,919,1097,1211,1211,
"Deferred Tax Asset",1140,1300,1013,2408,1880,2445,1952,2127,1397,664,1954,3672,5970,5970,
"Other Assets",6791,6470,6080,6141,5012,5791,3767,3696,2585,2282,1636,1851,5008,5008,
"Total Fixed Assets",298621,269282,280604,282004,276445,317731,243621,237487,235245,217669,229683,259187,280024,280024,
"Stock",41864,30535,36334,26411,23043,26903,20802,36353,15767,15408,8951,11310,14567,14567,
"Debtors",112056,62306,73857,66727,86202,78173,70374,52581,51184,25546,37979,45272,32515,32515,
"Cash",49293,40271,59201,66817,66791,59930,49742,26620,15826,11119,24265,26733,19629,19629,
"Tax",497,1056,926,597,228,108,132,61,134,203,144,5,3,3,
"Other Current Assets",4270,3374,2429,1715,3215,901,49,590,1176,46,55,344,442,442,
"Total Current Assets",207980,137542,172747,162267,179479,166015,141099,116205,84087,52322,71394,83664,67156,67156,
"Total Assets",506601,406824,453351,444271,455924,483746,384720,353692,319332,269991,301077,342851,347180,347180,
"Ordinary Share Capital & Premium",286929,285194,285193,282791,280806,280409,280342,277263,456438,452768,452768,452618,452618,452618,
"Distributable Reserves",122085,88421,79318,80932,77025,58399,42877,28076,-193521,-202791,-206566,-213135,-216596,-216596,
"Non-Distributable Reserves",47245,47245,47245,47245,47245,47245,47245,47245,47245,47245,47245,47245,47245,47245,
"Translation Reserves",-104850,-113024,-88985,-82597,-80204,-50088,-73561,-69148,-73411,-83487,-76705,-57826,-47361,-47361,
"Ordinary Shareholders' Interest",351409,307836,322771,328371,324872,335965,296903,283436,236751,213735,216742,228902,235906,235906,
"Minority Interest",-30580,-44910,-33982,-29250,-26538,-10655,-25057,-24645,-34892,-39848,-37794,-27983,-26052,-26052,
"Total Shareholders' Interest",320829,262926,288789,299121,298334,325310,271846,258791,201859,173887,178948,200919,209854,209854,
"Interest Bearing Loans",16132,22312,19903,28164,27281,35053,4375,10495,24008,28543,36329,50349,64223,64223,
"Deferred Tax Liability",39102,23594,25984,27227,29892,33297,23823,20280,5275,168,13,,20,,
"Other Long-Term Liabilities",14684,11573,13101,11917,12634,11114,6923,6327,4607,3633,4088,5088,4452,4472,
"Total Long-Term Liabilities",69918,57479,58988,67308,69807,79464,35121,37102,33890,32344,40430,55437,68695,68695,
"Creditors and Provisions",52952,39774,50778,28811,33403,36026,31916,34214,45121,44581,47521,44238,37224,37224,
"Tax",176,230,60,390,1013,827,212,505,54,91,98,88,421,421,
"Bank Overdrafts/Short-Term Loans",54481,44109,51313,46538,50138,42119,45026,23080,38408,18554,33692,42169,30986,30986,
"Other Current Liabilities",8245,2306,3423,2103,3229,,599,,,534,388,,,,
"Total Current Liabilities",115854,86419,105574,77842,87783,78972,77753,57799,83583,63760,81699,86495,68631,68631,
"Total Liabilities",185772,143898,164562,145150,157590,158436,112874,94901,117473,96104,122129,141932,137326,137326,
"Total Equity and Liabilities",506601,406824,453351,444271,455924,483746,384720,353692,319332,269991,301077,342851,347180,347180,

Share/unit data,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"30 Nov 2020","21 May 2020","28 Nov 2019","15 May 2019","28 Nov 2018","16 May 2018","30 Nov 2017","16 May 2017","29 Nov 2016","13 Jun 2016","9 Dec 2015","17 Jun 2015","15 Dec 2014","17 Jun 2014",
"Exchange Rate (period end)",16.92,17.95,15.16,14.49,14.14,11.82,13.15,12.86,13.94,14.94,13.88,12.08,11.27,10.58,
"Exchange Rate (weighted average)",16.22,14.77,14.35,14.16,13.1,12.79,13.4,13.58,14.55,15,12,11.5,10.58,10.51,
"Number of Shares in Issue (Actual)",268476314,266611000,265000000,265000000,265000000,261000000,256981571,256178000,256892000,255892000,255076000,254781000,247879000,241591000,
"Weighted Average Shares in Issue (Actual)",266611000,266610000,263131000,262358000,260329000,260141000,257393000,256178000,256178000,255892000,255076000,254781000,247879000,241591000,
"Fully Diluted Weighted Average Shares in Issue",267355000,267005000,264877000,264171000,264531000,261782000,257393000,256178000,256178000,255892000,255076000,254781000,247879000,241591000,
"Market Capitalisation (R'000)",3976134,3012704,5618000,5697500,4637500,5546250,4985442,5674343,4367164,1740066,1275380,1528686,5946617,,
"Number of Months",12,6,12,6,12,6,12,6,12,6,12,6,12,6,
"Number of Employees",,,1872,1787,1758,1723,,,,,,,,,

Share statistics,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"30 Nov 2020","21 May 2020","28 Nov 2019","15 May 2019","28 Nov 2018","16 May 2018","30 Nov 2017","16 May 2017","29 Nov 2016","13 Jun 2016","9 Dec 2015","17 Jun 2015","15 Dec 2014","17 Jun 2014",
"Earnings Per Share (ZARc)",262.76,53.17,57.4,56.67,248.9,127.9,294.8,217.28,72.75,1.13,24.01,11.5,-211.6,-126.12,
"Diluted Earnings Per Share (ZARc)",262.76,53.17,57.4,56.67,235.8,127.9,294.8,217.28,72.75,15,24.01,11.5,-211.6,-126.12,
"Headline Earnings Per Share (Cont Ops) (ZARc)",274.12,54.65,70.32,56.67,248.9,127.9,294.8,217.28,87.3,15,24.01,11.5,-211.6,-126.12,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",272.5,54.65,70.32,56.67,248.9,127.9,294.8,217.28,87.3,15,24.01,11.5,-211.6,-126.12,
"Interim Dividend (ZARc)",,,7.13,7.13,24.81,24.81,,,,,,,,,
"Final Dividend (ZARc)",,,3.7,,27.94,,68.21,,,,,,,,
"Dividend Per Share (ZARc)",,,10.83,7.13,52.75,24.81,68.21,,,,,,,,
"Other Distributions (ZARc)",,,,,,,13.29,13.29,,,,,,,
"Distributions Per Share (ZARc)",,,10.83,7.13,52.75,24.81,81.5,13.29,,,,,,,
"Net Asset Value Per Share (ZARc)",2214.66,2072.51,1846.49,1796.37,1761.56,1521.47,1403.91,1422.83,1284.71,1247.94,1179.47,1085.56,1072.57,1033.14,
"3 Year Beta",0.69,0.43,-0.09,-0.88,-0.44,-0.4,-0.88,,,,,,,,
"Cash Generated Per Share",27.17,14.91,26.39,15.63,33.88,18.86,29.48,17.26,8.64,7.12,16.23,6.05,9.02,11.93,
"Earnings Per Share (Base Currency)",16.2,3.6,4,4,19,10,22,16,5,1,2,1,-20,-12,
"Diluted Earnings Per Share (Base Currency)",16.2,3.6,4,4,18,10,22,16,5,1,2,1,-20,-12,
"Headline Earnings Per Share (Cont) (Base Currency)",16.9,3.7,4.9,4,19,10,22,16,6,1,2,1,-20,-12,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",16.8,3.7,4.9,4,19,10,22,16,6,1,2,1,-20,-12,
"Distributions Per Share (Base Currency)",,,0.75,0.2,4,2,5,1,,,,,,,
"Net Asset Value Per Share (Base Currency)",130.89,115.46,121.8,123.91,124.52,128.72,115.53,110.64,92.16,83.53,84.97,89.84,95.17,97.65,
"Price at Period End (Base Currency)",89,63,140,148,124,179,144,165,122,46,36,49,213,,
"JSE Market Price High (ZARc)",2150,2150,2200,2200,2400,2400,2974,2974,1700,940,2399,2399,3000,,
"JSE Market Price Low (ZARc)",860,905,1600,1600,1550,1655,1160,1500,400,400,450,500,2150,,
"JSE Market Price at Period End (ZARc)",1481,1130,2120,2150,1750,2125,1940,2215,1700,680,500,600,2399,,
"JSE Volume Traded (Actual)",5364801,2088203,11279113,6523053,7082495,3999974,14826249,9696393,1833985,729391,6505079,4027584,2517760,,
"JSE Rand Value Traded (Actual)",78188910,30878382,229330593,129609964,135847365,80681878,300205431,213128336,18555379,4595305,44774920,31219484,62347490,,
"12 Month HEPS",274.12,68.3,71.75,177.67,248.9,205.42,294.8,289.58,87.3,27.51,24.01,-73.98,-211.6,-252.24,
"12 Month Dividend",3.7,3.7,35.07,35.07,52.75,93.02,81.5,13.28,,,,,,,

Cash flow items,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"30 Nov 2020","21 May 2020","28 Nov 2019","15 May 2019","28 Nov 2018","16 May 2018","30 Nov 2017","16 May 2017","29 Nov 2016","13 Jun 2016","9 Dec 2015","17 Jun 2015","15 Dec 2014","17 Jun 2014",
"Cash generated by operations",,,,,,,,,,18356,42251,18187,23298,29299,
"Working capital changes",,,,,-12502,,,,,2392,,-2241,,,
"Cash generated from operations after WC",76334,40660,74350,44312,95228,51342,79739,46072,22662,18356,,15946,,,
"Net Cash flow from operating activities",72958,39740,69942,41432,89771,49234,75749,44220,22190,18230,41404,15417,22356,28810,
"Net cash flow from investing activities",-74410,-50941,-52417,-27123,-60401,-35161,-20889,-3392,-11991,-6628,-21217,-5825,-25159,-10539,
"Net cash flow from financing activities",-5655,-2204,-22801,-13502,-11465,-7220,-20785,-30325,-18210,-23649,-18365,-1779,-1318,-29447,
"Dividends paid",-667,-667,-6594,-5276,-18214,-13010,-2570,,,,,,,,
"Net increase(decrease) in cash & cash equivalents",-7107,-13405,-5276,807,17905,6853,34075,10503,-8011,-12047,1822,7813,-4121,-11176,
"Cash & Cash Equivalent beginning of period",59201,59201,66791,66791,49742,49742,15826,15826,24265,24265,19629,19269,,,
"Translation effects on cash & cash equivalents",-2801,-5525,-2314,-781,-856,3335,-159,291,-428,-1099,2814,-709,,,
"Cash & Cash Equivalent end of period",49293,40271,59201,66817,66791,59930,49742,26620,15826,11119,24265,26733,,,

Ratios,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"30 Nov 2020","21 May 2020","28 Nov 2019","15 May 2019","28 Nov 2018","16 May 2018","30 Nov 2017","16 May 2017","29 Nov 2016","13 Jun 2016","9 Dec 2015","17 Jun 2015","15 Dec 2014","17 Jun 2014",
"Return on Capital Employed",14.06,7.43,2.41,4.45,13.85,14.04,22.05,34.48,6.7,3,2.74,3.8,-19.7,-20.28,
"Return on Shareholder Funds",17.13,9.05,2.9,5.45,17.09,17.47,24.89,39.42,7.82,3.56,3.36,4.85,-26.15,-26.91,
"Return on Total Assets",16.17,9.26,3.72,4.77,13.98,14.9,23.91,39.04,6.62,3.92,2.56,4.13,-2.28,-0.3,
"Gross Profit Margin",32.13,22.42,17.62,19.3,26.7,27.99,35.1,47.03,24.8,24.58,17.46,18.44,13.55,16.04,
"Operating Profit Margin",21.59,11.48,7.06,8.56,17.85,20.28,28.15,39.93,14.63,12.33,7.44,9.77,2.43,5.9,
"Net Profit Margin",10.66,4.88,3.1,5.7,11.92,13.03,16.48,23.94,6.29,3.37,1.87,2.72,-20.35,-22.53,
"Debt:Equity (excl non-int debt)",0.39,0.39,0.38,0.38,0.4,0.37,0.29,0.23,0.36,0.29,0.41,0.49,0.48,0.48,
"Interest Bearing Debt as % of Long-Term Finance",4.79,7.82,6.45,8.61,8.38,9.73,1.58,3.9,10.63,14.1,16.88,20.04,23.43,23.43,
"Interest Cover",13.66,5.96,2.51,3.78,8.29,9.38,14.86,66.2,2.99,1.84,1.9,2.4,-1.98,-2.92,
"Quick Ratio",1.43,1.24,1.29,1.75,1.78,1.76,1.55,1.38,0.82,0.58,0.76,0.84,0.77,0.77,
"Current Ratio",1.8,1.59,1.64,2.08,2.04,2.1,1.81,2.01,1.01,0.82,0.87,0.97,0.98,0.98,
"Dividend Cover",,,5.3,7.95,4.72,5.16,3.62,16.35,,,,,,,
"Dividend Cover (HEPS)",,,6.49,7.95,4.72,5.16,3.62,16.35,,,,,,,
"Debtors Collection Period",100.74,58.44,78.62,73.13,77.45,71.63,73.51,54.8,85.05,54.21,56.17,66.79,49.3,47.04,
"Stock Turn",6.58,9.89,7.77,10.18,12.92,10.66,10.9,5.1,10.48,8.42,22.76,17.84,14.29,14.54,
"Price : Earnings",5.4,16.54,29.55,12.1,7.03,10.34,6.58,7.65,19.47,24.72,20.82,-8.11,-11.34,,
"Sales Per Share (Base Currency)",152.28,145.95,130.31,126.94,156.06,153.13,135.76,136.72,85.74,67.21,96.75,97.1,97.12,104.42,
"Price/Sales Per Share",0.58,0.43,1.07,1.17,0.79,1.17,1.06,1.21,1.42,0.69,0.37,0.51,2.19,,
"Price/Net Asset Value",0.68,0.55,1.15,1.19,0.99,1.39,1.24,1.49,1.32,0.56,0.43,0.55,2.24,,
"Price/Cash Flow",3.26,8.48,5.31,18.94,3.65,18.98,4.87,19.12,14.12,13.04,2.23,16.33,23.59,,
"NAV%Price",149.54,183.41,87.1,83.55,100.66,71.6,72.37,64.24,75.57,183.52,235.89,180.93,44.71,,
"Liquidity%",39.27,55.23,42.5,57.09,56.96,62.15,67.11,93.19,18.89,37.94,33.9,21.72,16.28,41.96,
"Cash Flow:Attributable Profit",1.48,7.39,4.29,8.41,1.91,3.98,-0.47,2.08,1.72,9.83,15.47,9.17,-1.4,26.04,
"Cash/Equity (%)",15.36,15.32,20.5,22.34,22.39,18.42,18.3,,,,,,,,
"EV/Ebitda (Pd)",,,,354.09,63.63,,55.98,,,,,,,,
"PEG Ratio",0.04,0.16,0.28,0.19,0.11,0.12,0.08,0.23,0.58,-0.3,-0.26,0.03,0.04,,

