"Fully Diluted Weighted Average Shares in Issue",480828000,566578000,930951000,641588000,
"Market Capitalisation (R000)",4652587,4565759,3966943,,
"Market Capitalisation (R000): RAVEN (RAV)",4652587,4565759,3966943,,
"Number of Employees",,179,,150,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"1 Sep 2020","16 Mar 2020","27 Aug 2019","18 Mar 2019",
"Earnings Per Linked Unit (ZARc)",-137.99,150.47,78.99,-331.81,
"Diluted Earnings Per Linked Unit (ZARc)",-137.99,138.3,71.46,-331.81,
"Headline Earnings Per Linked Unit (CO) (ZARc)",-93.18,,24.8,-16.93,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",-93.18,,24.8,-16.93,
"Net Asset Value Per Linked Unit (ZARc)",1235.4,1404.48,1358.88,880.32,
"Cash Generated Per Linked Unit",8.6,19.36,6.95,15.69,
"Number of Months",6,12,6,12,
"Earnings Per Linked Unit (Base Currency)",-6.59,8.16,4.3,-18.81,
"Diluted Earnings Per Share (Base Currency)",-6.59,7.5,3.89,-18.81,
"Headline Earnings Per LinkedUnit(Cont)BaseCurrency",-4.45,,1.35,-0.96,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",-4.45,,1.35,-0.96,
"Net Asset Value Per Linked Unit (Base Currency)",58,76,76,48,
"Price at Period End (Base Currency)",44,42,45,,
"JSE Market Price at Period End (ZARc)",950,780,810,,
"JSE Market Price High (ZARc)",950,850,850,,
"JSE Market Price Low (ZARc)",780,780,800,,
"JSE Volume Traded (Actual)",5000,88485,79485,,
"JSE Rand Value Traded (Actual)",47500,711644,641444,,
"12 Month HEPS",32.49,150.47,16.33,-16.93,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"1 Sep 2020","16 Mar 2020","27 Aug 2019","18 Mar 2019",
"Cash generated by operations",49282,102870,52752,93888,
"Working capital changes",-2087,-1663,-6915,6542,
"Cash generated from operations after WC",47195,101207,45837,100430,
"Net Cash flow from operating activities",41352,93100,41715,96086,
"Net cash flow from investing activities",-3739,-16196,-11518,-72203,
"Net cash flow from financing activities",-17841,-80062,-25636,-139827,
"Net increase(decrease) in cash & cash equivalents",19772,-3158,4561,-115944,
"Cash & Cash Equivalent beginning of period",68138,73450,73450,197137,
"Translation effects on cash & cash equivalents",-2927,-2154,5001,-7743,
"Cash & Cash Equivalent end of period",84983,68138,83012,73450,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"1 Sep 2020","16 Mar 2020","27 Aug 2019","18 Mar 2019",
"Turnover Per Share",33.54,31.1,28.76,25.35,
"Price/Sales Per Share",1.32,1.35,1.57,,
"Price/Net Asset Value",0.76,0.55,0.6,,
"Price/Cash Flow",10.26,2.17,13.03,,
"Return on Capital Employed",-4.73,3.27,3.73,-9.62,
"Return on Stockholder Funds",-22.7,12.58,13.21,-40.82,
"Return on Total Assets",8.55,8.52,8.67,8.94,
"Operating Profit Margin",76.42,73.28,74.75,75.72,
"Net Profit Margin",-53.18,36.38,40.77,-102.03,
"Debt : Equity",2.56,1.92,1.76,2.24,
"Current Ratio",1.22,0.98,1.02,0.83,
"Debtors Collection Period",114.04,120.01,118.85,134.72,
"Operating Return on Investment",9.25,9.18,9.46,9.78,
"Operating Income : Turnover",73.94,72.13,73.29,72.73,
"NAV%Price",130.04,180.06,167.76,,
"Price : Earnings",29.24,5.18,49.59,,
"Profitability %",8.28,8.11,8.41,6.29,
"Solvency %",173.72,184.11,189.16,177.85,
"Int Bearing Debt : Total Assets",0.48,0.45,0.44,0.46,
"Liquidity %",9.98,11.29,10.32,12.24,
"EV/Ebitda (Pd)",352.43,,50.26,,
"Cash Flow : Attributable Profit",5.37,-33.94,35.47,292.95,
"Loan to value ratio",49.33,45.63,44,46.7,
"PEG Ratio",0.03,0.01,,,

