"Other Current Liabilities: Other financial liabilities",17000,28000,35000,,,
"Total Current Liabilities",19552000,20805000,20318000,17548000,23158000,
"Total Liabilities",31226000,30434000,27034000,25072000,25072000,
"Total Equity and Liabilities",43678000,42375000,38872000,37202000,36716000,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"16 Sep 2020","26 Feb 2020","28 Aug 2019","26 Feb 2019","27 Sep 2018",
"Number of Shares in Issue (Actual)",193000000,196000000,196513720,202000000,201971450,
"Weighted Average Shares in Issue (Actual)",186000000,187000000,196000000,200000000,202000000,
"Fully Diluted Weighted Average Shares in Issue",191000000,192000000,201000000,205000000,202000000,
"Market Capitalisation (R'000)",5909660,16013200,14369083,17778020,,
"Number of Months",12,6,12,6,12,
"Number of Employees",17499,18600,18628,18500,18300,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"16 Sep 2020","26 Feb 2020","28 Aug 2019","26 Feb 2019","27 Sep 2018",
"Earnings Per Share (ZARc)",165,479,953,436,1162,
"Diluted Earnings Per Share (ZARc)",160,466,929,425,1162,
"Headline Earnings Per Share (Cont Ops) (ZARc)",296,517,1009,474,986,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",288,504,984,462,986,
"Interim Dividend (ZARc)",,,240,240,,
"Final Dividend (ZARc)",,,250,,,
"Dividend Per Share (ZARc)",,,490,240,,
"Distributions Per Share (ZARc)",,,490,240,,
"Net Asset Value Per Share (ZARc)",6653,6221,6185,6145,5762,
"Cash Generated Per Share",1144.56,-408.67,1395.83,-114.36,2129.51,
"Net Asset Value Per Share (Base Currency)",6653,6221,6185,6145,5762,
"Price at Period End (Base Currency)",3062,8170,7312,8801,,
"JSE Market Price High (ZARc)",8598,8598,10238,9779,,
"JSE Market Price Low (ZARc)",2300,6430,7152,7602,,
"JSE Market Price at Period End (ZARc)",3062,8170,7312,8801,,
"JSE Volume Traded (Actual)",208067647,90272709,117892288,54799845,,
"JSE Rand Value Traded (Actual)",11892881082,6564466664,10123786980,4684628212,,
"12 Month HEPS",296,1052,1009,949,986,
"12 Month Dividend",,250,490,240,240,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"16 Sep 2020","26 Feb 2020","28 Aug 2019","26 Feb 2019","27 Sep 2018",
"Cash generated by operations",3788000,2712000,4819000,2398000,4607000,
"Working capital changes",333000,-1011000,-636000,-1572000,2141000,
"Cash generated from operations after WC",4121000,1701000,4183000,826000,6748000,
"Net Cash flow from operating activities",2209000,-801000,2743000,-231000,4301000,
"Net cash flow from investing activities",-871000,-506000,-994000,-653000,61000,
"Net cash flow from financing activities",-437000,596000,-1954000,-378000,-4204000,
"Dividends paid",-490000,-474000,-1097000,-567000,-3139000,
"Net increase(decrease) in cash & cash equivalents",901000,-711000,-205000,-1262000,158000,
"Cash & Cash Equivalent beginning of period",940000,940000,1187000,1187000,943000,
"Translation effects on cash & cash equivalents",144000,56000,-42000,15000,86000,
"Cash & Cash Equivalent end of period",1985000,285000,940000,-60000,1187000,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"16 Sep 2020","26 Feb 2020","28 Aug 2019","26 Feb 2019","27 Sep 2018",
"Return on Capital Employed",0.77,8.34,10.22,8.94,17.06,
"Return on Shareholder Funds",1.49,15.06,16.02,14.49,19.86,
"Return on Total Assets",2.48,6.57,7.64,8.25,8.16,
"Operating Profit Margin",2.91,4.36,4.54,4.67,4.67,
"Net Profit Margin",0.42,2.13,2.34,2.21,3.05,
"Debt:Equity (excl non-int debt)",0.96,1.13,0.82,0.86,0.81,
"Interest Bearing Debt as % of Long-Term Finance",37.94,32.41,28.16,31.54,0.69,
"Interest Cover",1.47,3.47,4.34,4.4,5.3,
"Quick Ratio",0.51,0.5,0.47,0.57,0.49,
"Current Ratio",1.54,1.43,1.41,1.55,1.16,
"Dividend Cover",,,1.94,1.82,,
"Dividend Cover (HEPS)",,,2.06,1.98,,
"Debtors Collection Period",20.09,19.69,21.72,21.87,22.85,
"Price : Earnings",10.34,7.77,7.25,9.27,,
"Sales Per Share (Base Currency)",39471.51,44870.59,40668.88,39379,38119.31,
"Price/Sales Per Share",0.08,0.18,0.18,0.22,,
"Price/Net Asset Value",0.46,1.31,1.18,1.43,,
"Price/Cash Flow",2.68,-39.98,5.24,-153.92,,
"NAV%Price",217.28,76.14,84.59,69.82,,
"Liquidity%",7.07,-5.26,10.15,-1.84,17.15,
"Cash Flow:Attributable Profit",2.74,-1.6,1.3,-0.42,2.13,
"Cash/Equity (%)",17.03,6.6,8.8,6.5,14.92,
"EV/Ebitda (Pd)",3.08,9.14,4.54,11.17,1.09,
"PEG Ratio",-0.45,6.66,6.21,,,

