,"24 Aug 2020","31 Mar 2020","13 Dec 2019","29 Mar 2019","26 Sep 2018","26 Mar 2018",
"Return on Capital Employed",10.35,-87.86,-49.25,-2.06,2.44,4.69,
"Return on Shareholder Funds",10.75,-93.58,-51.03,-2.3,2.82,5.22,
"Return on Total Assets",12.68,-130.29,11.01,-0.21,9.29,12.06,
"Gross Profit Margin",47.78,64.34,49.37,64.32,66.71,78.45,
"Operating Profit Margin",8.86,-57.67,7.94,0.91,5.47,19.65,
"Net Profit Margin",8.6,-59.58,-63.49,-2.77,3.12,15.29,
"Debt:Equity (excl non-int debt)",0.04,0.07,0.04,0.12,0.16,0.12,
"Interest Cover",18.45,-77.07,7.39,0.65,4.11,56.05,
"Quick Ratio",2.25,1.37,1.25,1.13,0.96,1.68,
"Current Ratio",2.26,1.38,1.25,1.14,0.98,1.7,
"Debtors Collection Period",53.98,86.38,129.31,116.71,91.37,312.14,
"Stock Turn",151,140.8,745.57,198.66,68.09,17.81,
"Price : Earnings",6.69,-228.57,1.31,2.61,27.81,12.78,
"Sales Per Share (Base Currency)",3.99,6.19,5.61,9.15,7.86,3.32,
"Price/Sales Per Share",0.25,0.37,0.18,0.3,0.82,4.14,
"Price/Net Asset Value",0.27,0.67,0.14,0.29,0.56,1.23,
"Price/Cash Flow",8.33,9.44,28.57,10.82,107.93,-20.2,
"NAV%Price",290.68,150.72,575.06,349.9,180.15,81.12,
"Liquidity%",41.73,15.43,5.43,5.69,4.4,-18.19,
"Cash Flow:Attributable Profit",3.97,-0.07,1.13,-1.02,1.7,-1.33,
"Cash/Equity (%)",10.57,13.59,8.82,8.34,9.29,11.14,
"EV/Ebitda (Pd)",123.08,-10.24,67.78,369.84,353.24,287.75,
"PEG Ratio",0.55,-18.91,0.01,0.02,,,

