Balance sheet (USD '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"25 Aug 2020","24 Mar 2020","10 Sep 2019","26 Mar 2019","28 Aug 2018","20 Mar 2018","12 Sep 2017","22 Mar 2017","5 Sep 2016","31 Mar 2016","28 Sep 2015","30 Mar 2015","4 Sep 2014","31 Mar 2014","27 Aug 2013","26 Mar 2013",
"Fixed Assets",141446,158015,159984,145044,134495,119076,110128,105317,98586,89532,103974,94382,92355,86394,62090,61630,
"Investments in Associates",,3711,3610,2605,,6022,6002,6024,5644,5468,,,,,,,
"Goodwill",,,,,,,,,,,,,2613,,,,
"Intangible Assets",3026,3487,3427,4346,3185,3083,3043,3043,3043,2613,2613,2613,,2613,,,
"Deferred Tax Asset",6182,6175,4102,2994,3276,2010,2010,1734,1029,1124,784,1319,1269,499,,,
"Other Assets",3497,5321,3032,4346,2905,4710,11003,10068,9992,9159,11485,11758,12739,12460,6129,7141,
"Total Fixed Assets",154151,176709,174155,159335,143861,134901,132185,126186,118294,107896,118856,110072,108976,101965,68220,68771,
"Stock",26839,27856,26856,25788,24527,23895,26843,24437,26987,19575,16046,19238,18891,16396,12299,11981,
"Debtors",40864,50734,50698,48180,43226,38192,36861,39015,35839,30573,29072,28831,35610,27430,36808,25301,
"Cash",20558,19723,27650,33725,28397,40212,37658,21690,19972,22497,13619,12477,8445,16567,14707,50068,
"Other Current Assets",6320,1209,1142,965,109,1358,1342,1280,180,36,93,36,,63,2864,1864,
"Total Current Assets",94581,99522,106346,108658,96260,103657,102703,86422,82978,72681,58830,60582,62946,60455,66678,89214,
"Total Assets",248732,276231,280501,267993,240121,238558,234888,212608,201272,180577,177686,170654,171922,162421,134898,157986,
"Ordinary Share Capital & Premium",148704,148704,148704,148704,148704,148704,148374,146608,146608,146608,146608,146608,,146608,146606,146639,
"Distributable Reserves",-118003,-97975,-87595,-93887,-91202,-82244,-87767,-91010,-93191,-97884,-84868,-79670,,-71098,-68398,-58551,
"Non-Distributable Reserves",,,,,,,,,,,,,,,8865,1230,
"Other Capital",119211,114437,107243,101837,94559,88221,80841,74427,62601,53232,42576,33266,,16357,,,
"Ordinary Shareholders' Interest",149912,165166,168352,156654,152060,154681,141448,130025,116018,101956,104316,100204,99921,91868,87073,89318,
"Minority Interest",9747,9964,9257,9002,8531,8255,16486,16291,16627,16309,16541,15475,15171,14251,7250,7156,
"Total Shareholders' Interest",159659,175130,177609,165656,160591,162936,157934,146316,132645,118265,120857,115678,115092,106118,94324,96474,
"Interest Bearing Loans",31802,39113,48415,50459,34587,36264,38156,17806,22505,19097,8618,7939,6634,9328,1573,3720,
"Deferred Tax Liability",11759,11607,10695,9434,8330,9189,9128,9266,8633,7388,7363,6247,6126,5037,4699,4843,
"Share Incentive Scheme",,,,,,,,,,,,,572,,,,
"Other Long-Term Liabilities",6596,6153,6840,1203,2964,1683,2221,1951,2521,3664,4953,6911,5153,6650,1705,2291,
"Total Long-Term Liabilities",50157,56873,65951,61096,45881,47136,49505,29023,33659,30148,20934,21097,18485,21016,7977,10853,
"Creditors and Provisions",19242,26902,25891,28690,20210,20087,18065,22998,17802,15567,20985,19409,28290,21004,17333,25748,
"Tax",5488,2944,2799,3386,4477,2099,2618,1561,5349,5196,4872,4910,4222,4584,5586,4956,
"Bank Overdrafts/Short-Term Loans",12902,13484,5063,7307,6806,4659,6766,9968,9186,8418,4863,4032,1421,4020,743,495,
"Other Current Liabilities",1284,898,3188,1858,2156,1640,,2742,2631,2983,5175,5528,4412,5680,8935,19460,
"Total Current Liabilities",38916,44228,36941,41241,33649,28485,27449,37269,34968,32164,35895,33879,38345,35287,32597,50659,
"Total Liabilities",89073,101101,102892,102337,79530,75621,76954,66292,68627,62312,56829,54976,56830,56303,40574,61512,
"Total Equity and Liabilities",248732,276231,280501,267993,240121,238557,234888,212608,201272,180577,177686,170654,171922,162421,134898,157986,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"25 Aug 2020","24 Mar 2020","10 Sep 2019","26 Mar 2019","28 Aug 2018","20 Mar 2018","12 Sep 2017","22 Mar 2017","5 Sep 2016","31 Mar 2016","28 Sep 2015","30 Mar 2015","4 Sep 2014","31 Mar 2014","27 Aug 2013","26 Mar 2013",
"Exchange Rate (period end)",17.33,14.06,14.08,14.38,13.72,12.37,13.05,13.69,14.86,15.52,13.89,11.6,10.59,10.48,9.86,8.49,
"Exchange Rate (weighted average)",16.66,14.45,14.2,13.25,12.3,13.3,13.18,14.71,15.41,12.75,13.57,10.85,10.7,9.63,8.83,8.48,
"Number of Shares in Issue (Actual)",150592777,150592777,150592777,150592777,150592777,149894366,150265491,148265491,148265491,148265491,148265491,148265491,148265491,148265491,148265491,13059916,
"Weighted Average Shares in Issue (Actual)",150592777,150592777,150592777,150592777,150592777,149894366,148694258,148265491,148265491,148265491,148265491,148265491,148265491,148265491,148265491,13059916,
"Fully Diluted Weighted Average Shares in Issue",151672777,151672777,152122777,152122777,152122777,151498243,151287777,151269284,150941759,150645147,150592777,150469036,150302255,148446313,148265491,13059916,
"Market Capitalisation (R'000)",828260,1548094,1596283,1531529,1776995,1888669,2291549,2223982,2057925,1986758,2179503,1960070,1957104,1455967,1260257,116233,
"Number of Months",6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,
"Number of Employees",,1958,,2163,,1973,,2099,,,,,,,,,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"25 Aug 2020","24 Mar 2020","10 Sep 2019","26 Mar 2019","28 Aug 2018","20 Mar 2018","12 Sep 2017","22 Mar 2017","5 Sep 2016","31 Mar 2016","28 Sep 2015","30 Mar 2015","4 Sep 2014","31 Mar 2014","27 Aug 2013","26 Mar 2013",
"Earnings Per Share (ZARc)",53.31,145.9,76.7,147.1,77.5,153.1,87,210,97.4,172,74.8,123.7,60.8,98.4,47.4,82.1,
"Diluted Earnings Per Share (ZARc)",53.31,145.9,76.7,145.7,76.3,151.7,85.7,205.6,95.7,169.3,73.7,121.9,59.93,96.4,47.4,82.1,
"Headline Earnings Per Share (Cont Ops) (ZARc)",53.31,148.8,76.7,141.77,72.6,154.43,87,210,97.6,175.9,75,131.5,61,99.3,47.2,77.3,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",51.65,147.36,76.7,140.45,71.37,153.1,85.7,205.59,95.9,173.2,73.8,129.6,66.5,99.3,47.2,77.3,
"Final Dividend (ZARc)",,,,26,,26,,30,,,,,,,,,
"Dividend Per Share (ZARc)",,,,26,,26,,30,,,,,,,,,
"Distributions Per Share (ZARc)",,,,26,,26,,30,,,,,,,,,
"Net Asset Value Per Share (ZARc)",1725.2,1542.1,1574.69,1567.97,1463.52,1331.82,1385.91,1351.2,1163.5,1239.24,1132.04,904.8,822,750.37,626.59,6271.56,
"3 Year Beta",0.83,1.04,1.02,0.87,0.46,0.19,-0.07,-0.17,-0.03,-0.34,,,,,,,
"Cash Generated Per Share",7.35,9.81,3.67,12.5,5.77,16.68,6.14,13.21,1.45,19.08,13.68,16.08,3.09,10.52,-6.22,-22.63,
"Earnings Per Share (Base Currency)",3.2,10.1,5.4,11.1,6.3,11.5,6.6,14.3,6.3,13.5,6.3,11.4,5.7,10.2,5.1,9.4,
"Diluted Earnings Per Share (Base Currency)",3.2,10.1,5.4,11,6.2,11.4,6.5,14,6.2,13.3,6.2,11.2,5.6,10,5.1,9.4,
"Headline Earnings Per Share (Cont) (Base Currency)",3.2,10.3,5.4,10.7,5.9,11.6,6.6,14.3,6.3,13.8,6.3,12.1,5.7,10.3,5.1,8.9,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",3.1,10.2,5.4,10.6,5.8,11.5,6.5,14,6.2,13.6,6.2,11.9,5.6,10.3,5.1,8.9,
"Distributions Per Share (Base Currency)",,,,,,,,2.25,,,,,,,,,
"Net Asset Value Per Share (Base Currency)",99.55,109.68,111.79,109,106.6,107.6,106.2,98.7,89.5,79.8,81.5,78,77.6,71.6,63.5,738.7,
"Price at Period End (Base Currency)",32,73,75,71,86,102,117,110,94,86,120,114,125,94,86,105,
"JSE Market Price High (ZARc)",1080,1250,1233,1550,1550,1874,1874,1675,1550,1900,1900,1500,1500,1100,950,930,
"JSE Market Price Low (ZARc)",500,895,880,850,1005,1255,1425,1093,1093,1121,1121,951,951,775,775,825,
"JSE Market Price at Period End (ZARc)",550,1028,1060,1017,1180,1260,1525,1500,1388,1340,1470,1322,1320,982,850,890,
"JSE Volume Traded (Actual)",8903870,21571390,12484300,11158485,5409627,19248218,7419864,21360864,9547825,27375989,10171449,30302141,14046360,11943372,5972902,56528,
"JSE Rand Value Traded (Actual)",69318469,221498066,124654965,128487352,68060874,296092486,126709859,286485918,122727707,376901750,141543440,368952169,154112336,109995043,49951613,498682,
"12 Month HEPS",125.41,148.8,145.87,141.77,140.03,154.43,199.4,210,198.5,175.9,145.5,131.5,113.1,99.3,85.85,77.3,
"12 Month Dividend",,,26,26,26,26,26,30,,,,,,,,,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"25 Aug 2020","24 Mar 2020","10 Sep 2019","26 Mar 2019","28 Aug 2018","20 Mar 2018","12 Sep 2017","22 Mar 2017","5 Sep 2016","31 Mar 2016","28 Sep 2015","30 Mar 2015","4 Sep 2014","31 Mar 2014","27 Aug 2013","26 Mar 2013",
"Cash generated by operations",,,,26339,,32844,,,,,23958,,8701,,-5676,9562,
"Working capital changes",3310,-6411,-6386,-4421,,-1546,,-6943,,-3336,,,,,,,
"Cash generated from operations after WC",15031,23607,9253,25802,11651,32844,11689,26551,4392,35328,,,,,,,
"Net Cash flow from operating activities",11065,14774,5532,18825,8688,25006,9230,19579,2151,28295,20283,23845,4585,15591,-9218,-2955,
"Net cash flow from investing activities",-4257,-17244,-8952,-32934,-14282,-15264,-6256,-18895,-8073,-24014,-16164,-20216,-10787,-30073,-17947,4194,
"Net cash flow from financing activities",-6117,-11186,-5506,9510,-4264,9442,13896,-3482,3048,9485,-2196,-6498,-1630,-9489,-3584,36545,
"Dividends paid",,-3189,-2663,-3214,-3078,-3409,-3409,,,,,,,,,,
"Net increase(decrease) in cash & cash equivalents",690,-13656,-8926,-3920,-9858,19184,16871,-2798,-2874,13766,1924,-2869,-7833,-23971,,,
"Cash & Cash Equivalent beginning of period",19507,33315,33315,40212,40212,20373,20373,22497,22497,12477,12477,,,,,,
"Translation effects on cash & cash equivalents",-726,-152,2387,-2977,-1956,655,414,673,350,-3747,-782,,,,,,
"Cash & Cash Equivalent end of period",19471,19507,26776,33315,28397,40212,37658,20373,19972,22497,13619,,,,,,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"25 Aug 2020","24 Mar 2020","10 Sep 2019","26 Mar 2019","28 Aug 2018","20 Mar 2018","12 Sep 2017","22 Mar 2017","5 Sep 2016","31 Mar 2016","28 Sep 2015","30 Mar 2015","4 Sep 2014","31 Mar 2014","27 Aug 2013","26 Mar 2013",
"Return on Capital Employed",4.34,6.63,6.79,7.7,9.39,8.31,9.66,12.73,11.65,14.23,14.64,13.49,13.99,12.42,15.11,1.21,
"Return on Shareholder Funds",5.71,8.78,9.3,10.55,12.07,10.71,12.68,15.25,14.61,17.85,17.17,15.95,16.24,14.88,16.39,1.34,
"Return on Total Assets",4.57,6.96,7.32,8.15,10.07,9.59,9.94,12.06,12.82,16.19,17.56,15.72,15.45,13.82,16.47,1.11,
"Gross Profit Margin",29.88,29.75,34.65,31.41,35.5,36.76,37.67,36.36,40.53,39.94,38.95,33.15,32.72,33.22,35.52,32.99,
"Operating Profit Margin",12.79,15.13,16.85,17.05,19.08,20.53,20.04,21.88,24.93,24.68,25.93,20.16,20.42,18.83,21.75,17.57,
"Net Profit Margin",8.32,10.29,11.73,12.09,13.97,14.17,16.23,17.95,17.41,16.66,15.44,12.81,12.93,12.64,14.12,11.97,
"Debt:Equity (excl non-int debt)",0.39,0.4,0.4,0.41,0.33,0.32,0.36,0.27,0.32,0.33,0.21,0.22,0.17,0.24,0.09,0.12,
"Interest Bearing Debt as % of Long-Term Finance",16.61,18.26,21.42,23.35,17.72,18.2,19.46,10.85,14.51,13.9,6.66,6.42,5.45,8.08,1.64,3.71,
"Interest Cover",4.66,6.48,7.51,11.14,14.08,10.65,20.66,22.85,15.28,32.72,57.92,127.39,57.38,49.76,18.15,12.27,
"Quick Ratio",1.74,1.62,2.15,2.01,2.13,2.8,2.76,1.66,1.6,1.65,1.19,1.22,1.15,1.25,1.67,1.52,
"Current Ratio",2.43,2.25,2.88,2.63,2.86,3.64,3.74,2.32,2.37,2.26,1.64,1.79,1.64,1.71,2.05,1.76,
"Dividend Cover",,,,5.66,,5.89,,7,,,,,,,,,
"Dividend Cover (HEPS)",,,,5.45,,5.94,,7,,,,,,,,,
"Debtors Collection Period",129.9,124.84,132.25,126.77,117.08,114.8,111.16,120.58,121.55,93.1,87.99,79.7,99.69,83.65,124.27,853.26,
"Stock Turn",3,3.74,3.4,3.69,3.54,3.21,2.81,3.08,2.37,3.68,4.59,4.59,4.64,4.87,5.67,0.61,
"Price : Earnings",4.39,6.91,7.27,7.17,8.43,8.16,7.65,7.14,6.99,7.62,10.1,10.05,11.67,9.89,9.9,11.51,
"Sales Per Share (Base Currency)",76.25,98.5,92.91,92.12,89.49,81.01,81.4,79.66,72.58,80.85,81.34,89.05,87.93,80.73,72.92,82.87,
"Price/Sales Per Share",0.42,0.74,0.81,0.77,0.96,1.26,1.44,1.38,1.3,1.07,1.48,1.28,1.42,1.17,1.17,1.27,
"Price/Net Asset Value",0.32,0.67,0.67,0.65,0.81,0.95,1.1,1.12,1.06,1.08,1.48,1.47,1.61,1.32,1.35,0.14,
"Price/Cash Flow",8.71,7.44,41,5.65,29.81,6.1,38.16,8.35,130.24,4.52,17.61,7.11,80.79,8.97,-27.51,-4.64,
"NAV%Price",313.67,150.01,148.56,154.18,124.03,105.7,90.88,90.08,83.83,92.48,77.01,68.44,62.27,76.41,73.72,704.67,
"Liquidity%",24.84,14.61,10.75,18.4,21.85,33.07,23.99,29.53,6.27,45.41,71.38,43.37,16.14,27.69,-45.44,-4.8,
"Cash Flow:Attributable Profit",4.64,0.97,1.35,1.12,1.85,1.45,1.88,0.92,0.46,1.42,4.36,1.41,1.09,1.03,-2.41,-2.28,
"Cash/Equity (%)",12.88,11.26,15.57,20.36,17.68,24.68,23.84,,,,,,,,,,
"EV/Ebitda (Pd)",76.77,,105.05,66.13,136.92,75.34,,,,,,,,,,,
"PEG Ratio",0.94,1.47,0.71,0.7,0.48,0.47,0.27,0.25,0.22,0.24,0.33,0.33,0.41,0.35,,,

