,"17 Nov 2020","22 Jun 2020","19 Nov 2019","11 Jun 2019","20 Nov 2018","12 Jun 2018","21 Nov 2017","13 Jun 2017","22 Nov 2016","14 Jun 2016",
"Fixed Assets",7618933,7091940,6402651,6251206,4392684,4039399,2114196,2052280,1394746,1371796,
"Investments and Loans",16846,8609,4531,,,,,,,,
"Goodwill",151523,152276,142002,140842,148611,144036,83686,83670,81862,81760,
"Deferred Tax Asset",17629,25436,15074,18829,21244,19098,1266,2094,,,
"Other Assets",13572,,40972,34636,99674,124069,58315,,123512,352,
"Long-Term Receivables",181350,185737,181791,199268,184172,166961,125252,125480,,119628,
"Total Fixed Assets",7999853,7463998,6787021,6644781,4846385,4493563,2382715,2263524,1600120,1573536,
"Stock",6027,5676,6881,5239,3141,3168,1808,1888,1259,1148,
"Debtors",91368,146210,106562,119273,62912,65165,24213,10674,9175,8792,
"Cash",149858,76353,53280,259573,50264,21823,5912,8031,6306,9858,
"Total Current Assets",247253,228239,166723,384085,116317,90156,31933,20593,16740,19798,
"Total Assets",8247106,7692237,6953744,7028866,4962702,4583719,2414648,2284117,1616860,1593334,
"Ordinary Share Capital & Premium",4665213,4360033,4293122,4292941,3257766,3175075,1796284,1766561,1365246,1362647,
"Distributable Reserves",-323230,-261904,-228274,-206533,-137375,-108855,-74230,-17788,,,
"Non-Distributable Reserves",658919,210839,538449,490839,490046,523006,198792,141058,16863,18126,
"Translation Reserves",224720,255657,4318,19149,3457,-120732,,,,,
"Other Capital",12609,7656,2643,190,,,,,-1369,-525,
"Ordinary Shareholders' Interest",5238231,4572281,4610258,4596586,3613894,3468494,1920846,1889831,1380740,1380248,
"Minority Interest",35400,33097,27037,28165,29693,25765,,,,,
"Total Shareholders' Interest",5273631,4605378,4637295,4624751,3643587,3494259,1920846,1889831,1380740,1380248,
"Interest Bearing Loans",1812589,2045723,1482698,1493450,769028,624985,151921,106202,133359,129021,
"Deferred Tax Liability",25260,,,,,,,,,,
"Other Long-Term Liabilities",447306,460960,243988,213452,187190,176613,8286,6798,3733,2864,
"Total Long-Term Liabilities",2285155,2506683,1726686,1706902,956218,801598,160207,113000,137092,131885,
"Creditors and Provisions",155162,160836,101897,212328,164193,111148,52157,58620,42919,41704,
"Dividends",220102,225983,214348,214867,172824,151913,133081,75290,55815,38906,
"Bank Overdrafts/Short-Term Loans",282428,160000,250617,248861,18428,16571,147677,146470,,,
"Other Current Liabilities",30628,33357,22901,21157,7452,8230,680,906,294,591,
"Total Current Liabilities",688320,580176,589763,697213,362897,287862,333595,281286,99028,81201,
"Total Liabilities",2973475,3086859,2316449,2404115,1319115,1089460,493802,394286,236120,213086,
"Total Equity and Liabilities",8247106,7692237,6953744,7028866,4962702,4583719,2414648,2284117,1616860,1593334,

Share/unit data,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"17 Nov 2020","22 Jun 2020","19 Nov 2019","11 Jun 2019","20 Nov 2018","12 Jun 2018","21 Nov 2017","13 Jun 2017","22 Nov 2016","14 Jun 2016",
"Number of Shares in Issue (Actual)",423273735,397848842,393005377,392986858,308555605,301864000,179552000,176876000,139674000,139404000,
"Weighted Average Shares in Issue (Actual)",414926000,391948000,390497000,321937000,306913000,237950000,178385000,142662000,139449000,139404000,
"Fully Diluted Weighted Average Shares in Issue",417545000,393960000,391899000,321994000,301913000,237950000,170885000,142662000,139449000,139404000,
"Market Capitalisation (R'000)",5227431,4953218,5462775,5073460,3946426,3897064,2116918,1945636,1398137,1303427,
"Number of Months",6,12,6,12,6,12,6,12,6,12,

Share statistics,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"17 Nov 2020","22 Jun 2020","19 Nov 2019","11 Jun 2019","20 Nov 2018","12 Jun 2018","21 Nov 2017","13 Jun 2017","22 Nov 2016","14 Jun 2016",
"Earnings Per Share (ZARc)",149.18,26.76,61.52,80.01,36.81,250.26,79.58,181.46,41.49,43.67,
"Diluted Earnings Per Share (ZARc)",148.24,26.62,61.3,79.99,36.81,250.26,79.58,181.46,41.49,43.67,
"Headline Earnings Per Share (Cont Ops) (ZARc)",44.66,53.09,43.5,54.66,36.81,162.35,79.37,85.51,41.49,29.93,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",44.38,52.81,43.35,54.65,36.81,162.35,79.37,85.51,41.49,29.93,
"Interim Dividend (ZARc)",52,54.89,54.89,51.3,51.3,47.02,47.02,43.04,43.04,,
"Final Dividend (ZARc)",,57.16,,55.38,,50.81,,45.01,,30.07,
"Dividend Per Share (ZARc)",52,112.05,54.89,106.68,51.3,97.83,47.02,88.05,43.04,30.07,
"Distributions Per Share (ZARc)",52,112.05,54.89,106.68,51.3,97.83,47.02,88.05,43.04,30.07,
"Net Asset Value Per Share (ZARc)",1245.92,1157.57,1179.96,1169.65,1180.85,1157.56,1070,1068,989,990.11,
"3 Year Beta",0.35,0.41,0.18,0.13,,,,,,,
"Cash Generated Per Share",-2.15,-12.07,-12.26,-3.63,-7.62,-7.14,-10.44,6.46,9,50.69,
"Net Asset Value Per Share (Base Currency)",1245.92,1157.57,1179.96,1169.65,1180.85,1157.56,1070,1068,989,990.11,
"Price at Period End (Base Currency)",1235,1245,1390,1291,1279,1291,1179,1100,1001,935,
"JSE Market Price High (ZARc)",1481,1598,1498,1379,1341,1400,1299,1225,1050,1035,
"JSE Market Price Low (ZARc)",1120,1004,1290,1200,1200,1075,1075,920,920,850,
"JSE Market Price at Period End (ZARc)",1235,1245,1390,1291,1279,1291,1179,1100,1001,935,
"JSE Volume Traded (Actual)",100300007,159934246,72493485,83464354,38630620,102816773,12555331,20968795,11972722,20870502,
"JSE Rand Value Traded (Actual)",1294121952,2186334842,991234243,1061065991,487553398,1254489508,146229532,212985941,116570235,203972675,
"12 Month HEPS",54.25,53.09,61.35,54.66,119.79,162.35,123.39,85.51,56.45,29.93,
"12 Month Dividend",109.16,112.05,110.27,106.68,102.11,102.11,97.83,92.03,88.05,73.11,

Cash flow items,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"17 Nov 2020","22 Jun 2020","19 Nov 2019","11 Jun 2019","20 Nov 2018","12 Jun 2018","21 Nov 2017","13 Jun 2017","22 Nov 2016","14 Jun 2016",
"Cash generated by operations",287645,448725,199496,341252,134651,201766,65407,118589,56966,71548,
"Net Cash flow from operating activities",-9090,-48006,-48163,-14274,-23523,-21566,-18737,11423,12570,70670,
"Net cash flow from investing activities",-120089,-475499,-139659,-734163,-122170,-1281245,-55044,-534040,-22726,-1578460,
"Net cash flow from financing activities",202945,322757,-13794,983233,170231,1326347,71662,520790,6604,1517648,
"Dividends paid",-239049,-430452,-215597,-325696,-151690,-209222,-75290,-94717,-38906,,
"Net increase(decrease) in cash & cash equivalents",73766,-200748,-201616,234796,24538,23536,-2119,-1827,-3552,9858,
"Cash & Cash Equivalent beginning of period",76353,259573,259573,21823,21823,8031,8031,9858,9858,,
"Translation effects on cash & cash equivalents",-261,17528,-4677,2954,3903,-9744,,,,,
"Cash & Cash Equivalent end of period",149858,76353,53280,259573,50264,21823,5912,8031,6306,9858,

Ratios,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"17 Nov 2020","22 Jun 2020","19 Nov 2019","11 Jun 2019","20 Nov 2018","12 Jun 2018","21 Nov 2017","13 Jun 2017","22 Nov 2016","14 Jun 2016",
"Return on Capital Employed",16.48,1.48,7.57,4.07,4.88,13.46,13.07,12.02,7.08,3.74,
"Return on Shareholder Funds",23.63,2.28,10.39,5.58,6.16,16.55,14.16,12.74,7.78,4.09,
"Return on Total Assets",5.23,5.41,5.89,4.64,6.1,4.71,6.82,5.2,7.26,2.57,
"Operating Profit Margin",62.82,66.7,67.64,67.23,65.03,70.41,73.66,70.24,71.63,69.92,
"Net Profit Margin",158.36,15.01,72.6,49.12,49.22,185.93,118.55,144.44,68.4,99.31,
"Debt:Equity (excl non-int debt)",0.49,0.58,0.43,0.42,0.27,0.23,0.16,0.14,0.1,0.1,
"Interest Bearing Debt as % of Long-Term Finance",25.58,30.76,24.23,24.41,17.43,15.17,7.33,5.32,8.81,8.55,
"Interest Cover",20.32,2.75,11.62,8.92,-1073.42,62.33,28.29,88.52,104.68,65.36,
"Quick Ratio",0.35,0.38,0.27,0.54,0.31,0.3,0.09,0.07,0.16,0.23,
"Current Ratio",0.36,0.39,0.28,0.55,0.32,0.31,0.1,0.07,0.17,0.24,
"Dividend Cover",2.87,0.24,1.12,0.75,0.72,2.56,1.69,2.06,0.96,1.45,
"Dividend Cover (HEPS)",0.86,0.47,0.79,0.51,0.72,1.66,1.69,0.97,0.96,1,
"Debtors Collection Period",42.66,76.37,58.78,83.03,50.85,76.68,38.52,23.38,21.32,56.4,
"Price : Earnings",22.76,23.45,22.66,23.62,10.68,7.95,9.56,12.86,17.73,31.24,
"Sales Per Share (Base Currency)",188.4,178.29,169.45,162.87,147.12,130.35,128.61,116.82,112.62,40.82,
"Price/Sales Per Share",6.56,6.98,8.2,7.93,8.69,9.9,9.17,9.42,8.89,22.91,
"Price/Net Asset Value",0.99,1.08,1.18,1.1,1.08,1.12,1.1,1.03,1.01,0.94,
"Price/Cash Flow",-1150.15,-103.15,-226.75,-355.65,-335.54,-180.7,-225.86,170.28,222.46,18.45,
"NAV%Price",100.88,92.98,84.89,90.6,92.33,89.66,90.75,97.09,98.8,105.89,
"Liquidity%",-0.61,-1.56,-4.16,-0.59,-3.57,-1.98,-7.59,2.9,10.65,33.17,
"Cash Flow:Attributable Profit",-0.11,-0.12,-0.5,-0.05,-0.33,-0.11,-0.48,0.1,0.46,1.84,
"Cash/Equity (%)",2.84,1.66,1.15,5.61,1.38,0.62,0.31,,,,
"EV/Ebitda (Pd)",,,,18.9,34.94,,,,,,
"PEG Ratio",0.55,0.57,0.43,0.45,0.12,0.09,0.1,0.14,,,

