"Exceptional Item 1",-2015,,,,,,,,,,,,,,,,,,,,,,,,,,5431,,,,,,,,,,,
"Profit Before Interest And Tax",179,1417,152,566,4508,3805,1728,4189,446,1836,733,2738,41,934,820,3518,3184,3124,1665,3981,3921,3491,1441,654,107,381,-88,-5427,-3723,-1271,14420,11264,10192,5279,12434,8640,5440,
"Interest Received",1242,426,792,406,519,242,102,248,43,127,60,452,89,251,145,400,306,217,108,162,92,61,31,189,158,,449,336,237,,876,641,418,,880,621,427,
"Interest Paid",396,54,716,189,888,420,148,811,110,418,100,377,123,90,42,244,374,271,228,355,296,201,74,338,176,95,203,122,98,52,482,267,215,92,774,422,326,
"Net Interest Paid/(Received)",-846,-372,-76,-217,369,178,46,563,67,291,40,-75,34,-161,-103,-156,68,54,120,193,204,140,43,149,18,95,-246,-214,-139,52,-394,-374,-203,92,-106,-199,-101,
"Income Before Tax",1025,1789,228,783,4139,3627,1682,3626,379,1545,693,2813,7,1095,923,3674,3116,3070,1544,3788,3718,3351,1398,505,89,286,158,-5213,-3584,-1323,14814,11638,10395,5187,12540,8839,5541,
"Taxation",-64,149,-815,219,1038,1557,681,1168,182,421,194,800,1,307,263,922,872,866,362,1121,1134,1020,391,248,25,80,135,-1051,-669,-272,4814,4019,3795,1807,4727,3819,1895,
"Profit For The Period",1090,1640,1043,564,3101,2070,1001,2457,196,1124,499,2013,6,788,660,2752,2243,2204,1182,2667,2584,2330,1007,257,64,206,23,-4162,-2915,-1051,10000,7619,6600,3380,7813,5020,3646,
"Attributable Income Before Extraordinary Items",1090,1640,1043,564,3101,2070,1001,2457,196,1124,499,2013,6,788,660,2752,2243,2204,1182,2667,2584,2330,1007,257,64,206,23,-4162,-2915,-1051,10000,7619,6600,3380,7813,5020,3646,
"Income Attributable To Equity Holders",1090,1640,1043,564,3101,2070,1001,2457,196,1124,499,2013,6,788,660,2752,2243,2204,1182,2667,2584,2330,1007,257,64,206,23,-4162,-2915,-1051,10000,7619,6600,3380,7813,5020,3646,
"Total Comprehensive Income/Loss for the period",1090,1640,1043,564,3101,2070,1001,2457,196,1124,499,2013,6,,660,2752,2243,,,,,,,,,,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",1046,1640,1043,564,3091,2070,1001,2457,196,1124,499,2025,6,788,660,2746,2243,2204,1182,2659,2584,2330,1007,207,64,206,72,-4162,-2915,-1051,9996,7600,6581,4861,8133,5394,3690,
"Enterprise Value (EV)",14469,10874,17673,34107,26616,14038,12160,27316,26649,21731,27072,46856,37174,43335,12806,50839,53992,54177,27599,30763,53405,30121,24153,18969,27651,17325,23113,31444,33655,51510,39285,32076,29830,35130,30328,58113,70716,

Balance sheet (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016","Jun 2016","Mar 2016","Dec 2015","Sep 2015","Jun 2015","Mar 2015","Dec 2014","Sep 2014","Jun 2014","Mar 2014","Dec 2013","Sep 2013","Jun 2013","Mar 2013","Dec 2012","Sep 2012","Jun 2012","Mar 2012","Dec 2011","Sep 2011","Jun 2011","Mar 2011","Dec 2010","Sep 2010","Jun 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)",
,"30 Sep 2020","31 Mar 2020","1 Oct 2019","28 Mar 2019","1 Oct 2018","29 Mar 2018","13 Dec 2017","2 Oct 2017","21 Jun 2017","31 Mar 2017","21 Dec 2016","30 Sep 2016","30 Jun 2016","14 Apr 2016","6 Jan 2016","30 Sep 2015","29 Jun 2015","13 Mar 2015","22 Dec 2014","30 Sep 2014","17 Jun 2014","29 Apr 2014","9 Dec 2013","30 Sep 2013","2 Jul 2013","12 Apr 2013","18 Dec 2012","28 Sep 2012","25 Jun 2012","16 Feb 2012","10 Jan 2012","27 Sep 2011","23 Jun 2011","13 Jun 2011","17 Dec 2010","11 Aug 2010","11 May 2010",
"Fixed Assets",7527,8524,10170,12767,14741,19168,20173,20081,20814,20113,21443,21450,16333,17399,16632,16696,17063,17465,16559,16140,15546,15928,16299,17071,18334,16804,17314,17554,16129,14464,14009,14923,15436,16320,16601,16996,18175,
"Right-of-use Asset",9776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Investments and Loans",2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,
"Goodwill",3287,3287,3287,3287,3287,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2416,2687,2687,2687,2687,2687,,,
"Intangible Assets",1919,2549,2720,1703,1380,1058,1143,914,949,978,911,963,1054,746,798,894,1086,1138,1128,1242,365,605,844,1083,1099,1338,1578,1042,1481,1671,1912,2125,2364,2603,2843,2791,3926,
"Deferred Tax Asset",351,560,206,,,,,,364,588,651,845,1304,1305,1350,1613,1662,1666,2171,2534,2521,2635,3264,3655,3879,3824,3904,5106,4706,4547,3962,4732,4875,4284,3861,184,,
"Other Assets",,126,1168,2867,4240,6374,6231,6463,,6038,4588,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Long-Term Receivables",,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Fixed Assets",25560,16016,17551,20622,23649,29287,30234,30145,24814,30404,30280,25945,21378,22137,21467,21890,22498,22956,22545,22603,21119,21855,23094,24496,25999,24653,25483,26389,25003,23098,22570,24467,25362,25894,25992,21771,22101,
"Stock",285,790,366,507,627,495,341,660,1155,656,613,633,952,321,268,385,155,103,54,261,1458,1858,1863,2234,3263,4101,1452,,,,,,,,,,,
"Debtors",4743,6341,6020,5582,8646,10101,13233,14992,25897,16597,15674,21212,17761,15926,14572,14731,12979,12281,14912,15821,15974,16570,17309,17691,15085,13674,13029,13316,12035,13209,20024,15979,19625,28704,18726,12439,10629,
"Cash",16191,18526,12987,14244,10874,6986,6821,4269,2834,1451,2411,3615,6589,6727,6605,7180,6981,7622,8596,7116,4211,3531,3273,4633,3893,7909,8462,10618,12593,15746,20420,26763,24829,21650,20144,20270,17240,
"Tax",37,,25,,,,,,,,,,,,33,33,,,,33,33,33,33,33,,,,,,,,,,,,,,
"Other Current Assets",1661,3099,3972,4566,4731,4713,4412,4704,,4195,3059,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Current Assets",22917,28756,23370,24899,24879,22295,24807,24625,29886,22899,21757,25460,25302,22974,21478,22329,20115,20006,23562,23231,21676,21992,22478,24591,22241,25684,22943,23934,24628,28955,40444,42742,44454,50354,38870,32709,27869,
"Total Assets",48477,44772,40921,45521,48528,51582,55041,54770,54700,53303,52037,51405,46680,45111,42945,44219,42613,42962,46107,45834,42795,43847,45572,49087,48240,50338,48426,50323,49631,52053,63014,67209,69816,76248,64862,54480,49970,
"Ordinary Share Capital & Premium",48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1308,2148,
"Distributable Reserves",32911,34763,35013,34954,35650,35880,35231,34650,33953,33737,33321,33032,32233,32227,32519,32279,32190,32571,32389,32047,32384,32550,31436,30639,30657,31008,31222,27878,29125,31409,32880,32178,33259,31720,30019,27644,24372,
"Ordinary Shareholders' Interest",32959,34811,35061,35002,35698,35928,35279,34698,34001,33785,33369,33080,32281,32275,32567,32327,32238,32619,32437,32095,32432,32598,31484,30687,30705,31056,31270,27926,29173,31457,32928,32226,33307,31768,30067,28952,26520,
"Total Shareholders' Interest",32959,34811,35061,35002,35698,35928,35279,34698,34001,33785,33369,33080,32281,32275,32567,32327,32238,32619,32437,32095,32432,32598,31484,30687,30705,31056,31270,27926,29173,31457,32928,32226,33307,31768,30067,28952,26520,
"Interest Bearing Loans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2716,,
"Deferred Tax Liability",,,,838,897,1715,820,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611,
"Other Long-Term Liabilities",8256,705,816,666,1037,3637,2612,2831,2882,3396,3859,3374,749,1770,609,586,648,378,854,1120,1184,1525,1959,2384,2627,1361,1701,2123,458,253,337,674,1120,1720,2097,,2803,
"Total Long-Term Liabilities",8256,705,816,1504,1934,5352,3432,3031,2882,3396,3859,3374,749,1770,609,586,648,378,854,1120,1184,1525,1959,2384,2627,1361,1701,2123,458,253,337,674,1120,1720,2097,2716,4414,
"Creditors and Provisions",5402,8327,4499,6828,7967,6694,10310,10635,11772,9834,9192,9690,9380,6526,5115,6527,4847,4583,6917,5978,2726,2660,4052,6981,13081,16616,13870,18514,18601,18358,27256,27435,29709,38426,28155,17705,14972,
"Dividends",,,,,,,,,240,,,,27,,,,,,,,,,,,,,,,,,,,1694,,,1003,1686,
"Tax",5,476,,279,341,41,183,123,121,164,,,,,,,,,,,,,,,,,203,202,202,170,122,4203,3926,1773,2044,1602,102,
"Bank Overdrafts/Short-Term Loans",,,,51,110,24,81,85,83,82,83,71,83,82,91,59,73,59,75,79,76,52,126,82,44,34,75,62,48,56,65,39,59,80,72,67,2276,
"Other Current Liabilities",1855,453,545,1857,2478,3543,5756,6198,5601,6042,5534,5190,4160,4458,4563,4720,4807,5323,5824,6562,6377,7012,7951,8953,1783,1271,1307,1496,1149,1759,2306,2632,1,2481,2427,2435,,
"Total Current Liabilities",7262,9256,5044,9015,10896,10302,16330,17041,17817,16122,14809,14951,13650,11066,9769,11306,9727,9965,12816,12619,9179,9724,12129,16016,14908,17921,15455,20274,20000,20343,29749,34309,35389,42760,32698,22812,19036,
"Total Liabilities",15518,9961,5860,10519,12830,15654,19762,20072,20699,19518,18668,18325,14399,12836,10378,11892,10375,10343,13670,13739,10363,11249,14088,18400,17535,19282,17156,22397,20458,20596,30086,34983,36509,44480,34795,25528,23450,
"Total Equity and Liabilities",48477,44772,40921,45521,48528,51582,55041,54770,54700,53303,52037,51405,46680,45111,42945,44219,42613,42962,46107,45834,42795,43847,45572,49087,48240,50338,48426,50323,49631,52053,63014,67209,69816,76248,64862,54480,49970,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016","Jun 2016","Mar 2016","Dec 2015","Sep 2015","Jun 2015","Mar 2015","Dec 2014","Sep 2014","Jun 2014","Mar 2014","Dec 2013","Sep 2013","Jun 2013","Mar 2013","Dec 2012","Sep 2012","Jun 2012","Mar 2012","Dec 2011","Sep 2011","Jun 2011","Mar 2011","Dec 2010","Sep 2010","Jun 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)",
,"30 Sep 2020","31 Mar 2020","1 Oct 2019","28 Mar 2019","1 Oct 2018","29 Mar 2018","13 Dec 2017","2 Oct 2017","21 Jun 2017","31 Mar 2017","21 Dec 2016","30 Sep 2016","30 Jun 2016","14 Apr 2016","6 Jan 2016","30 Sep 2015","29 Jun 2015","13 Mar 2015","22 Dec 2014","30 Sep 2014","17 Jun 2014","29 Apr 2014","9 Dec 2013","30 Sep 2013","2 Jul 2013","12 Apr 2013","18 Dec 2012","28 Sep 2012","25 Jun 2012","16 Feb 2012","10 Jan 2012","27 Sep 2011","23 Jun 2011","13 Jun 2011","17 Dec 2010","11 Aug 2010","11 May 2010",
"Number of Shares in Issue (Actual)",42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,
"Weighted Average Shares in Issue (Actual)",42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,
"Market Capitalisation (R'000)",30660,29400,30660,48300,37380,21000,18900,31500,29400,23100,29400,50400,43680,49980,19320,57960,60900,61740,36120,37800,57540,33600,27300,23520,31500,25200,31500,42000,46200,67200,59640,58800,54600,56700,50400,75600,85680,
"Number of Months",12,6,12,6,12,6,3,12,3,6,3,12,3,6,3,12,3,6,3,12,9,6,3,9,6,3,12,9,6,3,12,9,6,3,12,9,6,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016","Jun 2016","Mar 2016","Dec 2015","Sep 2015","Jun 2015","Mar 2015","Dec 2014","Sep 2014","Jun 2014","Mar 2014","Dec 2013","Sep 2013","Jun 2013","Mar 2013","Dec 2012","Sep 2012","Jun 2012","Mar 2012","Dec 2011","Sep 2011","Jun 2011","Mar 2011","Dec 2010","Sep 2010","Jun 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)",
,"30 Sep 2020","31 Mar 2020","1 Oct 2019","28 Mar 2019","1 Oct 2018","29 Mar 2018","13 Dec 2017","2 Oct 2017","21 Jun 2017","31 Mar 2017","21 Dec 2016","30 Sep 2016","30 Jun 2016","14 Apr 2016","6 Jan 2016","30 Sep 2015","29 Jun 2015","13 Mar 2015","22 Dec 2014","30 Sep 2014","17 Jun 2014","29 Apr 2014","9 Dec 2013","30 Sep 2013","2 Jul 2013","12 Apr 2013","18 Dec 2012","28 Sep 2012","25 Jun 2012","16 Feb 2012","10 Jan 2012","27 Sep 2011","23 Jun 2011","13 Jun 2011","17 Dec 2010","11 Aug 2010","11 May 2010",
"Earnings Per Share (ZARc)",2.59,3.9,2.48,1.34,7.38,4.93,2.38,5.85,0.47,2.68,1.19,4.79,0.01,1.88,1.57,6.55,5.34,5.25,2.81,6.35,6.15,5.55,2.4,0.61,0.15,0.49,0.05,-9.91,-6.94,-2.5,23.81,18.14,15.71,8.05,18.6,11.95,8.68,
"Diluted Earnings Per Share (ZARc)",2.59,3.9,2.48,1.34,7.38,4.93,2.38,5.85,0.47,2.68,1.19,4.79,0.01,1.88,1.57,6.55,5.34,5.25,2.81,6.35,6.15,5.55,2.4,0.61,0.15,0.49,0.05,-9.91,-6.94,-2.5,23.81,18.14,15.71,8.05,18.61,,8.68,
"Headline Earnings Per Share (Cont Ops) (ZARc)",2.49,3.9,2.48,1.34,7.36,4.93,2.38,5.85,0.47,2.68,1.19,4.82,0.01,1.88,1.57,6.54,5.34,5.25,2.81,6.33,6.15,5.55,2.4,0.49,0.15,0.49,0.17,-9.91,-6.94,-2.5,23.8,18.09,15.67,8,19.36,12.84,8.79,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",2.49,3.9,2.48,1.34,7.36,4.93,,5.85,0.47,2.68,,4.82,,,,6.54,,5.25,2.81,6.33,6.15,5.55,2.4,0.49,0.15,0.49,0.17,-9.91,-6.94,-2.5,23.8,18.09,15.67,8,19.36,,8.79,
"Interim Dividend (ZARc)",1.5,1.5,1,1,1.5,1.5,,0.5,,0.5,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
"Final Dividend (ZARc)",1.6,,1.5,,1.5,,,1,,,,0.5,,,,1,,,,2,,,,,,,,,,,,,,,,,,
"Dividend Per Share (ZARc)",3.1,1.5,2.5,1,3,1.5,,1.5,,0.5,,1,,0.5,,1,,,,2,,,,,,,,,,,,,,,,,,
"Other Distributions (ZARc)",3.1,1.5,3,,2.5,,1,1,0.5,0.5,0.5,1.5,0.5,,1,4,1,5,2,2.5,1,1,0.5,2.5,,,,3,,1,,4,,,,4,8,
"Distributions Per Share (ZARc)",6.2,3,5.5,1,5.5,1.5,1,2.5,0.5,1,0.5,2.5,0.5,0.5,1,5,1,5,2,4.5,1,1,0.5,2.5,1,0.5,4,3,2,1,17,4,19,14,14,4,8,
"Net Asset Value Per Share (ZARc)",78.47,82.88,83.48,83.34,85,85.54,84,82.61,80.95,80.44,79.45,78.76,76.86,76.85,77.54,76.97,76.76,77.66,77.23,76.3,78.22,77.61,74.96,72.95,73.11,73.94,74.45,66.49,69.46,74.9,78.4,76.73,79.3,75.64,71.59,68.93,63.14,
"3 Year Beta",2.78,3.3,3.65,1.45,4.36,0.25,0.35,2.14,3.64,3.27,3.88,3.57,3.68,4.47,1.5,1.28,1.47,2.88,2.14,1.64,1.63,1.85,1.3,0.62,-0.48,-0.1,-0.02,0.02,-0.2,0.04,0.1,0.57,0.59,0.44,0.41,0.57,0.52,
"Cash Generated Per Share",31.87,24.54,22.08,16.1,40.3,15.68,9.02,17.12,,-2.65,-2.56,6.13,2.93,3.75,1.3,19.54,17.07,16.22,9.95,22.78,12.2,6.28,0.66,-18.08,-6,1.55,-9.77,-7.53,-3,-6.08,25.26,32.58,22.63,9.62,36.88,30.89,19.1,
"Net Asset Value Per Share (Base Currency)",78.47,82.88,83.48,83.34,85,85.54,84,82.61,80.95,80.44,79.45,78.76,76.86,76.85,77.54,76.97,76.76,77.66,77.23,76.3,78.22,77.61,74.96,72.95,73.11,73.94,74.45,66.49,69.46,74.9,78.4,76.73,79.3,75.64,71.59,68.93,63.14,
"Price at Period End (Base Currency)",73,70,73,115,89,50,45,75,70,55,70,120,104,119,46,138,145,147,86,90,137,80,65,56,75,60,75,100,110,160,142,140,130,135,120,180,204,
"JSE Market Price High (ZARc)",79,79,115,115,115,75,75,120,75,120,120,138,122,138,138,149,149,149,115,150,137,80,70,85,85,75,164,164,164,160,161,161,161,161,210,210,210,
"JSE Market Price Low (ZARc)",16,16,20,65,25,31,31,28,55,28,61,46,100,46,46,51,51,80,80,39,39,39,56,34,51,60,65,95,97,136,100,100,111,115,120,165,165,
"JSE Market Price at Period End (ZARc)",73,70,73,115,89,50,45,75,70,55,70,120,104,119,46,138,145,147,86,90,137,80,65,56,75,60,75,100,110,160,142,140,130,135,120,180,204,
"JSE Volume Traded (Actual)",384453,70665,348754,127559,316457,91933,32830,316229,2932,194748,32792,98823,31900,24201,8188,201420,132378,85558,59767,918323,635819,424923,108016,432155,352935,262180,1522969,1321849,1040238,589124,1439542,988678,526431,343718,1780194,1445431,1090630,
"JSE Rand Value Traded (Actual)",256905,43595,259984,99565,155046,41290,14279,162327,2129,80998,23182,103372,33735,27706,7744,240761,146648,94124,60984,795309,456003,242858,66277,279780,236228,170140,1942226,1776322,1460795,851020,1941946,1281751,710659,459595,3237738,2754611,2088790,
"12 Month HEPS",2.49,5.04,2.48,3.77,7.36,8.1,6.76,5.85,7.94,5.62,4.8,4.82,3.52,3.17,6.33,6.54,8.15,6.03,7.09,6.33,8.55,5.87,2.89,0.98,7.26,3.96,0.17,-12.41,1.19,15.27,23.8,26.09,26.24,23.08,19.36,20.41,28.9,
"12 Month Dividend",6.2,6,5.5,5.5,6,5.5,3,3,2.5,2,1,3,2.5,3.5,4,5,5,6,6,6,4.5,2.5,2,2,3.5,3,3.5,4,3,14,14,14,19,14,14,4,2,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016","Jun 2016","Mar 2016","Dec 2015","Sep 2015","Jun 2015","Mar 2015","Dec 2014","Sep 2014","Jun 2014","Mar 2014","Dec 2013","Sep 2013","Jun 2013","Mar 2013","Dec 2012","Sep 2012","Jun 2012","Mar 2012","Dec 2011","Sep 2011","Jun 2011","Mar 2011","Dec 2010","Sep 2010","Jun 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)",
,"30 Sep 2020","31 Mar 2020","1 Oct 2019","28 Mar 2019","1 Oct 2018","29 Mar 2018","13 Dec 2017","2 Oct 2017","21 Jun 2017","31 Mar 2017","21 Dec 2016","30 Sep 2016","30 Jun 2016","14 Apr 2016","6 Jan 2016","30 Sep 2015","29 Jun 2015","13 Mar 2015","22 Dec 2014","30 Sep 2014","17 Jun 2014","29 Apr 2014","9 Dec 2013","30 Sep 2013","2 Jul 2013","12 Apr 2013","18 Dec 2012","28 Sep 2012","25 Jun 2012","16 Feb 2012","10 Jan 2012","27 Sep 2011","23 Jun 2011","13 Jun 2011","17 Dec 2010","11 Aug 2010","11 May 2010",
"Cash generated by operations",,,,,,7130,3934,,,-844,-974,,1352,1633,589,8453,7544,7050,4375,9924,5418,2839,352,-7021,-2143,947,-3903,-3027,-1169,-2502,17928,16683,12649,6634,26187,22962,17596,
"Cash generated from operations after WC",13870,10359,10644,7292,17936,,,7654,,,,2954,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Cash flow from operating activities",13387,10305,9273,6763,16925,6586,3787,7192,,-1112,-1074,2576,1230,1575,547,8208,7170,6812,4180,9569,5122,2638,277,-7594,-2522,649,-4102,-3162,-1262,-2553,10609,13685,9506,4041,15488,12972,8022,
"Net cash flow from investing activities",-6898,-2675,-2452,-1236,-2247,-1857,-70,-3941,,16,60,-3466,-75,-919,-644,-2885,-2972,-2626,-853,-2379,-923,-489,-43,-3102,-2789,-365,-6552,-6775,-4672,-1482,-1305,-757,-506,-515,-3964,-2898,-2359,
"Net cash flow from financing activities",-3286,-2091,-4597,-2098,-8098,-1952,-1161,-2611,,-1078,-202,-2688,-1292,-1132,-510,-5238,-4707,-3660,-1842,-4704,-4616,-3219,-1638,6859,772,797,-9020,138,-1875,-630,-9021,-6276,-4303,-2027,-7618,-6037,-4642,
"Dividends paid",-2518,-1890,-1680,-1177,-1628,-630,-210,-837,,-210,-210,-1469,26,-840,-420,-2520,-2100,-1680,-840,-1049,-840,-420,-210,-1469,-630,-420,-1680,-840,-840,,-7140,-5059,-3383,-1705,-3744,,-3355,
"Net increase(decrease) in cash & cash equivalents",3204,5538,2224,3429,6579,2778,2556,641,,-2175,-1215,-3578,-138,-477,-607,84,-129,526,1485,2486,-417,-1071,-1403,-3836,-4539,-512,-11968,-9799,-7810,,283,6652,4698,1499,20072,4037,1021,
"Cash & Cash Equivalent beginning of period",12987,12987,10764,10764,4184,4184,4184,3543,,3543,3543,7121,6644,7121,7121,7037,7037,,,,,,,,,,,,,,,,,,,,,
