"Earnings Per Linked Unit (ZARc)",28.02,112.21,67.48,144.03,37.84,
"Diluted Earnings Per Linked Unit (ZARc)",28.02,112.21,67.48,144.03,37.84,
"Headline Earnings Per Linked Unit (CO) (ZARc)",21.93,81.64,43.29,86.42,20.25,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",,81.64,,86.42,,
"Distributions Per Linked Unit (ZARc)",35.96,92.27,43.77,61.84,19.1,
"Net Asset Value Per Linked Unit (ZARc)",1082,1108,1109,1083,1037,
"Cash Generated Per Linked Unit",-27.32,6.44,1.45,41.92,19.92,
"Number of Months",6,12,6,9,3,
"Net Asset Value Per Linked Unit (Base Currency)",1082,1108,1109,1083,1037,
"Price at Period End (Base Currency)",960,970,945,1000,1055,
"JSE Market Price at Period End (ZARc)",960,970,945,1000,1055,
"JSE Market Price High (ZARc)",970,1000,999,1055,1055,
"JSE Market Price Low (ZARc)",900,850,925,950,1050,
"JSE Volume Traded (Actual)",7212,373587,31426,34168,21540,
"JSE Rand Value Traded (Actual)",67635,3378532,299096,358043,227197,
"12 Month HEPS",60.28,81.64,100.9,115.22,81,
"12 Month Dividend",84.46,92.26,86.51,61.84,19.1,

Cash flow items,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (9m)","Interim (3m)",
,"30 Oct 2020","26 May 2020","1 Nov 2019","23 May 2019","2 Nov 2018",
"Cash generated by operations",,459701,227134,304172,99587,
"Cash generated from operations after WC",218742,,,,,
"Net Cash flow from operating activities",-88794,20943,4655,128220,60938,
"Net cash flow from investing activities",-19846,-393608,-387420,-16780,-1353,
"Net cash flow from financing activities",118491,357496,369720,-48587,14940,
"Dividends paid",-162501,-248818,-138852,-60093,,
"Net increase(decrease) in cash & cash equivalents",9851,-15169,-13045,62853,74525,
"Cash & Cash Equivalent beginning of period",47684,62853,62853,,,
"Cash & Cash Equivalent end of period",57535,47684,49808,62853,74525,

Ratios,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (9m)","Interim (3m)",
,"30 Oct 2020","26 May 2020","1 Nov 2019","23 May 2019","2 Nov 2018",
"Turnover Per Share",129.48,144.24,145.41,195.51,218.03,
"Price/Sales Per Share",7.41,6.72,6.5,5.11,4.84,
"Price/Net Asset Value",0.89,0.88,0.85,0.92,1.02,
"Price/Cash Flow",-70.28,150.62,1305.55,31.81,211.85,
"Return on Capital Employed",2.92,6.53,7.81,9.11,9.53,
"Return on Stockholder Funds",4.76,10.35,12.41,13.72,14.92,
"Return on Total Assets",7.08,7.73,7.75,8.02,8.45,
"Operating Profit Margin",103.73,101.92,101.05,98.34,67.31,
"Net Profit Margin",46.66,83.71,99.49,104.56,108.03,
"Debt : Equity",0.61,0.56,0.56,0.48,0.54,
"Current Ratio",1.93,1.83,2.71,0.96,0.71,
"Dividend Cover",0.78,1.22,1.54,2.33,1.98,
"Debtors Collection Period",43.22,39.67,39.48,40.65,30.47,
"Operating Return on Investment",6.86,7.62,7.94,8.13,8.63,
"Operating Income : Turnover",92.76,92.93,93.28,93.93,64.26,
"Return on Stockholder Funds",6.34,7.98,7.57,6.99,7.09,
"NAV%Price",112.71,114.23,117.35,108.3,98.29,
"Price : Earnings",15.93,11.88,9.37,8.68,13.02,
"Profitability %",6.62,7.29,7.35,7.88,7.75,
"Solvency %",248.67,258.71,258.07,281.75,263.17,
"Liquidity %",-7.16,0.88,0.4,8.61,12.07,
"EV/Ebitda (Pd)",,,13.76,,,
"Cash Flow : Attributable Profit",-2.65,0.08,0.07,0.96,4.26,
"Loan to value ratio",37.22,35.47,35.5,31.83,34.52,
"PEG Ratio",-2.88,-2.15,,,,

