"Return on Total Assets",7.42,3.79,-7.95,-2.97,-4.55,-3.92,-3.32,-3.68,-7.67,-2.21,-3.93,-3.24,
"Operating Profit Margin",18.23,14.1,-1.15,-14.78,-24.03,,,,,,,,
"Net Profit Margin",-1.65,-2.37,-5.3,18.29,6.65,,,,,,,,
"Debt:Equity",0.25,0.28,0.61,0.58,0.61,0.6,0.58,0.56,0.24,0.21,0.09,0.12,
"Interest Cover",2.13,0.75,0.22,0.52,0.98,1406,387.33,1060.33,,2308,1594,,
"Current Ratio",1.1,1.12,0.81,0.94,0.46,0.38,0.59,1.89,1.2,3.11,2.14,1.78,
"NAV%Price",95.15,157.96,147.39,71.09,81.97,77.82,72.85,72.4,70.34,72.93,62.32,,
"Price : Earnings",7.69,55.22,-36.82,2428.57,-44.18,-39.11,-265.87,,-102.26,-54.89,,,
"Profitability %",10.96,2.99,-0.93,-1.26,-2.46,-3.92,-3.32,-3.68,-7.67,-2.21,-3.93,-3.24,
"Solvency %",317.08,321.9,234.58,221.25,229.87,224.66,244.65,256.31,390.42,407.93,552.94,567.09,
"Int Bearing Debt : Total Assets",0.11,0.13,0.24,0.21,0.25,0.23,0.22,0.22,,,0.04,,
"EV/Ebitda (Pd)",,,,,,,-3691.16,-2025.58,-2550.02,-2066.44,,,
"Liquidity%",35.89,12.32,4.04,-3.82,-25.55,-7.7,-6.11,-5.17,-11.74,-42.62,-99.06,-44.7,
"Cash Flow : Attributable Profit",18.77,-2.55,-1.02,2.95,11.6,2.19,3.72,0.68,1.39,15.59,26.28,3.55,
"PEG Ratio",0.15,1.16,-0.74,48.57,-0.13,-0.39,-2.66,,,,,,

