Share/unit data,"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016","Jun 2016",
,"Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)",
,"24 Nov 2020","19 Aug 2020","29 Jul 2020","19 Mar 2020","14 Nov 2019","22 Aug 2019","15 May 2019","22 Mar 2019","14 Nov 2018","23 Aug 2018","21 May 2018","22 Mar 2018","13 Nov 2017","21 Aug 2017","15 May 2017","20 Mar 2017","28 Nov 2016","24 Aug 2016",
"Exchange Rate (period end)",19.86,19.47,19.53,15.69,16.58,16.04,16.28,16.47,16.44,16.06,14.57,14.84,15.96,14.92,14.3,14.4,15.63,16.52,
"Exchange Rate (weighted average)",19.75,18.37,16.96,16.17,16.34,16.05,15.92,15.61,16.35,15.32,14.69,15.03,15.47,14.29,14.08,16.27,15.73,17.19,
"Number of Shares in Issue (Actual)",485555122,485555122,485555122,484659406,485555122,483748843,483536996,477554732,470303504,471473315,470303504,465467259,470303504,460216478,460216478,460216478,,,
"Weighted Average Shares in Issue (Actual)",485555122,485555122,485555122,484659406,485555122,483748843,483536996,477554732,483536996,471473315,470303504,465467259,470303504,460216478,460216478,460216478,,,
"Fully Diluted Weighted Average Shares in Issue",,,,,,,,,,,470303504,,,460216478,460216478,460216478,,,
"Market Capitalisation (R'000)",16266097,9706247,17479984,17447739,17479984,17414958,14989647,14804197,15990319,16501566,15049712,16291354,17166078,15187144,13346278,13208213,,,
"Number of Months",3,6,3,12,3,6,3,12,3,6,3,12,3,6,3,12,3,6,

Share statistics,"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016","Jun 2016",
,"Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)",
,"24 Nov 2020","19 Aug 2020","29 Jul 2020","19 Mar 2020","14 Nov 2019","22 Aug 2019","15 May 2019","22 Mar 2019","14 Nov 2018","23 Aug 2018","21 May 2018","22 Mar 2018","13 Nov 2017","21 Aug 2017","15 May 2017","20 Mar 2017","28 Nov 2016","24 Aug 2016",
"Earnings Per Share (ZARc)",79,-128.59,16.96,242.65,65.36,144.45,63.68,296.59,81.76,153.2,73.49,511.02,201.11,185.77,98.62,553.45,251.68,137.55,
"Headline Earnings Per Share (Cont Ops) (ZARc)",,-128.59,,242.65,,144.45,,296.59,,153.2,,511.02,,,,,,137.55,
"Final Dividend (ZARc)",,,,,,,,138.29,,,,114.16,,,,95.43,,,
"Dividend Per Share (ZARc)",,,,,,,,138.29,,,,114.16,,,,95.43,,,
"Distributions Per Share (ZARc)",,,,,,,,138.29,,,,114.16,,,,95.43,,,
"Net Asset Value Per Share (ZARc)",4153.52,4034.18,4198.9,3383.18,3509.82,3374.98,3526.57,3503.17,3473.59,3385.77,2974.11,3384.68,3025.54,3028.76,2548.06,2463.84,,2971.18,
"3 Year Beta",-0.18,0.04,0.21,0.3,0.32,,,,,,,,,,,,,,
"Cash Generated Per Share",15.55,8.71,4.61,20.92,15.1,10.73,5.09,18.49,13.42,8.83,4.51,17.33,,7.87,4.34,15.92,,,
"Earnings Per Share (Base Currency)",4,-7,1,15,4,9,4,19,5,10,5,34,13,13,7,34,16,8,
"Headline Earnings Per Share (Cont) (Base Currency)",,,,,,,,,,,,,,,,,,8,
"Distributions Per Share (Base Currency)",,,,,,,,8.6,,,,7.59,,,,6.32,,,
"Distributions Per Share (Base Currency): Dividend in Polish zloty (cents)",,,,,,,,37,,,,33,,,,27,,,
"Net Asset Value Per Share (Base Currency)",209.14,207.2,214.95,215.54,211.69,210.41,216.62,212.7,211.28,210.82,204.06,228,189.57,203,178.07,171.1,,180,
"Price at Period End (Base Currency)",171,102,183,229,218,225,190,188,207,218,219,239,229,221,203,201,191,,
"JSE Market Price High (ZARc)",3999,3600,3600,3601,3600,3601,3100,3650,3650,3500,3500,3650,3650,3300,2900,10000,2975,,
"JSE Market Price Low (ZARc)",1999,1999,3600,2000,3600,2000,3100,3000,3250,3200,3200,2870,3300,2870,2870,2525,2525,,
"JSE Market Price at Period End (ZARc)",3350,1999,3600,3600,3600,3600,3100,3100,3400,3500,3200,3500,3650,3300,2900,2870,2975,,
"JSE Volume Traded (Actual)",3002,3435,,60695,3055,57640,3087,82043,66482,15266,5000,204,50,113,25,24112,16373,,
"JSE Rand Value Traded (Actual)",105980,80086,,1735699,109980,1625719,95697,2783057,2274627,499310,160000,6889,1825,3629,725,721182,436832,,
"12 Month HEPS",-3.02,-30.39,198.94,242.65,261.12,287.84,286.12,296.59,142.65,478.45,456.75,511.02,185.29,601.67,513.7,553.45,1006.72,275.1,
"12 Month Dividend",,,,138.28,138.28,138.28,138.28,114.16,114.16,114.16,114.16,114.16,95.43,95.43,95.43,95.43,,,

Cash flow items,"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016","Jun 2016",
,"Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)",
,"24 Nov 2020","19 Aug 2020","29 Jul 2020","19 Mar 2020","14 Nov 2019","22 Aug 2019","15 May 2019","22 Mar 2019","14 Nov 2018","23 Aug 2018","21 May 2018","22 Mar 2018","13 Nov 2017","21 Aug 2017","15 May 2017","20 Mar 2017","28 Nov 2016","24 Aug 2016",
"Cash generated by operations",81885,52150,26893,108260,78666,54232,26073,95228,70463,46000,23020,77693,,36318,20958,77394,,35476,
"Working capital changes",-1344,-6565,,-620,-589,834,-181,-967,-1179,245,,6900,,2023,,,,2373,
"Cash generated from operations after WC",80541,45405,23720,107640,78077,55066,26254,96195,69284,46245,,84593,,38341,,,,37849,
"Net Cash flow from operating activities",75520,42274,22393,101407,73302,51904,24608,88298,63124,41622,21206,80678,,36240,19973,73281,,36412,
"Net cash flow from investing activities",-58728,-38111,-14467,-9882,-11866,-62122,-26383,-131960,-104740,-65674,-12646,-178304,,-61757,-34007,-231790,,-205227,
"Net cash flow from financing activities",-51548,-37437,16184,7549,10233,-1416,15303,-23169,-1818,17398,25966,95219,,36779,19956,140806,,74591,
"Dividends paid",,,,-37992,-38421,-38356,-428,-9752,-9752,-9752,,-8061,,,,,,,
"Net increase(decrease) in cash & cash equivalents",-40558,-37855,16910,99180,71260,-11376,13760,-68290,-44242,-8466,34389,-1066,,12494,7448,-19660,,-95580,
"Cash & Cash Equivalent beginning of period",179636,179636,179636,80456,80456,80456,80456,148746,148746,148746,148746,149812,,149812,149812,169472,,169472,
"Translation effects on cash & cash equivalents",-5802,-4581,-7200,106,-409,258,232,-1729,-808,-1812,,1341,,,,,,,
"Cash & Cash Equivalent end of period",139078,141781,196546,179636,151716,69080,94216,80456,104504,140280,183135,148746,,162306,157260,149812,,73892,

Ratios,"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016","Jun 2016",
,"Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)",
,"24 Nov 2020","19 Aug 2020","29 Jul 2020","19 Mar 2020","14 Nov 2019","22 Aug 2019","15 May 2019","22 Mar 2019","14 Nov 2018","23 Aug 2018","21 May 2018","22 Mar 2018","13 Nov 2017","21 Aug 2017","15 May 2017","20 Mar 2017","28 Nov 2016","24 Aug 2016",
"Return on Capital Employed",3.05,-3.22,0.48,3.35,3.63,3.92,3.58,4.23,4.18,4.28,4.74,7.86,11.28,6.84,7.6,9.71,18.09,4.64,
"Return on Shareholder Funds",6.71,-6.63,1.05,7.12,7.7,8.38,7.6,9.01,9.2,9.45,10.08,16.64,23.27,14.13,15.61,20.19,38.8,10.64,
"Return on Total Assets",3.64,-2.68,2.11,3.01,4.2,4.15,3.77,2.79,4.34,4.84,5.32,8.65,12.68,7.42,7.71,6.64,5.81,5.16,
"Gross Profit Margin",75.43,74.51,72.8,98.42,75.34,75.18,74.89,98.07,75.33,70.98,69.63,97.71,74.57,73.59,,,72.53,72.42,
"Operating Profit Margin",71.13,-19,53.79,86.55,82.01,83.4,79.25,85.93,86.87,91.36,93.56,79.73,243.55,145.46,144.78,177.21,104.82,101.07,
"Net Profit Margin",40.19,-42.72,6.28,58.51,45.89,52.51,49.63,81.73,59.7,59.1,60.95,169.63,174.97,102.07,108.03,181.52,225.69,59.95,
"Debt:Equity (excl non-int debt)",0.35,0.51,0.35,0.41,0.43,0.46,0.41,0.28,0.25,0.16,0.15,0.29,0.28,0.33,0.14,0.14,1.15,0.24,
"Interest Bearing Debt as % of Long-Term Finance",0.25,0.26,0.25,0.25,0.25,0.25,0.29,0.3,0.3,0.27,0.27,0.28,0.29,,,0.34,49.75,,
"Interest Cover",3.61,-1.08,1.94,3.66,3.98,4.2,3.95,4.53,4.26,5,5.22,6.62,9.6,6.26,6.07,5.58,4.22,4.92,
"Quick Ratio",1.39,0.56,1.28,0.89,0.84,0.45,0.66,1.12,1.13,1.13,1.31,1.15,0.82,1.11,1,1.04,1.16,1.28,
"Current Ratio",1.39,0.56,1.28,0.89,0.84,0.45,0.66,1.12,1.13,1.13,1.31,1.17,0.86,1.14,1.02,1.07,1.19,1.3,
"Dividend Cover",,,,,,,,2.14,,,,4.48,,,,5.8,,,
"Dividend Cover (HEPS)",,,,,,,,2.14,,,,4.48,,,,,,,
"Debtors Collection Period",16.65,27.84,18.21,29.31,14.02,14.8,13.42,30.64,17.79,15.95,14.19,17.3,14.56,12.27,16.82,22.41,13.4,17.3,
"Stock Turn",,,,,,,,,,,55.11,0.56,3.91,4.31,,0.6,8.46,10.03,
"Price : Earnings",-1109.27,-65.78,18.1,14.84,13.79,12.51,10.83,10.45,23.83,7.32,7.01,6.85,19.7,5.48,5.65,5.19,2.96,,
"Sales Per Share (Base Currency)",35.33,32.41,33.8,26.39,35.71,33.61,32.64,23.37,31.57,32.72,33.57,19.8,25.22,25.39,25.89,18.98,,,
"Price/Sales Per Share",4.84,3.15,5.41,8.68,6.1,6.69,5.83,8.04,6.56,6.66,6.53,12.08,9.08,8.72,7.84,10.59,,,
"Price/Net Asset Value",0.82,0.49,0.85,1.06,1.03,1.07,0.88,0.88,0.98,1.03,1.07,1.05,1.21,1.09,1.14,1.17,,,
"Price/Cash Flow",43.99,23.42,158.79,10.95,57.71,41.94,149.65,10.17,61.72,49.4,194.49,13.8,,56.24,187.1,12.62,,,
"NAV%Price",123.99,201.81,116.64,93.98,97.5,93.75,113.76,113.01,102.16,96.74,92.94,96.71,82.89,91.78,87.86,85.85,,,
"Liquidity%",21.32,5.94,6.03,6.93,19.68,7.06,6.84,6.61,18.77,6.14,6.63,6.5,,6.57,7.35,6.98,,7.27,
"Cash Flow:Attributable Profit",16.68,-2.78,11.33,1.73,14.85,2.41,5.01,1.73,10.99,1.84,3.54,0.52,,1.14,2.22,0.47,,2.27,
"Cash/Equity (%)",13.46,13.9,18.58,16.97,19.13,11.5,15.5,7.88,10.47,18.61,18.99,15.8,11.44,,,18.96,,,
"EV/Ebitda (Pd)",,-615.73,,,518.49,272.83,,116.42,518.14,,,,,,,,,,
"PEG Ratio",49.07,2.91,-0.8,-10.31,-0.56,-0.5,-0.44,-0.42,-3.11,-0.95,-0.91,-0.89,,,,,,,

