,"28 Aug 2020","2 Mar 2020","5 Sep 2019","4 Mar 2019","7 Sep 2018","26 Feb 2018","7 Sep 2017","27 Feb 2017","9 Sep 2016","29 Feb 2016","14 Sep 2015","9 Mar 2015","18 Aug 2014","27 Jan 2014","31 Jul 2013","2 May 2013","7 Nov 2012","25 Apr 2012","3 Nov 2011","15 Jul 2011","4 May 2011","28 Feb 2011","30 Nov 2010","30 Aug 2010","25 May 2010",
"Fixed Assets",533649,810150,872380,753206,579698,490067,564852,473920,307237,273996,248554,153740,64752,70695,57621,57060,60247,50919,35020,32630,30202,27934,28121,25294,24773,
"Investments in Associates",26736,30266,21888,30173,23774,21752,20205,20058,19992,,,,,,1058,1055,1096,1019,,,,,,,,
"Investments and Loans",,,,,,200121,,,,15910,12347,75152,35744,34651,2450,2433,2649,2480,,,,3275,,,,
"Goodwill",,,,,,,,,,28449,29351,26475,1371,1372,,,,,,,,,,,,
"Intangible Assets",1696,8780,30647,22412,22592,22516,23967,24499,25263,,,,,,,,,,,,,,,,,
"Deferred Tax Asset",3394,3767,4280,781,607,756,758,1048,721,908,737,659,53,,,,,,,,,,,,,
"Other Assets",197503,188968,174903,162558,105395,129103,101134,,,,,,,,,,,,,,,,,,,
"Long-Term Receivables",,,,,183052,,,,,,,,,,,,,,,,,,,,,
"Total Fixed Assets",762978,1041931,1104098,969130,915119,864314,710916,519525,353213,319264,290989,256027,101920,106718,61129,60548,63992,54418,35020,32630,30202,31209,28121,25294,24773,
"Stock",,,5270,2758,1294,,,,,,,,,,,,,,,,,,,,,
"Debtors",20689,21773,17306,22856,16148,7689,8707,27378,11264,5119,4528,2148,2270,1244,991,754,1053,,505,1811,,126,121,780,122,
"Cash",51404,65091,71155,52858,147826,187342,33018,20795,47998,31997,45112,71257,205800,18386,21797,24708,852,,11470,1041,,5782,5751,9634,1528,
"Other Current Assets",457998,271506,192017,190592,78095,53648,6403,3394,55129,55423,69826,31933,,262,2378,257,253,,3421,5161,,,3188,,,
"Total Current Assets",530091,358370,285748,269064,243363,248678,48128,51567,114391,92539,119466,105338,208070,19892,25166,25719,2159,10089,15396,8013,9120,5908,9060,10414,1650,
"Total Assets",1293069,1400301,1389846,1238194,1158482,1112992,759044,571092,467604,411803,410455,361365,309990,126610,86295,86267,66152,64507,50416,40643,39322,37117,37181,35708,26423,
"Ordinary Share Capital & Premium",899858,899857,824686,829250,829250,837466,557556,410113,378531,308914,305672,304161,289978,107981,67423,67423,42812,42154,20173,19762,19763,19399,19389,19389,9310,
"Treasury Shares",6309,6309,8299,12863,,,,,,,,,,,,,,,,,,,,,,
"Distributable Reserves",-85321,20633,53864,34013,48617,60634,55888,26753,27503,35197,40270,14262,-1277,-1416,-2649,-3674,-577,-1296,-1847,-406,-451,-3220,-3891,-3119,-2687,
"Translation Reserves",-13130,-8774,-13107,-13325,-11768,-11748,-10560,-7954,-5189,4298,7199,717,623,513,410,467,798,684,773,543,420,685,714,,,
"Other Capital",925,921,975,1272,-11831,-20353,-20831,,,,,,,,,,,,,,,,,,,
"Ordinary Shareholders' Interest",796023,906328,858119,838347,854268,865998,582053,428912,400845,348409,353141,319140,289324,107078,65184,64216,43033,41542,19099,19899,19732,16864,16212,16270,6623,
"Minority Interest",,,7439,6293,2527,1030,988,1073,,,,,,,,,,,,,,,,,,
"Total Shareholders' Interest",796023,906328,865558,844640,856795,867028,583041,429985,400845,348409,353141,319140,289324,107078,65184,64216,43033,41542,19099,19899,19732,16864,16212,16270,6623,
"Interest Bearing Loans",233666,299998,312755,242267,214407,166657,141752,117948,43228,14220,14780,13985,14341,15672,17254,17465,17735,17813,18413,18457,17689,18116,17887,17575,17261,
"Deferred Tax Liability",27425,32267,26270,8516,6139,3762,4998,1653,1243,1431,1144,714,926,,,,,,,,,,,,,
"Other Long-Term Liabilities",4924,2157,2735,1806,1696,25305,1670,6227,5397,6414,6545,23176,2105,1513,1974,2523,2823,2479,1722,969,852,1521,2165,1334,726,
"Total Long-Term Liabilities",266015,334422,341760,252589,222243,195724,148420,125828,49868,22065,22469,37875,17372,17185,19228,19988,20558,20292,20135,19426,18541,19637,20052,18909,17987,
"Creditors and Provisions",17627,22603,21512,23306,15016,12319,10909,10137,8395,5218,4795,3459,1537,1708,1397,1572,2061,,10664,1318,,616,450,462,429,
"Bank Overdrafts/Short-Term Loans",211081,136255,143707,88255,28306,27929,5461,3796,1351,752,968,891,1757,638,,,500,,518,,,,467,,,
"Other Current Liabilities",2323,693,17309,29404,36122,9992,11213,1346,7145,35359,29082,,,,486,491,,,,,,,,67,1384,
"Total Current Liabilities",231031,159551,182528,140965,79444,50240,27583,15279,16891,41329,34845,4350,3294,2346,1883,2063,2561,2673,11182,1318,1049,616,917,529,1813,
"Total Liabilities",497046,493973,524288,393554,301687,245964,176003,141107,66759,63394,57314,42225,20666,19531,21111,22051,23119,22965,31317,20744,19590,20253,20969,19438,19800,
"Total Equity and Liabilities",1293069,1400301,1389846,1238194,1158482,1112992,759044,571092,467604,411803,410455,361365,309990,126609,86295,86267,66152,64507,50416,40643,39322,37117,37181,35708,26423,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","May 2011","Feb 2011","Nov 2010","Aug 2010","May 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (16m)","Interim (10m)","Final (4m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)",
,"28 Aug 2020","2 Mar 2020","5 Sep 2019","4 Mar 2019","7 Sep 2018","26 Feb 2018","7 Sep 2017","27 Feb 2017","9 Sep 2016","29 Feb 2016","14 Sep 2015","9 Mar 2015","18 Aug 2014","27 Jan 2014","31 Jul 2013","2 May 2013","7 Nov 2012","25 Apr 2012","3 Nov 2011","15 Jul 2011","4 May 2011","28 Feb 2011","30 Nov 2010","30 Aug 2010","25 May 2010",
"Exchange Rate (period end)",19.47,15.77,16.04,16.47,16.05,14.86,14.92,14.44,16.52,16.93,13.62,14.1,14.45,14.44,13.12,11.58,10.56,10.11,10.23,9.91,9.65,9.26,9.31,9.34,10.73,
"Exchange Rate (weighted average)",16.9,16.31,16.19,16.34,15.31,15.76,14.84,15.38,16.09,15,13.72,14.13,13.61,12.99,12.28,11.34,10.26,10.18,9.82,9.75,9.56,9.57,9.69,9.88,11.32,
"Number of Shares in Issue (Actual)",704493798,704494000,637493798,637493798,637493798,633915786,467366299,380583836,348625219,294455630,291787889,290602608,279483999,104158624,66238363,66238000,42798832,42154000,20173271,19762959,19763000,18027897,17351091,15290841,3420493,
"Weighted Average Shares in Issue (Actual)",677034782,649874233,637493798,637493798,577814866,520975749,398256981,372250746,306406760,292516780,287268121,283885876,183068848,73936931,66238363,43055000,42203345,35421000,19955783,19762959,18666000,18027897,17351091,15290841,3420493,
"Fully Diluted Weighted Average Shares in Issue",677034782,649874233,637493798,637493798,577877724,521231684,398256981,,,,,,,,,,,,,,,,,,,
"Market Capitalisation (R'000)",9279304,13529367,14804385,15016889,14875220,21250314,16646079,14409942,11347848,7538064,6089341,7497502,7535560,7992261,5708758,3268216,472927,463694,442968,192689,402571,179843,442196,217195,226286,
"Market Capitalisation (R'000): MAS (MSP)",9279304,13529367,14804385,15016889,14875220,21250314,16646079,14409942,11347848,9742946,6089341,7497502,7535560,7992261,5708758,3268216,731934,728622,442968,196689,402571,179843,442196,217195,226286,
"Number of Months",12,6,12,6,12,6,12,6,12,6,12,6,16,10,4,12,6,12,6,3,12,9,6,3,12,
"Number of Employees",,,,,,,,,23,,20,,,,,,,,,,,,,,,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","May 2011","Feb 2011","Nov 2010","Aug 2010","May 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (16m)","Interim (10m)","Final (4m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)",
,"28 Aug 2020","2 Mar 2020","5 Sep 2019","4 Mar 2019","7 Sep 2018","26 Feb 2018","7 Sep 2017","27 Feb 2017","9 Sep 2016","29 Feb 2016","14 Sep 2015","9 Mar 2015","18 Aug 2014","27 Jan 2014","31 Jul 2013","2 May 2013","7 Nov 2012","25 Apr 2012","3 Nov 2011","15 Jul 2011","4 May 2011","28 Feb 2011","30 Nov 2010","30 Aug 2010","25 May 2010",
"Earnings Per Share (ZARc)",-53.91,131.95,139.72,28.43,44.73,35.46,125.1,-1.69,7.89,7.05,231.46,95.24,37.56,57.16,20.35,-23.36,52.64,0.1,-27.01,1.95,134.85,-28.73,-66.87,-27.69,-889.87,
"Diluted Earnings Per Share (ZARc)",-53.91,131.95,139.72,28.43,44.73,35.46,125.1,-1.69,7.89,7.05,231.46,95.24,37.56,57.16,,-23.36,52.64,0.1,-27.01,1.95,134.85,-28.73,-66.87,,-889.87,
"Headline Earnings Per Share (Cont Ops) (ZARc)",30.08,107.32,40.8,-37.91,31.1,36.09,2.23,-5.84,25.11,16.35,199.21,120.11,33.48,57.16,20.35,7.48,52.64,-25.06,-27.01,1.95,32.5,,,,,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",30.08,107.32,40.8,-37.91,31.1,36.09,2.23,-5.84,25.11,,,,,,,,,,,,,,,,,
"Interim Dividend (ZARc)",76.55,76.55,60.17,60.17,52.36,52.36,37.42,37.42,39.31,39.31,15.18,15.18,8.58,8.58,,21.92,,,,20.92,17.9,,17.9,,,
"Final Dividend (ZARc)",,,82.53,,66.27,,50.52,,34.91,,17.03,,17.03,,,19.45,21.92,16.37,,,20.73,,,,,
"Dividend Per Share (ZARc)",76.55,76.55,142.7,60.17,118.63,52.36,87.94,37.42,74.22,39.31,32.21,15.18,25.61,8.58,,41.37,21.92,16.37,,20.92,38.63,,17.9,,,
"Other Distributions (ZARc)",,,,,,,,,,,,,,,,,,20.92,,,,,,,,
"Distributions Per Share (ZARc)",76.55,76.55,142.7,60.17,118.63,52.36,87.94,37.42,74.22,39.31,32.21,15.18,25.61,8.58,,41.37,21.92,37.29,,20.92,38.63,,17.9,,,
"Net Asset Value Per Share (ZARc)",2200.11,2028.81,2159.14,2165.81,2150.7,2029.88,1857.54,1627.39,1900.16,2002.82,1648.02,1548.18,1495.58,1484.43,1291.88,1122.1,1062.69,995.84,968.78,997.94,963.07,805.27,778.74,783.9,763.6,
"3 Year Beta",1.67,1.04,0.81,0.81,0.5,0.22,0.11,0.04,0.38,-1.07,-1.1,-1.44,-1.17,-1.03,-1.03,-0.1,,,,,,,,,,
"Cash Generated Per Share",9.31,4.85,11.21,3.96,5.55,2.09,5.24,-1.67,1.67,0.25,1.46,0.1,-0.21,0.9,0.16,2.94,0.95,2.23,50.06,-6.11,7.93,-1.89,3.14,-12.86,-9.94,
"Earnings Per Share (Base Currency)",-3.19,8.09,8.63,1.74,2.92,2.25,8.43,-0.11,0.49,0.46,16.87,6.74,2.76,4.4,1.5,-2.06,5.13,0.01,-2.75,0.2,14.1,-3,-6.9,-2.8,-78.6,
"Diluted Earnings Per Share (Base Currency)",-3.19,8.09,8.63,1.74,2.92,2.25,8.43,-0.11,0.49,0.46,16.87,6.74,2.76,4.4,,-2.06,5.13,0.01,-2.75,0.2,14.1,-3,,,-78.6,
"Headline Earnings Per Share (Cont) (Base Currency)",1.78,6.58,2.52,-2.32,2.03,2.29,0.15,-0.38,1.56,1.09,14.52,8.5,2.46,4.4,1.5,0.66,5.13,-2.46,-2.75,0.2,3.4,,,,,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",1.78,6.58,2.52,-2.32,2.03,2.29,0.15,-0.38,1.56,,,,,,,,,,,,,,,,,
"Distributions Per Share (Base Currency)",,4.24,8.75,3.78,7.61,3.58,5.85,2.66,4.5,2.27,3.35,1.15,1.84,0.6,,1.5,1.91,1.6,,2.14,2.1,,2.05,,,
"Net Asset Value Per Share (Base Currency)",113,128.65,134.6,131.5,134,136.6,124.5,112.7,115,118.3,121,109.8,103.5,102.8,98.41,96.9,100.5,98.5,94.7,100.7,99.8,86.9,83.6,83.9,71.1,
"Price at Period End (Base Currency)",67,122,130,129,131,205,158,156,123,151,117,140,137,146,116,101,104,109,101,98,99,98,113,118,109,
"JSE Market Price High (ZARc)",2149,2149,2474,2474,3375,3375,2434,2300,2700,2675,2149,2000,2200,2150,2150,1181,1130,1110,1035,975,1140,1140,1140,1140,1145,
"JSE Market Price Low (ZARc)",562,1522,1900,1900,2018,2303,1680,1680,1600,1600,1600,1730,1250,1250,1250,1015,1050,885,885,885,880,910,1049,1099,1141,
"JSE Market Price at Period End (ZARc)",1310,1910,2090,2120,2100,3000,2350,2228,2012,2560,1600,1970,1980,2100,1500,1175,1105,1100,1035,975,955,910,1049,1099,1145,
"JSE Volume Traded (Actual)",200488119,82647557,148566969,79822286,331949357,71283715,75733573,32253557,53228962,25717733,22118933,13027513,10520240,1088982,527703,2788995,126633,5382735,5243183,41086,204954,60531,15521,15504,3300,
"JSE Rand Value Traded (Actual)",3068016867,1531227264,3224657175,1723450762,8145517845,2046760890,1627482051,646969870,1151231278,530447306,416433727,246251700,203215307,17832339,8185406,30955781,1387956,52930262,51453701,398849,1907976,602469,176874,176696,37781,
"12 Month HEPS",30.08,186.03,40.8,-42.9,31.1,44.16,2.23,2.92,25.11,95.45,199.21,132.66,25.11,58.4,25.33,7.48,54.59,-25.06,72.36,44.02,32.5,-56.42,2012.37,-695.09,-889.87,
"12 Month Dividend",76.54,219.24,142.7,118.63,102.87,87.93,72.32,72.32,74.21,73.03,48.91,32.21,25.61,28.02,41.37,41.37,38.3,16.37,41.65,59.55,41.43,17.89,17.89,,,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","May 2011","Feb 2011","Nov 2010","Aug 2010","May 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (16m)","Interim (10m)","Final (4m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)",
,"28 Aug 2020","2 Mar 2020","5 Sep 2019","4 Mar 2019","7 Sep 2018","26 Feb 2018","7 Sep 2017","27 Feb 2017","9 Sep 2016","29 Feb 2016","14 Sep 2015","9 Mar 2015","18 Aug 2014","27 Jan 2014","31 Jul 2013","2 May 2013","7 Nov 2012","25 Apr 2012","3 Nov 2011","15 Jul 2011","4 May 2011","28 Feb 2011","30 Nov 2010","30 Aug 2010","25 May 2010",
"Cash generated by operations",52495,31445,55708,21649,34901,,20478,,6200,,4633,,,,,,,,,,,,,,,
"Working capital changes",,,2303,,317,,5078,,-3235,,,,,,,,,,,,,,,,,
"Cash generated from operations after WC",,,,,,13493,2556,-6167,,,,,,,,,,,,,,,,,,
"Net Cash flow from operating activities",65583,34155,71453,25218,35387,13278,24490,-6358,5809,743,4262,300,-575,938,103,1947,406,938,10098,-1207,1568,-340,544,-1966,-340,
"Net cash flow from investing activities",3345,21933,-194220,-164993,-265445,-177282,-291469,-127772,-56998,-10385,-163395,-133321,3564,-46933,-2671,-5755,-4031,-22206,-4062,-4497,-3337,-4591,-4505,,-24020,
"Net cash flow from financing activities",88494,-62510,46572,44640,345673,318682,252702,108236,58824,-3887,-6093,-3530,177210,39626,-345,22673,-1380,20399,-1035,-284,7409,8499,8241,10079,25868,
"Dividends paid",-65004,-31683,51719,-26893,-25096,-6958,-5203,-352,-7239,,-3721,,,,,,,,,,,,,,,
"Net increase(decrease) in cash & cash equivalents",-19566,-6422,-76195,-95134,115614,154677,-14278,-25894,7635,-13529,-165226,-136552,180198,-6369,,5743,852,6612,11470,-5988,6612,3568,3509,8114,1528,
"Cash & Cash Equivalent beginning of period",71155,71155,147826,147826,33018,33018,47998,47998,45112,,205800,,,,,,,,,,,,,,,
"Translation effects on cash & cash equivalents",-185,358,-476,167,-806,-353,-703,-1309,-4749,,4538,,,,,,,,,,,,,,,
"Cash & Cash Equivalent end of period",51404,65091,71155,52858,147826,187342,33018,20795,47998,,45112,,,,,,,,,,,,,,,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","May 2011","Feb 2011","Nov 2010","Aug 2010","May 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (16m)","Interim (10m)","Final (4m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)",
,"28 Aug 2020","2 Mar 2020","5 Sep 2019","4 Mar 2019","7 Sep 2018","26 Feb 2018","7 Sep 2017","27 Feb 2017","9 Sep 2016","29 Feb 2016","14 Sep 2015","9 Mar 2015","18 Aug 2014","27 Jan 2014","31 Jul 2013","2 May 2013","7 Nov 2012","25 Apr 2012","3 Nov 2011","15 Jul 2011","4 May 2011","28 Feb 2011","30 Nov 2010","30 Aug 2010","25 May 2010",
"Return on Capital Employed",-1.9,8.7,5.13,2.93,1.79,2.27,4.73,0.24,0.33,0.73,12.91,10.71,1.24,3.14,3.64,-1.05,6.81,,-2.8,0.47,6.87,0.56,-2.7,-4.92,-10.92,
"Return on Shareholder Funds",-2.54,11.92,7.15,3.8,2.26,2.79,5.93,0.31,0.37,0.77,13.73,11.99,1.31,3.64,4.72,-1.38,10.07,,-5.75,0.92,13.33,1.2,-6.04,-10.65,-40.59,
"Return on Total Assets",4.33,5.4,4.62,5.47,3.9,2.86,2.63,2.69,1.99,1.39,0.8,-0.05,0.15,1.19,3.75,-0.8,6.86,0.06,-2.18,0.45,6.7,-1.65,-6.07,-4.85,-10.17,
"Operating Profit Margin",67.98,87.73,74.21,97.74,102.29,66.27,74.74,73.33,64.92,40.27,41.37,1.71,24.53,48.7,,,,,,,,,,,,
"Net Profit Margin",-32.34,156.7,95.51,42.41,45.01,61.68,124.25,-3.6,10.55,20.45,555.01,728.57,96.44,94.26,,,,,,,,,,,,
"Debt:Equity (excl non-int debt)",0.6,0.52,0.56,0.4,0.29,0.26,0.26,0.3,0.13,0.07,0.07,0.12,0.07,0.17,0.29,0.31,0.49,0.49,1.08,0.98,0.94,1.16,1.27,1.16,2.72,
"Interest Bearing Debt as % of Long-Term Finance",22.69,24.87,26.54,22.29,20.02,16.12,19.56,21.53,9.73,3.92,4.02,4.2,4.72,12.77,20.93,21.38,29.18,30.01,49.09,48.12,47.27,51.79,52.46,51.93,72.27,
"Interest Cover",-32.72,210.66,-34.55,-10.13,-8.37,-6.85,39.88,2.42,7.19,-131.73,85.33,140.93,10.23,8.72,6.51,0.07,6.3,0.05,-0.61,1.28,4.84,0.11,-2.23,-1.21,-53.86,
"Interest Cover: NOT APPLICABLE",-32.72,,,,,,,,,,,,,,,,,,,,,,,,,
"Quick Ratio",2.29,2.25,1.54,1.89,3.05,4.95,1.74,3.38,6.77,2.24,3.43,24.22,63.17,8.48,13.36,12.47,0.84,3.77,1.38,6.08,8.69,9.59,9.88,19.69,0.91,
"Current Ratio",2.29,2.25,1.57,1.91,3.06,4.95,1.74,3.38,6.77,2.24,3.43,24.22,63.17,8.48,13.36,12.47,0.84,3.77,1.38,6.08,8.69,9.59,9.88,19.69,0.91,
"Dividend Cover",-0.7,1.72,0.98,0.47,0.38,0.68,1.42,-0.05,0.11,0.18,7.19,6.27,1.47,6.66,,-0.56,2.4,,,0.09,3.49,,-3.74,,,
"Dividend Cover (HEPS)",0.39,1.4,0.29,-0.63,0.26,0.69,0.03,-0.16,0.34,0.42,6.18,7.91,1.31,6.66,,0.18,2.4,-0.67,,0.09,0.84,,,,,
"Debtors Collection Period",112.99,118.45,109.63,159.54,157.37,73.96,117.57,451.44,289.45,141.85,189.23,149.34,210.55,109.68,,,,,,,,,,,,
"Price : Earnings",43.55,10.27,51.23,-49.42,67.52,67.93,1053.81,763.01,80.13,26.82,8.03,14.85,78.85,35.95,59.2,157.09,20.24,-43.89,14.3,22.15,29.38,-16.13,0.52,-1.58,-1.29,
"Sales Per Share (Base Currency)",9.87,10.32,9.04,8.2,6.48,7.28,6.79,5.95,4.64,4.5,3.04,1.85,2.15,5.6,,,,,,,,,,,,
"Price/Sales Per Share",6.8,11.79,14.43,15.69,20.19,28.16,23.22,26.21,26.59,33.56,38.34,75.74,63.73,26.12,,,,,,,,,,,,
"Price/Net Asset Value",0.59,0.95,0.97,0.98,0.98,1.5,1.27,1.38,1.07,1.28,0.96,1.28,1.32,1.42,1.18,1.05,1.03,1.11,1.07,0.97,0.99,1.12,1.35,1.4,1.53,
"Price/Cash Flow",7.21,50.16,11.64,65,23.57,196.2,30.09,-186.72,73.87,1208,79.82,2802.22,-489.35,195.04,2170.19,34.47,218.95,48.88,4.05,-64.16,12.51,-68.8,71.9,-36.63,-10.97,
"NAV%Price",167.95,106.22,103.31,102.16,102.41,67.66,79.04,73.04,94.44,78.24,103,78.59,75.53,70.69,86.13,95.5,96.17,90.53,93.6,102.35,100.85,88.49,74.24,71.33,66.69,
