Share/unit data,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"19 Nov 2020","26 May 2020","20 Dec 2019","1 Apr 2019","12 Nov 2018","15 May 2018",
"Number of Shares in Issue (Actual)",344123944,344124000,344125194,344125194,344125194,346511621,
"Weighted Average Shares in Issue (Actual)",344124000,344124000,344124000,344124000,305700253,268269657,
"Market Capitalisation (R'000)",1789445,688248,2749560,6091016,10323756,12127907,
"Number of Months",12,6,12,6,12,6,
"Number of Employees",,,1244,,1079,,

Share statistics,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"19 Nov 2020","26 May 2020","20 Dec 2019","1 Apr 2019","12 Nov 2018","15 May 2018",
"Earnings Per Share (ZARc)",6.2,35.7,43.76,28.61,47.2,15.29,
"Diluted Earnings Per Share (ZARc)",,35.7,43.76,28.61,47.2,,
"Headline Earnings Per Share (Cont Ops) (ZARc)",8.02,35.81,43.4,28.56,48.32,15.06,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",,35.81,43.4,,48.32,,
"Interim Dividend (ZARc)",35,35,35,35,,,
"Final Dividend (ZARc)",65,,16,,30,,
"Dividend Per Share (ZARc)",100,35,51,35,30,,
"Distributions Per Share (ZARc)",100,35,51,35,30,,
"Net Asset Value Per Share (ZARc)",1213.94,1277.56,1299,1287.06,1292.75,1256.25,
"Cash Generated Per Share",35.23,-13.28,33.15,12.75,44.78,4.58,
"Net Asset Value Per Share (Base Currency)",1213.94,1277.56,1299,1287.06,1292.75,1256.25,
"Price at Period End (Base Currency)",520,200,799,1770,3000,3500,
"JSE Market Price High (ZARc)",940,799,3000,3000,4500,4500,
"JSE Market Price Low (ZARc)",92,92,555,1625,1404,2501,
"JSE Market Price at Period End (ZARc)",520,200,799,1770,3000,3500,
"JSE Volume Traded (Actual)",218033,140793,507666,273696,840718,541592,
"JSE Rand Value Traded (Actual)",1026110,654028,8329680,6261987,33137846,23205428,
"12 Month HEPS",8.02,50.65,43.4,52.72,48.32,30.12,
"12 Month Dividend",100,51,51,65,30,30,

Cash flow items,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"19 Nov 2020","26 May 2020","20 Dec 2019","1 Apr 2019","12 Nov 2018","15 May 2018",
"Cash generated by operations",,,,,3521,,
"Working capital changes",,,,,-62451,,
"Cash generated from operations after WC",27931,-113374,-50320,-40746,-58930,,
"Net Cash flow from operating activities",121245,-45715,114085,43882,154092,15873,
"Net cash flow from investing activities",-272783,-114552,-514472,-641102,-71029,-53640,
"Net cash flow from financing activities",-305824,-182508,-224145,-92719,4166193,4205738,
"Dividends paid",-171415,-46633,-223629,-89686,-17646,-12596,
"Net increase(decrease) in cash & cash equivalents",-457362,-342776,-624532,-689939,4232522,4167971,
"Cash & Cash Equivalent beginning of period",3679109,3679110,4303642,4303642,71120,71120,
"Cash & Cash Equivalent acquired/disposed",3221747,3336334,3679110,3613703,4303642,4239091,

Ratios,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"19 Nov 2020","26 May 2020","20 Dec 2019","1 Apr 2019","12 Nov 2018","15 May 2018",
"Return on Capital Employed",0.76,5.43,4.01,4.8,3.31,2.32,
"Return on Shareholder Funds",0.76,5.51,4.07,4.9,3.31,2.32,
"Return on Total Assets",2.17,6.57,5.55,6.58,4.76,3.45,
"Gross Profit Margin",21.67,23.2,28.54,26.1,30.98,35.8,
"Operating Profit Margin",-4.9,1.49,-1.91,1.32,-0.88,4.54,
"Net Profit Margin",0.74,9.12,7.69,14.27,22.58,11.72,
"Debt:Equity (excl non-int debt)",0.01,0.02,0.01,0.02,,,
"Interest Bearing Debt as % of Long-Term Finance",,,0.06,,0.01,,
"Interest Cover",0.63,-0.15,0.12,-0.06,0.13,-0.26,
"Quick Ratio",6.11,8.03,7.21,7.77,22.75,23.63,
"Current Ratio",6.32,8.35,7.51,8,22.81,23.69,
"Dividend Cover",0.06,1.02,0.86,0.82,1.57,,
"Dividend Cover (HEPS)",0.08,1.02,0.85,0.82,1.61,,
"Debtors Collection Period",87.66,85.25,108.89,134.07,104.67,91.52,
"Stock Turn",15.87,12.59,7.82,7.42,35.62,38.13,
"Price : Earnings",64.84,3.95,18.41,33.57,62.09,116.2,
"Sales Per Share (Base Currency)",838.42,782.89,569.36,401,208.99,259.94,
"Price/Sales Per Share",0.62,0.26,1.4,4.41,14.35,13.46,
"Price/Net Asset Value",0.43,0.16,0.62,1.38,2.32,2.79,
"Price/Cash Flow",14.76,-30.11,24.1,277.65,67,1528.12,
"NAV%Price",233.45,638.78,162.58,72.72,43.09,35.89,
"Liquidity%",17.5,-16.26,17.32,12.95,76.23,16.53,
"Cash Flow:Attributable Profit",5.68,-0.74,0.76,0.89,0.92,0.78,
"Cash/Equity (%)",75.07,74.11,82.32,79.38,96.41,96.91,
"EV/Ebitda (Pd)",,-15.14,-3.14,16.91,31.15,114.26,
"PEG Ratio",-1.41,-0.39,-1.81,,,,

