"Number of Shares in Issue (Actual)",1995000000,1984000000,1980000000,1975000000,1975000000,1971000000,1970000000,1717000000,1641000000,1607000000,
"Weighted Average Shares in Issue (Actual)",1995000000,1984000000,1980000000,1975000000,1975000000,1971000000,1970000000,1717000000,1641000000,1638000000,
"Fully Diluted Weighted Average Shares in Issue",2034000000,2026000000,2011000000,2011000000,2012000000,2010000000,2009000000,1755000000,1673000000,1668000000,
"Market Capitalisation (R'000)",1701735000,2292095360,2466644400,1888040750,2740312500,2698890300,2846650000,2501308430,3126613710,,
"Number of Months",6,12,6,12,6,12,6,12,6,12,
"Number of Employees",,,,172603,,182915,,206633,,152321,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Jul 2020","27 Feb 2020","25 Jul 2019","28 Feb 2019","26 Jul 2018","1 Mar 2018","27 Jul 2017","2 Mar 2017","29 Jul 2016","25 Feb 2016",
"Earnings Per Share (ZARc)",-1582.7,6708.2,4339.08,2896.31,1818,5415.55,1966.92,1009.44,261.97,6433.7,
"Diluted Earnings Per Share (ZARc)",-1582.7,6577.56,4268.18,2843.89,1781.64,5308.84,1927.05,995.42,261.97,6319.04,
"Headline Earnings Per Share (Cont Ops) (ZARc)",-982.94,3708.2,4324.9,2883.21,1805.88,5375.54,1980.21,813.16,261.97,6204.38,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",-982.94,6577.56,4268.18,2830.78,1769.52,5282.17,1940.34,799.14,246.56,6089.72,
"Interim Dividend (ZARc)",,1309.4,1309.4,1250.22,1250.22,2716.72,2716.72,2444.56,2444.56,,
"Final Dividend (ZARc)",,946.59,,1622.75,,2995.6,,2902.2,,3356.6,
"Dividend Per Share (ZARc)",,2255.99,1309.4,2872.97,1250.22,5712.32,2716.72,5346.76,2444.56,3356.6,
"Distributions Per Share (ZARc)",,2255.99,1309.4,2872.97,1250.22,5712.32,2716.72,5346.76,2444.56,3356.6,
"Net Asset Value Per Share (ZARc)",52176.82,53585.49,50262.7,46918.91,47766.2,45463.03,48168.46,56963.13,30709.52,39829.55,
"3 Year Beta",0.88,0.84,1.11,,,,,,,,
"Cash Generated Per Share",56.09,675.2,247.27,718.03,173.42,782.85,203.96,588.82,149.48,878.72,
"Earnings Per Share (Base Currency)",-95,462,306,221,150,406,148,72,17,505,
"Diluted Earnings Per Share (Base Currency)",-95,453,301,217,147,398,145,71,17,496,
"Headline Earnings Per Share (Cont) (Base Currency)",-59,462,305,220,149,403,149,58,17,487,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",-59,453,301,216,146,396,146,57,16,478,
"Distributions Per Share (Base Currency)",,130,80,180,80,360,160,200,160,200,
"Net Asset Value Per Share (Base Currency)",3010.78,3816.63,3547.12,3265.06,3468.86,3682.65,3691.07,4154.86,2065.2,2622.09,
"Price at Period End (Base Currency)",4913,8250,8843,6633,10095,11065,11102,10708,12962,,
"JSE Market Price High (ZARc)",119774,151318,130593,148714,145735,173778,163850,210800,210800,,
"JSE Market Price Low (ZARc)",57267,93001,93001,94584,115771,136502,136502,138000,170709,,
"JSE Market Price at Period End (ZARc)",85300,115529,124578,95597,138750,136930,144500,145679,190531,,
"JSE Volume Traded (Actual)",37406961,48342695,22712642,29552424,15325916,23364612,10606145,33222548,17797278,,
"JSE Rand Value Traded (Actual)",32327702429,59815604764,26136754626,37337223869,19780632608,35969519383,15673505691,59249741688,33625679376,,
"12 Month HEPS",-1599.64,3708.2,5402.23,2883.21,5201.21,5375.54,2531.4,813.16,6466.35,6204.38,
"12 Month Dividend",946.58,2255.98,2932.15,2872.97,4245.82,5712.32,5602.72,5346.75,5801.16,3356.6,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Jul 2020","27 Feb 2020","25 Jul 2019","28 Feb 2019","26 Jul 2018","1 Mar 2018","27 Jul 2017","2 Mar 2017","29 Jul 2016","25 Feb 2016",
"Cash generated by operations",7420,21019,10385,21227,10612,21667,9979,16341,7393,16726,
"Working capital changes",-3027,-720,-1336,-10,-2580,,-2352,173,-1673,,
"Cash generated from operations after WC",4393,20299,8575,21217,8032,21270,7338,16044,,18063,
"Net Cash flow from operating activities",1119,13396,4896,14181,3425,15430,4018,10110,2453,14121,
"Net cash flow from investing activities",9067,-5073,-1755,-3857,-1250,7854,6114,-60077,-58299,-4930,
"Net cash flow from financing activities",8231,-8512,-1998,-14327,-4843,-21004,-10075,50731,54947,-9281,
"Dividends paid",-1219,-5015,-2389,-7761,-5132,-9275,,-8450,,,
"Net increase(decrease) in cash & cash equivalents",18416,350,1144,-3248,-2668,2280,57,764,-899,-90,
"Cash & Cash Equivalent beginning of period",7169,6960,6960,10356,10355,8395,8395,6910,,8316,
"Translation effects on cash & cash equivalents",-720,-141,-29,-148,211,-319,-1303,721,,-1316,
"Cash & Cash Equivalent end of period",24865,7169,8075,6960,7898,10356,7149,8395,,6910,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Jul 2020","27 Feb 2020","25 Jul 2019","28 Feb 2019","26 Jul 2018","1 Mar 2018","27 Jul 2017","2 Mar 2017","29 Jul 2016","25 Feb 2016",
"Return on Capital Employed",-1.74,5.16,6.4,2.86,3.47,4.37,3.35,1.28,1.06,9.29,
"Return on Shareholder Funds",-4.94,12.32,16.4,7.91,9.5,11.45,8.62,3.4,4.39,21.58,
"Return on Total Assets",2.65,19.82,23.95,15.13,20.63,19.84,15.08,5.71,3.75,31.23,
"Gross Profit Margin",57.29,61.09,61.45,62.11,62.47,62.11,60.62,60.89,60.4,60.7,
"Operating Profit Margin",23.96,31.38,31.68,32.09,31.32,30.39,29.73,28.3,29.27,31.89,
"Net Profit Margin",-8.92,17.53,22.53,8.2,10.91,14.17,10.73,2.73,1.41,18.97,
"Debt:Equity (excl non-int debt)",1.94,1.45,1.7,1.83,1.82,1.71,1.71,1.76,3.33,1.45,
"Interest Bearing Debt as % of Long-Term Finance",60.81,53.57,56.55,59.81,59.49,57.59,56.47,58.32,72.81,48.78,
"Interest Cover",0.22,4.64,6.78,1.86,2.71,2.83,2.33,1.5,1.4,9.57,
"Quick Ratio",1.03,0.7,0.41,0.4,0.53,0.55,0.71,0.97,2.01,0.54,
"Current Ratio",1.17,0.83,0.54,0.52,0.67,0.66,0.82,1.07,2.11,0.64,
"Dividend Cover",,2.97,3.31,1.01,1.45,0.95,0.72,0.19,0.11,1.92,
"Dividend Cover (HEPS)",,1.64,3.3,1,1.44,0.94,0.73,0.15,0.11,1.85,
"Debtors Collection Period",45.21,43.15,46.26,43.65,44.07,42.46,41.85,50.94,59.01,37.26,
"Stock Turn",4.19,4.6,4.27,4.71,4.84,5.19,4.99,4.58,4.88,5.99,
"Price : Earnings",-53.32,31.16,23.06,33.16,26.68,25.47,57.08,179.15,29.46,,
"Sales Per Share (Base Currency)",2135.14,2637.55,2608.38,2698.94,2742.99,2863.72,2751.68,2650.96,2462.64,2662.03,
"Price/Sales Per Share",2.3,3.13,3.39,2.46,3.68,3.86,4.03,4.04,5.26,,
"Price/Net Asset Value",1.63,2.16,2.49,2.03,2.91,3,3.01,2.58,6.28,,
"Price/Cash Flow",175.17,12.22,71.52,9.24,116.43,14.13,108.86,18.19,173.43,,
"NAV%Price",61.17,46.38,40.35,49.08,34.43,33.2,33.33,39.1,16.12,,
"Liquidity%",1.42,8.81,6.15,8.75,4.23,9.3,4.77,5.77,3.2,15.88,
"Cash Flow:Attributable Profit",9.82,1.48,2.07,3.13,1.88,1.78,2.54,8.47,11.52,1.71,
"Cash/Equity (%)",36.6,8.56,10.47,9.84,10.55,13.05,8.88,,,,
"EV/Ebitda (Pd)",,,,127.51,,,,,,,
"PEG Ratio",-0.47,0.27,0.16,0.23,0.11,0.11,-0.66,-2.06,,,

