"Price at Period End (Base Currency)",2950,1570,1840,2105,4960,7641,7400,5761,5500,
"JSE Market Price High (ZARc)",3400,2112,2112,12600,12600,7750,7501,6200,5610,
"JSE Market Price Low (ZARc)",1560,1500,1500,1850,4950,5761,5761,5000,5000,
"JSE Market Price at Period End (ZARc)",2950,1570,1840,2105,4960,7641,7400,5761,5500,
"JSE Volume Traded (Actual)",289181,1157117,682337,2428573,717845,893824,657718,301933,73459,
"JSE Rand Value Traded (Actual)",7425227,21083657,12588697,110157917,62224148,61302772,44174722,16617559,3954792,
"12 Month HEPS",1317,1445,-2523,-2517,3553,3464,3393.2,2012.1,217.8,
"12 Month Dividend",195,196,189,189,112,100,100,112,112,

Cash flow items,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"25 Nov 2020","25 May 2020","25 Nov 2019","10 Jun 2019","19 Nov 2018","14 May 2018","13 Nov 2017","15 May 2017","21 Nov 2016",
"Cash generated by operations",,,,,-119086,17732,11651,,9313,
"Cash generated from operations after WC",455475,943726,449244,419840,,,,13015,,
"Net Cash flow from operating activities",410817,843034,408188,-2915717,-3274719,-2230,-7378,-1919,-5494,
"Net cash flow from investing activities",313,888,492,-7331060,-7332075,876,434,931,437,
"Net cash flow from financing activities",-410977,-843993,-408861,10246543,10606688,1209,7035,1386,5322,
"Dividends paid",-44597,-100410,-40892,-3335109,-3155511,-16518,-16149,-14669,-14664,
"Net increase(decrease) in cash & cash equivalents",153,-71,-181,-234,-106,-145,91,398,265,
"Cash & Cash Equivalent beginning of period",3724,3795,3795,4029,4029,4174,4174,3776,3776,
"Cash & Cash Equivalent end of period",3877,3724,3614,3795,3923,4029,4265,4174,4041,

Ratios,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"25 Nov 2020","25 May 2020","25 Nov 2019","10 Jun 2019","19 Nov 2018","14 May 2018","13 Nov 2017","15 May 2017","21 Nov 2016",
"Return on Capital Employed",10.82,5.71,12.15,-7.04,4.06,21.91,22.44,17.52,2.41,
"Return on Shareholder Funds",47.85,30.89,63.96,-49.61,19.14,26.94,27.39,21.17,2.86,
"Return on Total Assets",2.95,2.01,1.51,0.06,-1.23,0.76,1.17,0.98,1.5,
"Operating Profit Margin",98.15,98.27,97.96,91.24,-764.57,82.08,82.04,78.45,78.65,
"Net Profit Margin",164.93,79.54,181.78,-197.3,8966.86,2483.62,1627.9,1489.59,131.33,
"Debt:Equity (excl non-int debt)",3.42,4.41,4.26,6.05,3.71,0.23,0.22,0.21,0.19,
"Interest Bearing Debt as % of Long-Term Finance",74.98,79.72,79.08,84.54,76.45,,,,,
"Interest Cover",4.76,2.34,4.02,0.33,21.15,-732.81,-638.39,-395.27,-45.72,
"Quick Ratio",4.14,1.97,2.09,2.2,1.18,435.65,356.35,4.72,2.25,
"Current Ratio",4.14,1.97,2.09,2.2,1.18,435.65,356.35,4.72,2.25,
"Dividend Cover",13.02,7.37,14.04,-13.32,14.1,34.64,,17.97,,
"Dividend Cover (HEPS)",13.02,7.37,14.04,-13.32,14.1,34.64,,17.97,,
"Debtors Collection Period",7.27,2.28,4.39,8.26,1723.92,320.11,164.74,365.51,218.66,
"Price : Earnings",2.24,1.09,-0.73,-0.84,1.4,2.21,2.18,2.86,25.25,
"Sales Per Share (Base Currency)",1751.9,1816.82,1730.31,1275.81,35.22,139.46,183.06,135.08,165.78,
"Price/Sales Per Share",1.68,0.86,1.06,1.65,140.83,54.79,40.42,42.65,33.18,
"Price/Net Asset Value",0.49,0.34,0.37,0.41,0.3,0.88,0.68,0.85,0.72,
"Price/Cash Flow",7.6,0.99,4.77,-0.26,-0.56,-493.29,-288.78,-432.18,-288.18,
"NAV%Price",204.71,297.98,267.28,241.04,332.56,113.82,147.04,117.5,138.18,
"Liquidity%",7.51,7.72,7.35,-26.61,-57.52,-0.52,-4.21,-0.66,-5.06,
"Cash Flow:Attributable Profit",17.1,6.69,-7.6,4.73,6.04,0.02,0.29,0.03,-2.17,
"Cash/Equity (%)",0.13,0.16,0.15,0.23,0.14,0.23,0.29,0.32,,
"EV/Ebitda (Pd)",,6.66,7.78,78.48,8.02,,,,,
"PEG Ratio",,0.06,,0.02,0.02,0.03,,,,

