"JSE Rand Value Traded (Actual)",,,241452,65241,376752,287215,2104937,963855,1370738,1113805,1495343,
"12 Month HEPS",-3.1,-1.51,-4.75,-3.89,-2.03,-0.89,-1.35,-1.87,-2.48,-2.61,-1.38,

Cash flow items,"Feb 2016","Feb 2015","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Final (12m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 May 2017","23 May 2017","28 Nov 2014","2 Dec 2013","31 May 2013","28 Nov 2012","1 Jun 2012","28 Oct 2011","31 May 2011","30 Nov 2010","30 Jun 2010",
"Cash generated by operations",-8111,-4060,-2998,,4279,,,,,,,
"Net Cash flow from operating activities",-8108,-4068,-3082,-2923,3725,-335,-155,69,-940,-1098,2083,
"Net cash flow from investing activities",-268,-1419,-169,-107,-473,-187,-455,-359,-3274,-2343,-736,
"Net cash flow from financing activities",7656,5097,-64,-37,-89,459,-209,320,-3980,-3426,-7029,
"Net increase(decrease) in cash & cash equivalents",-719,-389,-3315,-3067,3163,-63,-819,30,-8194,-6867,-5682,
"Cash & Cash Equivalent beginning of period",859,1248,4563,,1401,,,,,,,
"Cash & Cash Equivalent end of period",140,859,1248,,4563,,,,,,,

Ratios,"Feb 2016","Feb 2015","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Final (12m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 May 2017","23 May 2017","28 Nov 2014","2 Dec 2013","31 May 2013","28 Nov 2012","1 Jun 2012","28 Oct 2011","31 May 2011","30 Nov 2010","30 Jun 2010",
"Return on Capital Employed",115.26,72.27,46.71,57.44,48.31,-75.35,-51.83,-40.64,-96.81,-60.07,-43.82,
"Return on Shareholder Funds",33.57,17.3,46.65,55.99,47.02,38.18,46.09,56,216.4,-1316.75,-247.34,
"Return on Total Assets",-222.88,-79.5,-211.39,-111.3,-50.83,-25.82,107.79,-26.81,-62.28,-49.9,-35.85,
"Gross Profit Margin",57.95,57.59,55.18,,62.25,,,,,,,
"Operating Profit Margin",-46.43,-21.1,-48.76,-37.31,-9.44,-4.11,70.33,-7.45,-31.24,-31.95,-18.51,
"Net Profit Margin",-83.64,-28.22,-65.07,-52.41,-22.1,-11.66,-12.04,-11.73,-30.86,-30.59,-17.61,
"Debt:Equity (excl non-int debt)",-0.83,-0.81,-0.62,-0.03,-1.15,-1.51,-1.89,-2.38,-3.24,20.92,4.64,
"Interest Bearing Debt as % of Long-Term Finance",-243.35,-317.74,-0.15,,-0.41,,212.45,,144.74,,81.97,
"Interest Cover",-1.25,-2.23,-3.26,-2.66,-1.06,-0.53,7.88,-0.86,-3.77,-3.81,-7.39,
"Quick Ratio",0.23,0.29,0.12,0.23,0.29,1.16,1.07,1.06,1.12,1.35,2.01,
"Current Ratio",0.23,0.29,0.12,0.23,0.29,1.16,1.07,1.06,1.12,1.35,2.01,
"Debtors Collection Period",94.96,73.6,60.08,,51.57,,,,,,,
"Price : Earnings",-0.32,-0.66,-0.21,-0.51,-0.49,-2.25,-0.74,-1.07,-1.21,-1.15,-5.07,
"Sales Per Share (Base Currency)",3.7,4.58,7.32,8.09,11.59,13.47,12.74,11.63,12.3,11.11,18.57,
"Price/Sales Per Share",0.27,0.22,0.14,0.25,0.09,0.15,0.08,0.17,0.24,0.27,0.38,
"Price/Net Asset Value",-0.11,-0.16,-0.1,-0.26,-0.18,-0.49,-0.3,-0.83,-1.71,11.54,5.35,
"Price/Cash Flow",-0.61,-1.04,-1.27,-5.33,1.05,-44.44,-25,226.16,-12.5,-21.32,13.11,
"NAV%Price",-925,-645,-1022,-378.5,-545,-203.76,-333,-120.6,-58.33,8.67,18.7,
"Liquidity%",-15.41,-10.18,-6.42,-13.39,9.92,-1.69,-0.38,0.38,-2.55,-6.52,5.64,
"Cash Flow:Attributable Profit",0.54,0.75,0.17,0.71,-0.38,0.22,0.03,-0.05,0.06,0.33,-0.16,
"Cash/Equity (%)",-0.31,-2.74,-3.16,,-21.67,,,,,,,
"PEG Ratio",0.01,0.02,,-0.02,-0.02,-0.05,-0.02,-0.03,-0.03,-0.01,-0.05,

