"Net cash flow from investing activities",-5551,-3062,-8077,-4870,-15510,-8887,
"Net cash flow from financing activities",14020,12277,15453,8619,23491,13653,
"Net increase(decrease) in cash & cash equivalents",189,3838,-3329,-2764,1414,1171,
"Cash & Cash Equivalent beginning of period",1395,1395,4811,4811,3412,3405,
"Translation effects on cash & cash equivalents",-362,-13,-87,-13,-15,,
"Cash & Cash Equivalent end of period",1222,5220,1395,2034,4811,4576,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"22 Sep 2020","11 Mar 2020","25 Sep 2019","7 Mar 2019","27 Sep 2018","16 Mar 2018",
"Return on Capital Employed",-33,-16.58,-29.9,-27.01,-34.35,-35.77,
"Return on Shareholder Funds",-34.01,-17.13,-33.76,-30.07,-39.84,-58.3,
"Return on Total Assets",-28.31,-13.12,-22.49,-20.63,-21.42,-28.4,
"Debt:Equity (excl non-int debt)",0.18,0.13,0.25,0.13,0.47,0.63,
"Interest Bearing Debt as % of Long-Term Finance",,,5.2,4.85,6.55,9.22,
"Interest Cover",32.06,-40.6,-6.01,-6.16,-3.88,-3.44,
"Quick Ratio",0.16,0.84,0.18,0.36,0.54,1.34,
"Current Ratio",0.16,0.84,0.18,0.36,0.54,1.34,
"Price : Earnings",-3.9,-5.44,-5.58,-5.22,-6.08,-4.17,
"Price/Net Asset Value",1.05,0.88,2,1.76,3.01,3.16,
"Price/Cash Flow",-7.26,-20.35,-5.23,-15,-8.07,-22.36,
"NAV%Price",52,113.67,50.1,57.43,33.2,31.67,
"Liquidity%",-75.29,-118.11,-67.11,-106.42,-34.78,-48.9,
"Cash Flow:Attributable Profit",0.47,2.36,1.1,3.2,0.79,1.69,
"Cash/Equity (%)",2.23,8.67,4.38,6.42,21.91,30.15,
"EV/Ebitda (Pd)",,-166.17,-81.42,-140.1,-157.76,,
"PEG Ratio",-25.55,-0.19,-0.19,,,,

