"Pre-Tax Profit",264.2,350.3,140.2,-410.7,-498.4,152.4,121.7,365.8,189.3,-137.5,4.5,53,56.9,89,32.1,138.5,-2,57.7,82.8,51.9,30.9,-6472,-6840.1,473,-105.1,-1145.4,1040.3,1103.4,6594.2,1882.1,3608.7,1578.8,3777.3,4550.7,13222.4,3686.3,4985.4,2615.9,2204.9,4844.2,91.5,1772.9,1952.1,7155.7,910.5,
"Taxation",103.4,175.6,61.5,-65.9,-129.2,173.2,62.4,192.1,68.1,126,247.1,34.3,42.5,86.8,44.3,118.1,22,37.8,58.3,29.6,28.7,-315.4,-1525.4,386.7,823.1,89.7,733.4,641.6,3739.9,811.5,2286.9,669.8,1617.1,1841.5,5416.1,1527.3,2047.3,1102.7,780,2913.2,652.5,849,864.5,2881.2,430,
"Taxation: Royalties paid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.5,1081,304.5,401,236.4,,647.4,,217.5,220.8,543,,
"Taxation: Tax- Deferred",,,,,,,,,,,,,,,,,,,,,,-1864,,-69.8,26.5,-46.2,,-154.7,983.1,119.7,1018.2,78.6,,276,1183.6,381.8,525.8,345.6,180.2,,,172.3,304.1,1107.1,274.6,
"Taxation: Tax- normal",,,,,,,,,,,,,,,,,,,,,,1548.6,,456.5,796.6,135.9,,796.3,2756.8,691.8,1268.7,591.2,,1190,3151.5,841,1120.5,520.7,599.8,1633.9,679.7,459.2,339.6,1231.1,155.4,
"Taxation: Tax: Deferred",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631.9,-119.1,,,,,
"Profit For The Period",160.8,174.7,78.7,-344.8,-369.2,-20.8,59.3,173.7,121.2,-263.5,-242.6,18.7,14.4,2.2,-12.2,20.4,-24,19.9,24.5,22.3,2.2,-6156.6,-5314.7,86.3,-928.2,-1235.1,306.9,461.8,2854.3,1070.6,1321.8,909,2160.2,2709.2,7806.3,2159,2938.1,1513.2,1424.9,1931,-561,923.9,1087.6,4274.5,480.5,
"Income Attributable To Minority Interests",5.3,13.1,8.2,3.4,-2.6,11,5.6,10.9,5.9,-5.6,-0.5,0.7,2.7,4.4,1.7,7.6,1.5,0.8,5.3,2.8,2.5,-137.1,-165.8,23.3,5.5,-65.7,71.2,87.1,263.4,73.1,103.2,71.7,31.5,104.3,779.6,104.4,570.9,246.4,324.5,791.7,216.2,223,187.7,643.1,164.8,
"Attributable Income Before Extraordinary Items",155.5,161.6,70.5,-348.2,-366.6,-31.8,53.7,162.8,115.3,-257.9,-242.1,18,11.7,-2.2,-13.9,12.8,-25.5,19.1,19.2,19.5,-0.3,-6019.5,-5148.9,63,-933.7,-1169.4,235.7,374.7,2590.9,997.5,1218.6,837.3,2128.7,2604.9,7026.7,2054.6,2367.2,1266.8,1100.4,1139.3,-777.2,700.9,899.9,3631.4,315.7,
"Extraordinary Loss/(Profit)",,,,,,-13.1,-2.7,,,,,,,,,,,,,,,-2553.8,,,-2553.8,,-2553.8,-165,-3152.1,-424.5,-2562.6,-815.2,,,,,,,,,,,,,,
"Extraordinary Loss/(Profit): Discontinued operations",,,,,,-13.1,-2.7,,,,,,,,,,,,,,,-2553.8,,,-2553.8,,,-165,-3152.1,-424.5,,,,,,,,,,,,,,,,
"Income Attributable To Equity Holders",155.5,161.6,70.5,-348.2,-366.6,-18.7,56.4,162.8,115.3,-257.9,-242.1,18,11.7,-2.2,-13.9,12.8,-25.5,19.1,19.2,19.5,-0.3,-3465.7,-5148.9,63,1620.1,-1169.4,2789.5,539.7,5743,1421.9,3781.2,1652.5,2128.7,2604.9,7026.7,2054.6,2367.2,1266.8,1100.4,1139.3,-777.2,700.9,899.9,3631.4,315.7,
"Total Comprehensive Income/Loss for the period",-139.6,229,118.4,674.8,-528.1,255.2,,295.1,128.6,,-879.2,,,-154.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Profit Before Capex",155.5,161.6,70.5,-348.2,-366.6,-18.7,56.4,162.8,115.3,-257.9,-242.1,18,11.7,-2.2,-5331.4,-5304.7,-5343,-5298.4,-5459.3,-5459,-5547.5,-61719.3,-63402.5,-60756.5,1620.1,-1169.4,2789.5,539.7,5743,1421.9,3781.2,1652.5,2128.7,-58913.1,-54491.3,2054.6,-51482.1,1266.8,1100.4,1139.3,-54071.2,700.9,899.9,3631.4,315.7,
"Profit After Capex",155.5,161.6,70.5,-348.2,-366.6,-18.7,56.4,162.8,115.3,-257.9,-242.1,18,11.7,-2.2,-5730.6,-5703.9,-5742.2,-5697.6,-5881.1,-5880.8,-5959.6,-66178.2,-67861.4,-65215.4,1620.1,-1169.4,2789.5,539.7,5743,1421.9,3781.2,1652.5,2128.7,-63372,-58950.2,2054.6,-55941,1266.8,1100.4,1139.3,-58530.1,700.9,899.9,3631.4,315.7,
"Headline Earnings (Cont Ops)",173.4,162.7,39.9,60.6,66.7,212.3,69.7,208.4,117.9,-54.3,-28.2,21,19.4,5.1,-14.3,27.3,-9.5,14.4,22.4,17.6,4.8,-732.3,-278.6,63.6,-517.4,-762.9,245.5,786.7,2868.1,773,1308.2,911.2,,2581.7,7007.6,2054,2371.5,1270.1,1101.4,1253.9,-775.7,698.5,1039.1,3164.1,292,
"Enterprise Value (EV)",144169.963,80652.354,65095.76,42221.524,41767.519,45747.419,38234.897,36936.457,59635.913,34151.123,34152.574,29409.395,31663.025,31663.025,41250.148,41805.697,41805.697,35534.937,31160.457,31160.457,32839.732,41864.701,43152.794,50215.417,54207.365,54207.365,63955.908,77041.932,77384.732,88753.134,85746.917,85746.917,80586.803,91987.363,91987.363,93600.079,75306.549,75306.549,85341.331,84223.074,84223.074,70706.627,69173.827,69173.827,63354.581,

Balance sheet (million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Dec 2015","Sep 2015","Jun 2015","Jun 2015","Mar 2015","Dec 2014","Dec 2014","Sep 2014","Jun 2014","Jun 2014","Mar 2014","Dec 2013","Dec 2013","Sep 2013","Jun 2013","Jun 2013","Mar 2013","Dec 2012","Dec 2012","Sep 2012","Jun 2012","Jun 2012","Mar 2012","Dec 2011","Dec 2011","Sep 2011","Jun 2011","Jun 2011","Mar 2011","Dec 2010","Dec 2010","Sep 2010","Jun 2010","Jun 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)",
,"20 Aug 2020","12 Feb 2020","15 Aug 2019","15 Feb 2019","16 Aug 2018","14 Feb 2018","17 Aug 2017","16 Feb 2017","18 Aug 2016","18 Feb 2016","18 Feb 2016","19 Nov 2015","20 Aug 2015","20 Aug 2015","7 May 2015","12 Feb 2015","12 Feb 2015","20 Nov 2014","21 Aug 2014","21 Aug 2014","8 May 2014","13 Feb 2014","13 Feb 2014","20 Nov 2013","22 Aug 2013","22 Aug 2013","10 May 2013","10 May 2013","14 Feb 2013","26 Nov 2012","23 Aug 2012","23 Aug 2012","17 May 2012","17 Feb 2012","17 Feb 2012","10 Nov 2011","11 Aug 2011","11 Aug 2011","19 May 2011","25 Feb 2011","18 Feb 2011","4 Nov 2010","5 Aug 2010","5 Aug 2010","7 May 2010",
,"USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR",
"Ordinary Shareholders' Interest",2971.8,2908.7,2825,2706.9,2857,3403,3432.6,3189.6,3043.2,2768,2768,3164.6,3497.4,3497.4,3531.7,3663.3,3663.3,3823.5,4053.9,4053.9,3947.5,41827.5,41827.5,44886,45154.2,45154.2,45940.1,53056.5,53056.5,51780.5,51123.4,51123.4,48319.8,48061.5,48061.5,45288.5,42666.6,42666.6,46666.6,46622.5,46622.5,45393.2,45448.9,45448.9,44429,
"Total Shareholders' Interest",2971.8,2908.7,2825,2706.9,2857,3403,3432.6,3189.6,3043.2,2768,2768,3164.6,3497.4,3497.4,3531.7,3663.3,3663.3,3823.5,4053.9,4053.9,3947.5,41827.5,41827.5,44886,45154.2,45154.2,45940.1,53056.5,53056.5,51780.5,51123.4,51123.4,48319.8,48061.5,48061.5,45288.5,42666.6,42666.6,46666.6,46622.5,46622.5,45393.2,45448.9,45448.9,44429,
"Interest Bearing Loans",992.8,1160.9,2033,1814.3,1463,1587.9,1574.1,1504.9,1637.5,1803.6,1803.6,1823.3,1817,1817,1826.6,1765.7,1765.7,1810,1847.6,1847.6,1894,19993.4,19993.4,20043,19831.8,19831.8,17600.9,15672.9,15672.9,16456.5,17723.3,17723.3,12013.5,11062.3,11062.3,11156.9,10831.9,10831.9,10842.5,7671.9,7671.9,4639.8,3255.1,3255.1,3815.2,
"Other Long-Term Liabilities",734.5,690.3,579.8,401.7,314.9,321.3,334.5,315.3,321.5,296.7,296.7,300.3,320.3,320.3,322.3,328.6,328.6,308.3,312.8,312.8,301.2,3044.1,3044.1,2508.2,2516.2,2516.2,2446.8,2250.6,2250.6,3476.9,3430.4,3430.4,3265.3,3317.1,3317.1,2717.3,2521,2521,2470.8,2422.4,2422.4,2327.6,2317.6,2317.6,2388.3,
"Other Long-Term Liabilities: Environmental Provisions",,,,,,,,,,,,,,,,,,,,,,2931.8,,2399.4,2410.7,2410.7,,,2131.6,,,,,3190.3,3190.3,2589.2,,,2339.2,2271.2,2271.2,2305.5,2295.5,2295.5,,
"Other Long-Term Liabilities: Environmental rehabilitation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3355.3,3308.9,3308.9,,,,,2393,2393,,,,,,,,
"Other Long-Term Liabilities: Other Provisions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.6,,,,,,110,110,110,,,,,,,,
"Other Long-Term Liabilities: Post-retirement provisions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16.9,16.9,,16.8,16.8,18.1,18,18,18,18,18,22.1,22.1,22.1,,
"Other Long-Term Liabilities: Provisions",,,,,,,,,,,,,,,,,,,,,,112.3,,108.8,105.5,105.5,,,119,,104.6,104.6,,110,110,,,,113.6,133.2,133.2,,,,2388.3,
"Long-Term Liabilities",1727.3,1851.2,2612.8,2216,1777.9,1909.2,1908.6,1820.2,1959,2100.3,2100.3,2123.6,2137.3,2137.3,2148.9,2094.3,2094.3,2118.3,2160.4,2160.4,2195.2,23037.5,23037.5,22551.2,22348,22348,20047.7,17923.5,17923.5,19933.4,21153.7,21153.7,15278.8,14379.4,14379.4,13874.2,13352.9,13352.9,13313.3,10094.3,10094.3,6967.4,5572.7,5572.7,6203.5,
"Deferred Tax Liability",404,433.6,433.1,454.9,439.7,453.9,470.7,465.5,467.4,487.3,487.3,422.7,426.8,426.8,412.6,387,387,413.1,418.2,418.2,410.7,4129.7,4129.7,5588.1,5755.3,5755.3,5546.7,5052,5052,9550.3,9390.3,9390.3,8963.4,9777.5,9777.5,9257.1,8404.1,8404.1,8048.5,7814.5,7814.5,7214.6,7142.7,7142.7,6761.6,
"Total Capital Employed",5103.1,5193.5,5870.9,5377.8,5074.6,5766.1,5811.9,5475.3,5469.6,5355.6,5355.6,5710.9,6061.5,6061.5,6093.2,6144.6,6144.6,6354.9,6632.5,6632.5,6553.4,68994.7,68994.7,73025.3,73257.5,73257.5,71534.5,76032,76032,81264.2,81667.4,81667.4,72562,72218.4,72218.4,68419.8,64423.6,64423.6,68028.4,64531.3,64531.3,59575.2,58164.3,58164.3,57394.1,
"Mining Assets",4374.4,4657.1,4569.7,4259.2,4266.9,4892.9,4809.8,4547.8,4343.8,4312.4,4312.4,4508.1,4814.7,4814.7,4846.5,4895.7,4895.7,5051.8,5233.6,5233.6,5304.6,55720.8,55720.8,58321.7,58974.8,58974.8,57311.7,53633.8,53633.8,68484.8,66472.9,66472.9,62328.8,62682.8,62682.8,60586.9,55843,55843,54663.9,53249.8,53249.8,52741.2,52813.4,52813.4,51881,
"Investments and Loans",380.2,327.1,439.5,460.4,275.3,275.9,253.4,190.4,142,140,140,243.8,247,247,248.7,257.9,257.9,265.7,244.9,244.9,242.6,2532.8,2532.8,2497.8,2821,2821,2572.5,2318.1,2318.1,2355.5,2746.4,2746.4,2628.5,820.6,820.6,931.1,1013.2,1013.2,1021.8,1078.5,1078.5,885.4,1035.9,1035.9,1398.9,
"Intangible Assets",,,,,,76.6,345.7,317.8,294.1,295.3,295.3,321.5,366.7,366.7,374.4,385.7,385.7,399.2,421.8,421.8,412.1,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,
"Intangible Assets: Goodwill",,,,,,,,,,,,,,,,,,,,,,4458.9,,4458.9,4458.9,4458.9,,,4458.9,,4458.9,4458.9,,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,4458.9,
"Deferred Tax Asset",237.9,265.5,270.8,269.5,255.1,72,69.9,48.7,47.1,54.1,54.1,79.3,80.5,80.5,71.6,62.4,62.4,58.3,50.8,50.8,49.6,536.9,536.9,380.9,373.4,373.4,351.9,356,356,333.7,357.1,357.1,424.3,930.4,930.4,693.9,705,705,724.9,753.1,753.1,,,,,
"Other Assets",217.8,210.5,200.4,194.1,190.9,188.3,184.3,177.3,172.6,167.8,167.8,206.9,166.5,166.5,205.2,203.2,203.2,161.9,150.5,150.5,119.3,1216.8,1216.8,1154.7,1183.9,1183.9,1092.1,910.6,910.6,1400.2,1378.1,1378.1,1330.8,1313.3,1313.3,1213.6,1168.8,1168.8,1153,1137.9,1137.9,1028.9,1012.5,1012.5,936.6,
"Cash",940.8,515,534.8,219.7,498.1,479,492.8,526.7,503.4,440,440,485.8,415.1,415.1,402.3,458,458,446.2,350.1,350.1,373.8,3360.6,3360.6,4887,4493.7,4493.7,5276.1,5195.6,5195.6,4085,6668.6,6668.6,5151.9,6049,6049,4434.7,4345,4345,6603.2,5463.8,5463.8,4313.2,3790.5,3790.5,2824.9,
"Other Current Assets",620.8,586.1,500.6,506.8,571.5,635.4,540.7,526,487.9,468.1,468.1,499,538.5,538.5,502.2,594.8,594.8,629.7,812.4,812.4,703.4,7614.3,7614.3,7149,7148,7148,7943.6,28017.3,28017.3,9683.2,8089.7,8089.7,7233.4,8027,8027,7875.2,6323,6323,6243.6,5672.3,5672.3,5760.4,5229,5229,5573.3,
"Current Assets",1561.6,1101.1,1035.4,726.5,1069.6,1114.4,1033.5,1052.7,991.3,908.1,908.1,984.8,953.6,953.6,904.5,1052.8,1052.8,1075.9,1162.5,1162.5,1077.2,10974.9,10974.9,12036,11641.7,11641.7,13219.7,33212.9,33212.9,13768.2,14758.3,14758.3,12385.3,14076,14076,12309.9,10668,10668,12846.8,11136.1,11136.1,10073.6,9019.5,9019.5,8398.2,
"Total Assets",6771.9,6561.3,6515.8,5909.7,6057.8,6620.1,6696.6,6334.7,5990.9,5877.7,5877.7,6344.4,6629,6629,6650.9,6857.7,6857.7,7012.8,7264.1,7264.1,7205.4,75441.1,75441.1,78850,79453.7,79453.7,79006.8,94890.3,94890.3,90801.3,90171.7,90171.7,83556.6,84282,84282,80194.3,73856.9,73856.9,74869.3,71814.3,71814.3,69188,68340.2,68340.2,67073.6,
"Bank Overdrafts/Short-Term Loans",823.6,684.9,,92.5,428.4,193.6,283.4,188,21.3,16.7,16.7,89.2,75,75,75,145.2,145.2,134.1,137,137,166.1,,1308.5,1145.3,1474,1474,,,342.8,7926.3,8101.6,8101.6,6848.3,7616.5,7616.5,7400.5,5712.7,5712.7,5811.2,5516.8,5516.8,4749.5,5232,5232,5101,
"Other Current Liabilities",845.2,682.9,644.9,439.4,554.8,660.4,601.3,671.4,500,505.4,505.4,544.3,492.5,492.5,482.7,567.9,567.9,523.8,494.6,494.6,485.9,6446.4,5137.9,4679.4,4722.2,4722.2,7472.3,18858.3,18515.5,1610.8,402.7,402.7,4146.3,4447.1,4447.1,4374,3720.6,3720.6,1029.7,1766.2,1766.2,4863.3,4943.9,4943.9,4578.5,
"Current Liabilities",1668.8,1367.8,644.9,531.9,983.2,854,884.7,859.4,521.3,522.1,522.1,633.5,567.5,567.5,557.7,713.1,713.1,657.9,631.6,631.6,652,6446.4,6446.4,5824.7,6196.2,6196.2,7472.3,18858.3,18858.3,9537.1,8504.3,8504.3,10994.6,12063.6,12063.6,11774.5,9433.3,9433.3,6840.9,7283,7283,9612.8,10175.9,10175.9,9679.5,
"Net Current Assets",-107.2,-266.7,390.5,194.6,86.4,260.4,148.8,193.3,470,386,386,351.3,386.1,386.1,346.8,339.7,339.7,418,530.9,530.9,425.2,4528.5,4528.5,6211.3,5445.5,5445.5,5747.4,14354.6,14354.6,4231.1,6254,6254,1390.7,2012.4,2012.4,535.4,1234.7,1234.7,6005.9,3853.1,3853.1,460.8,-1156.4,-1156.4,-1281.3,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Dec 2015","Sep 2015","Jun 2015","Jun 2015","Mar 2015","Dec 2014","Dec 2014","Sep 2014","Jun 2014","Jun 2014","Mar 2014","Dec 2013","Dec 2013","Sep 2013","Jun 2013","Jun 2013","Mar 2013","Dec 2012","Dec 2012","Sep 2012","Jun 2012","Jun 2012","Mar 2012","Dec 2011","Dec 2011","Sep 2011","Jun 2011","Jun 2011","Mar 2011","Dec 2010","Dec 2010","Sep 2010","Jun 2010","Jun 2010","Mar 2010",
