"Attributable Income Before Extraordinary Items",-878,1332,-2607,-19,-4473,897,362,1539,949,-445,76,-521,-3152,-4536,-263,-856,-1122,-266,-1270,-1223,31,-78,-91,-91,-78,13,-3497,-2663,-244,665,1078,412,2053,-73,873,1254,887,478,-42,633,276,421,319,105,30,-160,-295,
"Extraordinary Loss/(Profit)",,,,,,,,,,,,,,,,,,,,,,,,,,,,-314,-143,-82,-171,-89,-592,-180,-141,-270,-159,,,16,38,,,,,32,,
"Extraordinary Loss/(Profit): Discontinued operations",,,,,,,,,,,,,,,,,,,,,,,,,,,,-314,-143,-82,-171,-89,-592,-180,-141,-270,-159,,,16,,,,,,-32,,
"Income Attributable To Equity Holders",-878,1332,-2607,-19,-4473,897,362,1539,949,-445,76,-521,-3152,-4536,-263,-856,-1122,-266,-1270,-1223,31,-78,-91,-91,-78,13,-3497,-2349,-101,747,1249,501,2645,107,1014,1524,1046,478,-42,617,238,421,319,105,30,-192,-295,
"Total Comprehensive Income/Loss for the period",-2808,1088,-3309,-226,-5133,422,1180,2615,1092,27,,,,-4477,,,,,-1410,,,,,,,,,-1612,,,,,,,,,,,,,,,,,,,,
"Profit Before Capex",-878,1332,-2607,-19,-4473,897,362,1539,949,-35821,-35300,-35897,-38528,-39912,-35639,-36232,-36498,-34935,-1270,-35892,-34850,-78,-91,-91,-78,13,-3497,-2349,-101,747,1249,501,2154,107,1014,1524,1046,478,-42,403,238,421,319,105,30,-405,-31589,
"Profit After Capex",-878,1332,-2607,-19,-4473,897,362,1539,949,-36704,-36183,-36780,-39411,-40795,-36522,-37115,-37381,-37129,-1270,-38086,-37043,-78,-91,-91,-78,13,-3497,-2349,-101,747,1249,501,2154,107,1014,1524,1046,478,-42,403,238,421,319,105,30,-405,-33799,
"Headline Earnings (Cont Ops)",-828,1331,1067,-21,763,990,1306,657,964,-449,74,-523,191,-821,-262,-496,-763,-266,114,129,52,-71,-91,-91,-71,20,-802,224,-220,614,1034,508,2000,-48,866,1183,883,411,130,994,429,435,294,141,-44,4,-117,
"Enterprise Value (EV)",44706.835,31924.869,22056.56,17988.485,15523.342,11565.807,10407.272,14138.49,23927.179,9312.923,9312.923,2251.913,9097.65,9088.296,11363.034,11155.998,11155.998,11478.27,14510.18,14531.985,15067.188,12226.47,12226.47,12226.47,12226.47,15953.795,16010.614,16010.614,25154.082,32071.069,32071.069,30260.536,33057.664,33057.664,36155.404,41083.704,41083.704,41716.503,39552.112,39552.112,43842.574,36399.049,36409.049,33855.367,35226.64,35312.499,29859.007,

Balance sheet (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Dec 2015","Sep 2015","Jun 2015","Jun 2015","Mar 2015","Dec 2014","Dec 2014","Sep 2014","Jun 2014","Jun 2014","Mar 2014","Dec 2013","Dec 2013","Dec 2013","Dec 2013","Sep 2013","Jun 2013","Jun 2013","Mar 2013","Dec 2012","Dec 2012","Sep 2012","Jun 2012","Jun 2012","Mar 2012","Dec 2011","Dec 2011","Sep 2011","Jun 2011","Jun 2011","Mar 2011","Dec 2010","Dec 2010","Sep 2010","Jun 2010","Jun 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)",
,"15 Sep 2020","11 Feb 2020","20 Aug 2019","12 Feb 2019","21 Aug 2018","13 Feb 2018","17 Aug 2017","2 Feb 2017","17 Aug 2016","4 Feb 2016","4 Feb 2016","5 Nov 2015","18 Aug 2015","18 Aug 2015","8 May 2015","9 Feb 2015","9 Feb 2015","5 Nov 2014","14 Aug 2014","14 Aug 2014","6 May 2014","3 Feb 2014","3 Feb 2014","9 Feb 2015","9 Feb 2015","8 Nov 2013","14 Aug 2013","14 Aug 2013","3 May 2013","4 Feb 2013","4 Feb 2013","7 Nov 2012","16 Aug 2012","16 Aug 2012","9 May 2012","6 Feb 2012","6 Feb 2012","31 Oct 2011","15 Aug 2011","15 Aug 2011","5 May 2011","8 Feb 2011","8 Feb 2011","1 Nov 2010","16 Aug 2010","16 Aug 2010","10 May 2010",
"Ordinary Share Capital & Premium",32937,29551,29551,29551,29340,28337,28336,28336,28336,28324,28324,28324,28324,28324,28325,28325,28325,28325,28325,28325,28325,28325,28325,28325,28325,28325,28325,28325,28331,28331,28331,28331,28331,28331,28329,28326,28326,28314,28305,28305,28290,28277,28277,28269,28261,28261,28102,
"Distributable Reserves",-12583,-10373,-11710,-9122,-9103,-3743,-4486,-3088,-4409,-5803,-5803,-5879,-5358,-5358,-2206,-1944,-1944,-1088,-822,-822,401,370,370,370,370,461,448,448,3926,4244,4244,3496,3307,3307,3200,2359,2359,1313,1093,1093,1135,897,897,578,690,690,676,
"Non-Distributable Reserves",3017,4619,4773,5163,5145,5156,5441,5510,4252,4358,4358,4045,3787,3787,3833,3733,3733,3787,3539,3539,2907,3270,3270,3270,3270,2790,3442,3442,3370,2779,2779,2499,2444,2444,1815,1945,1945,1741,762,762,299,266,266,395,258,258,535,
"Ordinary Shareholders' Interest",23371,23797,22614,25592,25382,29750,29291,30758,28179,26879,26879,26490,26753,26753,29952,30114,30114,31024,31042,31042,31633,31965,31965,31965,31965,31576,32215,32215,35627,35354,35354,34326,34082,34082,33344,32630,32630,31368,30160,30160,29724,29440,29440,29242,29209,29209,29313,
"Minority Interest",4,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Shareholders' Interest",23375,23792,22614,25592,25382,29750,29291,30758,28179,26879,26879,26490,26753,26753,29952,30114,30114,31024,31042,31042,31633,31965,31965,31965,31965,31576,32215,32215,35627,35354,35354,34326,34082,34082,33344,32630,32630,31368,30160,30160,29724,29440,29440,29242,29209,29209,29313,
"Interest Bearing Loans",7463,5454,5826,5871,4924,2566,299,1504,2039,3092,3092,,3399,3399,2860,,,,2860,2860,2843,3280,3280,3280,3280,2868,2252,2252,2238,2072,2072,1840,1503,1503,1277,991,991,1684,1229,1229,1487,1243,1243,970,981,981,780,
"Other Long-Term Liabilities",5298,4341,4374,4687,4471,3811,3747,2911,2368,2575,2575,6627,2418,2418,258,2467,2467,2439,2440,2440,205,2288,2288,2288,2288,2251,2246,2246,188,2136,2136,2163,2072,2072,2086,2269,2269,2220,2145,2145,1964,1931,,1892,1861,1861,,
"Long-Term Liabilities",12761,9795,10200,10558,9395,6377,4046,4415,4407,5667,5667,6627,5817,5817,5367,2467,2467,2439,5300,5300,5135,5568,5568,5568,5568,5119,4498,4498,2426,4208,4208,4003,3575,3575,3363,3260,3260,3904,3374,3374,3451,3174,1243,2862,2842,2842,780,
"Deferred Tax Liability",996,750,688,1093,1145,1704,1702,2849,2413,1926,1926,1871,1906,1906,2528,2562,2562,2640,2680,2680,3029,3000,3000,3000,3000,2998,3021,3021,3244,3270,3270,3166,3106,3106,3568,4452,4452,4300,5161,4216,5623,5538,3613,4306,3534,5409,5217,
"Other Capital",,,,,,,,,,,,,,,2249,,,,,,2087,,,,,,,,2009,,,,,,,,,,,,,,1931,,,,1871,
"Total Capital Employed",37132,34337,33502,37243,35922,37831,35039,38022,34999,34472,34472,34988,34476,34476,37847,35143,35143,36103,39022,39022,39797,40533,40533,40533,40533,39693,39734,39734,43306,42832,42832,41495,40763,40763,40275,40342,40342,39572,38695,37750,38798,38152,36227,36410,35585,37460,37181,
"Mining Assets",29186,28209,27749,31444,30969,30954,30044,30639,29919,30101,30101,29808,29548,29548,33018,32843,32843,33232,33069,33069,32400,32663,32663,32663,32663,32195,32732,32732,34828,33931,33931,33220,32853,32853,31949,32830,32830,32278,31221,31221,30557,30218,30218,29873,29485,29556,29403,
"Investments in Associates",146,102,110,75,84,79,46,,,10,,,,,,,,,,,125,115,115,115,115,112,,109,,,,,,,,,,,,,,358,358,377,385,385,391,
"Investments and Loans",3642,3486,3393,3444,3271,3137,2911,2832,2735,2568,2578,2545,2517,2517,2549,2533,2533,2371,2345,2345,2269,2218,2218,2218,2218,2223,2249,2140,2227,2057,2057,2053,2024,2024,2025,2143,2143,2106,2099,2099,1969,2154,2154,2199,1900,1900,1891,
"Intangible Assets",536,534,533,515,545,600,603,863,870,878,878,882,885,885,885,883,883,885,886,886,2194,2193,2193,2193,2193,2191,2191,2191,2190,2192,2192,2194,2196,2196,2194,2185,2185,2171,2170,2170,2188,2199,2199,2199,2210,2210,2210,
"Deferred Tax Asset",,,,,,,,,,,,,,,66,71,71,76,81,81,84,91,91,91,91,93,104,104,652,554,554,523,486,486,1042,1179,1179,1287,,1149,2310,1925,,734,,1875,1891,
"Other Assets",1016,618,574,489,471,296,344,682,37,36,36,36,36,36,50,50,50,50,50,50,57,61,61,61,61,57,57,57,63,229,229,78,86,86,200,197,197,192,,195,2331,301,301,304,289,289,157,
"Stores",2421,1953,1967,1795,1759,1370,1127,1616,1167,1260,1260,1263,1292,1292,1453,1337,1337,1390,1534,1534,1306,1423,1423,1423,1423,1482,1417,1417,1191,1066,1066,1168,996,996,1086,990,990,1006,837,837,954,943,943,902,987,987,1152,
"Debtors and Payments in Advance",1308,1311,1064,1188,1139,993,1003,820,660,658,658,754,746,746,854,822,822,693,951,951,900,1149,1149,1149,1149,1238,1162,1162,1482,1292,1292,1165,1245,1245,1259,1131,1131,876,1073,1073,1111,962,962,649,1003,932,1217,
"Cash",6357,1250,993,1388,706,1091,1264,1232,1273,892,892,1503,1083,1083,716,1389,1389,2296,1844,1844,2023,2338,2338,2338,2338,2288,2089,2089,3099,2511,2511,2266,1773,1773,1427,1205,1205,1325,693,693,656,837,837,772,770,770,481,
"Other Current Assets",80,591,353,247,577,1595,1541,1514,369,11,11,28,30,30,28,43,43,94,110,110,192,152,152,152,152,103,132,132,3,1822,1822,1666,1541,1541,1468,509,509,414,139,407,293,102,102,73,307,319,44,
"Other Current Assets: Assets held for sale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1822,1822,1658,1423,,,315,315,314,,268,,,,,,245,,
"Other Current Assets: Income and mining taxes",,,,,,,,,,,,,,,,,,,,,,106,106,106,106,,,,,,,8,118,,,194,194,100,,139,,102,102,,,74,44,
"Other Current Assets: Non current assets held for sale",,,,,,,,,,,,,,,,,,,,,,46,46,46,46,,,,,,,,,,,,,,,,,,,,,,,
"Current Assets",10166,5105,4377,4618,4181,5049,4935,5182,3469,2821,2821,3548,3151,3151,3051,3591,3591,4473,4439,4439,4421,5062,5062,5062,5062,5111,4800,4800,5775,6691,6691,6265,5555,5555,5240,3835,3835,3621,2742,3010,3014,2844,2844,2396,3067,3008,2894,
"Total Assets",44692,38054,36736,40585,39521,40115,38883,40198,37030,36414,36414,36819,36137,36137,39619,39971,39971,41087,40870,40870,41550,42403,42403,42403,42403,41982,42133,42133,45735,45654,45654,44333,43200,43200,42650,42369,42369,41655,38695,39844,42369,39999,38074,38082,37336,39223,38837,
"Creditors and Provisions",3181,2925,2875,2947,2704,2258,2010,2176,1731,1642,1642,1830,1660,1660,1764,1707,1707,1923,1848,1848,1750,1870,1870,1870,1870,1974,2109,2109,2050,2050,2050,1982,1747,1747,1543,1684,1684,1736,1746,1748,1343,1503,1493,1465,1410,1419,1418,
"Tax",,,,,,,,,,1,1,,1,1,8,,,,,,3,,,,,,,4,92,,,,,,,,,,,,,,,,,,,
"Bank Overdrafts/Short-Term Loans",255,86,89,92,690,,1834,,300,299,299,,,,,3121,3121,3052,,,,,,,,291,286,286,287,301,301,306,313,313,325,323,323,331,330,330,336,344,354,207,209,209,238,
"Other Current Liabilities",4124,706,270,303,205,26,,,,,,1,,,,,,9,,,,,,,,24,4,,,471,471,550,377,377,507,20,20,16,2,16,17,,,10,132,135,,
"Current Liabilities",7560,3717,3234,3342,3599,2284,3844,2176,2031,1942,1942,1831,1661,1661,1772,4828,4828,4984,1848,1848,1753,1870,1870,1870,1870,2289,2399,2399,2429,2822,2822,2838,2437,2437,2375,2027,2027,2083,2078,2094,1696,1847,1847,1672,1751,1763,1656,
"Net Current Assets",2606,1388,1143,1276,582,2765,1091,3006,1438,879,879,1717,1490,1490,1279,-1237,-1237,-511,2591,2591,2668,3192,3192,3192,3192,2822,2401,2401,3346,3869,3869,3427,3118,3118,2865,1808,1808,1538,664,916,1318,997,997,724,1316,1245,1238,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Dec 2015","Sep 2015","Jun 2015","Jun 2015","Mar 2015","Dec 2014","Dec 2014","Sep 2014","Jun 2014","Jun 2014","Mar 2014","Dec 2013","Dec 2013","Dec 2013","Dec 2013","Sep 2013","Jun 2013","Jun 2013","Mar 2013","Dec 2012","Dec 2012","Sep 2012","Jun 2012","Jun 2012","Mar 2012","Dec 2011","Dec 2011","Sep 2011","Jun 2011","Jun 2011","Mar 2011","Dec 2010","Dec 2010","Sep 2010","Jun 2010","Jun 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)",
,"15 Sep 2020","11 Feb 2020","20 Aug 2019","12 Feb 2019","21 Aug 2018","13 Feb 2018","17 Aug 2017","2 Feb 2017","17 Aug 2016","4 Feb 2016","4 Feb 2016","5 Nov 2015","18 Aug 2015","18 Aug 2015","8 May 2015","9 Feb 2015","9 Feb 2015","5 Nov 2014","14 Aug 2014","14 Aug 2014","6 May 2014","3 Feb 2014","3 Feb 2014","9 Feb 2015","9 Feb 2015","8 Nov 2013","14 Aug 2013","14 Aug 2013","3 May 2013","4 Feb 2013","4 Feb 2013","7 Nov 2012","16 Aug 2012","16 Aug 2012","9 May 2012","6 Feb 2012","6 Feb 2012","31 Oct 2011","15 Aug 2011","15 Aug 2011","5 May 2011","8 Feb 2011","8 Feb 2011","1 Nov 2010","16 Aug 2010","16 Aug 2010","10 May 2010",
"Number of Shares in  Issue (Actual)",603142706,539841195,539841195,532281170,500251751,444724878,439957199,439787199,435700000,436789929,436789929,435100000,435000000,434400000,436094323,436094323,436094323,434100000,433200000,433900000,435693819,435693819,435693819,435693819,435693819,435289890,435289890,435289890,435257691,435257691,435257691,435064236,431564236,431564236,431471444,431312677,431312677,430272715,430084628,430084628,429807371,429506618,429506618,428850854,427600000,428654779,426191965,
"Weighted Average Number of Shares (Actual)",535000000,535000000,524000000,515000000,446000000,441000000,438000000,437300000,435700000,435200000,435300000,435100000,435000000,434400000,434400000,434200000,434100000,434100000,433200000,433900000,433300000,432800000,432900000,432900000,432800000,432600000,432600000,431900000,431800000,431600000,431600000,431500000,430800000,431400000,431300000,430200000,430500000,430029918,430000000,429300000,429500000,428900000,429100000,428700000,429100000,426400000,426100000,
"Fully Diluted Weighted Average Shares in Issue",547000000,549000000,533000000,537000000,465000000,454000000,459000000,462100000,446400000,436900000,436900000,435700000,438200000,438100000,439500000,435200000,4361000000,435400000,434700000,435200000,434300000,433800000,433400000,433400000,433800000,433000000,433100000,432700000,432800000,432600000,432600000,432300000,432000000,432300000,432800000,43190000,432300000,431582324,431400000,430400000,430700000,429700000,429100000,429900000,429600000,427800000,429600000,
"JSE Market Capitalisation (R000)",43341835,27639869,17134560,13413485,10615342,10090807,9538272,13866490,22861179,6813923,6813923,3754913,6781650,6772296,9219034,9423998,9423998,10722270,13494180,13515985,14247188,11284470,11284470,11284470,11284470,15082795,15561614,15561614,25728082,32209069,32209069,30380536,33014664,33014664,35980404,40974704,40974704,41026503,38686112,38686112,42675574,35649049,35649049,33450367,34806640,34892499,29322007,
"Number of Months",12,6,12,6,12,6,12,6,12,6,3,3,3,12,3,3,6,3,12,3,3,6,3,3,6,3,3,12,3,3,6,3,12,3,3,6,3,3,3,12,3,6,3,3,3,12,3,
"Number of Employees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39440,,39440,,,,,40119,42597,,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Dec 2015","Sep 2015","Jun 2015","Jun 2015","Mar 2015","Dec 2014","Dec 2014","Sep 2014","Jun 2014","Jun 2014","Mar 2014","Dec 2013","Dec 2013","Dec 2013","Dec 2013","Sep 2013","Jun 2013","Jun 2013","Mar 2013","Dec 2012","Dec 2012","Sep 2012","Jun 2012","Jun 2012","Mar 2012","Dec 2011","Dec 2011","Sep 2011","Jun 2011","Jun 2011","Mar 2011","Dec 2010","Dec 2010","Sep 2010","Jun 2010","Jun 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)",
,"15 Sep 2020","11 Feb 2020","20 Aug 2019","12 Feb 2019","21 Aug 2018","13 Feb 2018","17 Aug 2017","2 Feb 2017","17 Aug 2016","4 Feb 2016","4 Feb 2016","5 Nov 2015","18 Aug 2015","18 Aug 2015","8 May 2015","9 Feb 2015","9 Feb 2015","5 Nov 2014","14 Aug 2014","14 Aug 2014","6 May 2014","3 Feb 2014","3 Feb 2014","9 Feb 2015","9 Feb 2015","8 Nov 2013","14 Aug 2013","14 Aug 2013","3 May 2013","4 Feb 2013","4 Feb 2013","7 Nov 2012","16 Aug 2012","16 Aug 2012","9 May 2012","6 Feb 2012","6 Feb 2012","31 Oct 2011","15 Aug 2011","15 Aug 2011","5 May 2011","8 Feb 2011","8 Feb 2011","1 Nov 2010","16 Aug 2010","16 Aug 2010","10 May 2010",
"Earnings Per Share (ZARc)",-164,249,-498,-4,-1003,203,82,352,218,-102,17,-120,-725,-1044,-61,-197,-258,-61,-293,-282,7,-18,-21.02,-21,-18,3,-808,-543,-24,173,289,116,614,25,232,354,243,111,-10,144,55,98,74.34,24.49,6.99,-46,-69.23,
"Diluted Earnings Per Share (ZARc)",-166,240,-500,-6,-1004,197,79,333,213,-102,17,-120,-725,-1044,-61,-197,-258,-61,-293,-282,7,-18,-21,-21,-18,3,-808,-543,-24,173,289,116,612,25,234,353,242,111,-10,144,55,98,74,23,3,-46,-68,
