"Ordinary Share Capital & Premium",73163,73163,63089,63089,58536,55786,55786,
"Distributable Reserves",16810,14033,3943,944,1702,-3394,,
"Non-Distributable Reserves",-22577,-45049,,-643,,-643,2415,
"Translation Reserves",,,,-322,,-273,,
"Other Capital",,28784,2299,,-952,,-928,
"Ordinary Shareholders' Interest",67396,70931,69331,63068,59286,51475,57273,
"Minority Interest",43833,46238,39768,38677,35083,34151,31177,
"Total Shareholders' Interest",111229,117169,109099,101745,94369,85626,88450,
"Interest Bearing Loans",60,140,52,4174,6446,9935,12292,
"Deferred Tax Liability",21896,27174,5877,9737,8206,9114,7748,
"Other Long-Term Liabilities",661,2128,3466,296,1153,1334,1430,
"Total Long-Term Liabilities",22617,29442,9395,14207,15805,20383,21470,
"Creditors and Provisions",9430,12881,10336,25778,22252,19000,17817,
"Tax",296,804,1032,571,44,1031,469,
"Bank Overdrafts/Short-Term Loans",109,316,8001,12893,18036,28389,25027,
"Other Current Liabilities",8,47,97,30,,2355,1005,
"Total Current Liabilities",9843,14048,19466,39272,40332,50775,44318,
"Total Liabilities",32460,43490,28861,53479,56137,71158,65788,
"Total Equity and Liabilities",143689,160659,137960,155224,150506,156784,154238,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"22 Oct 2020","1 Jun 2020","30 Sep 2019","30 Apr 2019","6 Sep 2018","6 Apr 2018","20 Oct 2017",
"Exchange Rate (period end)",17.33,13.98,14.09,14.43,13.75,12.38,13.05,
"Exchange Rate (weighted average)",16.66,12.45,14.2,13.25,12.3,13.4,13.2,
"Number of Shares in Issue (Actual)",109491523,109491523,88531196,88577546,78531196,75625640,75625639,
"Weighted Average Shares in Issue (Actual)",109491523,101757930,88531196,80074265,76594158,75625640,75625639,
"Fully Diluted Weighted Average Shares in Issue",109491523,101757930,91304740,80074265,76594158,75625640,75625639,
"Market Capitalisation (R'000)",843085,872647,708250,620043,628250,718444,,
"Number of Months",6,12,6,12,6,12,6,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"22 Oct 2020","1 Jun 2020","30 Sep 2019","30 Apr 2019","6 Sep 2018","6 Apr 2018","20 Oct 2017",
"Earnings Per Share (ZARc)",42.32,160.11,48.14,81.89,91.14,-196.71,-92.32,
"Diluted Earnings Per Share (ZARc)",42.32,160.11,46.58,81.89,91.14,-196.71,-92.32,
"Headline Earnings Per Share (Cont Ops) (ZARc)",4.66,38.72,55.66,-41.61,-7.75,-190.55,-92.58,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",4.66,38.72,53.96,-41.61,-7.75,-190.55,-92.58,
"Net Asset Value Per Share (ZARc)",1066.66,905.62,1103.39,1027.99,1037.99,842.71,988.93,
"Cash Generated Per Share",-3.94,6.77,4.58,14.12,2.69,6.64,1.18,
"Earnings Per Share (Base Currency)",2.54,12.86,3.39,6.18,7.41,-14.68,-6.99,
"Diluted Earnings Per Share (Base Currency)",2.54,12.86,3.28,6.18,7.41,-14.68,-6.99,
"Headline Earnings Per Share (Cont) (Base Currency)",0.28,4.17,3.92,-3.14,-0.63,-14.22,-7.01,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",0.28,4.17,3.8,-3.14,-0.63,-14.22,-7.01,
"Net Asset Value Per Share (Base Currency)",61.55,64.78,78.31,71.24,75.49,68.07,75.73,
"Price at Period End (Base Currency)",44,57,57,49,58,77,,
"JSE Market Price High (ZARc)",797,800,800,2998,2998,1150,,
"JSE Market Price Low (ZARc)",730,226,700,135,135,22,,
"JSE Market Price at Period End (ZARc)",770,797,800,700,800,950,,
"JSE Volume Traded (Actual)",225,7778,4215,100805,29105,31950,,
"JSE Rand Value Traded (Actual)",1719,55295,33720,860872,288842,287879,,
"12 Month HEPS",-12.28,38.72,21.8,-41.61,-103.02,-190.55,-185.16,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"22 Oct 2020","1 Jun 2020","30 Sep 2019","30 Apr 2019","6 Sep 2018","6 Apr 2018","20 Oct 2017",
"Cash generated by operations",-1937,22037,10315,18866,5420,6337,-885,
"Working capital changes",-2013,-9607,-3508,1086,143,2469,3552,
"Cash generated from operations after WC",-3950,12430,6807,19952,5564,8806,2667,
"Net Cash flow from operating activities",-4317,7416,4052,12510,2116,5020,893,
"Net cash flow from investing activities",-2568,-5476,-1992,297,1360,-2701,-1595,
"Net cash flow from financing activities",-116,-868,-1397,-6955,-5009,2618,-302,
"Dividends paid",-84,-795,-961,-559,-346,,,
"Net increase(decrease) in cash & cash equivalents",-7001,1071,662,5853,-1534,4936,-1003,
"Cash & Cash Equivalent beginning of period",12482,16363,16363,10544,10544,5593,5593,
"Translation effects on cash & cash equivalents",3191,-4952,-7397,-34,-24,15,11,
"Cash & Cash Equivalent end of period",8672,12482,9628,16363,8987,10544,4600,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"22 Oct 2020","1 Jun 2020","30 Sep 2019","30 Apr 2019","6 Sep 2018","6 Apr 2018","20 Oct 2017",
"Return on Capital Employed",6.55,14.47,8.92,8.98,13.26,-7.59,-9.47,
"Return on Shareholder Funds",7.88,18.1,9.69,10.24,15.48,-9.4,-11.76,
"Return on Total Assets",-2.69,20.13,13.43,10.33,11.54,-4.05,-6.68,
"Gross Profit Margin",66.61,78.75,82.21,67.72,69.07,67.35,67.95,
"Operating Profit Margin",-19.9,59.01,44.63,22.48,31.56,-2.82,-12.21,
"Net Profit Margin",30.06,22.54,13.96,6.24,18.28,-18.94,-21.85,
"Debt:Equity (excl non-int debt)",0.2,0.25,0.16,0.27,0.36,0.57,0.53,
"Interest Bearing Debt as % of Long-Term Finance",0.05,0.12,0.05,3.94,6.39,10.4,12.2,
"Interest Cover",-37.51,12.36,10.94,5.65,4.67,-0.39,-1.55,
"Quick Ratio",1.27,1.39,0.72,0.62,0.57,0.48,0.51,
"Current Ratio",1.93,1.68,0.77,0.76,0.77,0.62,0.64,
"Debtors Collection Period",75.71,43.99,36.66,36.9,76.24,65.78,101.48,
"Stock Turn",0.95,2.97,7.49,4.77,2.46,2.67,2.77,
"Price : Earnings",-62.7,20.58,36.7,-16.82,-7.77,-4.99,,
"Sales Per Share (Base Currency)",16.87,57.06,48.52,99.03,81.06,77.47,64.04,
"Price/Sales Per Share",2.63,1,1.17,0.49,0.72,0.99,,
"Price/Net Asset Value",0.72,0.88,0.73,0.68,0.77,1.13,,
"Price/Cash Flow",-22.51,8.41,24.8,3.44,43.28,11.6,,
"NAV%Price",138.53,113.63,137.92,146.86,129.75,88.71,,
"Liquidity%",-26.6,17.05,28.08,23.39,7.54,7.05,2.71,
"Cash Flow:Attributable Profit",-3.11,0.57,2.7,2.53,0.75,-0.45,-0.34,
"Cash/Equity (%)",7.8,10.65,8.83,16.08,9.52,12.31,5.2,
"EV/Ebitda (Pd)",,,,50.76,77.82,-168.08,,
"PEG Ratio",-0.46,0.15,0.47,-0.22,,,,

