"Tax",20154,16742,29738,2796,61031,
"Other Current Assets",51558,61000,94347,44583,73386,
"Other Current Assets: Assets held for sale",,,36444,,,
"Other Current Assets: Biological Assets",,,27635,,,
"Other Current Assets: Other financial assets",,,30268,,,
"Total Current Assets",4098599,4141076,3800998,3784159,3689765,
"Total Assets",10693954,10826957,10189405,9793875,9721482,
"Ordinary Share Capital & Premium",4727314,4727314,4727314,4818884,4829235,
"Distributable Reserves",713504,764266,538103,668120,509716,
"Non-Distributable Reserves",-22047,8189,-1757,,-1587,
"Other Capital",-75168,-75168,-66416,-76925,-76980,
"Ordinary Shareholders' Interest",5343603,5424601,5197244,5410079,5260384,
"Minority Interest",9847,9893,9266,8661,10028,
"Total Shareholders' Interest",5353450,5434494,5206510,5418740,5270412,
"Deferred Tax Liability",662628,707000,725185,769960,805761,
"Retirement Obligation",9343,9583,5565,8919,8197,
"Share Incentive Scheme",12393,8547,7966,20811,12342,
"Other Long-Term Liabilities",2802407,2765644,2439285,1934711,1612778,
"Other Long-Term Liabilities: Leases",,,515903,,,
"Other Long-Term Liabilities: Other financial liabilities",,,1923382,,,
"Total Long-Term Liabilities",3486771,3490774,3178001,2734401,2439078,
"Creditors and Provisions",1315919,1462502,1324561,1401337,1388058,
"Dividends",149814,,,,,
"Tax",2406,1945,,4239,3442,
"Bank Overdrafts/Short-Term Loans",160984,245637,315959,158072,238257,
"Other Current Liabilities",224610,191605,164374,77086,382235,
"Total Current Liabilities",1853733,1901689,1804894,1640734,2011992,
"Total Liabilities",5340504,5392463,4982895,4375135,4451070,
"Total Equity and Liabilities",10693954,10826957,10189405,9793875,9721482,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"2 Sep 2020","18 Mar 2020","4 Sep 2019","13 Mar 2019","4 Sep 2018",
"Number of Shares in Issue (Actual)",595812000,597519000,599255000,566445000,523347000,
"Weighted Average Shares in Issue (Actual)",595812000,597519000,599255000,566445000,523347000,
"Fully Diluted Weighted Average Shares in Issue",599538000,598481000,599255000,566445000,,
"Market Capitalisation (R'000)",4635417,4535169,5806781,3965115,5526544,
"Number of Months",6,12,6,12,6,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"2 Sep 2020","18 Mar 2020","4 Sep 2019","13 Mar 2019","4 Sep 2018",
"Earnings Per Share (ZARc)",16.6,46.6,8.7,39.2,12.2,
"Diluted Earnings Per Share (ZARc)",16.5,46.5,8.7,39.2,12.2,
"Headline Earnings Per Share (Cont Ops) (ZARc)",17,59.9,19.7,48.7,14.3,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",16.9,59.8,19.7,48.7,,
"Interim Dividend (ZARc)",,,,22,,
"Final Dividend (ZARc)",,25,,,,
"Dividend Per Share (ZARc)",,25,,22,,
"Distributions Per Share (ZARc)",,25,,22,,
"Net Asset Value Per Share (ZARc)",896.86,907.85,867.28,955.09,1005.14,
"Cash Generated Per Share",37.72,97.03,29.63,89.16,15.31,
"Net Asset Value Per Share (Base Currency)",896.86,907.85,867.28,955.09,1005.14,
"Price at Period End (Base Currency)",778,759,969,700,1056,
"JSE Market Price High (ZARc)",819,998,998,1270,1258,
"JSE Market Price Low (ZARc)",516,670,685,570,936,
"JSE Market Price at Period End (ZARc)",778,759,969,700,1056,
"JSE Volume Traded (Actual)",56372195,141158708,93864539,291798295,130326218,
"JSE Rand Value Traded (Actual)",382510065,1130316323,748166917,2909195456,1517154010,
"12 Month HEPS",57.2,59.9,54.1,48.7,28.6,
"12 Month Dividend",25,25,22,22,,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"2 Sep 2020","18 Mar 2020","4 Sep 2019","13 Mar 2019","4 Sep 2018",
"Cash generated by operations",373658,944777,368120,876187,311833,
"Working capital changes",,,,-92030,-86385,
"Net Cash flow from operating activities",224718,579769,177568,505044,80104,
"Net cash flow from investing activities",-143003,-394730,-160304,-345979,-150845,
"Net cash flow from financing activities",20458,-159764,-236287,318948,362533,
"Dividends paid",,-131689,-131689,,,
"Net increase(decrease) in cash & cash equivalents",102173,25275,-219023,478013,291792,
"Cash & Cash Equivalent beginning of period",854615,829340,829340,351327,351327,
"Cash & Cash Equivalent acquired/disposed",,,,,-3650,
"Cash & Cash Equivalent end of period",956788,854615,610317,829340,643119,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"2 Sep 2020","18 Mar 2020","4 Sep 2019","13 Mar 2019","4 Sep 2018",
"Return on Capital Employed",2.24,3.13,1.26,2.74,1.62,
"Return on Shareholder Funds",3.7,5.15,2.03,4.12,2.36,
"Return on Total Assets",4.31,7.95,6.04,7.99,4.02,
"Gross Profit Margin",23.35,24.05,23.23,22.42,20.93,
"Operating Profit Margin",4.91,7.09,5.86,6.43,5.19,
"Net Profit Margin",2.1,2.81,1.13,2.3,1.45,
"Debt:Equity (excl non-int debt)",0.68,0.69,0.67,0.53,0.51,
"Interest Cover",2.34,3.36,2.63,2.8,1.73,
"Quick Ratio",1.49,1.55,1.45,1.62,1.24,
"Current Ratio",2.21,2.18,2.11,2.31,1.83,
"Dividend Cover",,1.86,,1.78,,
"Dividend Cover (HEPS)",,2.4,,2.21,,
"Debtors Collection Period",61.18,65.07,61.58,61.52,61.27,
"Stock Turn",5.42,6.26,5.94,6.68,5.88,
"Price : Earnings",13.6,12.67,17.91,14.37,36.92,
"Sales Per Share (Base Currency)",1579.82,1655.6,1540.87,1705.3,1687.14,
"Price/Sales Per Share",0.49,0.46,0.63,0.41,0.63,
"Price/Net Asset Value",0.87,0.84,1.12,0.73,1.05,
"Price/Cash Flow",41.25,7.82,65.41,7.85,137.95,
"NAV%Price",115.28,119.61,89.5,136.44,95.18,
"Liquidity%",8.42,10.75,7.13,11.54,3.6,
"Cash Flow:Attributable Profit",4.54,1.63,3.01,1.85,2.18,
"Cash/Equity (%)",20.88,20.25,17.79,18.22,16.79,
"EV/Ebitda (Pd)",7.44,3.11,10.37,4.7,,
"PEG Ratio",0.53,0.5,0.64,0.51,,

