,"21 Aug 2020","21 Feb 2020","30 Aug 2019","28 Feb 2019","31 Jul 2018","13 Feb 2018","31 Jul 2017","31 Jan 2017","4 Aug 2016","4 Feb 2016","26 Aug 2015","6 Feb 2015","24 Jul 2014","23 Jan 2014",
"Ordinary Capital & Premium",3035344,3035344,3035344,3035344,3035344,3035344,3039980,3039980,2239098,2238482,1519601,1368649,1251034,1060014,
"Treasury Shares",14085,14085,14085,6966,,,4636,4636,2854,1962,1212,744,,,
"Distributable Reserves",-470838,106052,268046,284936,260933,292624,237031,235464,89390,168619,146650,88570,46713,-34705,
"Other Capital",896,612,327,44,,,,,,,,,,,
"Translation Reserves",19789,10778,12793,15726,-7769,17028,-9155,-70467,41949,16302,,,,,
"Ordinary Unitholders Interest",2571106,3138701,3302425,3329084,3288508,3344996,3263220,3200341,2367583,2421441,1665039,1456475,1297747,1025309,
"Minority Interest",339000,312495,312770,283581,27307,26985,24627,17584,20228,14052,,,,,
"Total Stockholders' Interest",2910106,3451196,3615195,3612665,3315815,3371981,3287847,3217925,2387811,2435493,1665039,1456475,1297747,1025309,
"Non-Interest Bearing Loans",33342,27659,25881,24683,23250,26709,24369,24872,30920,27056,,,,,
"Interest Bearing Loans",2246609,1713446,1699243,1310457,1361688,1794628,1731466,1674181,1023828,1153677,857341,811314,769518,660519,
"Long-Term Liabilities",2279951,1741105,1725124,1335140,1384938,1821337,1755835,1699053,1054748,1180733,857341,811314,769518,660519,
"Total Capital Employed",5190057,5192301,5340319,4947805,4700753,5193318,5043682,4916978,3442559,3616226,2522380,2267789,2067265,1685828,
"Investments",4558070,4722766,4632602,4722583,4439102,4763278,4449699,4897646,3942346,3907389,3140990,2191880,2060847,1636518,
"Fixed Assets / Property",144,174,150,185,193,220,198,,,,,,,,
"Goodwill",,119314,223477,234136,237626,238223,241094,241094,,,,,,,
"Other Assets",,,,,,,,,3184,,,24901,,5839,
"Debtors",149977,133923,108921,110539,104776,111646,117194,104951,77053,73790,68852,46056,36882,35455,
"Cash and Short Term Funds",336678,91280,94948,182422,92775,72906,58945,35614,63620,39080,15458,57368,38171,62770,
"Other Current Assets",243471,271813,550051,306879,539746,366317,531121,111000,111000,119332,14485,,,,
"Current Assets",730126,497016,753920,599840,737297,550869,707260,251565,251673,232202,98795,103424,75053,98225,
"Total Assets",5288340,5339270,5610149,5556744,5414218,5552590,5398251,5390305,4197203,4139591,3239785,2320205,2135900,1740582,
"Creditors",69085,72782,83109,91603,60297,63311,75128,69556,63290,57274,52184,52416,68635,51927,
"Receiver of Revenue",7504,,,,,,,,,,,,,2075,
"Other Current Liabilities",21694,74187,186721,517336,653168,295961,279441,403771,691354,466091,665221,,,752,
"Current Liabilities",98283,146969,269830,608939,713465,359272,354569,473327,754644,523365,717405,52416,68635,54754,
"Net Current Assets",631843,350047,484090,-9099,23832,191597,352691,-221762,-502971,-291163,-618610,51008,6418,43471,

Share/unit data,"May 2020","Nov 2019","May 2019","Nov 2018","May 2018","Nov 2017","May 2017","Nov 2016","May 2016","Nov 2015","May 2015","Nov 2014","May 2014","Nov 2013",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"21 Aug 2020","21 Feb 2020","30 Aug 2019","28 Feb 2019","31 Jul 2018","13 Feb 2018","31 Jul 2017","31 Jan 2017","4 Aug 2016","4 Feb 2016","26 Aug 2015","6 Feb 2015","24 Jul 2014","23 Jan 2014",
"Number of Linked Units Issued (Actual)",337244093,337244093,337244093,339076685,339549647,339549647,339549647,339549647,240023530,240132451,165117691,150048279,136852996,113092000,
"Weighted Ave Stock Units (Actual)",337244093,337244093,338589340,339076685,339549647,339549647,336764696,334059215,236655769,231896563,150970113,143296617,105709677,82994339,
"Fully Diluted Weighted Average Shares in Issue",337244093,337244093,338589340,339076685,339549647,339549647,336764696,334059215,236655769,231896563,150970113,143296617,105709677,82994339,
"Market Capitalisation (R000)",809386,1659241,2023465,2102275,2315729,2376848,2580577,2631510,1939390,2209219,1634665,1260406,1164619,933009,

Share statistics,"May 2020","Nov 2019","May 2019","Nov 2018","May 2018","Nov 2017","May 2017","Nov 2016","May 2016","Nov 2015","May 2015","Nov 2014","May 2014","Nov 2013",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"21 Aug 2020","21 Feb 2020","30 Aug 2019","28 Feb 2019","31 Jul 2018","13 Feb 2018","31 Jul 2017","31 Jan 2017","4 Aug 2016","4 Feb 2016","26 Aug 2015","6 Feb 2015","24 Jul 2014","23 Jan 2014",
"Earnings Per Linked Unit (ZARc)",-146.8,-10.4,72.8,40.2,86.4,55,129.8,91.3,67.1,55.9,149.9,69,82,-40,
"Diluted Earnings Per Linked Unit (ZARc)",-146.8,-10.4,72.8,40.2,86.4,55,129.8,91.3,67.1,55.9,149.9,69,82,-40,
"Headline Earnings Per Linked Unit (CO) (ZARc)",45.3,36.8,58.21,24.9,78.03,29.6,95.1,66.8,69.5,32.4,82.6,42.7,93.1,42.5,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",45.3,36.8,58.21,24.9,78.03,29.6,95.1,66.8,69.5,32.4,82.6,42.7,93.1,42.5,
"Distributions Per Linked Unit (ZARc)",44.53,35.01,74.19,36.83,80.96,40.7,77.08,38.4,92,45.2,86.8,41.99,74.6,33,
"Net Asset Value Per Linked Unit (ZARc)",762,931,979,984,968,985,961,941,985,1007,1008,971,948,907,
"3 Year Beta",1.45,0.17,0.12,0.15,0.17,0.28,0.36,0.35,,,,,,,
"Cash Generated Per Linked Unit",41.87,20.88,87.96,31.8,71.27,34.68,66.18,31.01,79.24,20.97,34.75,26.39,83.45,41.13,
"Number of Months",12,6,12,6,12,6,12,6,12,6,12,6,12,6,
"Disrtibutions Per Linked Unit (Base Currency)",,,,,,,,,92,45.2,86.8,,74.6,33,
"Net Asset Value Per Linked Unit (Base Currency)",762,931,979,984,968,985,961,941,985,1007,1008,971,948,907,
"Price at Period End (Base Currency)",240,492,600,620,682,700,760,775,808,920,990,840,851,825,
"JSE Market Price at Period End (ZARc)",240,492,600,620,682,700,760,775,808,920,990,840,851,825,
"JSE Market Price High (ZARc)",615,615,691,691,800,800,900,900,1010,1010,1015,950,1001,1001,
"JSE Market Price Low (ZARc)",155,475,540,580,642,695,725,745,780,899,785,785,770,810,
"JSE Volume Traded (Actual)",30077642,17089676,17489948,9965779,36987556,18510164,99820429,36108878,34383312,20403896,25463364,10634537,40718680,2928456,
"JSE Rand Value Traded (Actual)",136765259,94776534,110644533,65855008,266893498,138347770,798167653,288005998,310633727,194527663,236029213,91988506,334824171,26450659,
"12 Month HEPS",45.3,70.11,58.21,73.33,78.03,57.9,95.1,103.9,69.5,72.3,82.6,93.3,93.1,85,
"12 Month Dividend",44.53,72.37,74.19,77.09,80.96,80.96,79.38,123.89,130.41,92,86.8,86.8,83.59,74.6,

Cash flow items,"May 2020","Nov 2019","May 2019","Nov 2018","May 2018","Nov 2017","May 2017","Nov 2016","May 2016","Nov 2015","May 2015","Nov 2014","May 2014","Nov 2013",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"21 Aug 2020","21 Feb 2020","30 Aug 2019","28 Feb 2019","31 Jul 2018","13 Feb 2018","31 Jul 2017","31 Jan 2017","4 Aug 2016","4 Feb 2016","26 Aug 2015","6 Feb 2015","24 Jul 2014","23 Jan 2014",
"Cash generated by operations",,,,,,,,,,102352,132423,,,,
"Cash generated from operations after WC",247111,124407,397245,161628,354184,176173,348421,168577,303019,,,,,,
"Net Cash flow from operating activities",141197,70413,296633,107820,242013,117744,224726,105285,190198,50345,57386,39594,114207,46517,
"Net cash flow from investing activities",184011,37354,-110492,-6489,-41731,-18019,-113436,-72449,-916594,-628063,-338431,260,-1228082,-1705024,
"Net cash flow from financing activities",-79711,-106513,-184377,-12890,-166590,-88138,-113991,-60842,774558,601340,258332,-20657,1152046,1721277,
"Dividends paid",-256306,-132956,-268083,-138174,-269527,-131326,-285539,-159068,-204553,-107691,-116027,,,,
"Net increase(decrease) in cash & cash equivalents",245497,1253,1764,88441,33692,11587,-2701,-28006,48162,23622,-22713,,,,
"Cash & Cash Equivalent beginning of period",94948,94948,92775,92775,58945,58945,63620,63620,15458,15458,38171,,,,
"Translation effects on cash & cash equivalents",-3767,-4921,409,1206,138,2374,-1974,,,,,,,,
"Cash & Cash Equivalent end of period",336678,91280,94948,182422,92775,72906,58945,35614,63620,39080,15458,,,,

Ratios,"May 2020","Nov 2019","May 2019","Nov 2018","May 2018","Nov 2017","May 2017","Nov 2016","May 2016","Nov 2015","May 2015","Nov 2014","May 2014","Nov 2013",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"21 Aug 2020","21 Feb 2020","30 Aug 2019","28 Feb 2019","31 Jul 2018","13 Feb 2018","31 Jul 2017","31 Jan 2017","4 Aug 2016","4 Feb 2016","26 Aug 2015","6 Feb 2015","24 Jul 2014","23 Jan 2014",
"Turnover Per Share",117.3,122.71,139.33,121.36,122.64,125,132.83,133.34,159.07,157.74,164.09,164.55,180.94,205.39,
"Price/Sales Per Share",2.05,4.01,4.31,5.11,5.56,5.6,5.72,5.81,5.08,5.83,6.03,5.1,4.7,4.02,
"Price/Net Asset Value",0.31,0.53,0.61,0.63,0.7,0.71,0.79,0.82,0.82,0.91,0.98,0.87,0.9,0.91,
"Price/Cash Flow",5.73,47.13,6.82,38.99,9.57,40.37,11.48,49.98,10.2,87.74,28.49,63.66,10.2,40.12,
"Return on Capital Employed",-9.04,-0.92,5.15,5.83,6.3,7.21,8.81,12.43,4.87,7.45,8.97,8.73,4.19,-3.94,
"Return on Stockholder Funds",-16.12,-1.39,7.6,7.99,8.93,11.1,13.52,19,7.02,11.06,13.6,13.59,6.68,-6.48,
"Return on Total Assets",6.94,7.51,7.01,6.95,7.79,7.73,8.88,8.36,8.46,8.29,6.63,9.61,8.17,9.39,
"Operating Profit Margin",92.71,94.75,80.03,89.93,96.86,96.83,102.4,96.6,94.34,93.81,86.75,94.52,91.26,95.84,
"Net Profit Margin",-137.04,-18.15,65.85,74.37,73.53,92.17,105.82,142.85,45.06,76.1,106.38,89.41,50.52,-41.2,
"Debt : Equity",0.77,0.5,0.47,0.36,0.41,0.53,0.53,0.52,0.43,0.47,0.51,0.56,0.59,0.64,
"Current Ratio",7.43,3.38,2.79,0.99,1.03,1.53,1.99,0.53,0.33,0.44,0.14,1.97,1.09,1.79,
"Dividend Cover",-3.3,-0.3,0.98,1.09,1.07,1.35,1.68,2.38,0.73,1.24,1.73,1.64,1.1,-1.21,
"Debtors Collection Period",151.57,126.33,106.25,110.06,95.84,100.47,103.55,89.67,79.78,79.03,118.1,75.96,78.5,80.3,
"Operating Return on Investment",7.92,8.19,8.08,7.76,8.99,8.51,9.28,8.72,8.94,8.72,6.77,10.1,8.32,9.85,
"Operating Income : Turnover",91.3,93.5,79.32,89.09,95.83,95.56,92.34,95.91,93.64,93.16,85.9,93.86,89.66,94.54,
"Admin & Collection Fees : Turnover",0.09,0.06,0.09,0.11,0.04,0.04,0.08,0.04,0.06,0.07,0.14,0.06,0.1,0.05,
"Return on Stockholder Funds",5.16,6.84,6.92,6.91,8.29,8.2,7.96,8.1,9.25,8.91,8.61,8.65,7.87,7.28,
"NAV%Price",317.5,189.23,163.17,158.71,141.94,140.71,126.45,121.42,121.91,109.46,101.82,115.6,111.4,109.94,
"Price : Earnings",5.3,7.02,10.31,8.45,8.74,12.09,7.99,7.46,11.63,12.72,11.99,9,9.14,9.71,
"Profitability %",6.34,6.7,6.23,6.03,7.37,7.3,8.42,7.93,8.4,8.23,6.56,9.54,7.49,6.99,
"Solvency %",222.36,282.79,281.22,285.83,258.02,254.63,255.79,248.13,231.97,242.92,205.73,268.63,254.83,243.35,
"Int Bearing Debt : Total Assets",0.42,0.32,0.3,0.24,0.25,0.32,0.32,0.31,0.24,0.28,0.26,0.35,0.36,0.38,
"Liquidity %",5.94,7.46,14.87,11.09,11.53,10.8,10.65,9.69,10.51,5.91,3.64,9.17,13.63,13.01,
"EV/Ebitda (Pd)",,-121.88,,25.51,,,,,,,,,,,
"Cash Flow : Attributable Profit",0.73,1.21,1.37,2.02,0.86,1.65,0.7,1.42,0.83,0.88,0.42,1.03,1.04,2.63,
"Loan to value ratio",43.93,33.53,32.3,26.98,29.46,35.07,34.81,,,,,,,,
"PEG Ratio",-0.59,-1.04,-1.53,-5.12,-5.3,4.99,3.3,-0.82,-1.29,-2.26,-2.13,,,,

