"JSE Market Price High (ZARc)",755,1050,900,1050,1050,1109,1050,1049,1049,802,675,545,425,428,370,381,325,390,320,390,390,495,450,510,510,700,700,415,283,180,180,153,153,125,
"JSE Market Price Low (ZARc)",478,410,679,705,831,675,711,675,675,290,500,290,290,221,286,221,221,210,250,275,275,250,292,315,315,297,297,159,159,110,110,100,100,42,
"JSE Market Price at Period End (ZARc)",603,608,720,847,838,954,850,808,980,739,659,536,401,340,349,351,268,236,280,300,380,329,305,441,439,460,588,370,230,175,149,123,147,110,
"JSE Volume Traded (Actual)",11911872,23739290,3194246,12272684,3911512,60309332,18753375,36132291,25937968,95657217,35812984,48982685,27085874,114526744,8660153,81242632,28646412,62312286,18732990,33572257,9878932,77491442,31527443,33232829,13564641,65526223,36920462,29656965,14246632,42885661,25640766,32755928,19310814,255815642,
"JSE Rand Value Traded (Actual)",74807253,190569777,23524399,104963764,36464787,541769952,165989028,323345251,230584064,475736253,210439033,191033739,96978930,351904569,29478896,229493637,75893072,189017911,55357832,110796888,33394782,294539552,117985814,139926505,58629845,354294732,205409847,79622276,33202269,62506590,34557432,41143399,24281227,229015151,
"12 Month HEPS",25,27,39,44,39,36,24,34,27,32,22,22,21,20,14,18,22,24,29,25,18.25,19,17.25,20.8,17.75,21,19.9,20.1,19.53,15.93,12.4,11.3,10.1,10.1,
"12 Month Dividend",16,16,16,15,14,13,12,11.5,11,11,9.5,9.5,11.5,8,6,6,8,8,16,14,12,8,,,,,6,10,10,12,6,6,6,5,

Cash flow items,"Sep 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016","Jun 2016","Mar 2016","Dec 2015","Sep 2015","Jun 2015","Mar 2015","Dec 2014","Sep 2014","Jun 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"29 Oct 2020","28 May 2020","30 Jan 2020","31 Oct 2019","1 Aug 2019","14 May 2019","31 Jan 2019","1 Nov 2018","2 Aug 2018","10 May 2018","1 Feb 2018","2 Nov 2017","3 Aug 2017","25 May 2017","2 Feb 2017","3 Nov 2016","4 Aug 2016","26 May 2016","4 Feb 2016","5 Nov 2015","6 Aug 2015","28 May 2015","12 Feb 2015","6 Nov 2014","12 Feb 2015","5 Jun 2014","7 Nov 2013","10 Jun 2013","12 Nov 2012","11 Jun 2012","17 Nov 2011","13 Jun 2011","15 Nov 2010","7 Jun 2010",
"Cash generated by operations",,814809,126060,269019,,686912,136892,221187,,494610,112099,141163,,345276,99124,124340,,323190,27945,136634,36777,261954,58655,92955,2124,266169,100565,287847,87774,192477,75758,189781,80282,174529,
"Working capital changes",,-278154,,,,-145480,,,,-81585,,,,31839,,,,-29382,,,,,,,,,,,,,,,,,
"Cash generated from operations after WC",410071,536655,,,92102,541432,,,22027,413025,,,20562,377115,,,29073,293808,,,,,,,,,,,,,,,,,
"Net Cash flow from operating activities",378671,453355,118822,228646,90934,463846,132969,201469,22758,353208,109525,122284,18324,323571,97329,97214,28101,240434,26643,106753,35191,217644,60642,67262,6129,203777,70950,211918,52028,153076,55729,144308,55806,123017,
"Net cash flow from investing activities",-88744,-302358,-91973,-165256,-90221,-282495,-72639,-164514,-78688,-342135,-99718,-181965,-82331,-292894,-79932,-144525,-64143,-249714,-68851,-98594,-37753,-189845,-89517,-69315,-28586,-133176,-65206,-96054,-48513,-82085,-29103,-56357,-26898,-44308,
"Net cash flow from financing activities",-36938,-249788,-28225,-171267,-25240,-138677,-91044,-29666,-19100,-62494,-11082,-42541,-29958,-519576,-8791,-499530,-10684,-223229,-41537,-171363,,7743,1960,5783,2742,595713,594076,-95686,-70897,-9695,-76254,-136300,-72259,-59559,
"Dividends paid",-43705,-88634,-22524,-44812,-22344,-67470,-16819,-33822,-16906,-53201,-13964,-25200,-11292,-52966,-11253,-30458,,-107150,-12868,-79193,,,,,,-39610,-39570,-78874,-52520,-39374,-39370,-32812,-32810,-26247,
"Net increase(decrease) in cash & cash equivalents",252989,-98791,-1376,-107877,-24527,42674,-30714,7289,-75030,-51421,-1275,-102222,-93965,-488899,15606,-546841,-46726,-232509,-83745,-163204,-2562,35542,-26915,3730,-19715,666314,599820,20178,-67382,-80686,-49628,-48349,-43351,19150,
"Cash & Cash Equivalent beginning of period",275655,353181,253117,353181,353181,290538,312276,290538,290538,356333,256864,356333,356333,860762,311328,860762,860762,927415,885887,927415,927415,,,,,,,,,,,,,,
"Translation effects on cash & cash equivalents",-7499,21265,-11629,7813,-4707,19969,2553,14449,10085,-14374,-8493,2753,-5209,-15530,-3682,-2593,19145,165856,76959,121676,15324,,,,,,,,,,,,,,
