"Minority Interest",55405,76500,83542,254662,170718,168313,152993,
"Total Shareholders' Interest",2431312,2513774,2234614,2069327,1595984,1565979,1429480,
"Interest Bearing Loans",1498062,1268291,1310287,1517683,347813,315825,121398,
"Deferred Tax Liability",425623,478545,463507,374551,221206,205277,182245,
"Other Long-Term Liabilities",345182,339869,373681,236597,104496,116589,100890,
"Total Long-Term Liabilities",2268867,2086705,2147475,2128831,673515,637691,404533,
"Creditors and Provisions",595030,567140,556016,435332,371280,300336,310695,
"Tax",9607,216,32,796,1060,10862,21623,
"Bank Overdrafts/Short-Term Loans",157908,294274,219746,174955,79754,31298,72150,
"Other Current Liabilities",224861,54144,54465,39043,40289,22353,24129,
"Total Current Liabilities",987406,915774,830259,650126,492383,364849,428597,
"Total Liabilities",3256273,3002479,2977734,2778957,1165898,1002540,833130,
"Total Equity and Liabilities",5687585,5516253,5212348,4848284,2761882,2568519,2262610,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"31 Aug 2020","2 Mar 2020","2 Sep 2019","11 Mar 2019","28 Aug 2018","6 Mar 2018","23 Aug 2017",
"Number of Shares in Issue (Actual)",278604174,294293814,277224655,294293814,240403312,251362907,239973603,
"Weighted Average Shares in Issue (Actual)",278604174,276365749,277023122,249202106,240018063,217859827,195379525,
"Fully Diluted Weighted Average Shares in Issue",289986421,287774594,287868328,258988718,249279116,226173525,198154129,
"Market Capitalisation (R'000)",3939463,4281975,3936590,4046540,3245445,3142036,3287638,
"Number of Months",6,12,6,12,6,12,6,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"31 Aug 2020","2 Mar 2020","2 Sep 2019","11 Mar 2019","28 Aug 2018","6 Mar 2018","23 Aug 2017",
"Earnings Per Share (ZARc)",61,149.3,61.1,112.8,47.7,119,67,
"Diluted Earnings Per Share (ZARc)",58.6,143.3,58.8,108.6,45.9,114.7,66.1,
"Headline Earnings Per Share (Cont Ops) (ZARc)",61,148.5,61.1,111.5,46.4,108,56.6,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",58.6,142.6,58.8,107.3,44.7,104,55.8,
"Final Dividend (ZARc)",,45,,40,,31,,
"Dividend Per Share (ZARc)",,45,,40,,31,,
"Other Distributions (ZARc)",,5,,,,,,
"Distributions Per Share (ZARc)",,50,,40,,31,,
"Net Asset Value Per Share (ZARc)",849.3,879.2,776.4,705.6,592.86,582.4,531.9,
"3 Year Beta",0.25,,,,,,,
"Cash Generated Per Share",91.48,190.43,106.84,161.91,35.54,100.51,34.53,
"Net Asset Value Per Share (Base Currency)",849.3,879.2,776.4,705.6,592.86,582.4,531.9,
"Price at Period End (Base Currency)",1414,1455,1420,1375,1350,1250,1370,
"JSE Market Price High (ZARc)",1500,1498,1470,1600,1450,1450,1450,
"JSE Market Price Low (ZARc)",1000,1000,1000,1125,1125,1100,1250,
"JSE Market Price at Period End (ZARc)",1414,1455,1420,1375,1350,1250,1370,
"JSE Volume Traded (Actual)",8501122,22344122,12908628,24557354,13697621,23400100,11904396,
"JSE Rand Value Traded (Actual)",107978353,307767100,175185979,319304155,165929655,307787767,160442339,
"12 Month HEPS",148.4,148.5,126.2,111.5,100.4,108,113.2,
"12 Month Dividend",45,45,40,40,31,31,31,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"31 Aug 2020","2 Mar 2020","2 Sep 2019","11 Mar 2019","28 Aug 2018","6 Mar 2018","23 Aug 2017",
"Cash generated by operations",420106,839219,422643,539159,194455,430241,229078,
"Working capital changes",,,-37592,11746,69201,-89250,-86755,
"Cash generated from operations after WC",346501,768181,385051,550905,125254,340991,142323,
"Net Cash flow from operating activities",254881,560415,296189,476498,85448,252642,82866,
"Net cash flow from investing activities",-188593,-861408,-693040,-501145,-129542,-368547,-49880,
"Net cash flow from financing activities",-182708,-251550,-274131,423239,-17911,344562,128842,
"Dividends paid",-147115,-117154,-117154,-78506,-78506,,,
"Net increase(decrease) in cash & cash equivalents",-116420,-552543,-670982,398592,-62005,228657,161828,
"Cash & Cash Equivalent beginning of period",229293,781679,781679,383047,383047,154404,154404,
"Translation effects on cash & cash equivalents",931,157,45,40,113,-14,-10,
"Cash & Cash Equivalent end of period",113804,229293,110742,781679,321155,383047,316222,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"31 Aug 2020","2 Mar 2020","2 Sep 2019","11 Mar 2019","28 Aug 2018","6 Mar 2018","23 Aug 2017",
"Return on Capital Employed",6.59,8.6,7.33,6.98,9.8,12.11,14.82,
"Return on Shareholder Funds",12.73,15.73,14.38,14.17,13.94,17.05,19.01,
"Return on Total Assets",10.22,12.39,12.38,9.56,14.86,15.7,17.32,
"Gross Profit Margin",33.29,32.04,32.7,35.16,36.61,33.64,33.45,
"Operating Profit Margin",12.85,15.12,15.04,15.04,16.43,15.66,15.87,
"Net Profit Margin",8.45,10.4,9.05,10.89,11.39,12.17,12.39,
"Debt:Equity (excl non-int debt)",1,0.95,1.06,1.11,0.47,0.43,0.33,
"Interest Bearing Debt as % of Long-Term Finance",38.12,33.53,36.96,42.31,17.89,16.78,7.83,
"Interest Cover",5.5,6.32,5.5,9.94,23.01,17.64,8.46,
"Quick Ratio",0.97,1.25,0.97,2,1.52,2.08,1.64,
"Current Ratio",1.63,1.89,1.72,2.61,2.3,2.91,2.4,
"Dividend Cover",,2.99,,2.82,,3.84,,
"Dividend Cover (HEPS)",,2.97,,2.79,,3.48,,
"Debtors Collection Period",68.13,64.05,59.34,71.7,76.96,56.96,62.04,
"Stock Turn",4.09,4.63,4.08,4.23,3.31,4.65,4.33,
"Price : Earnings",9.53,9.8,11.25,12.33,13.45,11.57,12.1,
"Sales Per Share (Base Currency)",1435.48,1435.22,1350.16,1036.64,836.84,978.18,1081.96,
"Price/Sales Per Share",0.99,1.01,1.05,1.33,1.61,1.28,1.27,
"Price/Net Asset Value",1.66,1.65,1.83,1.95,2.28,2.15,2.58,
"Price/Cash Flow",30.91,7.64,26.58,8.49,75.97,12.44,79.35,
"NAV%Price",60.06,60.43,54.68,51.32,43.92,46.59,38.82,
"Liquidity%",15.65,18.67,19.89,17.15,14.66,25.2,19.89,
"Cash Flow:Attributable Profit",3.19,1.49,3.49,2.05,1.51,1.2,1.76,
"Cash/Equity (%)",4.97,9.46,5.38,37.77,20.12,24.46,22.12,
"PEG Ratio",0.52,0.54,3.47,3.81,,,,

