"Net Interest Paid/(Received)",-41,-2.2,20.1,8.9,19.6,6.3,12.2,2.6,10.7,7.6,-1.9,-22.7,7,13.8,6.2,7.6,25,4.3,8.6,11.4,5.4,6,-24,23.9,2.8,-5,7.2,29.6,8.7,-0.1,2.8,6,1.5,4.5,12.6,-2.9,5.8,9.6,6.4,3.6,7.2,15.7,0.5,
"Income From Associates Before Tax",,,,,,,,,,,,,,,,,-0.3,-0.3,,,,,-50.1,-50.1,,,,,,,,,,,,,,,,,,,,
"Pre-Tax Profit",978.9,484.5,105.1,-49.3,32.4,77.2,-36.7,-0.3,108.8,27.1,96.8,75.7,16.1,5,6.6,-1.6,-37.2,19.3,-40.5,-16.1,1.4,-17.5,158.5,-200.4,93.3,143,253.1,110.1,384,149.7,83.9,193.9,107.5,94.1,-385.7,-474.8,62.9,59.4,58.5,-3,290.9,211.6,17.6,
"Taxation",343.9,151.6,26.6,-3.1,25.9,16.6,-50.4,-3,46.9,9,28.6,15.7,5.1,7.8,4.7,3.1,17.5,11.4,-4.5,10.3,5.6,4.7,60.9,0.2,12.4,19,35.8,16.8,2,86.3,19.5,74.8,34.4,40.4,29.7,33,3.8,37.4,36.4,5.3,43,8.3,5.3,
"Profit For The Period",635,332.9,78.5,-46.2,6.5,60.6,13.7,2.7,61.9,18.1,68.2,60,11,-2.8,1.9,-4.7,-54.7,7.9,-36,-26.4,-4.2,-22.2,97.6,-200.6,80.9,124,217.3,93.3,382,63.4,64.4,119.1,73.1,53.7,-415.4,-507.8,59.1,22,22.1,-8.3,247.9,203.3,12.3,
"Income Attributable To Minority Interests",,,,,,,,,,,0.4,,0.9,-0.5,0.9,-1.4,-8.9,11.7,-11.3,-8.6,-2,-6.6,48.2,-19.8,18.8,31,45.7,14.7,50,5.3,14.5,47.5,39.8,7.7,-127.5,-139.9,11,1.5,10.1,-8.6,7,-4.5,2.4,
"Attributable Income Before Extraordinary Items",635,332.9,78.5,-46.2,6.5,60.6,13.7,2.7,61.9,18.1,67.8,60,10.1,-2.3,1,-3.3,-45.8,-3.8,-24.7,-17.8,-2.2,-15.6,49.4,-180.8,62.1,93,171.6,78.6,332,58.1,49.9,71.6,33.3,46,-287.9,-367.9,48.1,20.5,12,0.3,240.9,207.8,9.9,
"Extraordinary Loss/(Profit)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-129.1,-92,-37.1,,,,-11.4,-19.6,,,,,
"Extraordinary Loss/(Profit): Discontinued operations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-129.1,-92,,,,,,,,,,,
"Income Attributable To Equity Holders",635,332.9,78.5,-46.2,6.5,60.6,13.7,2.7,61.9,18.1,67.8,60,10.1,-2.3,1,-3.3,-45.8,-3.8,-24.7,-17.8,-2.2,-15.6,49.4,-180.8,62.1,93,171.6,78.6,201,58.1,49.9,200.7,125.3,83.1,-287.9,-367.9,48.1,31.9,31.6,0.3,240.9,207.8,9.9,
"Total Comprehensive Income/Loss for the period",825.6,333.7,72.6,-50.1,7.1,63.1,13.4,5.7,66.3,26.5,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Profit Before Capex",635,332.9,78.5,-46.2,6.5,60.6,13.7,2.7,61.9,18.1,-1901.1,-1908.9,-1958.8,-2.3,-1967.9,-1972.2,-2014.7,-1972.7,-24.7,-2104,-2088.4,-2101.8,49.4,-2244.2,62.1,93,171.6,78.6,201,58.1,49.9,200.7,125.3,83.1,-287.9,-367.9,48.1,31.9,31.6,0.3,240.9,207.8,9.9,
"Profit After Capex",635,332.9,78.5,-46.2,6.5,60.6,13.7,2.7,61.9,18.1,-1901.1,-1908.9,-1958.8,-2.3,-1967.9,-1972.2,-2014.7,-1972.7,-24.7,-2104,-2088.4,-2101.8,49.4,-2244.2,62.1,93,171.6,78.6,201,58.1,49.9,200.7,125.3,83.1,-287.9,-367.9,48.1,31.9,31.6,0.3,240.9,207.8,9.9,
"Headline Earnings (Cont Ops)",634.5,332.7,72.7,-46.3,7,60.4,0.8,-10.2,53.8,10.9,38.7,30.4,9.2,-1,0.1,-1.1,0.7,37.4,-24.7,-12.5,2.3,-14.8,249.4,27.7,55,93,170.2,77.2,329.8,79.2,49.9,125.3,125.3,75.4,107.7,29,48.1,30.6,33.6,-0.3,91.5,48.9,1.6,
"Enterprise Value (EV)",21585.566,4679.823,2708.184,1970.425,1272.619,1513.091,1536.734,2906.595,3328.296,851.42,708.764,586.094,595.464,798.81,798.81,1583.774,1347.32,1347.32,1690.52,1624.035,1629.452,2348.785,2035.761,2035.761,2842.507,2586.633,2586.633,2109.372,2016.46,2002.16,1835.141,1501.765,1500.799,1422.914,1091.072,1091.072,1304.407,1326.107,1326.107,1392.577,1282.556,1282.556,1379.693,

Balance sheet (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Jun 2015","Mar 2015","Dec 2014","Dec 2014","Sep 2014","Jun 2014","Jun 2014","Mar 2014","Dec 2013","Dec 2013","Sep 2013","Jun 2013","Jun 2013","Mar 2013","Dec 2012","Dec 2012","Sep 2012","Jun 2012","Jun 2012","Mar 2012","Dec 2011","Dec 2011","Sep 2011","Jun 2011","Jun 2011","Mar 2011","Dec 2010","Dec 2010","Sep 2010","Jun 2010","Jun 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)",
,"1 Sep 2020","12 Feb 2020","3 Sep 2019","13 Feb 2019","5 Sep 2018","15 Feb 2018","5 Sep 2017","15 Feb 2017","30 Aug 2016","16 Feb 2016","1 Sep 2015","1 Sep 2015","23 Apr 2015","19 Feb 2015","19 Feb 2015","24 Oct 2014","2 Sep 2014","2 Sep 2014","14 May 2014","11 Feb 2014","11 Feb 2014","22 Oct 2013","23 Aug 2013","23 Aug 2013","25 Apr 2013","12 Feb 2013","12 Feb 2013","25 Oct 2012","28 Aug 2012","28 Aug 2012","26 Apr 2012","14 Feb 2012","14 Feb 2012","27 Oct 2011","29 Aug 2011","29 Aug 2011","19 Apr 2011","10 Feb 2011","10 Feb 2011","21 Oct 2010","26 Aug 2010","26 Aug 2010","23 Apr 2010",
"Ordinary Shareholders' Interest",4040.2,2884.9,2688.6,2566.2,1267.3,1344.4,1302.4,1294.7,1339.6,1507.7,1529.9,1529.9,1499.4,1239.4,1239.4,1239.2,1249.1,1249.1,1305.6,1327.4,1327.4,1332.9,1400.9,1400.9,1474.6,1482.8,1482.8,1416.2,1481,1497.2,1448.8,1419.6,1419.6,1291.6,1247.3,1247.3,1613.3,1564.7,1564.7,1531.9,1550.6,1550.6,1448.7,
"Minority Interest",,,,,,,,,,,,,,231.6,231.6,230.7,232.1,232.1,223.1,234.2,234.2,236.2,242.8,242.8,291.2,272.4,272.4,241.4,151,136.7,33.9,19.4,19.4,-20.4,-28.1,-28.1,111.8,100.8,100.8,90.7,99.3,99.3,91,
"Total Shareholders' Interest",4040.2,2884.9,2688.6,2566.2,1267.3,1344.4,1302.4,1294.7,1339.6,1507.7,1529.9,1529.9,1499.4,1471,1471,1469.9,1481.2,1481.2,1528.7,1561.6,1561.6,1569.1,1643.7,1643.7,1765.8,1755.2,1755.2,1657.6,1632,1633.9,1482.7,1439,1439,1271.2,1219.2,1219.2,1725.1,1665.5,1665.5,1622.6,1649.9,1649.9,1539.7,
"Interest Bearing Loans",,,,,,,,,,,,,,,,,75.5,75.5,75.5,75.5,75.5,75.5,143.3,143.3,145.7,146.3,146.3,166,,,,,,40,40.4,40.4,73.8,71.9,71.9,39.8,59,59,65.1,
"Other Long-Term Liabilities",616,748,720,1019.9,608.8,588.4,587.6,590.6,571.3,527.4,521.7,521.7,511.8,502.5,502.5,472.5,460.5,460.5,561.4,549.2,549.2,546.4,533,533,552.3,533.2,533.2,519.9,510.3,510.3,470.8,462,462,504.2,496.5,496.5,463.9,452.2,452.2,609.8,434,434,483.8,
"Other Long-Term Liabilities: Deferred Tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.7,,,,
"Other Long-Term Liabilities: Finance Lease Obligations",,,,,,,,,,,,19.2,19.8,20.4,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Post retirement",,,,,,,,,,,,,,,,9.8,9.3,9.3,9.9,,,9.1,8.7,8.7,,6.1,6.1,6.1,6,6,,,,6.4,,,,,,13.6,,,,
"Other Long-Term Liabilities: Post-retirement provisions",,,,,,,,,,,,9.2,8,8.8,8.8,,,,,8.8,8.8,,,,6.2,,,,,,5.9,5.8,5.8,,,,,,,,,,43.4,
"Other Long-Term Liabilities: Provision for environmental rehabilitation",,,,,,,,,,,,493.3,484,473.3,473.3,462.7,451.2,451.2,551.5,540.4,540.4,537.3,524.3,524.3,546.1,527.1,527.1,513.8,504.3,504.3,,,,497.8,,,,,,429.5,,,440.4,
"Other Long-Term Liabilities: Provision for post-retirement med benefits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,13.8,13.8,,,,,
"Other Long-Term Liabilities: Provisions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.9,456.2,456.2,,,,449.8,438.4,438.4,,,,,
"Long-Term Liabilities",616,748,720,1019.9,608.8,588.4,587.6,590.6,571.3,527.4,521.7,521.7,511.8,502.5,502.5,472.5,536,536,636.9,624.7,624.7,621.9,676.3,676.3,698,679.5,679.5,685.9,510.3,510.3,470.8,462,462,544.2,536.9,536.9,537.7,524.1,524.1,649.6,493,493,548.9,
"Deferred Tax Liability",273.1,270.1,193.2,154.4,163.7,154.2,140.5,188.8,194.7,155.5,147.8,147.8,123.2,120,120,118,116,116,105.4,112.3,112.3,109.1,106.4,106.4,112,98.6,98.6,67.7,90,87,157.4,160.5,160.5,145.3,122.5,122.5,149.7,181.4,181.4,,168.1,168.1,172.4,
"Total Capital Employed",4929.3,3903,3601.8,3740.5,2039.8,2087,2030.5,2074.1,2105.6,2190.6,2199.4,2199.4,2134.4,2093.5,2093.5,2060.4,2133.2,2133.2,2271,2298.6,2298.6,2300.1,2426.4,2426.4,2575.8,2533.3,2533.3,2411.2,2231,2231.2,2110.9,2061.5,2061.5,1960.7,1878.6,1878.6,2412.5,2371,2371,2272.2,2311,2311,2261,
"Mining Assets",2621.1,2738,2775.3,2928.6,1452.7,1502,1497.6,1560.2,1600.5,1665.3,1698.8,1698.8,1693.4,1719.2,1719.2,1734.3,1755.5,1755.5,1778.6,1796.6,1796.6,1775.7,1756.3,1756.3,1838.4,1726.2,1726.2,1692.8,1615,1641.6,1584.2,1570.4,1570.4,1599,1550.1,1550.1,1992.6,1939,1939,1896,1863.2,1863.2,1730.7,
"Investments in Associates",,,,,,,,,,,,,,,,,,,0.3,,,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,
"Investments and Loans",821.3,646,591,653.2,272.7,246.9,236.5,221.4,211.1,210.1,194.1,194.1,235.3,212.1,212.1,214.5,213.4,213.4,316.3,310.9,310.9,310.5,305.2,305.2,322.8,365.9,365.9,299.8,341.7,341.7,115.6,114.2,114.2,161.1,159.3,159.3,157.6,155.9,155.9,154.1,174.2,174.2,184.4,
"Investments and Loans: Environmental rehabilitation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.4,
"Investments and Loans: Other Assets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,
"Deferred Tax Asset",8,9.3,10,5.7,8.7,5,5,4.7,6.8,0.6,1.2,1.2,1.5,1.5,1.5,1.4,1.4,1.4,1.5,1.2,1.2,1.5,2.9,2.9,19.1,14,14,6.4,38.3,38.3,35.4,46.8,46.8,57.3,69.2,69.2,80.8,118,118,137.6,140.7,140.7,200.3,
"Other Assets",35,,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stores",323.4,306.2,304.6,279.6,233,242.7,180.3,186.7,160.7,173.5,168.7,168.7,140.6,137,137,126.6,147.2,147.2,141.3,122.3,122.3,124.9,138.8,138.8,111.1,104.1,104.1,91.8,105.8,105.8,81.6,89.7,89.7,115.1,122.9,122.9,95.5,101.2,101.2,126.7,132.6,132.6,98,
"Debtors and Payments in Advance",146.4,122.7,67.9,101.9,91.2,88.4,114.3,92.4,66.5,135.8,93.3,93.3,96.7,83.1,83.1,103.4,99.5,99.5,108.5,128.8,128.8,124.4,82.7,82.7,136.9,162.2,162.2,211.1,66.3,66.3,118.6,92,92,190.8,128,128,119.3,96.5,96.5,107.9,66.3,66.3,150,
"Cash",1715.1,543.4,279.5,209.4,302.1,294.6,253.7,290.3,351.8,253.8,324.4,324.4,286,242.3,242.3,204.3,208.9,208.9,206.7,199.4,199.4,330.8,376.7,376.7,410.3,397.7,397.7,409.9,298.5,298.5,379.8,320.9,320.9,293.9,259.1,259.1,268.6,233.7,233.7,146.6,188.2,188.2,201.3,
"Other Current Assets",4.9,,4.1,,,,,10.3,21.7,21.3,22.6,22.6,9.2,10.5,10.5,9.3,14.8,14.8,4.4,,,,6.1,6.1,,,,,,,218.5,214.2,214.2,,,,15,15,15,15,15,15,15,
"Current Assets",2189.8,972.3,656.1,590.9,626.3,625.7,548.3,579.7,600.7,584.4,609,609,532.5,472.9,472.9,443.6,470.4,470.4,460.9,450.5,450.5,580.1,604.3,604.3,658.3,664,664,712.8,469,470.6,798.5,716.8,716.8,599.8,510,510,498.4,446.4,446.4,396.2,402.1,402.1,464.3,
"Total Assets",5675.2,4365.6,4060,4178.4,2360.4,2379.6,2287.4,2366,2419.1,2460.4,2503.1,2503.1,2462.7,2405.7,2405.7,2393.8,2440.7,2440.7,2557.6,2559.2,2559.2,2668.1,2669,2669,2838.6,2770.1,2770.1,2711.8,2464,2492.2,2533.7,2448.2,2448.2,2417.2,2288.6,2288.6,2729.4,2659.3,2659.3,2583.9,2580.2,2580.2,2579.7,
"Creditors and Provisions",478.8,380.6,419.2,404.4,303.2,275.8,251.7,270.5,288.9,247.8,258.4,258.4,224.4,208.7,208.7,232.2,211.8,211.8,212.1,188.2,188.2,274.6,217.3,217.3,238.8,214.7,214.7,269.8,230.3,230.3,239.9,209.1,209.1,375.8,330.7,330.7,238.1,209.8,209.8,311.7,269.2,269.2,268.7,
"Tax",29.4,17.6,5.4,6.1,4.2,6.6,5.2,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bank Overdrafts/Short-Term Loans",,,,,,,,,,,23.1,23.1,77.5,77.6,77.6,77.5,73.2,73.2,72.5,72.4,72.4,92.4,24.3,24.3,24,22.1,22.1,30.8,30.7,30.7,30.6,30.5,30.5,80.7,79.3,79.3,78.8,78.5,78.5,,,,,
"Other Current Liabilities",237.7,64.4,33.6,27.4,13.2,10.2,,16.2,24.6,22,22.2,22.2,26.4,25.9,25.9,23.7,22.5,22.5,2,,,1,1,1,,,,,,,152.3,147.1,147.1,,,,,,,,,,50,
"Current Liabilities",745.9,462.6,458.2,437.9,320.6,292.6,256.9,291.9,313.5,269.8,303.7,303.7,328.3,312.2,312.2,333.4,307.5,307.5,286.6,260.6,260.6,368,242.6,242.6,262.8,236.8,236.8,300.6,257,261,422.8,386.7,386.7,456.5,410,410,316.9,288.3,288.3,311.7,269.2,269.2,318.7,
"Net Current Assets",1443.9,509.7,197.9,153,305.7,333.1,291.4,287.8,287.2,314.6,305.3,305.3,204.2,160.7,160.7,110.2,162.9,162.9,174.3,189.9,189.9,212.1,361.7,361.7,395.5,427.2,427.2,412.2,212,209.6,375.7,330.1,330.1,143.3,100,100,181.5,158.1,158.1,84.5,132.9,132.9,145.6,
"Employment of Capital - Balance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Jun 2015","Mar 2015","Dec 2014","Dec 2014","Sep 2014","Jun 2014","Jun 2014","Mar 2014","Dec 2013","Dec 2013","Sep 2013","Jun 2013","Jun 2013","Mar 2013","Dec 2012","Dec 2012","Sep 2012","Jun 2012","Jun 2012","Mar 2012","Dec 2011","Dec 2011","Sep 2011","Jun 2011","Jun 2011","Mar 2011","Dec 2010","Dec 2010","Sep 2010","Jun 2010","Jun 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)",
,"1 Sep 2020","12 Feb 2020","3 Sep 2019","13 Feb 2019","5 Sep 2018","15 Feb 2018","5 Sep 2017","15 Feb 2017","30 Aug 2016","16 Feb 2016","1 Sep 2015","1 Sep 2015","23 Apr 2015","19 Feb 2015","19 Feb 2015","24 Oct 2014","2 Sep 2014","2 Sep 2014","14 May 2014","11 Feb 2014","11 Feb 2014","22 Oct 2013","23 Aug 2013","23 Aug 2013","25 Apr 2013","12 Feb 2013","12 Feb 2013","25 Oct 2012","28 Aug 2012","28 Aug 2012","26 Apr 2012","14 Feb 2012","14 Feb 2012","27 Oct 2011","29 Aug 2011","29 Aug 2011","19 Apr 2011","10 Feb 2011","10 Feb 2011","21 Oct 2010","26 Aug 2010","26 Aug 2010","23 Apr 2010",
"Number of Shares in  Issue (Actual)",864588711,696429767,696429767,696429767,431429767,431429767,431429767,431429767,431429767,423455750,431651117,379228208,379228208,379228208,379228208,385383767,385383767,385383767,385383767,385383767,386831995,388971724,379178208,379178208,389931124,385383767,385383767,385383767,398740179,398740179,385383767,385383767,385173763,384884379,384884379,384884379,384884379,384884379,384884379,384884379,384884379,384884379,380987431,
"Weighted Average Number of Shares (Actual)",769941874,686954847,664553283,642421957,422068696,422068696,422068696,422068696,422157987,423455750,389699441,421228208,379228208,379228208,379228208,379228208,379209441,379228208,379228208,379190980,379203751,379178208,379178208,379178208,385383767,379178208,379178208,379178208,384169915,382373999,384229290,385029071,385173763,384884379,384884379,384884379,384884379,384884379,384884379,384884379,382569557,380407239,380987431,
"Fully Diluted Weighted Average Shares in Issue",783689559,704694448,679940978,642421957,422068696,422068696,422068696,422068696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JSE Market Capitalisation (R000)",23300666,5223223,2987684,2179825,1574719,1807691,1790434,3196895,3680096,1105220,1010064,887394,803964,731910,731910,1479874,1175420,1175420,1526120,1441335,1446752,2275485,2002061,2002061,2791907,2543533,2543533,2081072,2133260,2133260,2150441,1772765,1771799,1616514,1258572,1258572,1308607,1308607,1308607,1408677,1312456,1312456,1424893,
"Number of Months",12,6,12,6,12,6,12,6,12,6,12,3,3,6,3,3,12,3,3,6,3,3,12,3,3,3,6,3,12,3,3,6,3,3,12,3,3,6,3,3,3,12,3,
"Number of Employees",,,,,,,2215,,2484,,,,,,,,,,,,,,,,,,,,,,,,,,6875,,,,,,5791,6409,,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Jun 2015","Mar 2015","Dec 2014","Dec 2014","Sep 2014","Jun 2014","Jun 2014","Mar 2014","Dec 2013","Dec 2013","Sep 2013","Jun 2013","Jun 2013","Mar 2013","Dec 2012","Dec 2012","Sep 2012","Jun 2012","Jun 2012","Mar 2012","Dec 2011","Dec 2011","Sep 2011","Jun 2011","Jun 2011","Mar 2011","Dec 2010","Dec 2010","Sep 2010","Jun 2010","Jun 2010","Mar 2010",
