,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"28 Sep 2020","12 Mar 2020","26 Sep 2019","26 Mar 2019","28 Sep 2018","19 Mar 2018","28 Sep 2017","16 Mar 2017",
"Earnings Per Share (ZARc)",-413,17,26,8,53,39,61,16,
"Diluted Earnings Per Share (ZARc)",-413,17,26,8,53,39,61,16,
"Headline Earnings Per Share (Cont Ops) (ZARc)",-413,17,26,8,53,39,61,16,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",-413,17,26,8,53,39,61,,
"Net Asset Value Per Share (ZARc)",665,1148,1134,1116,1100,1082,1041,997,
"3 Year Beta",0.87,0.08,,,,,,,
"Cash Generated Per Share",-2.34,10.29,-19.23,-4.73,-9.77,-13.28,-971.89,3.37,
"Net Asset Value Per Share (Base Currency)",665,1148,1134,1116,1100,1082,1041,997,
"Price at Period End (Base Currency)",411,753,780,780,790,845,874,910,
"JSE Market Price High (ZARc)",800,800,850,850,955,885,1026,1026,
"JSE Market Price Low (ZARc)",316,700,690,740,725,790,800,800,
"JSE Market Price at Period End (ZARc)",411,753,780,780,790,845,874,910,
"JSE Volume Traded (Actual)",44729235,10564621,53120048,31955239,52854262,26469520,37695626,19470886,
"JSE Rand Value Traded (Actual)",254254046,78421105,408209560,248078073,439947477,224899531,347948897,184264702,
"12 Month HEPS",-413,35,26,22,53,69.5,61,32,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"28 Sep 2020","12 Mar 2020","26 Sep 2019","26 Mar 2019","28 Sep 2018","19 Mar 2018","28 Sep 2017","16 Mar 2017",
"Cash generated by operations",686,17120,-25188,-5695,-11035,,,,
"Cash generated from operations after WC",,,,,,33183,,,
"Net Cash flow from operating activities",-6037,16205,-30281,-7454,-15743,-21836,-1749006,6067,
"Net cash flow from investing activities",-764879,-13935,48507,25776,64591,55019,-1732697,-1755168,
"Net cash flow from financing activities",775327,,-28086,-28086,-45981,-17344,1765012,1765359,
"Net increase(decrease) in cash & cash equivalents",4411,2270,-9860,-9764,2867,15839,16006,16258,
"Cash & Cash Equivalent beginning of period",3576,3576,13414,13414,10504,10504,,,
"Translation effects on cash & cash equivalents",6,2,22,23,43,-94,-5502,-5502,
"Cash & Cash Equivalent end of period",7993,5848,3576,3673,13414,26249,10504,10756,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"28 Sep 2020","12 Mar 2020","26 Sep 2019","26 Mar 2019","28 Sep 2018","19 Mar 2018","28 Sep 2017","16 Mar 2017",
"Return on Capital Employed",-42.66,2.68,2.13,1.37,4.54,6.71,5.47,3.22,
"Return on Shareholder Funds",-47.27,2.89,2.29,1.48,4.89,7.23,5.89,3.22,
"Return on Total Assets",-42.28,2.78,2.33,1.61,4.71,6.85,5.61,3.36,
"Operating Profit Margin",101.51,83.27,79.13,71.95,87.85,80.19,84.6,72.55,
"Net Profit Margin",103.63,71.88,71.85,60.91,84.48,78.41,82.05,69.31,
"Debt:Equity (excl non-int debt)",0.11,0.08,0.08,0.08,0.08,0.08,0.08,,
"Interest Bearing Debt as % of Long-Term Finance",9.75,7.11,6.94,6.78,6.48,6.43,6.15,,
"Interest Cover",-61.93,10.37,5628.38,3828.75,,,,,
"Quick Ratio",1.59,15.65,66.12,91.16,183.84,275.26,225.63,650.13,
"Current Ratio",1.59,15.65,66.12,91.16,183.84,275.26,225.63,650.13,
"Debtors Collection Period",-2.21,1.98,107.38,3.95,3.53,,78.52,105.83,
"Price : Earnings",-1,21.51,30,35.45,14.91,12.16,14.33,28.44,
"Sales Per Share (Base Currency)",-398.88,46.12,35.96,26.78,62.69,99.28,74.71,46.28,
"Price/Sales Per Share",-1.03,16.33,21.69,29.13,12.6,8.51,11.7,19.66,
"Price/Net Asset Value",0.62,0.66,0.69,0.7,0.72,0.78,0.84,0.91,
"Price/Cash Flow",-175.31,146.36,-40.56,-329.62,-80.84,-127.26,-0.9,540.06,
"NAV%Price",161.8,152.46,145.38,143.08,139.24,128.05,119.11,109.56,
"Liquidity%",-3.12,20.7,-21.17,-10.5,-11.09,-31.24,-1228.19,541.7,
"Cash Flow:Attributable Profit",0.01,1.24,-0.74,-1.15,-0.18,-0.68,-17.14,0.42,
"Cash/Equity (%)",0.47,0.32,0.2,0.21,0.76,1.48,0.61,,
"EV/Ebitda (Pd)",,43.6,30.16,88.33,15.34,,,,
"PEG Ratio",,-0.67,-0.94,-2.7,-1.14,,,,

