"Net Interest Paid/(Received)",2197,3023,2205,3034,618,2275,1268,2817,1159,2485,1146,2101,812,1909,816,2297,1205,2942,1642,4068,
"Income Before Tax",-14465,-25951,-18410,-26484,-5090,-2291,4807,-26382,9679,533,6262,7448,4499,13218,9268,14313,8688,-58315,-29365,12207,
"Taxation",-1611,-5095,-3524,-4300,-441,-1139,1346,3056,2855,474,1808,2308,1305,3991,2595,4345,2345,3738,964,2626,
"Profit For The Period",-12854,-20856,-14886,-22184,-4649,-1152,3461,-29438,6824,59,4454,5140,3194,9227,6673,9968,6343,-62053,-30329,9581,
"Income From Associates After Tax",,,,,,,,,,,,,,-400,-366,,,,,,
"Attributable Income Before Extraordinary Items",-12854,-20856,-14886,-22184,-4649,-1152,3461,-29438,6824,59,4454,5140,3194,8827,6307,9968,6343,-62053,-30329,9581,
"Extraordinary Profit",1391,-2474,-1243,,,,,,,,,,,,,-2488,-1935,-12554,,2662,
"Extraordinary Profit: Discontinued Operations",1391,-2474,-1243,,,,,,,,,,,,,-2488,,,,,
"Extraordinary Profit: Profit for discontinued operations",,,,,,,,,,,,,,,,,-1935,-12554,,2662,
"Income Attributable To Equity Holders",-11463,-23330,-16129,-22184,-4649,-1152,3461,-29438,6824,59,4454,5140,3194,8827,6307,7480,4408,-74607,-30329,12243,
"Total Comprehensive Income/Loss for the period",,-23330,,-22184,-1995,6171,3322,-29824,6824,59,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-11469,,-10369,-22175,-4659,-1107,3465,7516,6824,58,4454,5118,3154,8854,6307,10188,4408,-3660,3517,12170,
"Enterprise Value (EV)",31923,92664,89357,96140,96527,95717,106300,127418,96896,86422,75950,91888,116085,103494,73306,90899,82323,65427,93196,74640,

Balance sheet (ZAR '000),"Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"4 May 2020","31 Oct 2019","29 Mar 2019","12 Oct 2018","23 Feb 2018","29 Sep 2017","27 Feb 2017","28 Sep 2016","29 Feb 2016","28 Sep 2015","2 Mar 2015","29 Sep 2014","3 Mar 2014","26 Sep 2013","28 Feb 2013","27 Sep 2012","23 Feb 2012","23 Sep 2011","29 Mar 2011","22 Sep 2010",
"Fixed Assets",52921,55227,58688,61427,63074,54339,48580,50191,50572,50845,50295,52576,44538,45302,44184,45078,46487,48348,35311,37153,
"Investments and Loans",2800,2800,,,,,,,,,,,,,,,,,,,
"Goodwill",,,3985,9751,9751,,,,36963,36963,38614,36963,38564,34928,34928,34928,34928,34928,62424,96290,
"Intangible Assets",,1143,6782,7141,7505,1500,1564,1663,1749,1816,,1864,,531,392,535,729,1169,1778,2440,
"Deferred Tax Asset",5599,4519,4412,1695,3784,3046,2534,2425,2870,2844,2693,2846,3189,3317,2803,2803,2940,2940,3512,3512,
"Other Assets",5310,,,,,,,,,,,,,2041,4091,4057,3938,,,,
"Total Fixed Assets",66632,63689,73867,80014,84114,58885,52678,54279,92154,92468,91602,94249,86291,86119,86398,87401,89022,87385,103025,139395,
"Stock",45233,56785,87907,80234,82272,80157,93488,104147,81289,76280,72898,76018,67419,51965,56195,44522,41788,41360,42230,46994,
"Debtors",17957,35646,31767,47003,47840,47266,36999,37201,54579,37900,53616,42932,45213,41192,36595,43220,52010,34918,64807,60611,
"Cash",2635,1873,8695,6530,5519,201,212,181,142,170,359,7591,237,388,872,21709,15271,15729,453,1170,
"Tax",1143,3003,2173,2027,2035,2022,4800,4800,1875,1875,2173,2173,2897,2770,1312,1377,,2647,,,
"Other Current Assets",32716,40,,8231,302,1726,1369,1913,4685,4530,7188,7175,5794,4953,2772,4378,,16649,,,
"Total Current Assets",99684,97347,130542,144025,137968,131372,136868,148242,142570,120755,136234,135889,121560,101268,97746,115206,109069,111303,107490,108775,
"Total Assets",166316,161036,204409,224039,222082,190257,189546,202521,234724,213223,227836,230138,207851,187387,184144,202607,198091,198688,210515,248170,
"Ordinary Share Capital & Premium",150557,150557,150557,150557,150803,147613,147613,137950,136993,136993,136993,136710,135836,126382,126379,126077,125384,125555,125713,124916,
"Distributable Reserves",-101765,-90276,-83670,-67541,-47530,-45755,-41492,-43798,4761,-14746,-2707,-15192,-10853,-14047,-17674,-23981,-28020,-32428,11433,43984,
"Non-Distributable Reserves",32373,31202,27094,27216,27394,27614,20291,22020,22632,22632,22830,22830,22215,22215,23139,23139,23924,23924,10557,10557,
"Other Capital",342,73,109,109,1285,1015,334,334,,,,,1484,,,,,,,,
"Ordinary Shareholders' Interest",81507,91556,94090,110341,131952,130487,126746,116506,164386,144879,157116,144348,148682,134550,131844,125235,121288,117051,147703,179457,
"Total Shareholders' Interest",81507,91556,94090,110341,131952,130487,126746,116506,164386,144879,157116,144348,148682,134550,131844,125235,121288,117051,147703,179457,
"Non-Interest Bearing Loans",,,,,,,,,,,,,,,,2850,5700,8550,11498,14500,
"Interest Bearing Loans",5454,2076,1810,,,,,,,,,,,,,,,,,,
"Deferred Tax Liability",,,,3645,9137,6613,8767,7312,9354,4422,9396,6266,4748,4791,4199,4199,10947,5247,2915,2915,
"Other Long-Term Liabilities",,,,,14034,,,,,,,,,,,,,,432,233,
"Total Long-Term Liabilities",5454,2076,1810,3645,23171,6613,8767,7312,9354,4422,9396,6266,4748,4791,4199,7049,16647,13797,14845,17648,
"Creditors and Provisions",31512,47767,76127,72732,47923,41635,38753,48007,38870,35731,47102,45612,39865,32284,33668,38315,30801,31999,34488,37304,
"Tax",,483,2194,2703,4792,500,84,84,776,1236,480,758,,1333,369,385,2896,551,1268,526,
"Bank Overdrafts/Short-Term Loans",23529,18597,27953,32987,8671,8786,12678,28360,18887,24568,11804,30205,12080,9440,6402,24205,25229,21496,5486,5756,
"Other Current Liabilities",24314,557,2234,1631,5573,2236,2518,2252,2451,2387,1938,2949,2476,4989,7662,7418,1230,13794,6725,7479,
"Total Current Liabilities",79355,67404,108508,110053,66959,53157,54033,78703,60984,63922,61324,79524,54421,48046,48101,70323,60156,67840,47967,51065,
"Total Liabilities",84809,69480,110318,113698,90130,59770,62800,86015,70338,68344,70720,85790,59169,52837,52300,77372,76803,81637,62812,68713,
"Total Equity and Liabilities",166316,161036,204409,224039,222082,190257,189546,202521,234724,213223,227836,230138,207851,187387,184144,202607,198091,198688,210515,248170,

Share/unit data,"Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"4 May 2020","31 Oct 2019","29 Mar 2019","12 Oct 2018","23 Feb 2018","29 Sep 2017","27 Feb 2017","28 Sep 2016","29 Feb 2016","28 Sep 2015","2 Mar 2015","29 Sep 2014","3 Mar 2014","26 Sep 2013","28 Feb 2013","27 Sep 2012","23 Feb 2012","23 Sep 2011","29 Mar 2011","22 Sep 2010",
"Number of Shares in Issue (Actual)",139366188,139366188,139366188,139366188,139366188,134048757,134048757,124048757,124048757,124048757,124048757,123704022,122638059,111108109,111108109,111108119,111108109,111108119,111108119,111108119,
"Weighted Average Shares in Issue (Actual)",133609965,136366188,133827505,133827505,135471498,130405641,130487285,118852355,118687089,118628531,118570928,114635975,111511421,105335517,104932950,104103060,104809755,104231138,101854248,101843234,
"Fully Diluted Weighted Average Shares in Issue",133609965,,136724476,136724476,135368469,133302612,132474589,131175083,118687089,118628531,118570928,115111585,113327263,105335517,104932950,104968060,,106710638,,,
"Market Capitalisation (R'000)",5575,73864,68289,69683,93375,87132,93834,99239,78151,62024,64505,69274,104242,94442,67776,85553,66665,51110,76665,55554,
"Number of Months",6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,
"Number of Employees",,,,,,,,,,,,,,,,281,,,,,

Share statistics,"Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"4 May 2020","31 Oct 2019","29 Mar 2019","12 Oct 2018","23 Feb 2018","29 Sep 2017","27 Feb 2017","28 Sep 2016","29 Feb 2016","28 Sep 2015","2 Mar 2015","29 Sep 2014","3 Mar 2014","26 Sep 2013","28 Feb 2013","27 Sep 2012","23 Feb 2012","23 Sep 2011","29 Mar 2011","22 Sep 2010",
"Earnings Per Share (ZARc)",-8.58,-17.46,-12.05,-16.58,-3.43,-0.88,2.65,-24.77,5.75,0.05,3.76,4.48,2.86,8.38,6.01,7.19,4.21,-71.58,-29.78,12.02,
"Diluted Earnings Per Share (ZARc)",-8.58,-17.46,-11.8,-16.58,-3.43,-0.86,2.61,-22.44,5.75,0.05,3.76,4.46,2.82,8.38,6.01,7.13,4.21,-69.92,-29.78,12.02,
"Headline Earnings Per Share (Cont Ops) (ZARc)",-8.58,,-7.75,-16.57,-3.43,-1.37,2.66,6.32,5.75,0.05,3.76,4.46,2.81,8.41,6.01,9.47,6.05,8.53,3.45,9.34,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",-8.58,,-7.58,-16.22,-3.43,-1.34,2.62,5.73,5.75,0.05,3.76,4.45,2.77,8.41,6.01,9.66,6.05,-3.43,3.45,9.34,
"Interim Dividend (ZARc)",,,,,,,,,,,,,,,,,,,,2,
"Final Dividend (ZARc)",,,,,,,,,,,,,,,,,,,,2,
"Dividend Per Share (ZARc)",,,,,,,,,,,,,,,,,,,,4,
"Distributions Per Share (ZARc)",,,,,,,,,,,,,,,,,,,,4,
"Net Asset Value Per Share (ZARc)",58.48,65.69,67.51,82.31,95,97.34,97,98,133,117,127,123,120,121.1,119,112.71,109,105.35,133,162,
"3 Year Beta",2.61,4.99,4.89,0.9,-0.54,-1.33,-1.54,-1.49,-0.71,0.39,0.22,-0.55,-0.47,-0.27,0.05,-0.34,-0.22,0.04,-0.21,-0.29,
"Cash Generated Per Share",-6.91,-9.73,-3.03,4.34,5.1,9.31,5.98,-2.99,6.33,-0.33,9.55,-5.36,-0.24,1.42,0.03,6.95,2.12,8.89,4.91,12.5,
"Net Asset Value Per Share (Base Currency)",58.48,65.69,67.51,82.31,95,97.34,97,98,133,117,127,123,120,121.1,119,112.71,109,105.35,133,162,
"Price at Period End (Base Currency)",4,53,49,50,67,65,70,80,63,50,52,56,85,85,61,77,60,46,69,50,
"JSE Market Price High (ZARc)",54,57,57,85,85,102,102,85,76,70,62,150,150,94,79,100,100,78,78,65,
"JSE Market Price Low (ZARc)",4,4,14,23,30,61,68,26,26,45,45,52,69,52,52,45,45,40,48,25,
"JSE Market Price at Period End (ZARc)",4,53,49,50,67,65,70,80,63,50,52,56,85,85,61,77,60,46,69,50,
"JSE Volume Traded (Actual)",36045,115942,85095,6493101,6036056,5573449,4440014,6039699,3675621,24065502,2885648,11033302,3761563,5794351,3449691,5871630,3397698,26024776,22652700,21748642,
"JSE Rand Value Traded (Actual)",9097,59189,42479,4645546,4392384,4682154,3806464,4045757,2210098,13043995,1542098,8696416,4003344,4051898,2314436,3602680,1982888,16877412,15041899,9395458,
"12 Month HEPS",-18.29,-17.46,-20.89,-16.57,-7.46,-1.37,3.23,6.32,2.04,0.05,5.41,4.46,5.21,8.41,9.43,9.47,11.94,8.53,4.54,9.34,
"12 Month Dividend",,,,,,,,,,,,,,,,,,,2,4,

Cash flow items,"Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"4 May 2020","31 Oct 2019","29 Mar 2019","12 Oct 2018","23 Feb 2018","29 Sep 2017","27 Feb 2017","28 Sep 2016","29 Feb 2016","28 Sep 2015","2 Mar 2015","29 Sep 2014","3 Mar 2014","26 Sep 2013","28 Feb 2013","27 Sep 2012","23 Feb 2012","23 Sep 2011","29 Mar 2011","22 Sep 2010",
"Cash generated by operations",,-10071,,9552,,,,,,,,,,,,13689,4164,15666,7469,19366,
"Working capital changes",,,,,,,916,,-936,,,,,,,,,,,,
"Cash generated from operations after WC",,,,,,,,2930,,,,,,,,,,,,,
"Net Cash flow from operating activities",-9635,-13555,-4225,6043,7104,12477,8016,-3705,7858,-407,11843,-6629,-292,1580,30,7719,2351,9880,5459,13892,
"Net cash flow from investing activities",286,19015,9549,-23815,-17092,-1089,-69,-1032,-2205,-1377,-674,-4083,351,-2741,-517,1306,-3374,-2623,-671,-4022,
"Net cash flow from financing activities",6111,-1118,-1090,15098,15421,8206,7766,956,,,,-2850,-2850,-5395,-2547,-5754,-3169,-8438,-5235,-8887,
"Net increase(decrease) in cash & cash equivalents",-3238,-4658,4234,-2674,5433,19594,15713,-3781,5653,-1784,11169,-13562,-2791,-6556,-3034,3271,-4192,-1181,-447,983,
"Cash & Cash Equivalent beginning of period",-15918,-11260,-11260,-8586,-8585,-28179,-28179,-24398,-24398,-22614,,,,,,,,,,,
"Cash & Cash Equivalent end of period",-19156,-15918,-7026,-11260,-3152,-8585,-12466,-28719,-18745,-24398,,,,,,,,,,,

Ratios,"Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"4 May 2020","31 Oct 2019","29 Mar 2019","12 Oct 2018","23 Feb 2018","29 Sep 2017","27 Feb 2017","28 Sep 2016","29 Feb 2016","28 Sep 2015","2 Mar 2015","29 Sep 2014","3 Mar 2014","26 Sep 2013","28 Feb 2013","27 Sep 2012","23 Feb 2012","23 Sep 2011","29 Mar 2011","22 Sep 2010",
"Return on Capital Employed",-26.36,-24.92,-33.64,-19.46,-5.99,-0.84,5.11,-23.78,7.86,0.04,5.35,3.41,4.16,6.33,9.27,5.65,6.39,-57.02,-37.32,6.21,
"Return on Shareholder Funds",-28.13,-25.48,-34.28,-20.1,-7.05,-0.88,5.46,-25.27,8.3,0.04,5.67,3.56,4.3,6.56,9.57,5.97,7.27,-63.74,-41.07,6.82,
"Return on Total Assets",-17.4,-16.23,-19.01,-12.79,-4.97,-1.21,5.11,-13.13,9.88,0.31,6.62,3.89,5.32,8.44,11.96,8.56,10.7,7.6,-40.14,8.17,
"Gross Profit Margin",44.93,41.71,37.47,40.31,43.78,40.24,45.84,50.22,50.51,49.59,50.17,52.19,52.29,52.42,53.76,52.62,53.7,54.47,51.98,52.89,
"Operating Profit Margin",-12.98,-8.04,-13.46,-7.95,-2.92,-0.01,3.81,-7.3,6.26,0.95,4.34,3.1,3.39,5.32,6.89,5.88,6.9,6.13,-21.7,6.38,
"Net Profit Margin",-12.13,-8.18,-13.39,-7.52,-3.03,-0.39,2.17,-9.12,3.94,0.02,2.61,1.67,2.04,3.11,4.31,2.65,3.08,-29.92,-23.74,4.8,
"Debt:Equity (excl non-int debt)",0.36,0.23,0.32,0.33,0.24,0.12,0.17,0.31,0.17,0.2,0.13,0.25,0.11,0.11,0.08,0.23,0.3,0.23,0.06,0.05,
"Interest Bearing Debt as % of Long-Term Finance",6.27,2.22,1.89,,,,,,,,,,,,,,,,,,
"Interest Cover",-5.58,-7.58,-7.35,-7.73,-7.24,-0.01,4.79,-8.37,9.35,1.21,6.46,4.54,6.54,7.92,12.36,7.23,8.21,-18.82,-16.88,4,
"Quick Ratio",0.69,0.6,0.39,0.58,0.83,0.96,0.8,0.56,1,0.7,1.03,0.75,0.99,1.03,0.86,1.01,1.12,1.03,1.36,1.21,
"Current Ratio",1.26,1.44,1.2,1.31,2.06,2.47,2.53,1.88,2.34,1.89,2.22,1.71,2.23,2.11,2.03,1.64,1.81,1.64,2.24,2.13,
"Dividend Cover",,,,,,,,,,,,,,,,,,,,3.01,
"Dividend Cover (HEPS)",,,,,,,,,,,,,,,,,,,,2.34,
"Debtors Collection Period",34.67,45.61,48.14,58.18,56.94,58.47,42.38,42.08,57.57,43.42,57.38,50.86,52.62,52.9,45.6,55.81,66.22,51.1,92.59,86.82,
"Stock Turn",2.3,2.93,1.71,2.19,2.1,2.2,1.85,1.54,2.11,2.11,2.33,1.94,2.22,2.6,,3.01,,2.75,,,
"Price : Earnings",-0.22,-3.04,-2.35,-3.02,-8.98,-47.45,21.67,12.66,30.88,1000,9.61,12.56,16.31,10.11,6.47,8.13,5.03,5.39,15.2,5.35,
"Sales Per Share (Base Currency)",141.5,209.19,179.98,220.35,226.37,226.26,244.19,271.53,291.55,268.58,287.63,268.76,281.23,269.82,279.13,271.53,273.53,239.27,250.84,250.22,
"Price/Sales Per Share",0.03,0.25,0.27,0.23,0.3,0.29,0.29,0.29,0.22,0.19,0.18,0.21,0.3,0.32,0.22,0.28,0.22,0.19,0.28,0.2,
"Price/Net Asset Value",0.07,0.81,0.73,0.61,0.71,0.67,0.72,0.82,0.47,0.43,0.41,0.46,0.71,0.7,0.51,0.68,0.55,0.44,0.52,0.31,
"Price/Cash Flow",-1.16,-5.45,-32.34,11.52,26.27,6.98,23.41,-26.76,19.91,-152.39,10.89,-10.45,-708.33,59.86,4066.67,11.08,56.6,5.17,28.11,4,
"NAV%Price",1462,123.95,137.78,164.62,141.79,149.75,138.57,122.5,211.11,234,244.23,219.64,141.18,142.47,195.08,146.38,181.67,229.02,192.75,324,
"Liquidity%",-22.72,-19.51,-7.66,5.31,15.76,20.88,25.53,-4.31,22.34,-0.6,33.49,-7.73,-0.99,2.99,0.11,9.98,6.12,12.1,17.38,20.22,
"Cash Flow:Attributable Profit",1.5,0.65,0.57,-0.27,-3.06,-10.83,4.63,0.13,2.3,-6.9,5.32,-1.29,-0.18,0.18,0.01,0.77,0.74,1.15,-0.36,1.45,
"Cash/Equity (%)",3.23,2.05,9.24,5.92,4.18,0.15,,,,,,,,,,,,,,,
"EV/Ebitda (Pd)",-2.6,-4.26,-5.51,-4.19,,,,,,,,,,,,,,,,,
"PEG Ratio",,,,,-0.01,-0.02,0.01,0.01,-1,-31.87,-0.87,-1.13,-1.34,-0.83,-1.03,-1.29,0.69,0.75,1.36,0.48,

