"Taxation",7224,3661,-405,369,1426,292,513,489,25990,14318,-1505,-421,-1617,,-110,4116,-1096,3834,1064,7720,5450,4967,503,
"Profit For The Period",-31187,-17144,162408,159700,-261169,-187477,-391603,-407590,-309514,-431459,-27941,-19741,3416,2310,-9396,-30766,-20700,-69447,-11139,30892,17733,25696,13363,
"Income Attributable To Minority Interests",,,,,,,,,,,,,5240,5240,62,-17063,141,-4712,-4998,7335,5836,10727,5764,
"Attributable Income Before Extraordinary Items",-31187,-17144,162408,159700,-261169,-187477,-391603,-407590,-309514,-431459,-27941,-19741,-1824,-2930,-9458,-13703,-20841,-64735,-6141,23557,11897,14969,7599,
"Extraordinary Profit",,,,,,,,,,,-8747,-8747,-92469,-89084,-85981,-195501,,19188,,,,7848,6104,
"Extraordinary Profit: Discontinued Operations",,,,,,,,,,,,-8747,,,-85981,,,19188,,,,7848,6104,
"Income Attributable To Equity Holders",-31187,-17144,162408,159700,-261169,-187477,-391603,-407590,-309514,-431459,-36688,-28488,-94293,-92014,-95439,-209204,-20841,-45547,-6141,23557,11897,22817,13703,
"Headline Earnings (Cont Ops)",-31187,-17144,162408,159700,-260529,-187477,-391603,-407590,-309514,-431459,-14006,-18693,-1792,-2930,-11936,-25276,-19147,-69391,-21044,23873,12027,9827,9317,
"Enterprise Value (EV)",340786,380281,775847,853239,637414,509075,900016,871263,1325977,1614635,1404835,544970,224717,145322,89276,962707,194895,268933,264162,226413,216906,241384,356435,

Balance sheet (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","May 2017","Nov 2016","May 2016","Nov 2015","May 2015","Nov 2014","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (7m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"27 Aug 2020","13 Mar 2020","29 Aug 2019","19 Feb 2019","31 Aug 2018","26 Mar 2018","31 Aug 2017","31 Aug 2017","16 Feb 2017","15 Aug 2016","25 Feb 2016","31 Jul 2015","27 Feb 2015","4 Dec 2014","13 Jun 2014","13 Dec 2013","26 Apr 2013","23 Nov 2012","30 Apr 2012","28 Nov 2011","6 May 2011","25 Nov 2010","23 Apr 2010",
"Fixed Assets",,,,,,801,993,1013,1108,1038,,,,,507,4342,49204,49281,41352,35424,32111,28638,28708,
"Investments in Associates",,,,,,,,,,,,,,,,,5956,6001,5590,36155,28038,26347,4595,
"Investments and Loans",681232,699007,692063,514658,814182,1235480,2023866,1797653,1929087,1040686,1224977,,,,,,,,,,,,,
"Goodwill",,,,,,,,,,,,,,,,34822,169620,171199,184816,184816,184893,184893,247687,
"Intangible Assets",,,,,,,,,,,,,,,339,2910,10616,13100,15849,14467,18074,21693,30109,
"Deferred Tax Asset",249,509,1024,235,235,224,200,266,218,,7026,3216,3216,1665,1724,9777,38236,26326,29296,26002,27392,23093,31217,
"Other Assets",1179,1143,1102,1099,13985,1847,24531,225031,23864,,46803,401504,,10000,111300,,500,500,58610,42385,37917,37346,,
"Total Fixed Assets",682660,700659,694189,515992,828402,1238352,2049590,2023963,1954277,1041724,1278806,404720,3216,11665,113870,51851,274132,266407,335513,339249,328425,322010,342316,
"Stock",,,,,,,,,,,,,,50,34,58688,85155,100172,94824,85981,92022,78166,46147,
"Debtors",120,3837,424733,2474,3175,9356,4312,4414,7159,823,23,46,571,2334,2449,62644,262260,253351,275545,252566,251640,227155,229962,
"Cash",400986,490495,72127,28080,39649,81986,13554,63808,382854,305494,797760,5516,3334,7019,13469,14689,31548,66998,36758,66961,45126,77184,49106,
"Tax",,,,,,105,103,,,,,,,,,883,482,1394,1187,3410,1861,3122,5279,
"Other Current Assets",57395,80828,116069,1348629,911749,568460,2561,92970,5804,698755,396688,113870,205668,228591,106256,264389,18562,53108,8595,6500,9309,19867,45749,
"Total Current Assets",458501,575160,612929,1379183,954573,659907,20530,161192,395817,1005072,1194471,119432,209573,237994,122208,401293,398007,475023,416909,415418,399958,405494,376243,
"Total Assets",1141161,1275819,1307118,1895175,1782975,1898259,2070120,2185155,2350094,2046796,2473277,524152,212789,249659,236078,453144,672139,741430,752422,754667,728383,727504,718559,
"Ordinary Share Capital & Premium",2229084,2347806,2347806,2347806,2347806,2347806,2347806,,2336149,,,,,,,,,,,,,,415853,
"Distributable Reserves",-1089087,-1075044,-1057900,-1092652,-1252352,-1178660,-991183,,-599580,,,,,,,,,,,,,,84814,
"Other Capital",,,,,,,,,,,,,,,,,,,,,,,-56489,
"Ordinary Shareholders' Interest",1139997,1272762,1289906,1255154,1095454,1169146,1356623,1340636,1736569,1442901,1882021,533701,193329,195646,188831,219113,384700,424145,464141,482238,471891,456073,444178,
"Preference Shareholders",,,,32044,32044,32044,32044,32044,32044,,,,,,,,,,,,,,,
"Minority Interest",,,,,,,,,,,,-14221,-14221,-14221,-19400,-8605,50353,59043,59155,64156,62823,56992,82868,
"Total Shareholders' Interest",1139997,1272762,1289906,1287198,1127498,1201190,1388667,1372680,1768613,1442901,1882021,519480,179108,181425,169431,210508,435053,483188,523295,546394,534714,513065,527046,
"Deferred Tax Liability",,,,,,,,,,,,,,,,106,6717,5309,4773,6165,8929,8293,15950,
"Other Long-Term Liabilities",,,,,,523005,514657,535258,506465,500118,497660,,,238,,1251,20927,25511,33229,23901,20159,20030,8942,
"Total Long-Term Liabilities",,,,,,523005,514657,535258,506465,500118,497660,,,238,,1357,27644,30820,38002,30066,29088,28323,24892,
"Creditors and Provisions",1164,1175,17159,2294,44382,20883,12341,11299,14929,6315,42574,4672,3711,1681,5743,57108,165770,195050,167600,170480,135917,157731,132980,
"Tax",,1882,53,159,127,,,505,900,,204,,421,490,490,490,12252,6119,9666,4794,7637,5453,15069,
"Bank Overdrafts/Short-Term Loans",,,,,,,,,,,,,,,,15066,1046,502,11444,440,16186,14495,11534,
"Other Current Liabilities",,,,605524,610968,153181,154455,265413,59187,97462,50818,,29549,65825,60414,168615,30374,25751,2415,2493,4841,8437,7038,
"Total Current Liabilities",1164,3057,17212,607977,655477,174064,166796,277217,75016,103777,93596,4672,33681,67996,66647,241279,209442,227422,191125,178207,164581,186116,166621,
"Total Liabilities",1164,3057,17212,607977,655477,697069,681453,812475,581481,603895,591256,4672,33681,68234,66647,242636,237086,258242,229127,208273,193669,214439,191513,
"Total Equity and Liabilities",1141161,1275819,1307118,1895175,1782975,1898259,2070120,2185155,2350094,2046796,2473277,524152,212789,249659,236078,453144,672139,741430,752422,754667,728383,727504,718559,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","May 2017","Nov 2016","May 2016","Nov 2015","May 2015","Nov 2014","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (7m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"27 Aug 2020","13 Mar 2020","29 Aug 2019","19 Feb 2019","31 Aug 2018","26 Mar 2018","31 Aug 2017","31 Aug 2017","16 Feb 2017","15 Aug 2016","25 Feb 2016","31 Jul 2015","27 Feb 2015","4 Dec 2014","13 Jun 2014","13 Dec 2013","26 Apr 2013","23 Nov 2012","30 Apr 2012","28 Nov 2011","6 May 2011","25 Nov 2010","23 Apr 2010",
"Number of Shares in Issue (Actual)",1075032000,1075032000,1073385000,1075032000,1075032000,1075032000,1075032000,1075032000,1068017000,923139053,925460000,282353707,100946502,100946502,100946502,970935125,92128594,92128594,92128594,91511594,91511594,91511594,91511594,
"Weighted Average Shares in Issue (Actual)",1009411000,1044883000,1073385000,1075032000,1075032000,1075032000,1072433000,1072004000,1068017000,923139053,925460000,221740565,100180601,99701849,98592416,889726462,84282924,88873024,89064478,88522563,89056832,88581951,89561117,
"Fully Diluted Weighted Average Shares in Issue",1009411000,,1073385000,1075032000,1075032000,1075032000,1072433000,1072004000,1068017000,923139053,925460000,221740565,100180601,99701849,98592416,889726125,84282924,88873024,89614818,88935318,89686594,89399094,90336594,
"Market Capitalisation (R'000)",741772,870776,847974,849275,645019,559017,881526,903027,1676787,1920129,2202595,564707,242272,166562,122145,970935,175044,276386,230321,228778,183023,247081,311139,
"Number of Months",12,6,12,6,12,6,7,6,12,6,12,6,15,12,6,12,6,12,6,12,6,12,6,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","May 2017","Nov 2016","May 2016","Nov 2015","May 2015","Nov 2014","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (7m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"27 Aug 2020","13 Mar 2020","29 Aug 2019","19 Feb 2019","31 Aug 2018","26 Mar 2018","31 Aug 2017","31 Aug 2017","16 Feb 2017","15 Aug 2016","25 Feb 2016","31 Jul 2015","27 Feb 2015","4 Dec 2014","13 Jun 2014","13 Dec 2013","26 Apr 2013","23 Nov 2012","30 Apr 2012","28 Nov 2011","6 May 2011","25 Nov 2010","23 Apr 2010",
"Earnings Per Share (ZARc)",-3.09,-1.64,15.13,14.86,-24.29,-17.44,-36.52,-38.02,-32.83,-46.74,-12.29,-12.84,-94.12,-92.29,-98.98,-23.52,-21.6,-52.1,-6.9,26.61,13.36,28.9,15.3,
"Diluted Earnings Per Share (ZARc)",,,,,,,,-38.02,,-46.74,-12.29,-12.84,-94.12,-92.29,-98.98,-23.52,-21.6,-52.1,-6.9,26.5,13.3,28.6,15.2,
"Headline Earnings Per Share (Cont Ops) (ZARc)",-3.09,-1.64,15.13,14.86,-24.23,-17.44,-36.52,-38.02,-32.83,-46.74,-4.69,-8.43,-1.79,-2.94,-9.6,-2.84,-22.7,-78.1,-23.6,27,13.5,11.1,10.4,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",,,,,,,,-38.02,,-46.74,-4.69,-8.43,-1.79,-2.94,-9.6,-2.84,-22.7,-78.1,-23.5,26.8,13.4,11,10.3,
"Final Dividend (ZARc)",,,,,,,,,,,,,,,,,,,,15,,,,
"Dividend Per Share (ZARc)",,,,,,,,,,,,,,,,,,,,15,,,,
"Distributions Per Share (ZARc)",,,,,,,,,,,,,,,,,,,,15,,,,
"Net Asset Value Per Share (ZARc)",106.04,118.39,120.17,120,105,112,129,124.71,166,156.3,203.36,189.02,191.52,193.81,188,225.7,417.57,460.38,503.8,526.97,515.66,498.38,485.38,
"3 Year Beta",-0.07,-0.18,-0.36,-0.37,-0.17,0.12,-0.39,-0.64,-0.5,-0.5,-0.6,-1.26,-1.13,-0.71,-0.54,-0.52,-0.57,-0.36,-0.34,-0.44,-0.23,0.09,0.52,
"Cash Generated Per Share",41.42,39.13,-19.38,12.87,20.93,10.29,51.52,43.17,29.84,1.98,4.91,-1.31,2.24,4.35,-6.45,-4.18,-44.4,-7.11,-51.96,13.7,-36.67,-16.94,-30.67,
"Net Asset Value Per Share (Base Currency)",106.04,118.39,120.17,120,105,112,129,124.71,166,156.3,203.36,189.02,191.52,193.81,188,225.7,417.57,460.38,503.8,527,515.7,498.4,485.4,
"Price at Period End (Base Currency)",69,81,79,79,60,52,82,84,157,208,238,200,240,165,121,100,190,300,250,250,200,270,340,
"JSE Market Price High (ZARc)",85,85,82,82,94,94,157,157,244,244,397,250,275,165,150,330,330,370,290,350,290,610,610,
"JSE Market Price Low (ZARc)",55,61,41,41,44,44,73,78,122,175,165,165,53,53,53,60,160,190,190,190,190,200,260,
"JSE Market Price at Period End (ZARc)",69,81,79,79,60,52,82,84,157,208,238,200,240,165,121,100,190,300,250,250,200,270,340,
"JSE Volume Traded (Actual)",455023656,92669595,143769151,80662798,330660419,242287551,152702633,124470470,294326377,189614416,189758579,40751588,72053364,43259374,29153272,10850630,5123741,12869331,5864294,23837358,11092004,15615424,9021812,
"JSE Rand Value Traded (Actual)",331695849,68175275,92852479,48921134,224860816,170509060,166590089,144108292,540700714,386608294,480511206,83072921,115365254,49256198,32563845,19747534,11324055,33174877,13623676,56277385,25910519,58882596,39334961,
"12 Month HEPS",-3.09,-1.37,15.13,8.07,-24.23,-47.62,-50.19,-24.11,-32.83,-43,-4.69,-9.14,-1.05,-2.94,10.26,-2.84,-77.2,-78.1,-10.1,27,14.2,11.1,22.4,
"12 Month Dividend",,,,,,,,,,,,,,,,,,,,15,,,,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","May 2017","Nov 2016","May 2016","Nov 2015","May 2015","Nov 2014","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (7m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"27 Aug 2020","13 Mar 2020","29 Aug 2019","19 Feb 2019","31 Aug 2018","26 Mar 2018","31 Aug 2017","31 Aug 2017","16 Feb 2017","15 Aug 2016","25 Feb 2016","31 Jul 2015","27 Feb 2015","4 Dec 2014","13 Jun 2014","13 Dec 2013","26 Apr 2013","23 Nov 2012","30 Apr 2012","28 Nov 2011","6 May 2011","25 Nov 2010","23 Apr 2010",
"Cash generated by operations",,,,,,,,,,,,,,,,,,,,,,,-9716,
"Cash generated from operations after WC",418218,404747,-210859,136786,221333,109179,545104,455179,239010,,23874,,,,,,,,,,,,,
"Net Cash flow from operating activities",445330,420670,-207970,138330,224981,110668,553820,464104,318712,18288,45458,-3688,2258,4394,-6513,-40558,-40903,-6548,-47869,12535,-33555,-15501,-28063,
"Net cash flow from investing activities",2251,-2302,939777,-94104,-54115,-7508,-976437,-975846,-747458,-460875,-279154,-144122,26958,-20834,6,-979,5392,4213,-2574,-1009,3513,16927,-7055,
"Net cash flow from financing activities",-118722,,-699329,-55795,-144771,-34728,53317,192696,13840,-49679,1028122,150000,-26761,26634,18409,-11233,-483,2701,9236,-7694,-3707,-27748,-16321,
"Net increase(decrease) in cash & cash equivalents",328859,,32478,-11569,26095,68432,-369300,-319046,-414906,-492266,794426,2190,2455,10194,11902,-52770,-35994,366,-41207,3832,-33749,-26322,-51439,
"Cash & Cash Equivalent beginning of period",72127,72127,39649,39649,13554,13554,382854,382854,797760,797760,3334,3334,,,,,,,,,,,,
"Cash & Cash Equivalent end of period",400986,490495,72127,28080,39649,81986,13554,63808,382854,305494,797760,5516,,,,,,,,,,,,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","May 2017","Nov 2016","May 2016","Nov 2015","May 2015","Nov 2014","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (7m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"27 Aug 2020","13 Mar 2020","29 Aug 2019","19 Feb 2019","31 Aug 2018","26 Mar 2018","31 Aug 2017","31 Aug 2017","16 Feb 2017","15 Aug 2016","25 Feb 2016","31 Jul 2015","27 Feb 2015","4 Dec 2014","13 Jun 2014","13 Dec 2013","26 Apr 2013","23 Nov 2012","30 Apr 2012","28 Nov 2011","6 May 2011","25 Nov 2010","23 Apr 2010",
"Return on Capital Employed",-2.74,-2.69,12.59,24.81,-23.16,-21.75,-35.27,-42.73,-13.6,-44.41,-1.54,-10.97,-39.78,-47.77,-112.59,-106.8,-8.95,-9.78,-3.97,5.36,6.29,6.2,7.05,
"Return on Shareholder Funds",-2.74,-2.69,12.59,24.81,-23.16,-31.22,-48.34,-59.39,-17.5,-59.8,-1.95,-10.97,-39.78,-47.83,-112.59,-107.49,-9.52,-10.4,-4.26,5.65,6.63,6.54,7.39,
"Return on Total Assets",2.45,-0.61,16.19,18.57,-12.56,-17.95,-28.64,-34.17,-12.06,-32.64,-1.19,0.56,0.68,0.93,0.66,-6.42,-8.86,-11.78,-1.79,6.95,8.82,5.89,6.29,
"Gross Profit Margin",,,,,,,,,,,,,38.52,35.1,,8.2,16.98,19.74,25.5,23.93,,30.85,,
"Operating Profit Margin",,,,,,,,,,,,,-471.02,-144.64,,-132.03,-16.83,-28.57,-2,2.65,3.86,3.49,2.85,
"Net Profit Margin",,,,,,,,,,,,,-11830.99,-12187.28,,-1051.49,-15.77,-19.1,-1.47,2.29,2.4,2.91,3.32,
"Debt:Equity (excl non-int debt)",,,,,,0.44,0.37,0.39,0.29,0.35,0.26,,,,,0.08,0.07,0.06,0.09,0.06,0.08,0.08,0.07,
"Interest Cover",1.71,,2.91,4.28,-2.22,-3.68,-8.81,-11.56,11.64,12.41,2.22,3.34,0.68,0.33,29.55,-68.95,48.9,415.51,31.94,-13.56,-39.98,-45.59,-10.39,
"Quick Ratio",393.9,188.15,35.61,2.27,1.46,3.79,0.12,0.58,5.28,9.68,12.76,25.56,6.22,3.5,1.83,1.42,1.49,1.65,1.69,1.85,1.87,1.76,1.98,
"Current Ratio",393.9,188.15,35.61,2.27,1.46,3.79,0.12,0.58,5.28,9.68,12.76,25.56,6.22,3.5,1.83,1.66,1.9,2.09,2.18,2.33,2.43,2.18,2.26,
"Dividend Cover",,,,,,,,,,,,,,,,,,,,1.77,,,,
"Dividend Cover (HEPS)",,,,,,,,,,,,,,,,,,,,1.8,,,,
"Debtors Collection Period",,,,,,,,,,,,,326.87,1128.36,,1149.23,362.12,387.76,120.73,89.56,92.48,105.71,101.55,
"Stock Turn",,,,,,,,,,,,,,9.8,,0.31,2.58,1.91,6.55,9.11,,6.94,,
"Price : Earnings",-22.33,-59.12,5.22,9.79,-2.48,-1.09,-1.63,-3.48,-4.78,-4.84,-50.75,-21.87,-227.49,-56.12,11.79,-35.21,-2.46,-3.84,-24.75,9.26,14.08,24.32,15.18,
"Sales Per Share (Base Currency)",,,,,,,,,,,,,0.64,0.76,,2.24,313.64,268.34,935.33,1162.83,1115.18,885.42,922.93,
"Price/Sales Per Share",,,,,,,,,,,,,375,217.11,,44.64,0.61,1.12,0.27,0.21,0.18,0.3,0.37,
"Price/Net Asset Value",0.65,0.68,0.66,0.66,0.57,0.46,0.64,0.67,0.95,1.33,1.17,1.06,1.25,0.85,0.64,0.44,0.46,0.65,0.5,0.47,0.39,0.54,0.7,
"Price/Cash Flow",1.67,4.14,-4.08,12.28,2.87,10.11,2.73,3.89,5.26,210.1,48.47,-305.34,85.71,37.93,-37.51,-23.92,-8.56,-42.19,-9.62,18.25,-10.91,-15.94,-22.17,
"NAV%Price",153.69,146.16,152.11,151.9,175,215.38,157.32,148.46,105.73,75.15,85.45,94.51,79.8,117.46,155.37,225.7,219.77,153.46,201.52,210.79,257.83,184.58,142.76,
"Liquidity%",38258.59,27521.75,-1208.28,45.51,34.32,31.75,139.32,114.24,54.81,6.06,7.69,-157.88,5.36,6.44,-19.54,-16.72,-34.5,-2.54,-41.78,6.02,-34.65,-7.23,-29.31,
"Cash Flow:Attributable Profit",21.51,-111.66,-0.98,1.58,-1,-1.3,-2.74,-2.48,-1.03,-0.1,-1.63,-3.93,-0.99,-1.5,-15.69,2.96,3.93,0.1,95.64,0.53,-5.64,-1.04,-7.39,
"Cash/Equity (%)",35.17,38.54,5.59,2.18,3.52,,,,,,,,,,,,,,,,,,,
"EV/Ebitda (Pd)",,-28.2,,,,,,,,,,,,,,,,,,,,,,
"PEG Ratio",0.21,0.51,-0.05,-0.07,0.02,0.01,0.01,0.03,0.04,0.06,0.61,0.96,9.97,1.27,-0.3,0.67,0.06,0.1,-1.86,0.69,2.1,3.63,2.32,

