"Bank O/D & S/T Loans",330,335,280,197,197,
"Other Current Liabilities",257,208,12197,263,294,
"Current Liabilities",1434,1385,14201,1464,2440,
"Net Current Assets",1599,1557,1453,1554,2408,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"11 Aug 2020","11 Mar 2020","5 Aug 2019","12 Mar 2019","8 Aug 2018",
"Exchange Rate (period end)",21.48,18.48,17.88,18.34,18.15,
"Exchange Rate (weighted average)",20.94,18.44,18.37,17.64,16.91,
"Number of Shares in Issue (Actual)",1879000000,1902000000,1902251098,1902251098,1902251098,
"Weighted Average Shares in Issue (Actual)",1801000000,1835000000,1834000000,1832000000,1830000000,
"Fully Diluted Weighted Average Shares in Issue",1837000000,1863000000,1852000000,1839000000,1830000000,
"Market Capitalisation (R000)",54718982,55728600,46194456,41697344,50181384,
"Market Capitalisation (R000): QUILTER (QLT)",54718982,55735957,46194456,41697344,50181384,
"Number of Employees",,4836,,4343,4388,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"11 Aug 2020","11 Mar 2020","5 Aug 2019","12 Mar 2019","8 Aug 2018",
"Earnings Per Share (ZARc)",50.27,147.52,-16.53,469.22,316.22,
"Diluted Earnings Per Share (ZARc)",48.18,143.83,-16.53,467.46,316.22,
"Headline Earnings Per Share (Cont Ops) (ZARc)",50.27,42.41,-16.53,186.98,47.35,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",50.27,42.41,-16.53,185.22,47.35,
"Distributions Per Share (ZARc)",22.97,103.03,30.24,268.32,206.4,
"Net Asset Value Per Share (ZARc)",2247.29,2012.29,1817.86,1933.04,1965.46,
"Cash Generated Per Share",50.35,-107.41,-33.38,7.94,15.35,
"Number of Months",6,12,6,12,6,
"Earnings Per Share (Base Currency)",2.4,8,-0.9,26.6,18.7,
"Diluted Earnings Per Share (Base Currency)",2.3,7.8,-0.9,26.5,18.7,
"Headline Earnings Per Share (Cont) (Base Currency)",2.4,2.3,-0.9,10.6,2.8,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",2.4,2.3,-0.9,10.5,2.8,
"Distributions Per Share (Base Currency)",1,5.2,1.7,15.3,12,
"Net Asset Value Per Share (Base Currency)",104.58,108.89,101.67,105.4,108.29,
"Price at Period End (Base Currency)",138,158,140,120,145,
"JSE Market Price at Period End (ZARc)",2972,2930,2509,2192,2638,
"JSE Market Price High (ZARc)",3368,3126,2907,2844,2844,
"JSE Market Price Low (ZARc)",1999,2075,2075,1993,2604,
"JSE Volume Traded (Actual)",627539130,729015649,344038192,573258132,67465721,
"JSE Value Traded (Actual)",18131284282,18826831748,8747580961,14313410517,1822293766,
"12 Month HEPS",109.21,42.41,76.96,186.98,94.7,
"12 Month Dividend",95.75,103.02,92.16,61.92,,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"11 Aug 2020","11 Mar 2020","5 Aug 2019","12 Mar 2019","8 Aug 2018",
"Working capital changes",-34,-39,-92,-662,-603,
"Net Cash flow from operating activities",946,-2043,-635,151,292,
"Net cash flow from investing activities",-777,2238,638,-14,596,
"Net cash flow from financing activities",-172,-118,-74,-248,-22,
"Dividends paid",-64,-92,-61,-221,,
"Net increase(decrease) in cash & cash equivalents",-3,77,-71,-111,866,
"Cash & Cash Equivalent beginning of period",2473,2395,2395,2507,2507,
"Translation effects on cash & cash equivalents",-3,1,1,-1,2,
"Cash & Cash Equivalent end of period",2467,2473,2325,2395,3375,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"11 Aug 2020","11 Mar 2020","5 Aug 2019","12 Mar 2019","8 Aug 2018",
"Price/Net Asset Value",1.32,1.45,1.38,1.13,1.34,
"Price/Cash Flow",5.48,-1.47,-8.4,15.07,18.94,
"Return on Capital Employed",0.14,0.23,-0.06,0.76,0.96,
"Return on Shareholder Fund",4.38,7.05,-1.76,24.34,33.2,
"Return on Total Assets",-8.97,-1.53,-1.3,-1.74,-1.7,
"Operating Profit Margin",,-103.42,,-118.87,-72462.08,
"Net Profit Margin",,15.6,,51.15,39906.65,
"Debt : Equity",30.16,29.23,29.77,30.85,4.33,
"Dividend Cover",2.19,1.43,-0.55,1.75,1.53,
"NAV%Price",75.62,68.68,72.45,88.19,74.51,
"Price : Earnings",27.21,69.09,32.6,11.72,27.86,
"Investment Return",-5.35,11.57,17.88,-4.58,0.91,
"Underwriting Surplus : Net Premiums",,-1.03,,-1.19,-724.62,
"Solvency Margin",,221.26,,210.17,480746.79,
"Excess Assets to Total Liabilities",0.03,0.04,0.03,0.04,5.58,
"Mgmt Expenses : Total Income",-0.32,0.09,0.06,-0.44,0.46,
"Shareholders Funds : Total Funds",0.03,0.03,0.03,0.03,0.03,
"Shareholders Funds : Life Funds",,,,3.33,0.03,
"Payouts : Premiums",,,,,18.67,
"Cost of Acquisition",,0.79,,0.79,457.41,
"Claims + Expenses : Premiums",,1.11,,1.2,744.46,
"Profitability %",-1.32,0.1,-1.1,-0.01,-1.35,
"Solvency %",103.25,103.36,102.7,104.13,648.65,
"Int Bearing Debt : Total Assets",0.01,0.01,,,,
"Liquidity %",3.13,-3.31,-1.77,0.24,5.15,
"Cash Flow : Attributable Profit",315.33,-26.53,-27.61,30.2,41.71,
"Loan to value ratio",96.69,96.54,96.59,95.86,12.28,
"PEG Ratio",-0.35,-0.89,,,,

