"Net cash flow from investing activities",-2761000,2270000,472000,
"Net cash flow from financing activities",1873000,17000,-205000,
"Dividends paid",,-216000,-215000,
"Net increase(decrease) in cash & cash equivalents",-502000,2078000,389000,
"Cash & Cash Equivalent beginning of period",4149000,2127000,2127000,
"Translation effects on cash & cash equivalents",32000,-37000,-35000,
"Cash & Cash Equivalent end of period",3660000,4149000,2476000,

Ratios,"Sep 2020","Mar 2020","Sep 2019",
,"Interim (6m)","Final (12m)","Interim (6m)",
,"23 Nov 2020","29 Jun 2020","22 Nov 2019",
"Return on Capital Employed",14.19,10.89,15.51,
"Return on Shareholder Funds",16.62,12.49,17.21,
"Return on Total Assets",12.36,10.31,12.86,
"Gross Profit Margin",33.96,55.47,38.67,
"Operating Profit Margin",-9.53,-17.81,-17.78,
"Net Profit Margin",138.75,113.24,176.22,
"Debt:Equity (excl non-int debt)",0.17,0.15,0.15,
"Interest Bearing Debt as % of Long-Term Finance",13.49,11.24,7.21,
"Interest Cover",1.26,5.95,-16.71,
"Quick Ratio",4.02,4.14,3.67,
"Current Ratio",4.11,4.24,3.72,
"Dividend Cover",,15.05,,
"Dividend Cover (HEPS)",,10.96,,
"Debtors Collection Period",9.74,12.17,17.64,
"Stock Turn",11.53,10.22,12.24,
"Price : Earnings",42.25,49.44,38.32,
"Sales Per Share (Base Currency)",267.39,204.88,174.36,
"Price/Sales Per Share",34.47,33.73,41.88,
"Price/Net Asset Value",4.15,3.86,4.16,
"Price/Cash Flow",776.26,-537.35,1947.36,
"NAV%Price",24.06,25.81,24.05,
"Liquidity%",8.67,-3.24,4.25,
"Cash Flow:Attributable Profit",0.28,-0.06,0.12,
"Cash/Equity (%)",10.09,14.26,8.62,
"EV/Ebitda (Pd)",-587.49,483.49,671.98,
"PEG Ratio",-1.88,-2.2,,

