"Translation effects on cash & cash equivalents",601,-85,529,539,84,-48,-342,-410,-167,359,,,,
"Cash & Cash Equivalent end of period",73135,72026,113619,66204,69509,93672,76838,78184,166848,314487,218420,,,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"21 Sep 2020","3 Apr 2020","4 Sep 2019","28 Mar 2019","3 Sep 2018","26 Mar 2018","15 Aug 2017","22 Mar 2017","17 Aug 2016","17 Mar 2016","6 Aug 2015","18 Mar 2015","29 Sep 2014",
"Return on Capital Employed",8.63,11.37,20.6,-22.9,-34.6,8.11,9.33,14.42,18.03,10.9,15.2,6.85,90.83,
"Return on Shareholder Funds",9.22,11.84,21.35,-24.02,-36.97,8.61,9.84,16.07,19.01,11.81,15.27,6.87,90.83,
"Return on Total Assets",27.08,41.09,64.15,39.04,-42.01,15.25,18.43,27.34,32.5,22.73,27.57,8.65,73.74,
"Operating Profit Margin",19.16,24.48,40.47,22.34,26.63,26.62,29.76,39.88,46.6,35.5,44.73,34.77,36.23,
"Net Profit Margin",14.22,19.34,34.45,-50.47,-79.53,13.3,15.04,33.27,30.34,36.24,36.51,29.45,30.19,
"Debt:Equity (excl non-int debt)",0.06,0.04,0.04,0.05,0.07,0.06,0.05,0.11,0.05,0.08,,,,
"Interest Cover",82.23,-5.48,134.11,-7.1,-7.57,-15.36,-15.69,-26.02,45.64,-2.26,-10.57,-36.92,81.01,
"Interest Cover: Discontinued Operations",,,,-7.1,,,,,,,,,,
"Quick Ratio",2.84,2.44,4.67,2.97,1.45,1.55,1.74,3.51,5.41,7.93,12.05,14.04,1.75,
"Current Ratio",2.84,2.44,4.67,2.97,1.45,1.55,1.74,3.51,5.41,7.93,12.05,14.04,2.09,
"Dividend Cover",1.63,2.66,5.27,-5.77,-9.12,3.26,,2.43,2.09,2.04,1.89,2.13,3.83,
"Dividend Cover (HEPS)",1.63,2.34,5.27,1.43,1.75,3.37,,1.86,1.99,2.04,1.89,1.89,3.83,
"Debtors Collection Period",50.48,46.47,37.38,39.1,54.28,53.46,62.8,71.03,70.78,69.72,56.25,97.03,50.93,
"Price : Earnings",72.5,11.33,6.42,12.07,12,11.25,11.28,16.79,19.28,31.58,29.18,25.44,,
"Sales Per Share (Base Currency)",215.12,227.14,263.36,232.26,241.2,245.12,253.76,235.42,235.48,151.94,114.16,108.54,90.98,
"Price/Sales Per Share",1.62,1.87,1.42,1.53,1.62,1.55,2.01,4.24,5.58,11.45,8.93,6.63,,
"Price/Net Asset Value",0.77,0.95,0.82,0.84,0.82,0.66,0.9,1.79,2.72,4.05,3.71,2.86,,
"Price/Cash Flow",22.44,6.57,14.45,7.21,50,6.05,68.18,24.96,348.81,34.18,106.03,62.83,,
"NAV%Price",129.6,104.94,121.87,118.87,121.79,150.4,110.78,55.76,36.81,24.68,26.96,35,,
"Liquidity%",103.01,118.95,259.02,93.36,12.6,30.25,16.74,36.83,27.68,70.63,230.36,65.34,167.1,
"Cash Flow:Attributable Profit",8.9,1.5,2.57,1.7,-0.32,1.89,1.54,0.73,0.46,1.03,1.87,0.79,2.63,
"Cash/Equity (%)",7.47,7.65,11.89,7.61,7.34,8.34,7.03,7.26,,,,,,
"EV/Ebitda (Pd)",14.7,7.41,6.22,6.95,,,,,,,,,,
"PEG Ratio",,0.76,0.55,1.04,0.61,0.57,0.22,0.33,0.2,0.33,,,,

